Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2021-02,ABB LTD ABB ADR REPRESENTING ON,28.895000457763672,29.078500747680664,29.950000762939453,28.80030059814453,2021-02-22 00:00:00+00:00,2021-02-05 00:00:00+00:00,
2021-03,ABB LTD ABB ADR REPRESENTING ON,29.700000762939453,30.31800079345703,31.591999053955078,29.33799934387207,2021-03-22 00:00:00+00:00,2021-03-05 00:00:00+00:00,4.2625995629270275
2021-04,ABB LTD ABB ADR REPRESENTING ON,31.26799964904785,32.59000015258789,33.375,31.094999313354492,2021-04-28 00:00:00+01:00,2021-04-07 00:00:00+01:00,7.493895704433062
2021-05,ABB LTD ABB ADR REPRESENTING ON,32.47999954223633,34.16999816894531,34.16999816894531,32.33251190185547,2021-05-28 00:00:00+01:00,2021-05-04 00:00:00+01:00,4.848106808713704
2021-06,ABB LTD ABB ADR REPRESENTING ON,34.86800003051758,34.060001373291016,35.28799819946289,32.934261322021484,2021-06-07 00:00:00+01:00,2021-06-18 00:00:00+01:00,-0.32191045229339466
2021-07,ABB LTD ABB ADR REPRESENTING ON,33.963890075683594,36.54499816894531,36.939998626708984,33.963890075683594,2021-07-29 00:00:00+01:00,2021-07-01 00:00:00+01:00,7.295938624368259
2021-08,ABB LTD ABB ADR REPRESENTING ON,36.52000045776367,37.099998474121094,38.01593017578125,36.511131286621094,2021-08-24 00:00:00+01:00,2021-08-02 00:00:00+01:00,1.5186765165783989
2021-09,ABB LTD ABB ADR REPRESENTING ON,36.96500015258789,33.47999954223633,37.68000030517578,33.474998474121094,2021-09-03 00:00:00+01:00,2021-09-30 00:00:00+01:00,-9.757409921215698
2021-10,ABB LTD ABB ADR REPRESENTING ON,33.1619987487793,33.029998779296875,34.97999954223633,32.44499969482422,2021-10-20 00:00:00+01:00,2021-10-06 00:00:00+01:00,-1.3440883186744412
2021-11,ABB LTD ABB ADR REPRESENTING ON,33.38999938964844,34.45000076293945,36.01499938964844,33.38166046142578,2021-11-22 00:00:00+00:00,2021-11-01 00:00:00+00:00,4.299128174756794
2021-12,ABB LTD ABB ADR REPRESENTING ON,34.85300064086914,38.220001220703125,38.52204895019531,34.85300064086914,2021-12-29 00:00:00+00:00,2021-12-01 00:00:00+00:00,10.943397312836511
2022-01,ABB LTD ABB ADR REPRESENTING ON,39.0099983215332,34.415000915527344,39.040000915527344,33.2239990234375,2022-01-05 00:00:00+00:00,2022-01-28 00:00:00+00:00,-9.955521150309842
