Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,abrdn Global Equity Fund A Acc,232.05032348632812,238.320068359375,240.9199676513672,230.44039916992188,2019-01-21 00:00:00+00:00,2019-01-04 00:00:00+00:00,
2019-02,abrdn Global Equity Fund A Acc,240.5811004638672,242.6110076904297,250.36073303222656,240.5811004638672,2019-02-14 00:00:00+00:00,2019-02-01 00:00:00+00:00,1.800494335451508
2019-03,abrdn Global Equity Fund A Acc,243.64097595214844,248.4008026123047,250.49072265625,243.16099548339844,2019-03-21 00:00:00+00:00,2019-03-08 00:00:00+00:00,2.386451866711159
2019-04,abrdn Global Equity Fund A Acc,250.37074279785156,259.10040283203125,260.3703918457031,250.37074279785156,2019-04-24 00:00:00+01:00,2019-04-01 00:00:00+01:00,4.307393578122265
2019-05,abrdn Global Equity Fund A Acc,258.2304382324219,253.20062255859375,258.2304382324219,249.7007598876953,2019-05-01 00:00:00+01:00,2019-05-14 00:00:00+01:00,-2.2770247398118393
2019-06,abrdn Global Equity Fund A Acc,251.09071350097656,264.4201965332031,265.95013427734375,250.94070434570312,2019-06-21 00:00:00+01:00,2019-06-04 00:00:00+01:00,4.431100469357263
2019-07,abrdn Global Equity Fund A Acc,267.8700866699219,277.8497009277344,279.4896545410156,267.8700866699219,2019-07-30 00:00:00+01:00,2019-07-01 00:00:00+01:00,5.07884971367718
2019-08,abrdn Global Equity Fund A Acc,277.0292663574219,268.22930908203125,277.0292663574219,262.3592834472656,2019-08-01 00:00:00+01:00,2019-08-16 00:00:00+01:00,-3.4624445567444706
2019-09,abrdn Global Equity Fund A Acc,270.47930908203125,269.6393127441406,272.6192932128906,267.2492980957031,2019-09-12 00:00:00+01:00,2019-09-04 00:00:00+01:00,0.5256709891006572
2019-10,abrdn Global Equity Fund A Acc,269.9093017578125,262.769287109375,269.9093017578125,255.7393341064453,2019-10-01 00:00:00+01:00,2019-10-21 00:00:00+01:00,-2.547857567521894
2019-11,abrdn Global Equity Fund A Acc,262.5492858886719,271.3092956542969,272.0592956542969,262.5492858886719,2019-11-26 00:00:00+00:00,2019-11-01 00:00:00+00:00,3.250002555042575
2019-12,abrdn Global Equity Fund A Acc,271.1792907714844,275.6292724609375,280.44927978515625,264.9193115234375,2019-12-24 00:00:00+00:00,2019-12-04 00:00:00+00:00,1.5922701049451593
2020-01,abrdn Global Equity Fund A Acc,276.9692687988281,274.5192565917969,288.2992248535156,274.5192565917969,2020-01-20 00:00:00+00:00,2020-01-31 00:00:00+00:00,-0.40272060337783744
2020-02,abrdn Global Equity Fund A Acc,271.95001220703125,256.8399963378906,285.79998779296875,256.8399963378906,2020-02-20 00:00:00+00:00,2020-02-28 00:00:00+00:00,-6.4400801872325
2020-03,abrdn Global Equity Fund A Acc,258.239990234375,234.9499969482422,266.239990234375,218.49000549316406,2020-03-03 00:00:00+00:00,2020-03-17 00:00:00+00:00,-8.522815644667215
2020-04,abrdn Global Equity Fund A Acc,227.74000549316406,256.7099914550781,256.7099914550781,225.60000610351562,2020-04-30 00:00:00+01:00,2020-04-02 00:00:00+01:00,9.261542791860311
2020-05,abrdn Global Equity Fund A Acc,252.3699951171875,267.42999267578125,268.75,248.47999572753906,2020-05-28 00:00:00+01:00,2020-05-05 00:00:00+01:00,4.175918965966319
