Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2018-01,Thematics Europe Sélection IC,303878.0,303077.0,308324.0,302621.0,2018-01-09 00:00:00+01:00,2018-01-30 00:00:00+01:00,
2018-02,Thematics Europe Sélection IC,302479.0,292305.0,302479.0,285334.0,2018-02-01 00:00:00+01:00,2018-02-09 00:00:00+01:00,-3.5542122958852063
2018-03,Thematics Europe Sélection IC,289274.0,289676.0,295087.0,283473.0,2018-03-12 00:00:00+01:00,2018-03-26 00:00:00+02:00,-0.8994030208173021
2018-04,Thematics Europe Sélection IC,287850.0,294715.0,294715.0,287368.0,2018-04-30 00:00:00+02:00,2018-04-24 00:00:00+02:00,1.7395296814372019
2018-05,Thematics Europe Sélection IC,292970.0,299867.0,304798.0,292482.0,2018-05-28 00:00:00+02:00,2018-05-03 00:00:00+02:00,1.7481295488862125
2018-06,Thematics Europe Sélection IC,300387.0,299036.0,305263.0,296698.0,2018-06-15 00:00:00+02:00,2018-06-07 00:00:00+02:00,-0.2771228578002938
2018-07,Thematics Europe Sélection IC,298607.0,308123.0,309904.0,298607.0,2018-07-27 00:00:00+02:00,2018-07-02 00:00:00+02:00,3.038764563463925
2018-08,Thematics Europe Sélection IC,308351.0,303696.0,310234.0,303696.0,2018-08-03 00:00:00+02:00,2018-08-31 00:00:00+02:00,-1.4367638897453294
2018-09,Thematics Europe Sélection IC,303275.0,297713.0,303275.0,292934.0,2018-09-03 00:00:00+02:00,2018-09-19 00:00:00+02:00,-1.9700621674305863
2018-10,Thematics Europe Sélection IC,298648.0,284417.0,298648.0,277440.0,2018-10-01 00:00:00+02:00,2018-10-12 00:00:00+02:00,-4.466046158548664
2018-11,Thematics Europe Sélection IC,286423.0,285433.0,290432.0,281082.0,2018-11-09 00:00:00+01:00,2018-11-20 00:00:00+01:00,0.3572219663381615
2018-12,Thematics Europe Sélection IC,285537.0,263559.0,285537.0,260384.0,2018-12-03 00:00:00+01:00,2018-12-27 00:00:00+01:00,-7.663444661269015
2019-01,Thematics Europe Sélection IC,264631.46875,280154.0625,280154.0625,263061.09375,2019-01-31 00:00:00+01:00,2019-01-03 00:00:00+01:00,6.296526584180384
2019-02,Thematics Europe Sélection IC,281002.4375,290039.5625,292811.0625,281002.4375,2019-02-21 00:00:00+01:00,2019-02-01 00:00:00+01:00,3.5285941998431714
2019-03,Thematics Europe Sélection IC,293312.21875,303764.34375,303764.34375,293312.21875,2019-03-29 00:00:00+01:00,2019-03-01 00:00:00+01:00,4.732037633659036
2019-04,Thematics Europe Sélection IC,303964.40625,312339.34375,312339.34375,303012.9375,2019-04-30 00:00:00+02:00,2019-04-09 00:00:00+02:00,2.822911963313657
2019-05,Thematics Europe Sélection IC,309799.1875,302145.84375,311438.75,302039.3125,2019-05-03 00:00:00+02:00,2019-05-13 00:00:00+02:00,-3.2635978156370204
2019-06,Thematics Europe Sélection IC,303544.03125,310795.71875,313467.625,303058.8125,2019-06-18 00:00:00+02:00,2019-06-04 00:00:00+02:00,2.8628144913874998
2019-07,Thematics Europe Sélection IC,311972.6875,319058.75,322584.84375,311972.6875,2019-07-29 00:00:00+02:00,2019-07-01 00:00:00+02:00,2.658669586322926
2019-08,Thematics Europe Sélection IC,322755.6875,324227.3125,324227.3125,307572.125,2019-08-30 00:00:00+02:00,2019-08-06 00:00:00+02:00,1.6199406849052078
2019-09,Thematics Europe Sélection IC,325817.71875,324277.1875,328029.40625,319909.71875,2019-09-06 00:00:00+02:00,2019-09-16 00:00:00+02:00,0.0153827262778794
2019-10,Thematics Europe Sélection IC,320217.96875,314123.8125,320217.96875,310854.71875,2019-10-01 00:00:00+02:00,2019-10-28 00:00:00+01:00,-3.131079024792638
