Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,JPM Japan Fund C - Net Accumula,232.4825897216797,231.7826385498047,238.5821533203125,226.98301696777344,2019-01-09 00:00:00+00:00,2019-01-23 00:00:00+00:00,
2019-02,JPM Japan Fund C - Net Accumula,232.39231872558594,237.9921417236328,244.3919219970703,229.59242248535156,2019-02-25 00:00:00+00:00,2019-02-11 00:00:00+00:00,2.6790199700370776
2019-03,JPM Japan Fund C - Net Accumula,240.09207153320312,250.99171447753906,251.39169311523438,239.0921173095703,2019-03-27 00:00:00+00:00,2019-03-14 00:00:00+00:00,5.462185709056699
2019-04,JPM Japan Fund C - Net Accumula,251.69168090820312,263.09130859375,263.09130859375,248.19180297851562,2019-04-25 00:00:00+01:00,2019-04-02 00:00:00+01:00,4.820714556812078
2019-05,JPM Japan Fund C - Net Accumula,260.7913818359375,264.291259765625,270.591064453125,254.1916046142578,2019-05-28 00:00:00+01:00,2019-05-14 00:00:00+01:00,0.4560968502870244
2019-06,JPM Japan Fund C - Net Accumula,260.5914001464844,267.5911560058594,270.89105224609375,255.59156799316406,2019-06-20 00:00:00+01:00,2019-06-04 00:00:00+01:00,1.2485831893043864
2019-07,JPM Japan Fund C - Net Accumula,273.5909729003906,282.7906494140625,283.9906311035156,267.4911804199219,2019-07-30 00:00:00+01:00,2019-07-18 00:00:00+01:00,5.680117996078438
2019-08,JPM Japan Fund C - Net Accumula,283.59063720703125,280.8907165527344,285.1905822753906,275.19091796875,2019-08-02 00:00:00+01:00,2019-08-16 00:00:00+01:00,-0.6718513731853393
2019-09,JPM Japan Fund C - Net Accumula,281.4906921386719,284.4906005859375,285.1905822753906,277.3908386230469,2019-09-26 00:00:00+01:00,2019-09-11 00:00:00+01:00,1.28159594499353
2019-10,JPM Japan Fund C - Net Accumula,285.4905700683594,279.59075927734375,288.9904479980469,270.4910583496094,2019-10-08 00:00:00+01:00,2019-10-21 00:00:00+01:00,-1.7223209830138586
2019-11,JPM Japan Fund C - Net Accumula,282.5906677246094,285.39056396484375,287.8904724121094,279.8907470703125,2019-11-26 00:00:00+00:00,2019-11-18 00:00:00+00:00,2.074390692485939
2019-12,JPM Japan Fund C - Net Accumula,287.8904724121094,286.1905517578125,290.5904235839844,277.0908508300781,2019-12-24 00:00:00+00:00,2019-12-13 00:00:00+00:00,0.28031332986444557
2020-01,JPM Japan Fund C - Net Accumula,284.29058837890625,278.39080810546875,292.4903564453125,278.39080810546875,2020-01-14 00:00:00+00:00,2020-01-31 00:00:00+00:00,-2.7253672787018624
2020-02,JPM Japan Fund C - Net Accumula,278.8999938964844,253.8000030517578,288.20001220703125,253.8000030517578,2020-02-06 00:00:00+00:00,2020-02-28 00:00:00+00:00,-8.833195758530465
2020-03,JPM Japan Fund C - Net Accumula,256.5,264.5,268.6000061035156,228.8000030517578,2020-03-27 00:00:00+00:00,2020-03-16 00:00:00+00:00,4.21591679258575
2020-04,JPM Japan Fund C - Net Accumula,257.8999938964844,290.8999938964844,291.20001220703125,254.6999969482422,2020-04-28 00:00:00+01:00,2020-04-02 00:00:00+01:00,9.981094100750232
2020-05,JPM Japan Fund C - Net Accumula,285.79998779296875,322.70001220703125,323.1000061035156,285.79998779296875,2020-05-28 00:00:00+01:00,2020-05-01 00:00:00+01:00,10.931598136046293
2020-06,JPM Japan Fund C - Net Accumula,323.8999938964844,331.8999938964844,335.1000061035156,313.5,2020-06-26 00:00:00+01:00,2020-06-08 00:00:00+01:00,2.850939368279537
2020-07,JPM Japan Fund C - Net Accumula,327.3999938964844,320.29998779296875,338.8999938964844,320.29998779296875,2020-07-07 00:00:00+01:00,2020-07-31 00:00:00+01:00,-3.495030526313758
2020-08,JPM Japan Fund C - Net Accumula,322.70001220703125,328.20001220703125,338.8999938964844,322.70001220703125,2020-08-24 00:00:00+01:00,2020-08-03 00:00:00+01:00,2.466445430890496
2020-09,JPM Japan Fund C - Net Accumula,329.6000061035156,363.6000061035156,368.0,329.6000061035156,2020-09-29 00:00:00+01:00,2020-09-01 00:00:00+01:00,10.786103772035748
2020-10,JPM Japan Fund C - Net Accumula,359.5,363.29998779296875,377.70001220703125,355.3999938964844,2020-10-14 00:00:00+01:00,2020-10-26 00:00:00+00:00,-0.08251328534396585
2020-11,JPM Japan Fund C - Net Accumula,365.1000061035156,398.1000061035156,398.1000061035156,365.1000061035156,2020-11-30 00:00:00+00:00,2020-11-02 00:00:00+00:00,9.578865807828807
2020-12,JPM Japan Fund C - Net Accumula,399.5,397.1000061035156,399.8999938964844,382.20001220703125,2020-12-29 00:00:00+00:00,2020-12-16 00:00:00+00:00,-0.25119316369464073
2021-01,JPM Japan Fund C - Net Accumula,398.5,377.70001220703125,402.20001220703125,377.70001220703125,2021-01-08 00:00:00+00:00,2021-01-29 00:00:00+00:00,-4.885417677739145
2021-02,JPM Japan Fund C - Net Accumula,384.0,364.29998779296875,396.29998779296875,364.29998779296875,2021-02-16 00:00:00+00:00,2021-02-26 00:00:00+00:00,-3.5477955999422828
2021-03,JPM Japan Fund C - Net Accumula,368.29998779296875,363.1000061035156,368.29998779296875,344.79998779296875,2021-03-01 00:00:00+00:00,2021-03-10 00:00:00+00:00,-0.3293938319138934
2021-04,JPM Japan Fund C - Net Accumula,367.3999938964844,362.29998779296875,377.0,360.29998779296875,2021-04-14 00:00:00+01:00,2021-04-21 00:00:00+01:00,-0.22033001847948652
2021-05,JPM Japan Fund C - Net Accumula,361.6000061035156,356.70001220703125,361.6000061035156,333.3999938964844,2021-05-06 00:00:00+01:00,2021-05-13 00:00:00+01:00,-1.5456736888264877
2021-06,JPM Japan Fund C - Net Accumula,353.3999938964844,371.6000061035156,373.0,353.0,2021-06-29 00:00:00+01:00,2021-06-04 00:00:00+01:00,4.177177848773472
2021-07,JPM Japan Fund C - Net Accumula,369.0,364.8999938964844,377.20001220703125,364.8999938964844,2021-07-12 00:00:00+01:00,2021-07-30 00:00:00+01:00,-1.8030172489192142
2021-08,JPM Japan Fund C - Net Accumula,373.29998779296875,393.5,393.5,372.5,2021-08-31 00:00:00+01:00,2021-08-17 00:00:00+01:00,7.837765574649191
2021-09,JPM Japan Fund C - Net Accumula,394.29998779296875,405.1000061035156,430.5,394.29998779296875,2021-09-15 00:00:00+01:00,2021-09-01 00:00:00+01:00,2.9479049818337044
2021-10,JPM Japan Fund C - Net Accumula,397.5,390.5,397.5,379.70001220703125,2021-10-01 00:00:00+01:00,2021-10-06 00:00:00+01:00,-3.6040498354830586
2021-11,JPM Japan Fund C - Net Accumula,400.5,400.79998779296875,418.8999938964844,400.5,2021-11-22 00:00:00+00:00,2021-11-01 00:00:00+00:00,2.6376409200944195
2021-12,JPM Japan Fund C - Net Accumula,399.3999938964844,388.3999938964844,412.5,388.20001220703125,2021-12-08 00:00:00+00:00,2021-12-20 00:00:00+00:00,-3.093810946643427
2022-01,JPM Japan Fund C - Net Accumula,389.8999938964844,325.29998779296875,389.8999938964844,314.1000061035156,2022-01-04 00:00:00+00:00,2022-01-27 00:00:00+00:00,-16.246139828810847
2022-02,JPM Japan Fund C - Net Accumula,326.1000061035156,315.3999938964844,336.20001220703125,305.20001220703125,2022-02-02 00:00:00+00:00,2022-02-22 00:00:00+00:00,-3.0433428429099907
2022-03,JPM Japan Fund C - Net Accumula,323.29998779296875,321.8999938964844,325.20001220703125,301.5,2022-03-30 00:00:00+01:00,2022-03-09 00:00:00+00:00,2.0608751191457886
