Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,WAY MA Cautious Portfolio B Acc,146.9600067138672,148.0399932861328,149.1300048828125,146.9600067138672,2019-01-22 00:00:00+00:00,2019-01-02 00:00:00+00:00,
2019-02,WAY MA Cautious Portfolio B Acc,148.82000732421875,149.97999572753906,151.27000427246094,148.82000732421875,2019-02-15 00:00:00+00:00,2019-02-01 00:00:00+00:00,1.3104583419269566
2019-03,WAY MA Cautious Portfolio B Acc,149.9600067138672,151.6999969482422,152.2899932861328,149.9600067138672,2019-03-22 00:00:00+00:00,2019-03-01 00:00:00+00:00,1.146820422523387
2019-04,WAY MA Cautious Portfolio B Acc,152.22999572753906,155.36000061035156,155.75999450683594,152.22999572753906,2019-04-25 00:00:00+01:00,2019-04-01 00:00:00+01:00,2.4126590215806765
2019-05,WAY MA Cautious Portfolio B Acc,155.2899932861328,154.11000061035156,155.2899932861328,152.97000122070312,2019-05-01 00:00:00+01:00,2019-05-15 00:00:00+01:00,-0.8045829010615457
2019-06,WAY MA Cautious Portfolio B Acc,153.9499969482422,157.02999877929688,157.49000549316406,153.64999389648438,2019-06-24 00:00:00+01:00,2019-06-05 00:00:00+01:00,1.8947493072355437
2019-07,WAY MA Cautious Portfolio B Acc,157.47999572753906,161.4199981689453,161.4199981689453,157.47999572753906,2019-07-31 00:00:00+01:00,2019-07-01 00:00:00+01:00,2.7956437774787846
2019-08,WAY MA Cautious Portfolio B Acc,161.0399932861328,159.25,161.1699981689453,158.1199951171875,2019-08-02 00:00:00+01:00,2019-08-07 00:00:00+01:00,-1.3443180482966888
2019-09,WAY MA Cautious Portfolio B Acc,159.9600067138672,159.02999877929688,160.38999938964844,158.08999633789062,2019-09-03 00:00:00+01:00,2019-09-26 00:00:00+01:00,-0.13814833325157538
2019-10,WAY MA Cautious Portfolio B Acc,158.74000549316406,156.99000549316406,158.7899932861328,156.1199951171875,2019-10-02 00:00:00+01:00,2019-10-22 00:00:00+01:00,-1.282772622644568
2019-11,WAY MA Cautious Portfolio B Acc,156.89999389648438,159.57000732421875,159.57000732421875,156.89999389648438,2019-11-29 00:00:00+00:00,2019-11-01 00:00:00+00:00,1.6434178869858318
2019-12,WAY MA Cautious Portfolio B Acc,159.33999633789062,161.80999755859375,162.32000732421875,157.57000732421875,2019-12-30 00:00:00+00:00,2019-12-11 00:00:00+00:00,1.4037664545716977
2020-01,WAY MA Cautious Portfolio B Acc,161.30999755859375,161.1999969482422,164.0500030517578,161.1999969482422,2020-01-20 00:00:00+00:00,2020-01-31 00:00:00+00:00,-0.37698573608263564
2020-02,WAY MA Cautious Portfolio B Acc,160.3300018310547,156.25,164.0800018310547,156.25,2020-02-21 00:00:00+00:00,2020-02-28 00:00:00+00:00,-3.070717767960951
2020-03,WAY MA Cautious Portfolio B Acc,153.52999877929688,140.52999877929688,156.4499969482422,134.58999633789062,2020-03-04 00:00:00+00:00,2020-03-20 00:00:00+00:00,-10.060800781250002
2020-04,WAY MA Cautious Portfolio B Acc,141.8300018310547,150.58999633789062,150.58999633789062,139.5800018310547,2020-04-30 00:00:00+01:00,2020-04-03 00:00:00+01:00,7.158612144011345
2020-05,WAY MA Cautious Portfolio B Acc,150.7899932861328,156.3699951171875,156.3699951171875,148.36000061035156,2020-05-29 00:00:00+01:00,2020-05-05 00:00:00+01:00,3.83823555339482
2020-06,WAY MA Cautious Portfolio B Acc,156.25,158.6300048828125,159.92999267578125,155.64999389648438,2020-06-24 00:00:00+01:00,2020-06-16 00:00:00+01:00,1.4452963076012626
2020-07,WAY MA Cautious Portfolio B Acc,158.74000549316406,160.11000061035156,162.72999572753906,158.4600067138672,2020-07-24 00:00:00+01:00,2020-07-02 00:00:00+01:00,0.9329859938114415
2020-08,WAY MA Cautious Portfolio B Acc,159.8800048828125,163.49000549316406,163.49000549316406,159.8800048828125,2020-08-28 00:00:00+01:00,2020-08-03 00:00:00+01:00,2.1110516956640124
2020-09,WAY MA Cautious Portfolio B Acc,162.5800018310547,163.30999755859375,165.00999450683594,161.3699951171875,2020-09-17 00:00:00+01:00,2020-09-28 00:00:00+01:00,-0.1101033265166973
2020-10,WAY MA Cautious Portfolio B Acc,163.25999450683594,162.0800018310547,167.35000610351562,162.0800018310547,2020-10-15 00:00:00+01:00,2020-10-30 00:00:00+00:00,-0.7531662151288421
