Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2018-01,Fullerton SGD Cash Fund A Acc,1.0496599674224854,1.0505599975585938,1.0505599975585938,1.0496599674224854,2018-01-31 00:00:00+08:00,2018-01-02 00:00:00+08:00,
2018-02,Fullerton SGD Cash Fund A Acc,1.0506199598312378,1.0514299869537354,1.0514299869537354,1.0506199598312378,2018-02-28 00:00:00+08:00,2018-02-01 00:00:00+08:00,0.08281196668094015
2018-03,Fullerton SGD Cash Fund A Acc,1.0514600276947021,1.0521899461746216,1.0521899461746216,1.0514600276947021,2018-03-28 00:00:00+08:00,2018-03-01 00:00:00+08:00,0.0722786329395042
2018-04,Fullerton SGD Cash Fund A Acc,1.0523200035095215,1.0532399415969849,1.0532399415969849,1.0523200035095215,2018-04-30 00:00:00+08:00,2018-04-02 00:00:00+08:00,0.09979143273328717
2018-05,Fullerton SGD Cash Fund A Acc,1.0533100366592407,1.0543500185012817,1.0543500185012817,1.0533100366592407,2018-05-31 00:00:00+08:00,2018-05-02 00:00:00+08:00,0.10539639264095513
2018-06,Fullerton SGD Cash Fund A Acc,1.0543899536132812,1.0554200410842896,1.0554200410842896,1.0543899536132812,2018-06-29 00:00:00+08:00,2018-06-01 00:00:00+08:00,0.1014864669447002
2018-07,Fullerton SGD Cash Fund A Acc,1.0555299520492554,1.0566099882125854,1.0566099882125854,1.0555299520492554,2018-07-31 00:00:00+08:00,2018-07-02 00:00:00+08:00,0.11274630781821227
2018-08,Fullerton SGD Cash Fund A Acc,1.0566500425338745,1.0578999519348145,1.0578999519348145,1.0566500425338745,2018-08-31 00:00:00+08:00,2018-08-01 00:00:00+08:00,0.1220851342141005
2018-09,Fullerton SGD Cash Fund A Acc,1.0580300092697144,1.0589599609375,1.0589599609375,1.0580300092697144,2018-09-28 00:00:00+08:00,2018-09-03 00:00:00+08:00,0.10019936202350088
2018-10,Fullerton SGD Cash Fund A Acc,1.0590900182724,1.0603300333023071,1.0603300333023071,1.0590900182724,2018-10-31 00:00:00+08:00,2018-10-01 00:00:00+08:00,0.12937905259367
2018-11,Fullerton SGD Cash Fund A Acc,1.0603699684143066,1.0616400241851807,1.0616400241851807,1.0603699684143066,2018-11-30 00:00:00+08:00,2018-11-01 00:00:00+08:00,0.12354557936962163
2018-12,Fullerton SGD Cash Fund A Acc,1.0617799758911133,1.0631599426269531,1.0631599426269531,1.0617799758911133,2018-12-31 00:00:00+08:00,2018-12-03 00:00:00+08:00,0.14316702527668035
2019-01,Fullerton SGD Cash Fund A Acc,1.0632599592208862,1.0646400451660156,1.0646400451660156,1.0632599592208862,2019-01-31 00:00:00+08:00,2019-01-02 00:00:00+08:00,0.13921729739039268
2019-02,Fullerton SGD Cash Fund A Acc,1.0646899938583374,1.0660500526428223,1.0660500526428223,1.0646899938583374,2019-02-28 00:00:00+08:00,2019-02-01 00:00:00+08:00,0.1324398310216468
2019-03,Fullerton SGD Cash Fund A Acc,1.066100001335144,1.0675300359725952,1.0675300359725952,1.066100001335144,2019-03-29 00:00:00+08:00,2019-03-01 00:00:00+08:00,0.1388286906514269
2019-04,Fullerton SGD Cash Fund A Acc,1.0676100254058838,1.0690499544143677,1.0690499544143677,1.0676100254058838,2019-04-30 00:00:00+08:00,2019-04-01 00:00:00+08:00,0.14237711263904718
2019-05,Fullerton SGD Cash Fund A Acc,1.069159984588623,1.0707900524139404,1.0707900524139404,1.069159984588623,2019-05-31 00:00:00+08:00,2019-05-02 00:00:00+08:00,0.16277050407116356
2019-06,Fullerton SGD Cash Fund A Acc,1.0709600448608398,1.0722899436950684,1.0722899436950684,1.0709600448608398,2019-06-28 00:00:00+08:00,2019-06-03 00:00:00+08:00,0.140073329757473
2019-07,Fullerton SGD Cash Fund A Acc,1.0724600553512573,1.073989987373352,1.073989987373352,1.0724600553512573,2019-07-31 00:00:00+08:00,2019-07-01 00:00:00+08:00,0.1585432828387301
2019-08,Fullerton SGD Cash Fund A Acc,1.074049949645996,1.0755800008773804,1.0755800008773804,1.074049949645996,2019-08-30 00:00:00+08:00,2019-08-01 00:00:00+08:00,0.14804733030304718
2019-09,Fullerton SGD Cash Fund A Acc,1.0758099555969238,1.0772000551223755,1.0772000551223755,1.0758099555969238,2019-09-30 00:00:00+08:00,2019-09-02 00:00:00+08:00,0.15062145481261613
2019-10,Fullerton SGD Cash Fund A Acc,1.0772500038146973,1.078629970550537,1.078629970550537,1.0772500038146973,2019-10-31 00:00:00+08:00,2019-10-01 00:00:00+08:00,0.13274372029243864
2019-11,Fullerton SGD Cash Fund A Acc,1.0786800384521484,1.0799000263214111,1.0799000263214111,1.0786800384521484,2019-11-29 00:00:00+08:00,2019-11-01 00:00:00+08:00,0.11774712418066713
2019-12,Fullerton SGD Cash Fund A Acc,1.0800399780273438,1.0814399719238281,1.0814399719238281,1.0800399780273438,2019-12-31 00:00:00+08:00,2019-12-02 00:00:00+08:00,0.14260075607763767
2020-01,Fullerton SGD Cash Fund A Acc,1.0815399885177612,1.0828399658203125,1.0828399658203125,1.0815399885177612,2020-01-31 00:00:00+08:00,2020-01-02 00:00:00+08:00,0.12945645924238303
2020-02,Fullerton SGD Cash Fund A Acc,1.0829800367355347,1.0841000080108643,1.0841000080108643,1.0829800367355347,2020-02-28 00:00:00+08:00,2020-02-03 00:00:00+08:00,0.11636458113153392
2020-03,Fullerton SGD Cash Fund A Acc,1.0842299461364746,1.0854699611663818,1.0854699611663818,1.0842299461364746,2020-03-31 00:00:00+08:00,2020-03-02 00:00:00+08:00,0.12636778391241776
2020-04,Fullerton SGD Cash Fund A Acc,1.0855000019073486,1.086359977722168,1.086359977722168,1.0855000019073486,2020-04-30 00:00:00+08:00,2020-04-01 00:00:00+08:00,0.08199366059193913
2020-05,Fullerton SGD Cash Fund A Acc,1.0864700078964233,1.0870800018310547,1.0870800018310547,1.0864700078964233,2020-05-29 00:00:00+08:00,2020-05-04 00:00:00+08:00,0.06627859306786998
2020-06,Fullerton SGD Cash Fund A Acc,1.0871399641036987,1.0877000093460083,1.0877000093460083,1.0871399641036987,2020-06-30 00:00:00+08:00,2020-06-01 00:00:00+08:00,0.05703421219314109
2020-07,Fullerton SGD Cash Fund A Acc,1.0877100229263306,1.0881400108337402,1.0881400108337402,1.0877100229263306,2020-07-29 00:00:00+08:00,2020-07-01 00:00:00+08:00,0.040452467036056206
2020-08,Fullerton SGD Cash Fund A Acc,1.0881999731063843,1.0885499715805054,1.0885499715805054,1.0881999731063843,2020-08-31 00:00:00+08:00,2020-08-03 00:00:00+08:00,0.037675367386880154
2020-09,Fullerton SGD Cash Fund A Acc,1.0885599851608276,1.088919997215271,1.088919997215271,1.0885599851608276,2020-09-30 00:00:00+08:00,2020-09-01 00:00:00+08:00,0.03399252624372018
2020-10,Fullerton SGD Cash Fund A Acc,1.0889300107955933,1.0893000364303589,1.0893000364303589,1.0889300107955933,2020-10-30 00:00:00+08:00,2020-10-01 00:00:00+08:00,0.034900563499595805
2020-11,Fullerton SGD Cash Fund A Acc,1.0893399715423584,1.0895899534225464,1.0895899534225464,1.0893399715423584,2020-11-30 00:00:00+08:00,2020-11-02 00:00:00+08:00,0.02661498049127964
2020-12,Fullerton SGD Cash Fund A Acc,1.0895899534225464,1.089840054512024,1.089840054512024,1.0895899534225464,2020-12-31 00:00:00+08:00,2020-12-01 00:00:00+08:00,0.022953689017768397
2021-01,Fullerton SGD Cash Fund A Acc,1.0898799896240234,1.0901299715042114,1.0901299715042114,1.0898799896240234,2021-01-27 00:00:00+08:00,2021-01-04 00:00:00+08:00,0.026601792711433703
2021-02,Fullerton SGD Cash Fund A Acc,1.090149998664856,1.0903400182724,1.0903400182724,1.090149998664856,2021-02-26 00:00:00+08:00,2021-02-01 00:00:00+08:00,0.019268048184994946
2021-03,Fullerton SGD Cash Fund A Acc,1.0903600454330444,1.0906200408935547,1.0906200408935547,1.0903600454330444,2021-03-30 00:00:00+08:00,2021-03-01 00:00:00+08:00,0.02568213735734126
2021-04,Fullerton SGD Cash Fund A Acc,1.090630054473877,1.0908499956130981,1.0908499956130981,1.090630054473877,2021-04-30 00:00:00+08:00,2021-04-01 00:00:00+08:00,0.02108476929829628
2021-05,Fullerton SGD Cash Fund A Acc,1.0908600091934204,1.0910999774932861,1.0910999774932861,1.0908600091934204,2021-05-31 00:00:00+08:00,2021-05-03 00:00:00+08:00,0.022916247072779505
2021-06,Fullerton SGD Cash Fund A Acc,1.0911099910736084,1.0913100242614746,1.0913100242614746,1.0911099910736084,2021-06-29 00:00:00+08:00,2021-06-01 00:00:00+08:00,0.0192509185703571
2021-07,Fullerton SGD Cash Fund A Acc,1.0913200378417969,1.0914900302886963,1.0915299654006958,1.0913200378417969,2021-07-27 00:00:00+08:00,2021-07-01 00:00:00+08:00,0.016494490403262674
2021-08,Fullerton SGD Cash Fund A Acc,1.0915100574493408,1.0916800498962402,1.0916800498962402,1.0915100574493408,2021-08-31 00:00:00+08:00,2021-08-02 00:00:00+08:00,0.017409193146145086
2021-09,Fullerton SGD Cash Fund A Acc,1.091689944267273,1.091879963874817,1.091879963874817,1.091689944267273,2021-09-30 00:00:00+08:00,2021-09-01 00:00:00+08:00,0.01831250636077364
2021-10,Fullerton SGD Cash Fund A Acc,1.091879963874817,1.0921000242233276,1.0921000242233276,1.091879963874817,2021-10-29 00:00:00+08:00,2021-10-01 00:00:00+08:00,0.02015426198771486
2021-11,Fullerton SGD Cash Fund A Acc,1.09211003780365,1.0923700332641602,1.0923700332641602,1.09211003780365,2021-11-30 00:00:00+08:00,2021-11-01 00:00:00+08:00,0.02472383800418143
