Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Artemis Income Fund I Acc,412.6305847167969,438.0591735839844,438.0591735839844,412.6305847167969,2019-01-31 00:00:00+00:00,2019-01-02 00:00:00+00:00,
2019-02,Artemis Income Fund I Acc,436.538818359375,447.6988525390625,453.3263244628906,436.538818359375,2019-02-22 00:00:00+00:00,2019-02-01 00:00:00+00:00,2.2005426518547866
2019-03,Artemis Income Fund I Acc,451.7869873046875,455.7252197265625,462.0124206542969,448.14862060546875,2019-03-19 00:00:00+00:00,2019-03-08 00:00:00+00:00,1.7928049495725906
2019-04,Artemis Income Fund I Acc,458.9637756347656,471.4081726074219,474.3768615722656,458.9637756347656,2019-04-24 00:00:00+01:00,2019-04-01 00:00:00+01:00,3.4413177506983805
2019-05,Artemis Income Fund I Acc,469.88116455078125,454.1044616699219,469.88116455078125,453.9045104980469,2019-05-01 00:00:00+01:00,2019-05-29 00:00:00+01:00,-3.6706429678108554
2019-06,Artemis Income Fund I Acc,452.1448669433594,471.7307434082031,471.7307434082031,452.1448669433594,2019-06-28 00:00:00+01:00,2019-06-03 00:00:00+01:00,3.8815477992580005
2019-07,Artemis Income Fund I Acc,477.8594665527344,485.4578552246094,492.08648681640625,476.8497009277344,2019-07-30 00:00:00+01:00,2019-07-19 00:00:00+01:00,2.9099464065516223
2019-08,Artemis Income Fund I Acc,485.90777587890625,474.7001037597656,485.90777587890625,458.8434753417969,2019-08-01 00:00:00+01:00,2019-08-15 00:00:00+01:00,-2.2160011109237043
2019-09,Artemis Income Fund I Acc,478.1294250488281,488.5472106933594,489.29705810546875,475.93988037109375,2019-09-27 00:00:00+01:00,2019-09-03 00:00:00+01:00,2.917022099620481
2019-10,Artemis Income Fund I Acc,487.34747314453125,487.0975341796875,492.0664978027344,470.8709411621094,2019-10-24 00:00:00+01:00,2019-10-03 00:00:00+01:00,-0.29673212372136604
2019-11,Artemis Income Fund I Acc,487.8599853515625,496.3900146484375,496.5299987792969,482.67999267578125,2019-11-28 00:00:00+00:00,2019-11-21 00:00:00+00:00,1.9077248018508852
2019-12,Artemis Income Fund I Acc,491.9599914550781,509.1499938964844,515.1400146484375,482.989990234375,2019-12-27 00:00:00+00:00,2019-12-04 00:00:00+00:00,2.5705551827193807
2020-01,Artemis Income Fund I Acc,514.510009765625,499.6700134277344,514.77001953125,499.6700134277344,2020-01-17 00:00:00+00:00,2020-01-31 00:00:00+00:00,-1.8619229269159931
2020-02,Artemis Income Fund I Acc,498.95001220703125,453.4100036621094,511.6700134277344,453.4100036621094,2020-02-20 00:00:00+00:00,2020-02-28 00:00:00+00:00,-9.258112058452639
2020-03,Artemis Income Fund I Acc,446.55999755859375,381.9100036621094,468.55999755859375,323.80999755859375,2020-03-04 00:00:00+00:00,2020-03-23 00:00:00+00:00,-15.769391813702304
2020-04,Artemis Income Fund I Acc,369.7099914550781,406.07000732421875,406.07000732421875,362.69000244140625,2020-04-30 00:00:00+01:00,2020-04-03 00:00:00+01:00,6.326098669959079
2020-05,Artemis Income Fund I Acc,390.5899963378906,413.69000244140625,417.4700012207031,385.1000061035156,2020-05-28 00:00:00+01:00,2020-05-14 00:00:00+01:00,1.8765225157600707
2020-06,Artemis Income Fund I Acc,415.04998779296875,421.3399963378906,437.69000244140625,409.3900146484375,2020-06-08 00:00:00+01:00,2020-06-15 00:00:00+01:00,1.8492092753843892
2020-07,Artemis Income Fund I Acc,415.0899963378906,406.8500061035156,424.8399963378906,406.20001220703125,2020-07-06 00:00:00+01:00,2020-07-30 00:00:00+01:00,-3.4390255756196586
2020-08,Artemis Income Fund I Acc,404.6199951171875,419.6000061035156,429.3900146484375,404.6199951171875,2020-08-13 00:00:00+01:00,2020-08-03 00:00:00+01:00,3.1338330610116705
2020-09,Artemis Income Fund I Acc,414.32000732421875,415.3800048828125,427.45001220703125,406.1300048828125,2020-09-16 00:00:00+01:00,2020-09-25 00:00:00+01:00,-1.0057200093705587
2020-10,Artemis Income Fund I Acc,419.8599853515625,398.260009765625,430.2699890136719,398.260009765625,2020-10-12 00:00:00+01:00,2020-10-30 00:00:00+00:00,-4.121526052275293
2020-11,Artemis Income Fund I Acc,402.2900085449219,457.9599914550781,461.45001220703125,402.2900085449219,2020-11-24 00:00:00+00:00,2020-11-02 00:00:00+00:00,14.990202436992451
2020-12,Artemis Income Fund I Acc,459.5400085449219,474.8399963378906,484.8699951171875,459.5400085449219,2020-12-29 00:00:00+00:00,2020-12-01 00:00:00+00:00,3.6859125682965344
2021-01,Artemis Income Fund I Acc,483.9200134277344,468.17999267578125,495.32000732421875,468.17999267578125,2021-01-08 00:00:00+00:00,2021-01-29 00:00:00+00:00,-1.402578492433948
2021-02,Artemis Income Fund I Acc,472.45001220703125,485.260009765625,493.79998779296875,472.45001220703125,2021-02-25 00:00:00+00:00,2021-02-01 00:00:00+00:00,3.648173214798578
2021-03,Artemis Income Fund I Acc,488.1600036621094,507.6000061035156,507.6000061035156,488.1600036621094,2021-03-31 00:00:00+01:00,2021-03-01 00:00:00+00:00,4.603716747374387
