Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,MGTS AFH Tactical Core Fund Acc,147.0831756591797,148.89308166503906,149.25306701660156,147.0831756591797,2019-01-21 00:00:00+00:00,2019-01-02 00:00:00+00:00,
2019-02,MGTS AFH Tactical Core Fund Acc,149.2230682373047,150.10304260253906,151.6129608154297,149.2230682373047,2019-02-18 00:00:00+00:00,2019-02-01 00:00:00+00:00,0.8126374469312303
2019-03,MGTS AFH Tactical Core Fund Acc,150.7752685546875,151.64523315429688,152.13522338867188,150.20529174804688,2019-03-21 00:00:00+00:00,2019-03-08 00:00:00+00:00,1.0274212467773935
2019-04,MGTS AFH Tactical Core Fund Acc,152.26522827148438,155.3051300048828,155.88511657714844,152.26522827148438,2019-04-24 00:00:00+01:00,2019-04-01 00:00:00+01:00,2.4134598723997147
2019-05,MGTS AFH Tactical Core Fund Acc,155.0851287841797,151.75523376464844,155.0851287841797,151.75523376464844,2019-05-01 00:00:00+01:00,2019-05-31 00:00:00+01:00,-2.2857559438781982
2019-06,MGTS AFH Tactical Core Fund Acc,151.0752716064453,156.80508422851562,157.17506408691406,151.0752716064453,2019-06-20 00:00:00+01:00,2019-06-03 00:00:00+01:00,3.3276285361589553
2019-07,MGTS AFH Tactical Core Fund Acc,158.25503540039062,160.98495483398438,161.89491271972656,158.25503540039062,2019-07-30 00:00:00+01:00,2019-07-01 00:00:00+01:00,2.665647371087365
2019-08,MGTS AFH Tactical Core Fund Acc,160.61495971679688,157.35507202148438,160.61495971679688,153.7251739501953,2019-08-01 00:00:00+01:00,2019-08-15 00:00:00+01:00,-2.2547963045635666
2019-09,MGTS AFH Tactical Core Fund Acc,158.1300048828125,158.72999572753906,159.17999267578125,157.33999633789062,2019-09-27 00:00:00+01:00,2019-09-25 00:00:00+01:00,0.8737714573744171
2019-10,MGTS AFH Tactical Core Fund Acc,158.50999450683594,156.5800018310547,158.50999450683594,155.25,2019-10-01 00:00:00+01:00,2019-10-03 00:00:00+01:00,-1.3544975457410402
2019-11,MGTS AFH Tactical Core Fund Acc,156.66000366210938,159.27000427246094,159.27000427246094,156.66000366210938,2019-11-28 00:00:00+00:00,2019-11-01 00:00:00+00:00,1.717973183004995
2019-12,MGTS AFH Tactical Core Fund Acc,158.57000732421875,162.16000366210938,163.4499969482422,156.47999572753906,2019-12-27 00:00:00+00:00,2019-12-10 00:00:00+00:00,1.814528355700018
2020-01,MGTS AFH Tactical Core Fund Acc,162.83999633789062,160.52999877929688,164.47000122070312,160.52999877929688,2020-01-20 00:00:00+00:00,2020-01-31 00:00:00+00:00,-1.0051830574750897
