Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Fidelity Asia Fund W Acc,1226.7347412109375,1297.719482421875,1297.719482421875,1221.73583984375,2019-01-31 00:00:00+00:00,2019-01-03 00:00:00+00:00,
2019-02,Fidelity Asia Fund W Acc,1309.716796875,1313.7159423828125,1347.7086181640625,1309.716796875,2019-02-25 00:00:00+00:00,2019-02-01 00:00:00+00:00,1.232659305621575
2019-03,Fidelity Asia Fund W Acc,1329.8541259765625,1364.850341796875,1364.850341796875,1322.8548583984375,2019-03-29 00:00:00+00:00,2019-03-08 00:00:00+00:00,3.8923482439678025
2019-04,Fidelity Asia Fund W Acc,1380.8485107421875,1411.8450927734375,1427.8433837890625,1380.8485107421875,2019-04-17 00:00:00+01:00,2019-04-01 00:00:00+01:00,3.443216412628236
2019-05,Fidelity Asia Fund W Acc,1412.8450927734375,1341.852783203125,1422.843994140625,1328.854248046875,2019-05-03 00:00:00+01:00,2019-05-23 00:00:00+01:00,-4.9575063106122474
2019-06,Fidelity Asia Fund W Acc,1349.8519287109375,1428.84326171875,1428.84326171875,1337.853271484375,2019-06-28 00:00:00+01:00,2019-06-04 00:00:00+01:00,6.482863068478406
2019-07,Fidelity Asia Fund W Acc,1456.8402099609375,1483.8372802734375,1497.835693359375,1436.8424072265625,2019-07-30 00:00:00+01:00,2019-07-09 00:00:00+01:00,3.848848927525861
2019-08,Fidelity Asia Fund W Acc,1479.837646484375,1423.8438720703125,1479.837646484375,1386.847900390625,2019-08-01 00:00:00+01:00,2019-08-15 00:00:00+01:00,-4.043125819838522
2019-09,Fidelity Asia Fund W Acc,1432.8428955078125,1431.8428955078125,1454.8404541015625,1418.8443603515625,2019-09-12 00:00:00+01:00,2019-09-25 00:00:00+01:00,0.5617907689464019
2019-10,Fidelity Asia Fund W Acc,1434.8426513671875,1422.843994140625,1440.8419189453125,1392.84716796875,2019-10-08 00:00:00+01:00,2019-10-21 00:00:00+01:00,-0.6284838508065493
2019-11,Fidelity Asia Fund W Acc,1432.8428955078125,1435.842529296875,1482.83740234375,1427.8433837890625,2019-11-07 00:00:00+00:00,2019-11-21 00:00:00+00:00,0.913560109877043
2019-12,Fidelity Asia Fund W Acc,1434.8426513671875,1501.8353271484375,1521.8331298828125,1403.8460693359375,2019-12-27 00:00:00+00:00,2019-12-05 00:00:00+00:00,4.59610274142519
2020-01,Fidelity Asia Fund W Acc,1513.833984375,1437.84228515625,1581.8265380859375,1437.84228515625,2020-01-14 00:00:00+00:00,2020-01-31 00:00:00+00:00,-4.260989259967152
2020-02,Fidelity Asia Fund W Acc,1440.8419189453125,1425.8436279296875,1534.8316650390625,1425.8436279296875,2020-02-12 00:00:00+00:00,2020-02-28 00:00:00+00:00,-0.8344904966582356
2020-03,Fidelity Asia Fund W Acc,1437.0,1287.0,1470.0,1256.0,2020-03-04 00:00:00+00:00,2020-03-23 00:00:00+00:00,-9.737647608054134
2020-04,Fidelity Asia Fund W Acc,1271.0,1408.0,1408.0,1271.0,2020-04-30 00:00:00+01:00,2020-04-01 00:00:00+01:00,9.401709401709413
2020-05,Fidelity Asia Fund W Acc,1366.0,1391.0,1433.0,1348.0,2020-05-20 00:00:00+01:00,2020-05-05 00:00:00+01:00,-1.2073863636363646
2020-06,Fidelity Asia Fund W Acc,1427.0,1532.0,1532.0,1422.0,2020-06-30 00:00:00+01:00,2020-06-02 00:00:00+01:00,10.136592379583043
2020-07,Fidelity Asia Fund W Acc,1522.0,1581.0,1634.0,1522.0,2020-07-21 00:00:00+01:00,2020-07-01 00:00:00+01:00,3.198433420365543
2020-08,Fidelity Asia Fund W Acc,1582.0,1648.0,1661.0,1582.0,2020-08-27 00:00:00+01:00,2020-08-03 00:00:00+01:00,4.237824161922843
2020-09,Fidelity Asia Fund W Acc,1628.0,1663.0,1698.0,1625.0,2020-09-16 00:00:00+01:00,2020-09-04 00:00:00+01:00,0.9101941747572839
2020-10,Fidelity Asia Fund W Acc,1696.0,1710.0,1758.0,1666.0,2020-10-14 00:00:00+01:00,2020-10-02 00:00:00+01:00,2.8262176788935722
2020-11,Fidelity Asia Fund W Acc,1736.0,1776.0,1811.0,1730.0,2020-11-24 00:00:00+00:00,2020-11-04 00:00:00+00:00,3.8596491228070073
2020-12,Fidelity Asia Fund W Acc,1797.0,1866.0,1866.0,1797.0,2020-12-31 00:00:00+00:00,2020-12-01 00:00:00+00:00,5.067567567567566
2021-01,Fidelity Asia Fund W Acc,1886.0,1948.0,2076.0,1886.0,2021-01-25 00:00:00+00:00,2021-01-04 00:00:00+00:00,4.394426580921751
2021-02,Fidelity Asia Fund W Acc,1986.0,1960.0,2153.0,1960.0,2021-02-17 00:00:00+00:00,2021-02-26 00:00:00+00:00,0.6160164271047153
2021-03,Fidelity Asia Fund W Acc,1992.0,1917.0,2020.0,1903.0,2021-03-03 00:00:00+00:00,2021-03-09 00:00:00+00:00,-2.1938775510204067
2021-04,Fidelity Asia Fund W Acc,1949.0,1935.0,1967.0,1902.0,2021-04-29 00:00:00+01:00,2021-04-21 00:00:00+01:00,0.9389671361502261
2021-05,Fidelity Asia Fund W Acc,1927.0,1899.0,1927.0,1816.0,2021-05-04 00:00:00+01:00,2021-05-13 00:00:00+01:00,-1.8604651162790753
2021-06,Fidelity Asia Fund W Acc,1928.0,1948.0,1955.0,1888.0,2021-06-25 00:00:00+01:00,2021-06-09 00:00:00+01:00,2.5803054239073253
2021-07,Fidelity Asia Fund W Acc,1953.0,1766.0,1953.0,1754.0,2021-07-01 00:00:00+01:00,2021-07-28 00:00:00+01:00,-9.342915811088293
2021-08,Fidelity Asia Fund W Acc,1788.0,1802.0,1816.0,1731.0,2021-08-10 00:00:00+01:00,2021-08-20 00:00:00+01:00,2.0385050962627327
2021-09,Fidelity Asia Fund W Acc,1811.0,1776.0,1828.0,1738.0,2021-09-07 00:00:00+01:00,2021-09-20 00:00:00+01:00,-1.442841287458374
2021-10,Fidelity Asia Fund W Acc,1745.0,1758.0,1797.0,1711.0,2021-10-20 00:00:00+01:00,2021-10-06 00:00:00+01:00,-1.0135135135135087
2021-11,Fidelity Asia Fund W Acc,1764.0,1747.0,1848.0,1747.0,2021-11-16 00:00:00+00:00,2021-11-30 00:00:00+00:00,-0.6257110352673512
2021-12,Fidelity Asia Fund W Acc,1777.0,1750.0,1826.0,1727.0,2021-12-09 00:00:00+00:00,2021-12-20 00:00:00+00:00,0.17172295363481194
2022-01,Fidelity Asia Fund W Acc,1752.0,1704.0,1769.0,1684.0,2022-01-12 00:00:00+00:00,2022-01-28 00:00:00+00:00,-2.6285714285714246
