Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,CT MM Lifestyle 4 Fund B Acc,72.36553192138672,74.074951171875,74.074951171875,72.36553192138672,2019-01-22 00:00:00+00:00,2019-01-02 00:00:00+00:00,
2019-02,CT MM Lifestyle 4 Fund B Acc,74.42483520507812,75.03462982177734,75.58444213867188,74.42483520507812,2019-02-19 00:00:00+00:00,2019-02-01 00:00:00+00:00,1.2955508369834945
2019-03,CT MM Lifestyle 4 Fund B Acc,74.9246597290039,75.97431182861328,76.29419708251953,74.9246597290039,2019-03-22 00:00:00+00:00,2019-03-01 00:00:00+00:00,1.2523311024094763
2019-04,CT MM Lifestyle 4 Fund B Acc,76.13642883300781,77.07625579833984,77.24623107910156,76.13642883300781,2019-04-25 00:00:00+01:00,2019-04-01 00:00:00+01:00,1.450416520010589
2019-05,CT MM Lifestyle 4 Fund B Acc,77.0662612915039,76.35639190673828,77.0662612915039,75.94646453857422,2019-05-01 00:00:00+01:00,2019-05-14 00:00:00+01:00,-0.9339632343908777
2019-06,CT MM Lifestyle 4 Fund B Acc,76.27640533447266,77.83612060546875,77.98609924316406,76.19641876220703,2019-06-24 00:00:00+01:00,2019-06-04 00:00:00+01:00,1.937923809362041
2019-07,CT MM Lifestyle 4 Fund B Acc,78.03609466552734,79.61580657958984,79.61580657958984,78.03609466552734,2019-07-31 00:00:00+01:00,2019-07-01 00:00:00+01:00,2.286452562482988
2019-08,CT MM Lifestyle 4 Fund B Acc,79.36585235595703,78.99591827392578,79.36585235595703,78.23605346679688,2019-08-01 00:00:00+01:00,2019-08-16 00:00:00+01:00,-0.778599542346381
2019-09,CT MM Lifestyle 4 Fund B Acc,79.25586700439453,79.73578643798828,79.73578643798828,78.92593383789062,2019-09-30 00:00:00+01:00,2019-09-05 00:00:00+01:00,0.9365903710327528
2019-10,CT MM Lifestyle 4 Fund B Acc,79.5658187866211,78.76596069335938,79.5658187866211,78.39602661132812,2019-10-01 00:00:00+01:00,2019-10-22 00:00:00+01:00,-1.2162992151374286
2019-11,CT MM Lifestyle 4 Fund B Acc,78.79595184326172,79.685791015625,79.73578643798828,78.79595184326172,2019-11-28 00:00:00+00:00,2019-11-01 00:00:00+00:00,1.1678018196801698
2019-12,CT MM Lifestyle 4 Fund B Acc,79.65579986572266,80.86558532714844,81.17552947998047,78.94593048095703,2019-12-27 00:00:00+00:00,2019-12-06 00:00:00+00:00,1.4805579470148045
2020-01,CT MM Lifestyle 4 Fund B Acc,80.74560546875,81.11553955078125,82.0353775024414,80.74560546875,2020-01-20 00:00:00+00:00,2020-01-02 00:00:00+00:00,0.30909839163546504
2020-02,CT MM Lifestyle 4 Fund B Acc,80.83558654785156,79.04590606689453,82.07536315917969,79.04590606689453,2020-02-21 00:00:00+00:00,2020-02-28 00:00:00+00:00,-2.5514636225664966
