Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2018-01,Fidelity US Loan Fund Acc JPY (,10718.0,10790.0,10790.0,10718.0,2018-01-30 00:00:00+09:00,2018-01-02 00:00:00+09:00,
2018-02,Fidelity US Loan Fund Acc JPY (,10795.0,10782.0,10797.0,10765.0,2018-02-02 00:00:00+09:00,2018-02-15 00:00:00+09:00,-0.07414272474512984
2018-03,Fidelity US Loan Fund Acc JPY (,10781.0,10779.0,10790.0,10773.0,2018-03-20 00:00:00+09:00,2018-03-02 00:00:00+09:00,-0.027824151363387006
2018-04,Fidelity US Loan Fund Acc JPY (,10783.0,10811.0,10811.0,10776.0,2018-04-30 00:00:00+09:00,2018-04-04 00:00:00+09:00,0.2968735504221165
2018-05,Fidelity US Loan Fund Acc JPY (,10811.0,10792.0,10811.0,10792.0,2018-05-01 00:00:00+09:00,2018-05-30 00:00:00+09:00,-0.17574692442882123
2018-06,Fidelity US Loan Fund Acc JPY (,10795.0,10772.0,10813.0,10772.0,2018-06-13 00:00:00+09:00,2018-06-29 00:00:00+09:00,-0.18532246108228234
2018-07,Fidelity US Loan Fund Acc JPY (,10776.0,10823.0,10823.0,10776.0,2018-07-30 00:00:00+09:00,2018-07-02 00:00:00+09:00,0.47344968436686674
2018-08,Fidelity US Loan Fund Acc JPY (,10825.0,10834.0,10834.0,10794.0,2018-08-29 00:00:00+09:00,2018-08-22 00:00:00+09:00,0.1016354060796365
2018-09,Fidelity US Loan Fund Acc JPY (,10836.0,10877.0,10877.0,10836.0,2018-09-27 00:00:00+09:00,2018-09-03 00:00:00+09:00,0.3968986523906315
2018-10,Fidelity US Loan Fund Acc JPY (,10881.0,10855.0,10887.0,10855.0,2018-10-22 00:00:00+09:00,2018-10-31 00:00:00+09:00,-0.20226165302932309
2018-11,Fidelity US Loan Fund Acc JPY (,10853.0,10743.0,10853.0,10743.0,2018-11-01 00:00:00+09:00,2018-11-30 00:00:00+09:00,-1.031782588668817
2018-12,Fidelity US Loan Fund Acc JPY (,10751.0,10479.0,10752.0,10469.0,2018-12-04 00:00:00+09:00,2018-12-28 00:00:00+09:00,-2.4574141301312524
2019-01,Fidelity US Loan Fund Acc JPY (,10560.0,10714.0,10769.0,10560.0,2019-01-17 00:00:00+09:00,2019-01-04 00:00:00+09:00,2.2425803988930237
2019-02,Fidelity US Loan Fund Acc JPY (,10719.0,10838.0,10838.0,10719.0,2019-02-28 00:00:00+09:00,2019-02-01 00:00:00+09:00,1.1573641963785741
2019-03,Fidelity US Loan Fund Acc JPY (,10846.0,10795.0,10882.0,10789.0,2019-03-06 00:00:00+09:00,2019-03-28 00:00:00+09:00,-0.3967521682967323
2019-04,Fidelity US Loan Fund Acc JPY (,10812.0,10922.0,10922.0,10812.0,2019-04-26 00:00:00+09:00,2019-04-01 00:00:00+09:00,1.17647058823529
2019-05,Fidelity US Loan Fund Acc JPY (,10932.0,10905.0,10932.0,10883.0,2019-05-07 00:00:00+09:00,2019-05-30 00:00:00+09:00,-0.15564914850759726
2019-06,Fidelity US Loan Fund Acc JPY (,10891.0,10873.0,10891.0,10873.0,2019-06-03 00:00:00+09:00,2019-06-27 00:00:00+09:00,-0.29344337459881187
2019-07,Fidelity US Loan Fund Acc JPY (,10883.0,10936.0,10936.0,10883.0,2019-07-31 00:00:00+09:00,2019-07-01 00:00:00+09:00,0.5794169042582453
2019-08,Fidelity US Loan Fund Acc JPY (,10941.0,10906.0,10941.0,10886.0,2019-08-01 00:00:00+09:00,2019-08-16 00:00:00+09:00,-0.2743233357717645
2019-09,Fidelity US Loan Fund Acc JPY (,10906.0,10955.0,10964.0,10906.0,2019-09-17 00:00:00+09:00,2019-09-02 00:00:00+09:00,0.449293966623876
2019-10,Fidelity US Loan Fund Acc JPY (,10957.0,10893.7138671875,10957.0,10878.0,2019-10-01 00:00:00+09:00,2019-10-11 00:00:00+09:00,-0.5594352607256936
2019-11,Fidelity US Loan Fund Acc JPY (,10895.83203125,10968.0673828125,10968.0673828125,10895.83203125,2019-11-29 00:00:00+09:00,2019-11-01 00:00:00+09:00,0.682535970115361
2019-12,Fidelity US Loan Fund Acc JPY (,10935.0048828125,11050.7275390625,11052.8857421875,10931.8720703125,2019-12-26 00:00:00+09:00,2019-12-03 00:00:00+09:00,0.7536437675385921
2020-01,Fidelity US Loan Fund Acc JPY (,11064.7939453125,11061.3759765625,11109.765625,11061.3759765625,2020-01-21 00:00:00+09:00,2020-01-31 00:00:00+09:00,0.09635960584821746
2020-02,Fidelity US Loan Fund Acc JPY (,11057.2294921875,10910.51171875,11093.419921875,10910.51171875,2020-02-21 00:00:00+09:00,2020-02-28 00:00:00+09:00,-1.363883282985412
2020-03,Fidelity US Loan Fund Acc JPY (,10901.61328125,9782.556640625,10940.7470703125,9020.763671875,2020-03-03 00:00:00+09:00,2020-03-24 00:00:00+09:00,-10.33824175438609
2020-04,Fidelity US Loan Fund Acc JPY (,9836.4404296875,10182.0419921875,10282.107421875,9825.919921875,2020-04-17 00:00:00+09:00,2020-04-02 00:00:00+09:00,4.083649768032194
2020-05,Fidelity US Loan Fund Acc JPY (,10173.70703125,10503.8369140625,10503.8369140625,10173.70703125,2020-05-29 00:00:00+09:00,2020-05-01 00:00:00+09:00,3.1604163695446053
