Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Jupiter Income Trust U1 Accumul,720.7158813476562,753.4107666015625,757.2889404296875,720.7158813476562,2019-01-21 00:00:00+00:00,2019-01-02 00:00:00+00:00,
2019-02,Jupiter Income Trust U1 Accumul,746.9237060546875,751.9713745117188,766.9244995117188,746.9237060546875,2019-02-15 00:00:00+00:00,2019-02-01 00:00:00+00:00,-0.19105010887174867
2019-03,Jupiter Income Trust U1 Accumul,762.5164794921875,759.7577514648438,775.340576171875,749.7623901367188,2019-03-19 00:00:00+00:00,2019-03-08 00:00:00+00:00,1.0354618828650075
2019-04,Jupiter Income Trust U1 Accumul,765.0753173828125,792.3826904296875,796.3208618164062,765.0753173828125,2019-04-17 00:00:00+01:00,2019-04-01 00:00:00+01:00,4.2941238706602824
2019-05,Jupiter Income Trust U1 Accumul,790.8033447265625,747.043701171875,790.8033447265625,747.043701171875,2019-05-01 00:00:00+01:00,2019-05-31 00:00:00+01:00,-5.721855084091554
2019-06,Jupiter Income Trust U1 Accumul,742.0560302734375,770.6727905273438,770.9625854492188,742.0560302734375,2019-06-21 00:00:00+01:00,2019-06-03 00:00:00+01:00,3.163012996214576
2019-07,Jupiter Income Trust U1 Accumul,780.4186401367188,792.9258422851562,799.574462890625,776.7794799804688,2019-07-30 00:00:00+01:00,2019-07-19 00:00:00+01:00,2.8874837714960133
2019-08,Jupiter Income Trust U1 Accumul,792.6859130859375,759.4032592773438,792.6859130859375,739.36767578125,2019-08-01 00:00:00+01:00,2019-08-15 00:00:00+01:00,-4.227707210450193
2019-09,Jupiter Income Trust U1 Accumul,764.3121337890625,782.2382202148438,792.81591796875,761.2628173828125,2019-09-13 00:00:00+01:00,2019-09-03 00:00:00+01:00,3.0069611446269073
2019-10,Jupiter Income Trust U1 Accumul,782.9580688476562,788.1769409179688,796.8550415039062,753.7344970703125,2019-10-24 00:00:00+01:00,2019-10-04 00:00:00+01:00,0.759195926465206
2019-11,Jupiter Income Trust U1 Accumul,787.9869384765625,802.2438354492188,808.6324462890625,782.5681762695312,2019-11-07 00:00:00+00:00,2019-11-21 00:00:00+00:00,1.7847381471052248
2019-12,Jupiter Income Trust U1 Accumul,796.0051879882812,816.060791015625,828.1681518554688,777.6492309570312,2019-12-27 00:00:00+00:00,2019-12-04 00:00:00+00:00,1.7222887800277586
2020-01,Jupiter Income Trust U1 Accumul,825.2100219726562,780.77001953125,825.2100219726562,780.77001953125,2020-01-02 00:00:00+00:00,2020-01-31 00:00:00+00:00,-4.324527274549483
2020-02,Jupiter Income Trust U1 Accumul,777.9299926757812,697.0800170898438,793.5,697.0800170898438,2020-02-06 00:00:00+00:00,2020-02-28 00:00:00+00:00,-10.718905740214147
2020-03,Jupiter Income Trust U1 Accumul,686.77001953125,568.0900268554688,711.0599975585938,511.2099914550781,2020-03-04 00:00:00+00:00,2020-03-23 00:00:00+00:00,-18.50433050324408
2020-04,Jupiter Income Trust U1 Accumul,546.239990234375,597.4299926757812,597.4299926757812,534.9500122070312,2020-04-30 00:00:00+01:00,2020-04-03 00:00:00+01:00,5.164668350669199
2020-05,Jupiter Income Trust U1 Accumul,572.52001953125,598.3400268554688,608.5999755859375,559.3900146484375,2020-05-27 00:00:00+01:00,2020-05-14 00:00:00+01:00,0.1523248231330987
2020-06,Jupiter Income Trust U1 Accumul,600.3300170898438,612.3400268554688,646.4500122070312,597.1300048828125,2020-06-08 00:00:00+01:00,2020-06-15 00:00:00+01:00,2.3398066937918127
2020-07,Jupiter Income Trust U1 Accumul,604.739990234375,585.5599975585938,619.1099853515625,585.5599975585938,2020-07-23 00:00:00+01:00,2020-07-31 00:00:00+01:00,-4.373391926442838
2020-08,Jupiter Income Trust U1 Accumul,579.75,593.1500244140625,620.030029296875,579.75,2020-08-12 00:00:00+01:00,2020-08-03 00:00:00+01:00,1.2961996869858439
2020-09,Jupiter Income Trust U1 Accumul,582.02001953125,574.1400146484375,601.3699951171875,565.6300048828125,2020-09-15 00:00:00+01:00,2020-09-25 00:00:00+01:00,-3.204924383911789
2020-10,Jupiter Income Trust U1 Accumul,577.3900146484375,555.0599975585938,599.6400146484375,552.22998046875,2020-10-12 00:00:00+01:00,2020-10-29 00:00:00+00:00,-3.3232341594457537
2020-11,Jupiter Income Trust U1 Accumul,559.1799926757812,656.4099731445312,666.5700073242188,559.1799926757812,2020-11-25 00:00:00+00:00,2020-11-02 00:00:00+00:00,18.25928296611552
2020-12,Jupiter Income Trust U1 Accumul,659.1799926757812,670.2000122070312,686.030029296875,658.52001953125,2020-12-29 00:00:00+00:00,2020-12-21 00:00:00+00:00,2.1008271700137193
2021-01,Jupiter Income Trust U1 Accumul,678.1900024414062,669.1900024414062,702.72998046875,669.1900024414062,2021-01-08 00:00:00+00:00,2021-01-29 00:00:00+00:00,-0.15070273757514796
2021-02,Jupiter Income Trust U1 Accumul,671.5700073242188,695.8099975585938,709.8099975585938,671.5700073242188,2021-02-25 00:00:00+00:00,2021-02-01 00:00:00+00:00,3.9779427397405476
2021-03,Jupiter Income Trust U1 Accumul,700.0700073242188,757.25,757.25,700.0700073242188,2021-03-31 00:00:00+01:00,2021-03-01 00:00:00+00:00,8.829997076354523
2021-04,Jupiter Income Trust U1 Accumul,756.3099975585938,781.3200073242188,784.9099731445312,756.3099975585938,2021-04-29 00:00:00+01:00,2021-04-01 00:00:00+01:00,3.178607768137165
2021-05,Jupiter Income Trust U1 Accumul,787.5900268554688,797.5499877929688,799.5800170898438,769.7899780273438,2021-05-10 00:00:00+01:00,2021-05-13 00:00:00+01:00,2.077251358804011
2021-06,Jupiter Income Trust U1 Accumul,800.6599731445312,788.4000244140625,811.2899780273438,788.4000244140625,2021-06-14 00:00:00+01:00,2021-06-30 00:00:00+01:00,-1.1472589203125216
2021-07,Jupiter Income Trust U1 Accumul,793.7100219726562,780.6599731445312,800.530029296875,759.4500122070312,2021-07-02 00:00:00+01:00,2021-07-20 00:00:00+01:00,-0.9817416324008454
2021-08,Jupiter Income Trust U1 Accumul,785.4099731445312,792.1400146484375,807.1500244140625,782.8699951171875,2021-08-13 00:00:00+01:00,2021-08-19 00:00:00+01:00,1.470555926886341
2021-09,Jupiter Income Trust U1 Accumul,798.9099731445312,781.5599975585938,798.9099731445312,757.02001953125,2021-09-01 00:00:00+01:00,2021-09-20 00:00:00+01:00,-1.335624623702325
2021-10,Jupiter Income Trust U1 Accumul,768.5599975585938,777.5399780273438,788.3300170898438,764.9199829101562,2021-10-26 00:00:00+01:00,2021-10-06 00:00:00+01:00,-0.514358404192583
2021-11,Jupiter Income Trust U1 Accumul,782.6099853515625,761.6699829101562,801.0900268554688,761.6699829101562,2021-11-16 00:00:00+00:00,2021-11-30 00:00:00+00:00,-2.041051980047437
2021-12,Jupiter Income Trust U1 Accumul,775.6300048828125,801.239990234375,805.6699829101562,768.3800048828125,2021-12-29 00:00:00+00:00,2021-12-02 00:00:00+00:00,5.195164337845037
2022-01,Jupiter Income Trust U1 Accumul,816.760009765625,829.6400146484375,846.489990234375,815.3300170898438,2022-01-18 00:00:00+00:00,2022-01-25 00:00:00+00:00,3.544509105911575
2022-02,Jupiter Income Trust U1 Accumul,835.1599731445312,819.3200073242188,858.6799926757812,816.1500244140625,2022-02-10 00:00:00+00:00,2022-02-24 00:00:00+00:00,-1.2439138833716834
2022-03,Jupiter Income Trust U1 Accumul,814.2999877929688,831.7100219726562,839.5999755859375,757.6199951171875,2022-03-28 00:00:00+01:00,2022-03-07 00:00:00+00:00,1.5122314282183247
2022-04,Jupiter Income Trust U1 Accumul,827.1500244140625,829.9600219726562,851.3800048828125,822.7100219726562,2022-04-21 00:00:00+01:00,2022-04-27 00:00:00+01:00,-0.210409872884465
2022-05,Jupiter Income Trust U1 Accumul,833.219970703125,872.0399780273438,872.0399780273438,811.6900024414062,2022-05-31 00:00:00+01:00,2022-05-10 00:00:00+01:00,5.070118432291659
2022-06,Jupiter Income Trust U1 Accumul,873.2000122070312,828.0800170898438,877.1599731445312,817.6900024414062,2022-06-06 00:00:00+01:00,2022-06-24 00:00:00+01:00,-5.04104881027847
2022-07,Jupiter Income Trust U1 Accumul,824.260009765625,838.7899780273438,841.4600219726562,809.5900268554688,2022-07-26 00:00:00+01:00,2022-07-14 00:00:00+01:00,1.2933485552686586
2022-08,Jupiter Income Trust U1 Accumul,846.5900268554688,828.5599975585938,862.5599975585938,828.5599975585938,2022-08-16 00:00:00+01:00,2022-08-31 00:00:00+01:00,-1.219611671184806
2022-09,Jupiter Income Trust U1 Accumul,820.0999755859375,781.6500244140625,863.030029296875,781.6500244140625,2022-09-13 00:00:00+01:00,2022-09-30 00:00:00+01:00,-5.661626591044044
2022-10,Jupiter Income Trust U1 Accumul,779.3800048828125,814.780029296875,814.780029296875,779.3800048828125,2022-10-31 00:00:00+00:00,2022-10-03 00:00:00+01:00,4.238470395705196
2022-11,Jupiter Income Trust U1 Accumul,824.5700073242188,869.25,869.25,814.4000244140625,2022-11-30 00:00:00+00:00,2022-11-03 00:00:00+00:00,6.68523635147642
2022-12,Jupiter Income Trust U1 Accumul,869.010009765625,852.4500122070312,869.010009765625,837.0,2022-12-01 00:00:00+00:00,2022-12-20 00:00:00+00:00,-1.9326991996512777
2023-01,Jupiter Income Trust U1 Accumul,862.4500122070312,908.030029296875,916.2100219726562,862.4500122070312,2023-01-27 00:00:00+00:00,2023-01-03 00:00:00+00:00,6.520032411747478
2023-02,Jupiter Income Trust U1 Accumul,914.5499877929688,942.1400146484375,948.5700073242188,914.5499877929688,2023-02-16 00:00:00+00:00,2023-02-01 00:00:00+00:00,3.756482082203294
2023-03,Jupiter Income Trust U1 Accumul,946.719970703125,899.260009765625,954.260009765625,862.5999755859375,2023-03-07 00:00:00+00:00,2023-03-24 00:00:00+00:00,-4.551341012600263
2023-04,Jupiter Income Trust U1 Accumul,907.1699829101562,911.280029296875,927.4600219726562,898.1900024414062,2023-04-18 00:00:00+01:00,2023-04-05 00:00:00+01:00,1.3366567400659557
2023-05,Jupiter Income Trust U1 Accumul,916.760009765625,866.030029296875,916.760009765625,866.030029296875,2023-05-02 00:00:00+01:00,2023-05-31 00:00:00+01:00,-4.965542812884194
