Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Insight Liquid ABS Fund S Sterl,105.48999786376953,105.62000274658203,105.62000274658203,105.44999694824219,2019-01-31 00:00:00+00:00,2019-01-08 00:00:00+00:00,
2019-02,Insight Liquid ABS Fund S Sterl,105.62000274658203,105.9000015258789,105.9000015258789,105.62000274658203,2019-02-28 00:00:00+00:00,2019-02-01 00:00:00+00:00,0.26510014392697734
2019-03,Insight Liquid ABS Fund S Sterl,105.91000366210938,106.16999816894531,106.16999816894531,105.91000366210938,2019-03-28 00:00:00+00:00,2019-03-01 00:00:00+00:00,0.25495433349962404
2019-04,Insight Liquid ABS Fund S Sterl,106.19999694824219,106.4000015258789,106.4000015258789,106.19999694824219,2019-04-30 00:00:00+01:00,2019-04-01 00:00:00+01:00,0.21663686625255085
2019-05,Insight Liquid ABS Fund S Sterl,106.41000366210938,106.62000274658203,106.62000274658203,106.41000366210938,2019-05-31 00:00:00+01:00,2019-05-01 00:00:00+01:00,0.20676806160535577
2019-06,Insight Liquid ABS Fund S Sterl,106.62000274658203,106.73999786376953,106.73999786376953,106.62000274658203,2019-06-28 00:00:00+01:00,2019-06-03 00:00:00+01:00,0.11254465775312195
2019-07,Insight Liquid ABS Fund S Sterl,106.75,106.91999816894531,106.91999816894531,106.75,2019-07-30 00:00:00+01:00,2019-07-01 00:00:00+01:00,0.16863435336162969
2019-08,Insight Liquid ABS Fund S Sterl,106.93000030517578,107.05999755859375,107.05999755859375,106.93000030517578,2019-08-29 00:00:00+01:00,2019-08-01 00:00:00+01:00,0.13093845122147396
2019-09,Insight Liquid ABS Fund S Sterl,107.08000183105469,107.20999908447266,107.20999908447266,107.08000183105469,2019-09-30 00:00:00+01:00,2019-09-02 00:00:00+01:00,0.14010977890861476
2019-10,Insight Liquid ABS Fund S Sterl,107.19999694824219,107.36000061035156,107.36000061035156,107.19999694824219,2019-10-30 00:00:00+00:00,2019-10-01 00:00:00+01:00,0.13991374606832085
2019-11,Insight Liquid ABS Fund S Sterl,107.37000274658203,107.5199966430664,107.5199966430664,107.37000274658203,2019-11-29 00:00:00+00:00,2019-11-01 00:00:00+00:00,0.14902760041473062
2019-12,Insight Liquid ABS Fund S Sterl,107.54000091552734,107.69999694824219,107.69999694824219,107.54000091552734,2019-12-31 00:00:00+00:00,2019-12-02 00:00:00+00:00,0.16741100334416448
2020-01,Insight Liquid ABS Fund S Sterl,107.69999694824219,107.93000030517578,107.93000030517578,107.69999694824219,2020-01-31 00:00:00+00:00,2020-01-02 00:00:00+00:00,0.2135592975403
2020-02,Insight Liquid ABS Fund S Sterl,107.94999694824219,108.0999984741211,108.0999984741211,107.94999694824219,2020-02-28 00:00:00+00:00,2020-02-03 00:00:00+00:00,0.15750779993017883
2020-03,Insight Liquid ABS Fund S Sterl,108.11000061035156,105.87999725341797,108.11000061035156,103.94000244140625,2020-03-02 00:00:00+00:00,2020-03-23 00:00:00+00:00,-2.053655182275127
2020-04,Insight Liquid ABS Fund S Sterl,105.87999725341797,106.66999816894531,106.66999816894531,105.80000305175781,2020-04-30 00:00:00+01:00,2020-04-03 00:00:00+01:00,0.7461285757653702
2020-05,Insight Liquid ABS Fund S Sterl,106.62999725341797,107.23999786376953,107.23999786376953,106.62999725341797,2020-05-28 00:00:00+01:00,2020-05-01 00:00:00+01:00,0.5343580243823087
2020-06,Insight Liquid ABS Fund S Sterl,107.2699966430664,107.79000091552734,107.79000091552734,107.2699966430664,2020-06-29 00:00:00+01:00,2020-06-01 00:00:00+01:00,0.5128711886552839
2020-07,Insight Liquid ABS Fund S Sterl,107.81999969482422,107.98999786376953,107.98999786376953,107.81999969482422,2020-07-31 00:00:00+01:00,2020-07-01 00:00:00+01:00,0.1855431362310922
2020-08,Insight Liquid ABS Fund S Sterl,108.01000213623047,108.20999908447266,108.20999908447266,108.01000213623047,2020-08-28 00:00:00+01:00,2020-08-04 00:00:00+01:00,0.2037237013196913
2020-09,Insight Liquid ABS Fund S Sterl,108.25,108.51000213623047,108.51000213623047,108.25,2020-09-29 00:00:00+01:00,2020-09-01 00:00:00+01:00,0.27724152508643574
2020-10,Insight Liquid ABS Fund S Sterl,108.51000213623047,108.62000274658203,108.62000274658203,108.5,2020-10-30 00:00:00+00:00,2020-10-02 00:00:00+01:00,0.10137370582063987
2020-11,Insight Liquid ABS Fund S Sterl,108.62999725341797,108.76000213623047,108.76000213623047,108.62000274658203,2020-11-30 00:00:00+00:00,2020-11-04 00:00:00+00:00,0.12888914206259372
2020-12,Insight Liquid ABS Fund S Sterl,108.76000213623047,108.9000015258789,108.9000015258789,108.76000213623047,2020-12-30 00:00:00+00:00,2020-12-01 00:00:00+00:00,0.12872323179349277
2021-01,Insight Liquid ABS Fund S Sterl,108.91999816894531,109.16999816894531,109.16999816894531,108.91999816894531,2021-01-29 00:00:00+00:00,2021-01-04 00:00:00+00:00,0.24793079823992592
2021-02,Insight Liquid ABS Fund S Sterl,109.19000244140625,109.33999633789062,109.33999633789062,109.19000244140625,2021-02-26 00:00:00+00:00,2021-02-01 00:00:00+00:00,0.15571876137823182
2021-03,Insight Liquid ABS Fund S Sterl,109.3499984741211,109.47000122070312,109.47000122070312,109.3499984741211,2021-03-29 00:00:00+01:00,2021-03-01 00:00:00+00:00,0.11889965901474842
2021-04,Insight Liquid ABS Fund S Sterl,109.47000122070312,109.58999633789062,109.58999633789062,109.47000122070312,2021-04-29 00:00:00+01:00,2021-04-01 00:00:00+01:00,0.10961461208498502
2021-05,Insight Liquid ABS Fund S Sterl,109.61000061035156,109.70999908447266,109.70999908447266,109.61000061035156,2021-05-28 00:00:00+01:00,2021-05-04 00:00:00+01:00,0.10950155177671395
2021-06,Insight Liquid ABS Fund S Sterl,109.72000122070312,109.80999755859375,109.80999755859375,109.72000122070312,2021-06-30 00:00:00+01:00,2021-06-01 00:00:00+01:00,0.09114800378777765
2021-07,Insight Liquid ABS Fund S Sterl,109.81999969482422,109.91999816894531,109.91999816894531,109.81999969482422,2021-07-30 00:00:00+01:00,2021-07-01 00:00:00+01:00,0.10017358418832334
2021-08,Insight Liquid ABS Fund S Sterl,109.91999816894531,109.98999786376953,109.98999786376953,109.91999816894531,2021-08-23 00:00:00+01:00,2021-08-02 00:00:00+01:00,0.06368240173788564
2021-09,Insight Liquid ABS Fund S Sterl,110.0,110.06999969482422,110.06999969482422,110.0,2021-09-28 00:00:00+01:00,2021-09-01 00:00:00+01:00,0.07273555105780094
2021-10,Insight Liquid ABS Fund S Sterl,110.02999877929688,110.0999984741211,110.11000061035156,109.9800033569336,2021-10-25 00:00:00+01:00,2021-10-05 00:00:00+01:00,0.027254273989330002
2021-11,Insight Liquid ABS Fund S Sterl,110.11000061035156,110.12999725341797,110.13999938964844,110.11000061035156,2021-11-08 00:00:00+00:00,2021-11-01 00:00:00+00:00,0.027246848058704032
2021-12,Insight Liquid ABS Fund S Sterl,110.12000274658203,110.08000183105469,110.12999725341797,110.05999755859375,2021-12-06 00:00:00+00:00,2021-12-24 00:00:00+00:00,-0.045396734414004936
2022-01,Insight Liquid ABS Fund S Sterl,110.08999633789062,110.22000122070312,110.22000122070312,110.08999633789062,2022-01-31 00:00:00+00:00,2022-01-04 00:00:00+00:00,0.12717967598083746
2022-02,Insight Liquid ABS Fund S Sterl,110.22000122070312,110.16000366210938,110.22000122070312,110.16000366210938,2022-02-01 00:00:00+00:00,2022-02-22 00:00:00+00:00,-0.05443436574965599
2022-03,Insight Liquid ABS Fund S Sterl,110.1500015258789,110.05000305175781,110.1500015258789,109.91000366210938,2022-03-01 00:00:00+00:00,2022-03-30 00:00:00+01:00,-0.09985530745710847
2022-04,Insight Liquid ABS Fund S Sterl,110.06999969482422,110.1500015258789,110.19000244140625,110.05999755859375,2022-04-04 00:00:00+01:00,2022-04-05 00:00:00+01:00,0.0908663983171909
2022-05,Insight Liquid ABS Fund S Sterl,110.16000366210938,109.80999755859375,110.16000366210938,109.80999755859375,2022-05-03 00:00:00+01:00,2022-05-27 00:00:00+01:00,-0.30867359289620255
2022-06,Insight Liquid ABS Fund S Sterl,109.80000305175781,109.76000213623047,109.88999938964844,109.76000213623047,2022-06-20 00:00:00+01:00,2022-06-30 00:00:00+01:00,-0.04552902602206199
2022-07,Insight Liquid ABS Fund S Sterl,109.7699966430664,109.69999694824219,109.80999755859375,109.68000030517578,2022-07-25 00:00:00+01:00,2022-07-27 00:00:00+01:00,-0.054669448633759554
2022-08,Insight Liquid ABS Fund S Sterl,109.70999908447266,110.08000183105469,110.08000183105469,109.70999908447266,2022-08-31 00:00:00+01:00,2022-08-01 00:00:00+01:00,0.34640373143473013
2022-09,Insight Liquid ABS Fund S Sterl,110.0999984741211,109.9800033569336,110.33000183105469,109.9800033569336,2022-09-23 00:00:00+01:00,2022-09-30 00:00:00+01:00,-0.09084163559023306
2022-10,Insight Liquid ABS Fund S Sterl,109.95999908447266,109.62999725341797,109.95999908447266,109.33000183105469,2022-10-03 00:00:00+01:00,2022-10-07 00:00:00+01:00,-0.3182452198875696
2022-11,Insight Liquid ABS Fund S Sterl,109.6500015258789,110.11000061035156,110.11000061035156,109.6500015258789,2022-11-30 00:00:00+00:00,2022-11-01 00:00:00+00:00,0.4378394316876921
2022-12,Insight Liquid ABS Fund S Sterl,110.0999984741211,110.52999877929688,110.52999877929688,110.0999984741211,2022-12-30 00:00:00+00:00,2022-12-01 00:00:00+00:00,0.3814350800265265
