Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,abrdn Sterling Bond Fund L Acc,98.46250915527344,99.16238403320312,99.16238403320312,97.70265197753906,2019-01-31 00:00:00+00:00,2019-01-18 00:00:00+00:00,
2019-02,abrdn Sterling Bond Fund L Acc,99.228515625,98.77857208251953,99.7884521484375,98.77857208251953,2019-02-22 00:00:00+00:00,2019-02-28 00:00:00+00:00,-0.38705397659164475
2019-03,abrdn Sterling Bond Fund L Acc,98.72856903076172,101.60824584960938,101.93819427490234,98.72856903076172,2019-03-28 00:00:00+00:00,2019-03-01 00:00:00+00:00,2.8646635676469856
2019-04,abrdn Sterling Bond Fund L Acc,101.58824157714844,100.47836303710938,101.6582260131836,99.8684310913086,2019-04-02 00:00:00+01:00,2019-04-17 00:00:00+01:00,-1.1119991326022372
2019-05,abrdn Sterling Bond Fund L Acc,100.7683334350586,103.07806396484375,103.07806396484375,100.38838195800781,2019-05-31 00:00:00+01:00,2019-05-03 00:00:00+01:00,2.587324125467916
2019-06,abrdn Sterling Bond Fund L Acc,103.1580581665039,103.73799133300781,104.1579360961914,103.14806365966797,2019-06-24 00:00:00+01:00,2019-06-05 00:00:00+01:00,0.6402209575736117
2019-07,abrdn Sterling Bond Fund L Acc,103.86797332763672,105.21781921386719,105.58777618408203,103.86797332763672,2019-07-25 00:00:00+01:00,2019-07-01 00:00:00+01:00,1.4265052386728705
2019-08,abrdn Sterling Bond Fund L Acc,105.88453674316406,109.44435119628906,109.44435119628906,105.88453674316406,2019-08-30 00:00:00+01:00,2019-08-01 00:00:00+01:00,4.016935547610023
2019-09,abrdn Sterling Bond Fund L Acc,109.47434997558594,108.92437744140625,110.28430938720703,106.55449676513672,2019-09-03 00:00:00+01:00,2019-09-13 00:00:00+01:00,-0.47510332803767374
2019-10,abrdn Sterling Bond Fund L Acc,108.28440856933594,107.24446105957031,109.70433807373047,105.78453826904297,2019-10-08 00:00:00+01:00,2019-10-21 00:00:00+01:00,-1.542277698800354
