Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2018-01,Multiadvisor G. Acapital Flexib,9.7091703414917,9.6173095703125,9.7091703414917,9.6173095703125,2018-01-02 00:00:00+01:00,2018-01-31 00:00:00+01:00,
2018-02,Multiadvisor G. Acapital Flexib,9.617819786071777,9.604610443115234,9.634519577026367,9.448639869689941,2018-02-26 00:00:00+01:00,2018-02-09 00:00:00+01:00,-0.13204448816399594
2018-03,Multiadvisor G. Acapital Flexib,9.570110321044922,9.515870094299316,9.599519729614258,9.477009773254395,2018-03-12 00:00:00+01:00,2018-03-26 00:00:00+02:00,-0.9239349096092586
2018-04,Multiadvisor G. Acapital Flexib,9.510899543762207,9.644209861755371,9.646759986877441,9.486319541931152,2018-04-19 00:00:00+02:00,2018-04-04 00:00:00+02:00,1.3486918819219706
2018-05,Multiadvisor G. Acapital Flexib,9.677390098571777,9.657580375671387,9.806400299072266,9.657580375671387,2018-05-22 00:00:00+02:00,2018-05-31 00:00:00+02:00,0.1386377329783972
2018-06,Multiadvisor G. Acapital Flexib,9.71094036102295,9.563969612121582,9.751469612121582,9.53555965423584,2018-06-06 00:00:00+02:00,2018-06-28 00:00:00+02:00,-0.9692983118796628
2018-07,Multiadvisor G. Acapital Flexib,9.522459983825684,9.640810012817383,9.649490356445312,9.522459983825684,2018-07-09 00:00:00+02:00,2018-07-02 00:00:00+02:00,0.8034362697933561
2018-08,Multiadvisor G. Acapital Flexib,9.620849609375,9.33607006072998,9.620849609375,9.305970191955566,2018-08-01 00:00:00+02:00,2018-08-16 00:00:00+02:00,-3.1609372208585507
2018-09,Multiadvisor G. Acapital Flexib,9.321399688720703,9.22245979309082,9.321399688720703,9.182160377502441,2018-09-03 00:00:00+02:00,2018-09-11 00:00:00+02:00,-1.2168960483387448
2018-10,Multiadvisor G. Acapital Flexib,9.241379737854004,9.126110076904297,9.453530311584473,9.045209884643555,2018-10-10 00:00:00+02:00,2018-10-23 00:00:00+02:00,-1.044729045701076
2018-11,Multiadvisor G. Acapital Flexib,9.126049995422363,9.284049987792969,9.305279731750488,9.120409965515137,2018-11-29 00:00:00+01:00,2018-11-07 00:00:00+01:00,1.7306378025000457
2018-12,Multiadvisor G. Acapital Flexib,9.36769962310791,8.935770034790039,9.36769962310791,8.867859840393066,2018-12-03 00:00:00+01:00,2018-12-27 00:00:00+01:00,-3.7513795537600703
2019-01,Multiadvisor G. Acapital Flexib,8.993470191955566,9.411160469055176,9.411160469055176,8.963669776916504,2019-01-31 00:00:00+01:00,2019-01-03 00:00:00+01:00,5.320083578855295
2019-02,Multiadvisor G. Acapital Flexib,9.3925199508667,9.564809799194336,9.6116304397583,9.3925199508667,2019-02-20 00:00:00+01:00,2019-02-01 00:00:00+01:00,1.6326289477729627
2019-03,Multiadvisor G. Acapital Flexib,9.607370376586914,9.517589569091797,9.636280059814453,9.426859855651855,2019-03-19 00:00:00+01:00,2019-03-08 00:00:00+01:00,-0.4936870789267189
2019-04,Multiadvisor G. Acapital Flexib,9.580769538879395,9.638790130615234,9.694270133972168,9.580769538879395,2019-04-05 00:00:00+02:00,2019-04-01 00:00:00+02:00,1.2734375720196534
2019-05,Multiadvisor G. Acapital Flexib,9.587039947509766,9.163599967956543,9.587860107421875,9.154560089111328,2019-05-03 00:00:00+02:00,2019-05-29 00:00:00+02:00,-4.929977271207175
2019-06,Multiadvisor G. Acapital Flexib,9.163049697875977,9.388440132141113,9.388440132141113,9.15919017791748,2019-06-28 00:00:00+02:00,2019-06-06 00:00:00+02:00,2.453622647985454
2019-07,Multiadvisor G. Acapital Flexib,9.403840065002441,9.492890357971191,9.631360054016113,9.403840065002441,2019-07-24 00:00:00+02:00,2019-07-01 00:00:00+02:00,1.1125407880324456
2019-08,Multiadvisor G. Acapital Flexib,9.508709907531738,9.304030418395996,9.508709907531738,9.088640213012695,2019-08-01 00:00:00+02:00,2019-08-15 00:00:00+02:00,-1.9894882638838207
2019-09,Multiadvisor G. Acapital Flexib,9.313179969787598,9.237000465393066,9.408539772033691,9.237000465393066,2019-09-20 00:00:00+02:00,2019-09-30 00:00:00+02:00,-0.7204399597662281
2019-10,Multiadvisor G. Acapital Flexib,9.22793960571289,9.371879577636719,9.380860328674316,9.171409606933594,2019-10-29 00:00:00+01:00,2019-10-02 00:00:00+02:00,1.4602046708667382
2019-11,Multiadvisor G. Acapital Flexib,9.427189826965332,9.479109764099121,9.513110160827637,9.3825101852417,2019-11-07 00:00:00+01:00,2019-11-21 00:00:00+01:00,1.1441694867513785
2019-12,Multiadvisor G. Acapital Flexib,9.451680183410645,9.750809669494629,9.750809669494629,9.448349952697754,2019-12-30 00:00:00+01:00,2019-12-10 00:00:00+01:00,2.866301922407688
2020-01,Multiadvisor G. Acapital Flexib,9.886560440063477,9.510640144348145,9.886560440063477,9.510640144348145,2020-01-02 00:00:00+01:00,2020-01-31 00:00:00+01:00,-2.463072639986541
2020-02,Multiadvisor G. Acapital Flexib,9.478870391845703,9.026350021362305,9.940759658813477,9.026350021362305,2020-02-20 00:00:00+01:00,2020-02-28 00:00:00+01:00,-5.092087552840885
2020-03,Multiadvisor G. Acapital Flexib,9.052559852600098,7.810389995574951,9.120650291442871,7.278500080108643,2020-03-04 00:00:00+01:00,2020-03-18 00:00:00+01:00,-13.471226164613482
2020-04,Multiadvisor G. Acapital Flexib,7.726510047912598,8.6383695602417,8.73803997039795,7.726510047912598,2020-04-29 00:00:00+02:00,2020-04-01 00:00:00+02:00,10.601001552238088
2020-05,Multiadvisor G. Acapital Flexib,8.529760360717773,8.800970077514648,8.847299575805664,8.529760360717773,2020-05-20 00:00:00+02:00,2020-05-04 00:00:00+02:00,1.882305638107007
2020-06,Multiadvisor G. Acapital Flexib,8.940279960632324,9.00706958770752,9.027310371398926,8.803850173950195,2020-06-08 00:00:00+02:00,2020-06-15 00:00:00+02:00,2.341781739713311
2020-07,Multiadvisor G. Acapital Flexib,9.02593994140625,9.267219543457031,9.383179664611816,9.025480270385742,2020-07-21 00:00:00+02:00,2020-07-02 00:00:00+02:00,2.8882862868579773
2020-08,Multiadvisor G. Acapital Flexib,9.304220199584961,9.437150001525879,9.522899627685547,9.201820373535156,2020-08-05 00:00:00+02:00,2020-08-11 00:00:00+02:00,1.8336725192706238
2020-09,Multiadvisor G. Acapital Flexib,9.452269554138184,9.144269943237305,9.529680252075195,9.021769523620605,2020-09-16 00:00:00+02:00,2020-09-25 00:00:00+02:00,-3.103479951481314
