Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Volare Growth Fund Z GBP Acc,93.9891586303711,96.3788833618164,97.2287826538086,93.9891586303711,2019-01-22 00:00:00+00:00,2019-01-02 00:00:00+00:00,
2019-02,Volare Growth Fund Z GBP Acc,97.09880065917969,98.75860595703125,99.9084701538086,97.09880065917969,2019-02-26 00:00:00+00:00,2019-02-01 00:00:00+00:00,2.4691327728721513
2019-03,Volare Growth Fund Z GBP Acc,98.68861389160156,100.74838256835938,101.2783203125,98.68861389160156,2019-03-25 00:00:00+00:00,2019-03-01 00:00:00+00:00,2.0147880704126653
2019-04,Volare Growth Fund Z GBP Acc,101.22832489013672,104.23797607421875,104.23797607421875,101.22832489013672,2019-04-30 00:00:00+01:00,2019-04-01 00:00:00+01:00,3.4636719884725053
2019-05,Volare Growth Fund Z GBP Acc,104.11798858642578,102.99812316894531,104.11798858642578,101.86824798583984,2019-05-01 00:00:00+01:00,2019-05-15 00:00:00+01:00,-1.1894445306484536
2019-06,Volare Growth Fund Z GBP Acc,103.08000183105469,105.37999725341797,106.16999816894531,102.55999755859375,2019-06-24 00:00:00+01:00,2019-06-05 00:00:00+01:00,2.312541249480571
2019-07,Volare Growth Fund Z GBP Acc,105.80999755859375,109.58000183105469,109.58000183105469,105.80999755859375,2019-07-31 00:00:00+01:00,2019-07-01 00:00:00+01:00,3.9855804584398857
2019-08,Volare Growth Fund Z GBP Acc,109.0199966430664,106.68000030517578,109.0199966430664,105.38999938964844,2019-08-01 00:00:00+01:00,2019-08-07 00:00:00+01:00,-2.6464696818950584
2019-09,Volare Growth Fund Z GBP Acc,107.30000305175781,107.80000305175781,107.80000305175781,106.69000244140625,2019-09-30 00:00:00+01:00,2019-09-26 00:00:00+01:00,1.0498713379996971
2019-10,Volare Growth Fund Z GBP Acc,107.54000091552734,105.95999908447266,107.54000091552734,104.68000030517578,2019-10-01 00:00:00+01:00,2019-10-22 00:00:00+01:00,-1.7068681959143572
2019-11,Volare Growth Fund Z GBP Acc,105.91000366210938,107.77999877929688,107.87000274658203,105.91000366210938,2019-11-28 00:00:00+00:00,2019-11-01 00:00:00+00:00,1.7176290209037104
2019-12,Volare Growth Fund Z GBP Acc,107.69999694824219,109.61000061035156,110.0,105.86000061035156,2019-12-30 00:00:00+00:00,2019-12-06 00:00:00+00:00,1.6979048541297725
2020-01,Volare Growth Fund Z GBP Acc,108.97000122070312,109.45999908447266,111.47000122070312,108.97000122070312,2020-01-21 00:00:00+00:00,2020-01-02 00:00:00+00:00,-0.13685021899794148
2020-02,Volare Growth Fund Z GBP Acc,109.0,105.55000305175781,111.79000091552734,105.55000305175781,2020-02-21 00:00:00+00:00,2020-02-28 00:00:00+00:00,-3.572077530986839
2020-03,Volare Growth Fund Z GBP Acc,102.4000015258789,91.23999786376953,105.20999908447266,86.30999755859375,2020-03-05 00:00:00+00:00,2020-03-24 00:00:00+00:00,-13.557560184030681
2020-04,Volare Growth Fund Z GBP Acc,92.94999694824219,98.62000274658203,98.62000274658203,90.41000366210938,2020-04-30 00:00:00+01:00,2020-04-06 00:00:00+01:00,8.088563191147369
2020-05,Volare Growth Fund Z GBP Acc,99.08999633789062,103.05000305175781,103.05000305175781,96.75,2020-05-29 00:00:00+01:00,2020-05-05 00:00:00+01:00,4.4919896388152525
2020-06,Volare Growth Fund Z GBP Acc,102.75,104.4800033569336,105.87999725341797,102.01000213623047,2020-06-24 00:00:00+01:00,2020-06-16 00:00:00+01:00,1.3876761405407834
2020-07,Volare Growth Fund Z GBP Acc,104.8499984741211,105.54000091552734,107.54000091552734,104.6500015258789,2020-07-22 00:00:00+01:00,2020-07-02 00:00:00+01:00,1.0145458695789866
2020-08,Volare Growth Fund Z GBP Acc,105.16999816894531,108.44000244140625,108.44000244140625,105.16999816894531,2020-08-28 00:00:00+01:00,2020-08-03 00:00:00+01:00,2.7477747780199735
