Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-06,TM Equity Exposure B Accumulati,99999.9609375,101809.9609375,102374.9609375,99999.9609375,2019-06-21 00:00:00+01:00,2019-06-14 00:00:00+01:00,
2019-07,TM Equity Exposure B Accumulati,103223.953125,104350.953125,104362.953125,102907.9609375,2019-07-29 00:00:00+01:00,2019-07-02 00:00:00+01:00,2.4958188413998883
2019-08,TM Equity Exposure B Accumulati,103668.953125,101106.9609375,103668.953125,98066.9609375,2019-08-01 00:00:00+01:00,2019-08-15 00:00:00+01:00,-3.1087326855693265
2019-09,TM Equity Exposure B Accumulati,100870.9609375,102892.9609375,104297.953125,100504.9609375,2019-09-13 00:00:00+01:00,2019-09-03 00:00:00+01:00,1.766446131344046
2019-10,TM Equity Exposure B Accumulati,103274.953125,104429.953125,104547.953125,100583.9609375,2019-10-30 00:00:00+00:00,2019-10-04 00:00:00+01:00,1.4937777798362806
2019-11,TM Equity Exposure B Accumulati,104519.953125,107528.953125,107671.953125,104519.953125,2019-11-28 00:00:00+00:00,2019-11-01 00:00:00+00:00,2.967539395800145
2019-12,TM Equity Exposure B Accumulati,107438.0,109813.0,110736.0,106182.0,2019-12-27 00:00:00+00:00,2019-12-04 00:00:00+00:00,2.1241226745180475
2020-01,TM Equity Exposure B Accumulati,110411.0,109776.0,112953.0,109776.0,2020-01-20 00:00:00+00:00,2020-01-31 00:00:00+00:00,-0.03369364282916898
2020-02,TM Equity Exposure B Accumulati,109299.0,101898.0,113536.0,101898.0,2020-02-17 00:00:00+00:00,2020-02-28 00:00:00+00:00,-7.17643200699607
2020-03,TM Equity Exposure B Accumulati,99982.0,85647.0,102610.0,76345.0,2020-03-04 00:00:00+00:00,2020-03-23 00:00:00+00:00,-15.948301242418895
2020-04,TM Equity Exposure B Accumulati,84716.0,96298.0,96298.0,82966.0,2020-04-30 00:00:00+01:00,2020-04-03 00:00:00+01:00,12.43592887083027
2020-05,TM Equity Exposure B Accumulati,95041.0,100341.0,100393.0,93759.0,2020-05-28 00:00:00+01:00,2020-05-15 00:00:00+01:00,4.198425720160337
2020-06,TM Equity Exposure B Accumulati,101062.0,102300.0,106344.0,100118.0,2020-06-09 00:00:00+01:00,2020-06-15 00:00:00+01:00,1.9523425120339555
2020-07,TM Equity Exposure B Accumulati,102616.0,106866.0,108289.0,102616.0,2020-07-23 00:00:00+01:00,2020-07-01 00:00:00+01:00,4.463343108504403
2020-08,TM Equity Exposure B Accumulati,107083.0,112365.0,112365.0,107015.0,2020-08-28 00:00:00+01:00,2020-08-04 00:00:00+01:00,5.145696479703554
2020-09,TM Equity Exposure B Accumulati,112277.0,109029.0,113153.0,106458.0,2020-09-03 00:00:00+01:00,2020-09-25 00:00:00+01:00,-2.9688960085435867
2020-10,TM Equity Exposure B Accumulati,110055.0,107447.0,113920.0,107447.0,2020-10-14 00:00:00+01:00,2020-10-30 00:00:00+00:00,-1.4509901035504313
2020-11,TM Equity Exposure B Accumulati,108168.0,119370.0,119563.0,108168.0,2020-11-27 00:00:00+00:00,2020-11-02 00:00:00+00:00,11.096633689167689
2020-12,TM Equity Exposure B Accumulati,120008.0,122962.0,122962.0,119542.0,2020-12-31 00:00:00+00:00,2020-12-02 00:00:00+00:00,3.009131272514032
