Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-04,Aberdeen UK Property Feeder Uni,99.97126007080078,99.68133544921875,100.11121368408203,99.68133544921875,2019-04-29 00:00:00+01:00,2019-04-30 00:00:00+01:00,
2019-05,Aberdeen UK Property Feeder Uni,99.69133758544922,98.87156677246094,100.0412368774414,98.87156677246094,2019-05-30 00:00:00+01:00,2019-05-31 00:00:00+01:00,-0.8123573717271682
2019-06,Aberdeen UK Property Feeder Uni,98.89156341552734,98.62164306640625,99.1714859008789,98.62164306640625,2019-06-27 00:00:00+01:00,2019-06-28 00:00:00+01:00,-0.25277611573593095
2019-07,Aberdeen UK Property Feeder Uni,97.89185333251953,97.41199493408203,98.40170288085938,97.41199493408203,2019-07-30 00:00:00+01:00,2019-07-31 00:00:00+01:00,-1.2265544303593834
2019-08,Aberdeen UK Property Feeder Uni,97.42198181152344,96.83216094970703,97.62193298339844,96.83216094970703,2019-08-29 00:00:00+01:00,2019-08-30 00:00:00+01:00,-0.5952387945317938
2019-09,Aberdeen UK Property Feeder Uni,96.86215209960938,96.31230163574219,97.08208465576172,96.31230163574219,2019-09-23 00:00:00+01:00,2019-09-30 00:00:00+01:00,-0.5368663766936344
2019-10,Aberdeen UK Property Feeder Uni,95.50078582763672,94.77093505859375,95.53079223632812,94.77093505859375,2019-10-07 00:00:00+01:00,2019-10-31 00:00:00+00:00,-1.6003839083588267
2019-11,Aberdeen UK Property Feeder Uni,94.78093719482422,93.4612045288086,94.94090270996094,93.4612045288086,2019-11-20 00:00:00+00:00,2019-11-29 00:00:00+00:00,-1.3819959980086671
2019-12,Aberdeen UK Property Feeder Uni,93.49120330810547,92.06148529052734,93.73114776611328,92.06148529052734,2019-12-19 00:00:00+00:00,2019-12-31 00:00:00+00:00,-1.497647334354435
2020-01,Aberdeen UK Property Feeder Uni,91.3394546508789,90.8595199584961,91.64942932128906,90.8595199584961,2020-01-22 00:00:00+00:00,2020-01-31 00:00:00+00:00,-1.305611492404335
2020-02,Aberdeen UK Property Feeder Uni,90.88951110839844,90.40956115722656,91.02949523925781,90.40956115722656,2020-02-26 00:00:00+00:00,2020-02-28 00:00:00+00:00,-0.49522471775667043
2020-03,Aberdeen UK Property Feeder Uni,90.43955993652344,88.71976470947266,90.61953735351562,88.71976470947266,2020-03-30 00:00:00+01:00,2020-03-31 00:00:00+01:00,-1.8690461784404255
2020-04,Aberdeen UK Property Feeder Uni,87.70999908447266,86.87999725341797,87.70999908447266,86.87999725341797,2020-04-01 00:00:00+01:00,2020-04-30 00:00:00+01:00,-2.073683876506327
2020-05,Aberdeen UK Property Feeder Uni,86.88999938964844,86.1500015258789,86.9000015258789,86.1500015258789,2020-05-04 00:00:00+01:00,2020-05-29 00:00:00+01:00,-0.8402345195865468
2020-06,Aberdeen UK Property Feeder Uni,86.16000366210938,85.45999908447266,86.16000366210938,85.45999908447266,2020-06-01 00:00:00+01:00,2020-06-30 00:00:00+01:00,-0.8009314326001271
2020-07,Aberdeen UK Property Feeder Uni,84.9000015258789,84.6500015258789,84.91000366210938,84.6500015258789,2020-07-07 00:00:00+01:00,2020-07-31 00:00:00+01:00,-0.9478089951687307
2020-08,Aberdeen UK Property Feeder Uni,84.68000030517578,84.44000244140625,84.73999786376953,84.44000244140625,2020-08-13 00:00:00+01:00,2020-08-28 00:00:00+01:00,-0.2480792447575486
2020-09,Aberdeen UK Property Feeder Uni,84.47000122070312,83.88999938964844,84.56999969482422,83.88999938964844,2020-09-22 00:00:00+01:00,2020-09-30 00:00:00+01:00,-0.6513536663377839
2020-10,Aberdeen UK Property Feeder Uni,83.38999938964844,82.55000305175781,83.5,82.55000305175781,2020-10-28 00:00:00+00:00,2020-10-30 00:00:00+00:00,-1.5973254829418582
2020-11,Aberdeen UK Property Feeder Uni,82.56999969482422,82.05000305175781,82.68000030517578,81.79000091552734,2020-11-09 00:00:00+00:00,2020-11-13 00:00:00+00:00,-0.6056934966877092
2020-12,Aberdeen UK Property Feeder Uni,82.05999755859375,81.45999908447266,82.18000030517578,81.45999908447266,2020-12-18 00:00:00+00:00,2020-12-31 00:00:00+00:00,-0.7190785439861291
2021-01,Aberdeen UK Property Feeder Uni,81.02999877929688,79.18000030517578,81.18000030517578,79.18000030517578,2021-01-28 00:00:00+00:00,2021-01-29 00:00:00+00:00,-2.798918248123905
2021-02,Aberdeen UK Property Feeder Uni,79.19999694824219,79.43000030517578,79.55999755859375,79.19999694824219,2021-02-25 00:00:00+00:00,2021-02-01 00:00:00+00:00,0.3157362958277954
2021-03,Aberdeen UK Property Feeder Uni,79.45999908447266,78.72000122070312,79.56999969482422,78.72000122070312,2021-03-25 00:00:00+00:00,2021-03-31 00:00:00+01:00,-0.8938676592531669
2021-04,Aberdeen UK Property Feeder Uni,78.08000183105469,78.33999633789062,78.33999633789062,77.98999786376953,2021-04-30 00:00:00+01:00,2021-04-06 00:00:00+01:00,-0.48272977250991556
2021-05,Aberdeen UK Property Feeder Uni,78.69000244140625,78.66999816894531,78.69999694824219,78.6500015258789,2021-05-24 00:00:00+01:00,2021-05-11 00:00:00+01:00,0.421243102477753
2021-06,Aberdeen UK Property Feeder Uni,0.7907999753952026,0.7910000085830688,0.7910000085830688,0.7907999753952026,2021-06-03 00:00:00+01:00,2021-06-01 00:00:00+01:00,-98.99453409559717
