Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2018-05,PGIM Wadhwani Keynes Systematic,8652.080078125,8703.669921875,8736.1396484375,8640.3896484375,2018-05-29 00:00:00+09:00,2018-05-22 00:00:00+09:00,
2018-06,PGIM Wadhwani Keynes Systematic,8729.4296875,8595.6201171875,8774.099609375,8569.2099609375,2018-06-14 00:00:00+09:00,2018-06-25 00:00:00+09:00,-1.2414281062743115
2018-07,PGIM Wadhwani Keynes Systematic,8582.7900390625,8628.98046875,8764.580078125,8563.66015625,2018-07-18 00:00:00+09:00,2018-07-04 00:00:00+09:00,0.38810872406742636
2018-08,PGIM Wadhwani Keynes Systematic,8617.6396484375,8625.9296875,8659.5,8540.23046875,2018-08-09 00:00:00+09:00,2018-08-15 00:00:00+09:00,-0.03535506032316116
2018-09,PGIM Wadhwani Keynes Systematic,8614.3896484375,8560.4599609375,8614.3896484375,8444.5400390625,2018-09-03 00:00:00+09:00,2018-09-07 00:00:00+09:00,-0.7589874823275444
2018-10,PGIM Wadhwani Keynes Systematic,8584.669921875,8368.9404296875,8605.0400390625,8349.3603515625,2018-10-03 00:00:00+09:00,2018-10-30 00:00:00+09:00,-2.237257485274491
2018-11,PGIM Wadhwani Keynes Systematic,8353.080078125,8345.08984375,8386.6201171875,8219.490234375,2018-11-08 00:00:00+09:00,2018-11-21 00:00:00+09:00,-0.2849893142134685
2018-12,PGIM Wadhwani Keynes Systematic,8353.009765625,8358.01953125,8396.650390625,8292.8095703125,2018-12-06 00:00:00+09:00,2018-12-24 00:00:00+09:00,0.15493766684469001
2019-01,PGIM Wadhwani Keynes Systematic,8416.6337890625,8629.787109375,8629.787109375,8416.6337890625,2019-01-31 00:00:00+09:00,2019-01-04 00:00:00+09:00,3.2515786438268357
2019-02,PGIM Wadhwani Keynes Systematic,8578.28125,8636.6826171875,8763.0458984375,8578.28125,2019-02-22 00:00:00+09:00,2019-02-01 00:00:00+09:00,0.07990356801512721
2019-03,PGIM Wadhwani Keynes Systematic,8637.58203125,8994.0654296875,9005.8759765625,8637.58203125,2019-03-28 00:00:00+09:00,2019-03-01 00:00:00+09:00,4.137963942182932
2019-04,PGIM Wadhwani Keynes Systematic,9000.2001953125,9227.109375,9227.109375,8993.7626953125,2019-04-26 00:00:00+09:00,2019-04-03 00:00:00+09:00,2.591085723517983
2019-05,PGIM Wadhwani Keynes Systematic,9063.79296875,9144.490234375,9144.490234375,8961.404296875,2019-05-31 00:00:00+09:00,2019-05-13 00:00:00+09:00,-0.8953957005088609
2019-06,PGIM Wadhwani Keynes Systematic,9175.0322265625,9539.267578125,9618.7802734375,9175.0322265625,2019-06-20 00:00:00+09:00,2019-06-04 00:00:00+09:00,4.317106078433919
2019-07,PGIM Wadhwani Keynes Systematic,9569.8095703125,9630.1923828125,9704.7392578125,9553.85546875,2019-07-04 00:00:00+09:00,2019-07-19 00:00:00+09:00,0.9531633738422807
2019-08,PGIM Wadhwani Keynes Systematic,9661.4267578125,9910.1044921875,9910.1044921875,9661.4267578125,2019-08-30 00:00:00+09:00,2019-08-01 00:00:00+09:00,2.9066097357989706
2019-09,PGIM Wadhwani Keynes Systematic,9917.1298828125,10001.9140625,10017.451171875,9905.1474609375,2019-09-24 00:00:00+09:00,2019-09-10 00:00:00+09:00,0.9264238372549638
2019-10,PGIM Wadhwani Keynes Systematic,9949.982421875,9908.1865234375,9949.982421875,9816.6923828125,2019-10-01 00:00:00+09:00,2019-10-10 00:00:00+09:00,-0.9370960245890458
2019-11,PGIM Wadhwani Keynes Systematic,9910.712890625,10016.0615234375,10059.00390625,9863.712890625,2019-11-27 00:00:00+09:00,2019-11-07 00:00:00+09:00,1.0887461569766055
2019-12,PGIM Wadhwani Keynes Systematic,9815.287109375,9854.6865234375,9920.4658203125,9809.1240234375,2019-12-16 00:00:00+09:00,2019-12-05 00:00:00+09:00,-1.6111622280113203
2020-01,PGIM Wadhwani Keynes Systematic,9883.8291015625,9979.05078125,10098.9033203125,9883.8291015625,2020-01-23 00:00:00+09:00,2020-01-06 00:00:00+09:00,1.2619808607480687
2020-02,PGIM Wadhwani Keynes Systematic,9996.951171875,9836.01953125,10277.482421875,9836.01953125,2020-02-20 00:00:00+09:00,2020-02-28 00:00:00+09:00,-1.4333151833313296
2020-03,PGIM Wadhwani Keynes Systematic,9902.7109375,9368.5390625,9959.6025390625,9368.5390625,2020-03-04 00:00:00+09:00,2020-03-31 00:00:00+09:00,-4.752740346486384
2020-04,PGIM Wadhwani Keynes Systematic,9375.005859375,9339.6806640625,9375.771484375,9302.8642578125,2020-04-28 00:00:00+09:00,2020-04-07 00:00:00+09:00,-0.308035204261603
2020-05,PGIM Wadhwani Keynes Systematic,9354.8359375,9490.33203125,9494.8916015625,9330.8681640625,2020-05-28 00:00:00+09:00,2020-05-11 00:00:00+09:00,1.6130248196512875
2020-06,PGIM Wadhwani Keynes Systematic,9492.5703125,9444.5546875,9554.984375,9377.044921875,2020-06-10 00:00:00+09:00,2020-06-15 00:00:00+09:00,-0.48235766250604994
2020-07,PGIM Wadhwani Keynes Systematic,9413.7080078125,9608.9931640625,9647.470703125,9413.7080078125,2020-07-30 00:00:00+09:00,2020-07-01 00:00:00+09:00,1.7410929578303591
2020-08,PGIM Wadhwani Keynes Systematic,9703.7177734375,9799.6513671875,9799.6513671875,9680.087890625,2020-08-28 00:00:00+09:00,2020-08-21 00:00:00+09:00,1.9841642081509514
2020-09,PGIM Wadhwani Keynes Systematic,9800.4345703125,9571.6865234375,9800.4345703125,9509.751953125,2020-09-01 00:00:00+09:00,2020-09-24 00:00:00+09:00,-2.326254630989244
2020-10,PGIM Wadhwani Keynes Systematic,9564.794921875,9460.9423828125,9725.10546875,9460.9423828125,2020-10-13 00:00:00+09:00,2020-10-30 00:00:00+09:00,-1.156997153571926
2020-11,PGIM Wadhwani Keynes Systematic,9477.4013671875,9710.814453125,9756.0927734375,9477.4013671875,2020-11-27 00:00:00+09:00,2020-11-02 00:00:00+09:00,2.641090709593974
2020-12,PGIM Wadhwani Keynes Systematic,9804.8779296875,9891.58984375,9891.58984375,9776.6689453125,2020-12-30 00:00:00+09:00,2020-12-14 00:00:00+09:00,1.8615883507775655
2021-01,PGIM Wadhwani Keynes Systematic,9859.5,9883.3115234375,10104.4658203125,9859.5,2021-01-21 00:00:00+09:00,2021-01-04 00:00:00+09:00,-0.08369049306801157
2021-02,PGIM Wadhwani Keynes Systematic,9931.951171875,10215.8583984375,10352.5654296875,9931.951171875,2021-02-24 00:00:00+09:00,2021-02-01 00:00:00+09:00,3.364731286789757
2021-03,PGIM Wadhwani Keynes Systematic,10267.349609375,10330.9365234375,10356.400390625,10239.830078125,2021-03-18 00:00:00+09:00,2021-03-05 00:00:00+09:00,1.1264655451528327
2021-04,PGIM Wadhwani Keynes Systematic,10328.447265625,10451.5126953125,10503.966796875,10328.447265625,2021-04-16 00:00:00+09:00,2021-04-01 00:00:00+09:00,1.1671368960737727
2021-05,PGIM Wadhwani Keynes Systematic,10424.0556640625,10469.3779296875,10500.482421875,10400.42578125,2021-05-18 00:00:00+09:00,2021-05-26 00:00:00+09:00,0.17093443691660326
2021-06,PGIM Wadhwani Keynes Systematic,10471.9306640625,10354.6298828125,10483.884765625,10277.486328125,2021-06-02 00:00:00+09:00,2021-06-18 00:00:00+09:00,-1.096035004616791
2021-07,PGIM Wadhwani Keynes Systematic,10359.5703125,10613.9609375,10662.3203125,10359.5703125,2021-07-29 00:00:00+09:00,2021-07-01 00:00:00+09:00,2.504493715588607
2021-08,PGIM Wadhwani Keynes Systematic,10715.115234375,10667.0029296875,10754.93359375,10597.9658203125,2021-08-05 00:00:00+09:00,2021-08-19 00:00:00+09:00,0.4997379630454324
2021-09,PGIM Wadhwani Keynes Systematic,10685.8271484375,10378.984375,10727.33203125,10376.9521484375,2021-09-03 00:00:00+09:00,2021-09-29 00:00:00+09:00,-2.700088830817804
2021-10,PGIM Wadhwani Keynes Systematic,10351.8974609375,10652.572265625,10664.1064453125,10323.734375,2021-10-26 00:00:00+09:00,2021-10-04 00:00:00+09:00,2.6359794054994
2021-11,PGIM Wadhwani Keynes Systematic,10738.7080078125,10460.791015625,10854.4130859375,10460.791015625,2021-11-05 00:00:00+09:00,2021-11-30 00:00:00+09:00,-1.8003280824375412
2021-12,PGIM Wadhwani Keynes Systematic,10456.4326171875,10568.0078125,10607.8291015625,10418.2548828125,2021-12-07 00:00:00+09:00,2021-12-20 00:00:00+09:00,1.02493966961823
2022-01,PGIM Wadhwani Keynes Systematic,10580.70703125,10374.1337890625,10580.70703125,10289.7392578125,2022-01-04 00:00:00+09:00,2022-01-25 00:00:00+09:00,-1.8345370941927452
2022-02,PGIM Wadhwani Keynes Systematic,10378.8759765625,10404.1279296875,10442.861328125,10308.6689453125,2022-02-24 00:00:00+09:00,2022-02-09 00:00:00+09:00,0.289124289650311
2022-03,PGIM Wadhwani Keynes Systematic,10363.90625,10641.6494140625,10703.7802734375,10324.8349609375,2022-03-28 00:00:00+09:00,2022-03-04 00:00:00+09:00,2.2829542848781026
2022-04,PGIM Wadhwani Keynes Systematic,10674.9873046875,10979.849609375,10979.849609375,10674.9873046875,2022-04-28 00:00:00+09:00,2022-04-01 00:00:00+09:00,3.178080597783861
2022-05,PGIM Wadhwani Keynes Systematic,11091.826171875,10972.1181640625,11143.4990234375,10966.787109375,2022-05-09 00:00:00+09:00,2022-05-27 00:00:00+09:00,-0.07041485619164733
2022-06,PGIM Wadhwani Keynes Systematic,11019.9736328125,11426.6962890625,11426.6962890625,10992.60546875,2022-06-30 00:00:00+09:00,2022-06-08 00:00:00+09:00,4.143029797919073
2022-07,PGIM Wadhwani Keynes Systematic,11450.978515625,11373.576171875,11509.2646484375,11363.8193359375,2022-07-14 00:00:00+09:00,2022-07-21 00:00:00+09:00,-0.4648772999974238
2022-08,PGIM Wadhwani Keynes Systematic,11375.7490234375,11463.2978515625,11463.2978515625,11281.2353515625,2022-08-31 00:00:00+09:00,2022-08-17 00:00:00+09:00,0.7888607622760446
2022-09,PGIM Wadhwani Keynes Systematic,11515.7080078125,11724.8369140625,11752.259765625,11391.716796875,2022-09-28 00:00:00+09:00,2022-09-12 00:00:00+09:00,2.281534213684866
2022-10,PGIM Wadhwani Keynes Systematic,11714.005859375,11608.576171875,11776.8984375,11601.390625,2022-10-12 00:00:00+09:00,2022-10-04 00:00:00+09:00,-0.9915766252412417
2022-11,PGIM Wadhwani Keynes Systematic,11650.79296875,11521.3193359375,11749.38671875,11521.3193359375,2022-11-02 00:00:00+09:00,2022-11-30 00:00:00+09:00,-0.7516583829540124
2022-12,PGIM Wadhwani Keynes Systematic,11544.595703125,11549.75390625,11616.1484375,11503.833984375,2022-12-07 00:00:00+09:00,2022-12-13 00:00:00+09:00,0.2467996024014818
2023-01,PGIM Wadhwani Keynes Systematic,11562.3017578125,11302.3095703125,11615.8681640625,11291.078125,2023-01-05 00:00:00+09:00,2023-01-30 00:00:00+09:00,-2.1424208510936182
2023-02,PGIM Wadhwani Keynes Systematic,11323.1005859375,11238.814453125,11415.3466796875,11192.0029296875,2023-02-02 00:00:00+09:00,2023-02-16 00:00:00+09:00,-0.5617888697216467
2023-03,PGIM Wadhwani Keynes Systematic,11297.4130859375,11057.671875,11357.5341796875,11039.02734375,2023-03-09 00:00:00+09:00,2023-03-30 00:00:00+09:00,-1.6117587747400908
2023-04,PGIM Wadhwani Keynes Systematic,11060.3251953125,10961.6142578125,11100.673828125,10934.912109375,2023-04-06 00:00:00+09:00,2023-04-27 00:00:00+09:00,-0.8686965780262845
2023-05,PGIM Wadhwani Keynes Systematic,10953.0966796875,10908.759765625,10953.0966796875,10892.4072265625,2023-05-02 00:00:00+09:00,2023-05-09 00:00:00+09:00,-0.4821779980975882
2023-06,PGIM Wadhwani Keynes Systematic,10908.26171875,10994.4189453125,10994.4189453125,10863.533203125,2023-06-30 00:00:00+09:00,2023-06-08 00:00:00+09:00,0.78523298273947
2023-07,PGIM Wadhwani Keynes Systematic,11035.2197265625,10831.2841796875,11035.2197265625,10689.158203125,2023-07-03 00:00:00+09:00,2023-07-20 00:00:00+09:00,-1.4837961554535206
2023-08,PGIM Wadhwani Keynes Systematic,10831.8935546875,10554.908203125,10831.8935546875,10517.216796875,2023-08-01 00:00:00+09:00,2023-08-24 00:00:00+09:00,-2.5516455110724867
2023-09,PGIM Wadhwani Keynes Systematic,10586.02734375,10570.2412109375,10646.7587890625,10507.5029296875,2023-09-28 00:00:00+09:00,2023-09-22 00:00:00+09:00,0.1452689830875098
2023-10,PGIM Wadhwani Keynes Systematic,10651.1494140625,10619.4267578125,10686.9130859375,10494.39453125,2023-10-03 00:00:00+09:00,2023-10-11 00:00:00+09:00,0.46532095052007616
2023-11,PGIM Wadhwani Keynes Systematic,10596.2138671875,10395.615234375,10596.2138671875,10381.6201171875,2023-11-01 00:00:00+09:00,2023-11-24 00:00:00+09:00,-2.107566901130953
2023-12,PGIM Wadhwani Keynes Systematic,10453.0654296875,10607.3935546875,10642.4716796875,10396.630859375,2023-12-28 00:00:00+09:00,2023-12-08 00:00:00+09:00,2.0371889064556337
2024-01,PGIM Wadhwani Keynes Systematic,10464.6552734375,10598.24609375,10629.4677734375,10464.6552734375,2024-01-12 00:00:00+09:00,2024-01-04 00:00:00+09:00,-0.08623665078832943
2024-02,PGIM Wadhwani Keynes Systematic,10602.646484375,10716.916015625,10716.916015625,10595.431640625,2024-02-29 00:00:00+09:00,2024-02-06 00:00:00+09:00,1.1197128357397057
2024-03,PGIM Wadhwani Keynes Systematic,10776.6494140625,10898.39453125,10898.39453125,10616.03515625,2024-03-28 00:00:00+09:00,2024-03-15 00:00:00+09:00,1.6933837622727266
