Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Prevaal Convertibles Europe AA,1000.0,1000.739990234375,1001.5599975585938,997.5700073242188,2019-01-30 00:00:00+01:00,2019-01-28 00:00:00+01:00,
2019-02,Prevaal Convertibles Europe AA,1001.5999755859375,1023.1699829101562,1023.4199829101562,1001.5999755859375,2019-02-26 00:00:00+01:00,2019-02-01 00:00:00+01:00,2.2413406973501804
2019-03,Prevaal Convertibles Europe AA,1025.9300537109375,1043.510009765625,1043.510009765625,1025.9300537109375,2019-03-29 00:00:00+01:00,2019-03-01 00:00:00+01:00,1.9879421010394083
2019-04,Prevaal Convertibles Europe AA,1049.02001953125,1066.4000244140625,1066.4000244140625,1049.02001953125,2019-04-30 00:00:00+02:00,2019-04-01 00:00:00+02:00,2.1935596625066056
2019-05,Prevaal Convertibles Europe AA,1065.6400146484375,1039.0799560546875,1067.2099609375,1037.5999755859375,2019-05-03 00:00:00+02:00,2019-05-29 00:00:00+02:00,-2.5618968242603013
2019-06,Prevaal Convertibles Europe AA,1038.56005859375,1055.56005859375,1055.9300537109375,1038.56005859375,2019-06-20 00:00:00+02:00,2019-06-03 00:00:00+02:00,1.586028336225076
2019-07,Prevaal Convertibles Europe AA,1059.5699462890625,1068.93994140625,1075.1600341796875,1059.5699462890625,2019-07-24 00:00:00+02:00,2019-07-01 00:00:00+02:00,1.2675624379275163
2019-08,Prevaal Convertibles Europe AA,1073.0899658203125,1072.300048828125,1073.0899658203125,1053.3800048828125,2019-08-01 00:00:00+02:00,2019-08-05 00:00:00+02:00,0.3143401506219945
2019-09,Prevaal Convertibles Europe AA,1073.4599609375,1081.1099853515625,1081.1099853515625,1072.1300048828125,2019-09-30 00:00:00+02:00,2019-09-03 00:00:00+02:00,0.8215924761978188
2019-10,Prevaal Convertibles Europe AA,1077.0899658203125,1083.81005859375,1084.81005859375,1067.8499755859375,2019-10-30 00:00:00+01:00,2019-10-02 00:00:00+02:00,0.24975009747130184
2019-11,Prevaal Convertibles Europe AA,1088.9000244140625,1102.47998046875,1104.949951171875,1088.9000244140625,2019-11-27 00:00:00+01:00,2019-11-04 00:00:00+01:00,1.7226193581580507
2019-12,Prevaal Convertibles Europe AA,1095.2900390625,1104.8699951171875,1110.300048828125,1093.489990234375,2019-12-23 00:00:00+01:00,2019-12-03 00:00:00+01:00,0.21678531046172012
2020-01,Prevaal Convertibles Europe AA,1109.8800048828125,1112.06005859375,1124.260009765625,1107.8299560546875,2020-01-24 00:00:00+01:00,2020-01-06 00:00:00+01:00,0.65076104051498
2020-02,Prevaal Convertibles Europe AA,1115.02001953125,1093.3900146484375,1146.27001953125,1093.3900146484375,2020-02-19 00:00:00+01:00,2020-02-28 00:00:00+01:00,-1.6788701114687665
2020-03,Prevaal Convertibles Europe AA,1089.56005859375,998.02001953125,1100.5400390625,977.9299926757812,2020-03-04 00:00:00+01:00,2020-03-23 00:00:00+01:00,-8.722413213902659
2020-04,Prevaal Convertibles Europe AA,992.2999877929688,1033.2900390625,1036.489990234375,992.2999877929688,2020-04-29 00:00:00+02:00,2020-04-01 00:00:00+02:00,3.5339992025225753
2020-05,Prevaal Convertibles Europe AA,1024.77001953125,1044.8499755859375,1046.8800048828125,1024.77001953125,2020-05-28 00:00:00+02:00,2020-05-04 00:00:00+02:00,1.1187504075744092
2020-06,Prevaal Convertibles Europe AA,1053.5799560546875,1066.5,1070.3499755859375,1051.43994140625,2020-06-23 00:00:00+02:00,2020-06-11 00:00:00+02:00,2.072070145948124
2020-07,Prevaal Convertibles Europe AA,1066.68994140625,1061.93994140625,1085.0400390625,1061.93994140625,2020-07-23 00:00:00+02:00,2020-07-31 00:00:00+02:00,-0.4275723013361432
2020-08,Prevaal Convertibles Europe AA,1068.3800048828125,1087.31005859375,1093.9599609375,1067.199951171875,2020-08-26 00:00:00+02:00,2020-08-04 00:00:00+02:00,2.3890350290341367
2020-09,Prevaal Convertibles Europe AA,1089.43994140625,1090.2900390625,1100.7900390625,1081.6700439453125,2020-09-16 00:00:00+02:00,2020-09-04 00:00:00+02:00,0.274069061092308
2020-10,Prevaal Convertibles Europe AA,1098.8199462890625,1083.3499755859375,1111.550048828125,1082.6500244140625,2020-10-13 00:00:00+02:00,2020-10-28 00:00:00+01:00,-0.636533695431174
2020-11,Prevaal Convertibles Europe AA,1089.300048828125,1141.969970703125,1143.719970703125,1089.300048828125,2020-11-27 00:00:00+01:00,2020-11-02 00:00:00+01:00,5.4109933482467065
2020-12,Prevaal Convertibles Europe AA,1143.3800048828125,1157.050048828125,1157.050048828125,1134.5899658203125,2020-12-30 00:00:00+01:00,2020-12-10 00:00:00+01:00,1.320531932701785
2021-01,Prevaal Convertibles Europe AA,1167.8900146484375,1164.5899658203125,1180.3199462890625,1164.5899658203125,2021-01-21 00:00:00+01:00,2021-01-29 00:00:00+01:00,0.6516500301628314
2021-02,Prevaal Convertibles Europe AA,1173.4200439453125,1152.1600341796875,1188.3499755859375,1152.1600341796875,2021-02-15 00:00:00+01:00,2021-02-26 00:00:00+01:00,-1.0673225775107542
