Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Brook European Focus Absolute R,11429.3798828125,10846.51953125,11649.7802734375,10594.150390625,2019-01-03 00:00:00+00:00,2019-01-25 00:00:00+00:00,
2019-02,Brook European Focus Absolute R,10883.8095703125,10444.5302734375,11006.8701171875,10422.2900390625,2019-02-08 00:00:00+00:00,2019-02-26 00:00:00+00:00,-3.7061589817298124
2019-03,Brook European Focus Absolute R,10294.7197265625,10568.5302734375,10712.919921875,10254.5,2019-03-25 00:00:00+00:00,2019-03-04 00:00:00+00:00,1.1872242863363303
2019-04,Brook European Focus Absolute R,10469.7197265625,10020.51953125,10469.7197265625,10020.51953125,2019-04-01 00:00:00+01:00,2019-04-30 00:00:00+01:00,-5.185307020076834
2019-05,Brook European Focus Absolute R,10025.0595703125,10475.75,10475.75,9980.26953125,2019-05-31 00:00:00+01:00,2019-05-03 00:00:00+01:00,4.542982699952014
2019-06,Brook European Focus Absolute R,10483.330078125,10123.4501953125,10510.75,10123.4501953125,2019-06-06 00:00:00+01:00,2019-06-28 00:00:00+01:00,-3.363003171014012
2019-07,Brook European Focus Absolute R,10035.830078125,10053.2998046875,10205.25,9792.98046875,2019-07-10 00:00:00+01:00,2019-07-24 00:00:00+01:00,-0.6929494319780627
2019-08,Brook European Focus Absolute R,10087.2099609375,10502.1103515625,10676.650390625,10087.2099609375,2019-08-15 00:00:00+01:00,2019-08-01 00:00:00+01:00,4.4643107794889
2019-09,Brook European Focus Absolute R,10488.9404296875,10145.240234375,10542.6796875,9877.6396484375,2019-09-03 00:00:00+01:00,2019-09-13 00:00:00+01:00,-3.398080054780661
2019-10,Brook European Focus Absolute R,10206.509765625,9859.76953125,10518.6201171875,9836.849609375,2019-10-08 00:00:00+01:00,2019-10-29 00:00:00+00:00,-2.813838770990784
2019-11,Brook European Focus Absolute R,9855.6201171875,9585.669921875,9855.6201171875,9585.669921875,2019-11-01 00:00:00+00:00,2019-11-29 00:00:00+00:00,-2.779979881946082
2019-12,Brook European Focus Absolute R,9567.8798828125,9645.9501953125,9663.849609375,9521.849609375,2019-12-17 00:00:00+00:00,2019-12-04 00:00:00+00:00,0.6288582220000949
2020-01,Brook European Focus Absolute R,9671.849609375,9364.4404296875,9720.2802734375,9343.9833984375,2020-01-07 00:00:00+00:00,2020-01-30 00:00:00+00:00,-2.9184244156869155
2020-02,Brook European Focus Absolute R,9342.0,9393.49609375,9499.2626953125,9265.1591796875,2020-02-20 00:00:00+00:00,2020-02-05 00:00:00+00:00,0.3102765646347372
2020-03,Brook European Focus Absolute R,9366.7470703125,9139.724609375,9366.7470703125,8989.77734375,2020-03-02 00:00:00+00:00,2020-03-16 00:00:00+00:00,-2.7015658690042743
2020-04,Brook European Focus Absolute R,9085.998046875,9327.7646484375,9347.69921875,9006.25390625,2020-04-29 00:00:00+01:00,2020-04-21 00:00:00+01:00,2.0573928329264968
2020-05,Brook European Focus Absolute R,9314.0302734375,9175.732421875,9327.5478515625,8990.8017578125,2020-05-27 00:00:00+01:00,2020-05-13 00:00:00+01:00,-1.6298891780890612
2020-06,Brook European Focus Absolute R,9364.3994140625,9355.349609375,9711.89453125,9289.8837890625,2020-06-08 00:00:00+01:00,2020-06-15 00:00:00+01:00,1.9575242524704883
2020-07,Brook European Focus Absolute R,9361.7333984375,9046.134765625,9481.611328125,9046.134765625,2020-07-06 00:00:00+01:00,2020-07-31 00:00:00+01:00,-3.3052195445495203
2020-08,Brook European Focus Absolute R,9215.267578125,9359.447265625,9397.21875,9162.580078125,2020-08-11 00:00:00+01:00,2020-08-07 00:00:00+01:00,3.4634958257594883
2020-09,Brook European Focus Absolute R,9227.8525390625,9075.17578125,9462.849609375,8975.103515625,2020-09-16 00:00:00+01:00,2020-09-25 00:00:00+01:00,-3.0372678675060327
2020-10,Brook European Focus Absolute R,9077.232421875,9039.943359375,9354.0927734375,8948.0302734375,2020-10-08 00:00:00+01:00,2020-10-28 00:00:00+00:00,-0.38822853379647526
2020-11,Brook European Focus Absolute R,9174.9521484375,10484.1904296875,10842.9033203125,9174.9521484375,2020-11-24 00:00:00+00:00,2020-11-02 00:00:00+00:00,15.976284506414773
2020-12,Brook European Focus Absolute R,10668.8857421875,10608.7236328125,10998.849609375,10515.5498046875,2020-12-04 00:00:00+00:00,2020-12-21 00:00:00+00:00,1.1878189733407263
2021-01,Brook European Focus Absolute R,10594.1943359375,10252.765625,11044.5927734375,10252.765625,2021-01-14 00:00:00+00:00,2021-01-29 00:00:00+00:00,-3.3553330271657855
2021-02,Brook European Focus Absolute R,10279.5703125,11262.6904296875,11427.419921875,10279.5703125,2021-02-25 00:00:00+00:00,2021-02-01 00:00:00+00:00,9.85026715352717
2021-03,Brook European Focus Absolute R,11345.849609375,11781.5703125,11925.384765625,11342.2001953125,2021-03-18 00:00:00+00:00,2021-03-02 00:00:00+00:00,4.607068675569526
2021-04,Brook European Focus Absolute R,11698.6796875,11685.4501953125,11771.1904296875,11445.9189453125,2021-04-29 00:00:00+01:00,2021-04-22 00:00:00+01:00,-0.8158514921013382
