Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Artemis Income Fund C Acc,381.09466552734375,404.3387756347656,404.3387756347656,381.09466552734375,2019-01-31 00:00:00+00:00,2019-01-02 00:00:00+00:00,
2019-02,Artemis Income Fund C Acc,402.9180603027344,412.9829406738281,418.2318420410156,402.9180603027344,2019-02-22 00:00:00+00:00,2019-02-01 00:00:00+00:00,2.1378521081714563
2019-03,Artemis Income Fund C Acc,416.75213623046875,420.1414489746094,426.0201721191406,413.3328857421875,2019-03-19 00:00:00+00:00,2019-03-08 00:00:00+00:00,1.7333665863053183
2019-04,Artemis Income Fund C Acc,423.1007995605469,434.3184509277344,437.1078796386719,423.1007995605469,2019-04-24 00:00:00+01:00,2019-04-01 00:00:00+01:00,3.3743402341580797
2019-05,Artemis Income Fund C Acc,432.79876708984375,418.00189208984375,432.79876708984375,417.8319396972656,2019-05-01 00:00:00+01:00,2019-05-29 00:00:00+01:00,-3.7568191733593936
2019-06,Artemis Income Fund C Acc,416.1722717285156,433.978515625,433.978515625,416.1722717285156,2019-06-28 00:00:00+01:00,2019-06-03 00:00:00+01:00,3.82214143942734
2019-07,Artemis Income Fund C Acc,439.5973205566406,446.305908203125,452.4146423339844,438.507568359375,2019-07-30 00:00:00+01:00,2019-07-19 00:00:00+01:00,2.8405536528395947
2019-08,Artemis Income Fund C Acc,446.7158203125,436.1380615234375,446.7158203125,421.70111083984375,2019-08-01 00:00:00+01:00,2019-08-15 00:00:00+01:00,-2.2782236337906325
2019-09,Artemis Income Fund C Acc,439.26739501953125,448.5854187011719,449.2952880859375,437.2478332519531,2019-09-27 00:00:00+01:00,2019-09-03 00:00:00+01:00,2.853994703937457
2019-10,Artemis Income Fund C Acc,447.4656677246094,446.96575927734375,451.5948181152344,432.3188781738281,2019-10-24 00:00:00+01:00,2019-10-03 00:00:00+01:00,-0.3610593114055427
2019-11,Artemis Income Fund C Acc,447.6499938964844,455.2099914550781,455.3599853515625,442.7200012207031,2019-11-28 00:00:00+00:00,2019-11-21 00:00:00+00:00,1.844488533319355
2019-12,Artemis Income Fund C Acc,451.1199951171875,466.6099853515625,472.1400146484375,442.8800048828125,2019-12-27 00:00:00+00:00,2019-12-04 00:00:00+00:00,2.5043373630803556
