Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2020-04,Aberdeen Standard Emerging Mark,9.99899959564209,9.890199661254883,9.99899959564209,9.868000030517578,2020-04-27 00:00:00+02:00,2020-04-29 00:00:00+02:00,
2020-05,Aberdeen Standard Emerging Mark,10.052599906921387,10.2923002243042,10.2923002243042,9.891799926757812,2020-05-29 00:00:00+02:00,2020-05-08 00:00:00+02:00,4.065646567526393
2020-06,Aberdeen Standard Emerging Mark,10.32040023803711,10.54889965057373,10.54889965057373,10.32040023803711,2020-06-30 00:00:00+02:00,2020-06-02 00:00:00+02:00,2.4931203003930813
2020-07,Aberdeen Standard Emerging Mark,10.549799919128418,10.734600067138672,10.734600067138672,10.549799919128418,2020-07-31 00:00:00+02:00,2020-07-01 00:00:00+02:00,1.7603771266782475
2020-08,Aberdeen Standard Emerging Mark,10.748900413513184,10.785499572753906,10.795100212097168,10.748900413513184,2020-08-14 00:00:00+02:00,2020-08-03 00:00:00+02:00,0.47416303632075163
2020-09,Aberdeen Standard Emerging Mark,10.804100036621094,10.750300407409668,10.828700065612793,10.748800277709961,2020-09-08 00:00:00+02:00,2020-09-28 00:00:00+02:00,-0.3263563741929709
2020-10,Aberdeen Standard Emerging Mark,10.755000114440918,10.76729965209961,10.825699806213379,10.755000114440918,2020-10-13 00:00:00+02:00,2020-10-05 00:00:00+02:00,0.15812808987387683
2020-11,Aberdeen Standard Emerging Mark,10.763999938964844,10.945899963378906,10.945899963378906,10.761099815368652,2020-11-30 00:00:00+01:00,2020-11-03 00:00:00+01:00,1.6587289018604512
2020-12,Aberdeen Standard Emerging Mark,10.953900337219238,11.067999839782715,11.067999839782715,10.953900337219238,2020-12-30 00:00:00+01:00,2020-12-01 00:00:00+01:00,1.1154850383459758
2021-01,Aberdeen Standard Emerging Mark,11.07509994506836,11.060799598693848,11.07509994506836,11.004500389099121,2021-01-04 00:00:00+01:00,2021-01-12 00:00:00+01:00,-0.06505458251803153
2021-02,Aberdeen Standard Emerging Mark,11.065699577331543,11.049300193786621,11.081100463867188,11.016400337219238,2021-02-04 00:00:00+01:00,2021-02-25 00:00:00+01:00,-0.10396540326600423
2021-03,Aberdeen Standard Emerging Mark,11.061599731445312,11.008199691772461,11.062399864196777,10.956100463867188,2021-03-25 00:00:00+01:00,2021-03-09 00:00:00+01:00,-0.37197380189989415
2021-04,Aberdeen Standard Emerging Mark,11.01200008392334,10.907500267028809,11.01200008392334,10.848099708557129,2021-04-01 00:00:00+02:00,2021-04-14 00:00:00+02:00,-0.9147674239495807
2021-05,Aberdeen Standard Emerging Mark,10.930500030517578,10.975899696350098,10.980999946594238,10.912799835205078,2021-05-28 00:00:00+02:00,2021-05-19 00:00:00+02:00,0.6270862035002267
2021-06,Aberdeen Standard Emerging Mark,10.97719955444336,11.011300086975098,11.030799865722656,10.97719955444336,2021-06-11 00:00:00+02:00,2021-06-01 00:00:00+02:00,0.32252837220052566
2021-07,Aberdeen Standard Emerging Mark,11.01360034942627,11.025500297546387,11.095999717712402,11.00529956817627,2021-07-20 00:00:00+02:00,2021-07-13 00:00:00+02:00,0.12896034491045594
2021-08,Aberdeen Standard Emerging Mark,11.04170036315918,11.18649959564209,11.18649959564209,11.038599967956543,2021-08-31 00:00:00+02:00,2021-08-09 00:00:00+02:00,1.4602448301736626
2021-09,Aberdeen Standard Emerging Mark,11.181400299072266,11.056900024414062,11.188699722290039,11.051899909973145,2021-09-14 00:00:00+02:00,2021-09-29 00:00:00+02:00,-1.1585355197126668
2021-10,Aberdeen Standard Emerging Mark,11.066699981689453,10.935099601745605,11.066699981689453,10.884099960327148,2021-10-01 00:00:00+02:00,2021-10-12 00:00:00+02:00,-1.1015784026220499
2021-11,Aberdeen Standard Emerging Mark,10.89739990234375,10.933099746704102,10.974800109863281,10.752099990844727,2021-11-19 00:00:00+01:00,2021-11-09 00:00:00+01:00,-0.01828840261486331
2021-12,Aberdeen Standard Emerging Mark,10.928099632263184,10.704000473022461,10.937600135803223,10.704000473022461,2021-12-10 00:00:00+01:00,2021-12-30 00:00:00+01:00,-2.0954649549475235
2022-01,Aberdeen Standard Emerging Mark,10.770899772644043,10.75629997253418,10.813300132751465,10.643199920654297,2022-01-06 00:00:00+01:00,2022-01-13 00:00:00+01:00,0.4885976943249437
