Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2021-04,IDUN INDUSTRIER AB B,17.690000534057617,16.610000610351562,17.690000534057617,15.779999732971191,2021-04-01 00:00:00+02:00,2021-04-07 00:00:00+02:00,
2021-05,IDUN INDUSTRIER AB B,16.469999313354492,23.799999237060547,23.799999237060547,16.31999969482422,2021-05-31 00:00:00+02:00,2021-05-05 00:00:00+02:00,43.28716654127085
2021-06,IDUN INDUSTRIER AB B,22.25,27.899999618530273,31.649999618530273,22.149999618530273,2021-06-16 00:00:00+02:00,2021-06-02 00:00:00+02:00,17.226892911346603
2021-07,IDUN INDUSTRIER AB B,27.899999618530273,25.25,28.200000762939453,22.399999618530273,2021-07-01 00:00:00+02:00,2021-07-26 00:00:00+02:00,-9.498206647896257
2021-08,IDUN INDUSTRIER AB B,25.200000762939453,24.950000762939453,26.149999618530273,23.700000762939453,2021-08-02 00:00:00+02:00,2021-08-09 00:00:00+02:00,-1.188115790338795
2021-09,IDUN INDUSTRIER AB B,31.200000762939453,27.350000381469727,31.5,25.0,2021-09-03 00:00:00+02:00,2021-09-21 00:00:00+02:00,9.619236653873031
2021-10,IDUN INDUSTRIER AB B,27.299999237060547,29.049999237060547,31.600000381469727,26.299999237060547,2021-10-15 00:00:00+02:00,2021-10-01 00:00:00+02:00,6.215717849651692
2021-11,IDUN INDUSTRIER AB B,29.0,33.75,34.400001525878906,28.700000762939453,2021-11-22 00:00:00+01:00,2021-11-01 00:00:00+01:00,16.179004772376814
2021-12,IDUN INDUSTRIER AB B,33.79999923706055,29.850000381469727,34.650001525878906,27.799999237060547,2021-12-01 00:00:00+01:00,2021-12-20 00:00:00+01:00,-11.555554425274883
2022-01,IDUN INDUSTRIER AB B,29.850000381469727,26.899999618530273,30.450000762939453,23.0,2022-01-03 00:00:00+01:00,2022-01-19 00:00:00+01:00,-9.882749498290643
2022-02,IDUN INDUSTRIER AB B,26.850000381469727,21.200000762939453,30.049999237060547,19.5,2022-02-03 00:00:00+01:00,2022-02-24 00:00:00+01:00,-21.18958712424788
2022-03,IDUN INDUSTRIER AB B,23.100000381469727,27.549999237060547,29.0,20.299999237060547,2022-03-24 00:00:00+01:00,2022-03-03 00:00:00+01:00,29.952821913203763
2022-04,IDUN INDUSTRIER AB B,27.5,26.149999618530273,27.649999618530273,22.549999237060547,2022-04-01 00:00:00+02:00,2022-04-19 00:00:00+02:00,-5.081668447551091
2022-05,IDUN INDUSTRIER AB B,26.049999237060547,25.350000381469727,26.149999618530273,21.899999618530273,2022-05-02 00:00:00+02:00,2022-05-10 00:00:00+02:00,-3.0592705496395367
2022-06,IDUN INDUSTRIER AB B,25.299999237060547,21.049999237060547,25.799999237060547,19.239999771118164,2022-06-09 00:00:00+02:00,2022-06-23 00:00:00+02:00,-16.962528914012886
2022-07,IDUN INDUSTRIER AB B,21.0,24.149999618530273,24.5,20.049999237060547,2022-07-19 00:00:00+02:00,2022-07-04 00:00:00+02:00,14.726843201076601
2022-08,IDUN INDUSTRIER AB B,24.100000381469727,21.899999618530273,25.299999237060547,20.899999618530273,2022-08-12 00:00:00+02:00,2022-08-29 00:00:00+02:00,-9.31677033350169
2022-09,IDUN INDUSTRIER AB B,21.899999618530273,16.959999084472656,21.899999618530273,16.799999237060547,2022-09-01 00:00:00+02:00,2022-09-30 00:00:00+02:00,-22.55708045710525
2022-10,IDUN INDUSTRIER AB B,17.0,18.260000228881836,18.6200008392334,16.459999084472656,2022-10-18 00:00:00+02:00,2022-10-03 00:00:00+02:00,7.665101501092453
2022-11,IDUN INDUSTRIER AB B,18.239999771118164,19.719999313354492,21.100000381469727,17.579999923706055,2022-11-11 00:00:00+01:00,2022-11-07 00:00:00+01:00,7.995613724929629
2022-12,IDUN INDUSTRIER AB B,19.700000762939453,17.360000610351562,19.979999542236328,16.940000534057617,2022-12-01 00:00:00+01:00,2022-12-21 00:00:00+01:00,-11.96753947858774
2023-01,IDUN INDUSTRIER AB B,17.219999313354492,18.860000610351562,20.950000762939453,17.139999389648438,2023-01-19 00:00:00+01:00,2023-01-02 00:00:00+01:00,8.640552691602842
2023-02,IDUN INDUSTRIER AB B,18.8799991607666,21.399999618530273,22.200000762939453,18.8799991607666,2023-02-21 00:00:00+01:00,2023-02-01 00:00:00+01:00,13.467650720989898
2023-03,IDUN INDUSTRIER AB B,21.450000762939453,19.600000381469727,21.700000762939453,17.959999084472656,2023-03-02 00:00:00+01:00,2023-03-13 00:00:00+01:00,-8.411211538069029
2023-04,IDUN INDUSTRIER AB B,19.600000381469727,19.899999618530273,20.200000762939453,18.649999618530273,2023-04-17 00:00:00+02:00,2023-04-14 00:00:00+02:00,1.5306083225598899
2023-05,IDUN INDUSTRIER AB B,19.850000381469727,16.799999237060547,20.299999237060547,16.600000381469727,2023-05-08 00:00:00+02:00,2023-05-31 00:00:00+02:00,-15.57789166278727
2023-06,IDUN INDUSTRIER AB B,16.850000381469727,14.949999809265137,17.0,14.949999809265137,2023-06-01 00:00:00+02:00,2023-06-29 00:00:00+02:00,-11.011901856009255
2023-07,IDUN INDUSTRIER AB B,14.949999809265137,16.600000381469727,17.649999618530273,14.850000381469727,2023-07-27 00:00:00+02:00,2023-07-03 00:00:00+02:00,11.036793265923773
