Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2021-05,REDWOOD PHARMA AB,0.16363899409770966,0.153672993183136,0.17005999386310577,0.1488579958677292,2021-05-14 00:00:00+02:00,2021-05-20 00:00:00+02:00,
2021-06,REDWOOD PHARMA AB,0.15650500357151031,0.13759900629520416,0.16053999960422516,0.13759900629520416,2021-06-09 00:00:00+02:00,2021-06-30 00:00:00+02:00,-10.459864518143435
2021-07,REDWOOD PHARMA AB,0.13857999444007874,0.13726499676704407,0.14372999966144562,0.12087900191545486,2021-07-27 00:00:00+02:00,2021-07-15 00:00:00+02:00,-0.242741235676891
2021-08,REDWOOD PHARMA AB,0.13617299497127533,0.10950899869203568,0.13617299497127533,0.10908500105142593,2021-08-02 00:00:00+02:00,2021-08-30 00:00:00+02:00,-20.220739976495107
2021-09,REDWOOD PHARMA AB,0.10950899869203568,0.08471699804067612,0.10950899869203568,0.08137299865484238,2021-09-01 00:00:00+02:00,2021-09-29 00:00:00+02:00,-22.639235996559815
2021-10,REDWOOD PHARMA AB,0.08471699804067612,0.08048199862241745,0.10181699693202972,0.08048199862241745,2021-10-06 00:00:00+02:00,2021-10-25 00:00:00+02:00,-4.9989960883945255
2021-11,REDWOOD PHARMA AB,0.08048199862241745,0.041689999401569366,0.08048199862241745,0.041689999401569366,2021-11-01 00:00:00+01:00,2021-11-30 00:00:00+01:00,-48.19959728242007
2021-12,REDWOOD PHARMA AB,0.04302699863910675,0.05016100034117699,0.050383999943733215,0.038346000015735626,2021-12-29 00:00:00+01:00,2021-12-09 00:00:00+01:00,20.31902389350655
2022-01,REDWOOD PHARMA AB,0.04815499857068062,0.037007998675107956,0.0510529987514019,0.0350009985268116,2022-01-05 00:00:00+01:00,2022-01-24 00:00:00+01:00,-26.22156969878405
2022-02,REDWOOD PHARMA AB,0.037230998277664185,0.03767700120806694,0.04258099943399429,0.029205000028014183,2022-02-09 00:00:00+01:00,2022-02-24 00:00:00+01:00,1.8077241593962956
