Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2005-01,AARVEE DENIMS & EXPORTS LTD.,60.62501780192057,57.86933517456055,61.543578677707245,57.13448717473754,2005-01-31 00:00:00+05:30,2005-01-31 00:00:00+05:30,
2005-02,AARVEE DENIMS & EXPORTS LTD.,61.08430282829344,63.27421951293945,67.97350589724496,53.735824125239304,2005-02-09 00:00:00+05:30,2005-02-02 00:00:00+05:30,9.339807208904837
2005-03,AARVEE DENIMS & EXPORTS LTD.,64.7080688991541,60.452781677246094,72.75611025267541,56.24374894917447,2005-03-08 00:00:00+05:30,2005-03-24 00:00:00+05:30,-4.45906382948964
2005-04,AARVEE DENIMS & EXPORTS LTD.,61.74788016041728,69.51839447021484,84.18059892352508,60.12902187905803,2005-04-18 00:00:00+05:30,2005-04-01 00:00:00+05:30,14.9961880023479
2005-05,AARVEE DENIMS & EXPORTS LTD.,72.38607879952863,99.39787292480469,105.22575152162283,64.75431969286906,2005-05-26 00:00:00+05:30,2005-05-02 00:00:00+05:30,42.98067969246859
2005-06,AARVEE DENIMS & EXPORTS LTD.,100.64670543784723,110.59112548828125,128.73534532094817,99.81651741019884,2005-06-22 00:00:00+05:30,2005-06-17 00:00:00+05:30,11.261058445329454
2005-07,AARVEE DENIMS & EXPORTS LTD.,111.94376216866652,121.55228424072266,138.5304279114828,109.14516811444986,2005-07-22 00:00:00+05:30,2005-07-01 00:00:00+05:30,9.911427073416391
2005-08,AARVEE DENIMS & EXPORTS LTD.,119.45333004351514,148.7286376953125,155.471998633243,111.92112632263495,2005-08-31 00:00:00+05:30,2005-08-24 00:00:00+05:30,22.357748045910576
2005-09,AARVEE DENIMS & EXPORTS LTD.,151.58521581285112,124.75223541259766,153.59885360404436,111.45283860783327,2005-09-01 00:00:00+05:30,2005-09-22 00:00:00+05:30,-16.12090492742442
2005-10,AARVEE DENIMS & EXPORTS LTD.,127.23418077627181,119.55423736572266,149.85253166841454,104.42849597951933,2005-10-04 00:00:00+05:30,2005-10-20 00:00:00+05:30,-4.166657238392135
2005-11,AARVEE DENIMS & EXPORTS LTD.,119.64788665771484,123.24791717529297,136.83240878093451,119.39345854885578,2005-11-18 00:00:00+05:30,2005-11-24 00:00:00+05:30,3.089543198934175
2005-12,AARVEE DENIMS & EXPORTS LTD.,123.15388643353312,94.90369415283203,124.98709881412746,92.36541655341784,2005-12-09 00:00:00+05:30,2005-12-29 00:00:00+05:30,-22.997729837614646
2006-01,AARVEE DENIMS & EXPORTS LTD.,96.31386558096584,118.73539733886719,127.3843546112262,95.27975032150624,2006-01-27 00:00:00+05:30,2006-01-02 00:00:00+05:30,25.111459989804818
2006-02,AARVEE DENIMS & EXPORTS LTD.,118.92340968642026,118.96488952636719,127.41182026110198,114.29311719672772,2006-02-13 00:00:00+05:30,2006-02-22 00:00:00+05:30,0.19328034658867566
2006-03,AARVEE DENIMS & EXPORTS LTD.,117.97389530000233,117.03011322021484,127.41182201101968,116.1806996680215,2006-03-07 00:00:00+05:30,2006-03-31 00:00:00+05:30,-1.6263422879264966
2006-04,AARVEE DENIMS & EXPORTS LTD.,119.38959270715849,99.9474868774414,136.8497028742122,98.24865988213722,2006-04-17 00:00:00+05:30,2006-04-28 00:00:00+05:30,-14.596778446782466
2006-05,AARVEE DENIMS & EXPORTS LTD.,113.25494481161756,97.54081726074219,123.2591378860518,85.88499985046542,2006-05-10 00:00:00+05:30,2006-05-22 00:00:00+05:30,-2.4079340980832753
2006-06,AARVEE DENIMS & EXPORTS LTD.,96.31389918508553,63.51715087890625,99.09808047046192,60.638583775722616,2006-06-01 00:00:00+05:30,2006-06-28 00:00:00+05:30,-34.88146535709789
2006-07,AARVEE DENIMS & EXPORTS LTD.,66.44290703562166,48.13335037231445,66.44290703562166,46.43452907187087,2006-07-03 00:00:00+05:30,2006-07-20 00:00:00+05:30,-24.219915871101648
2006-08,AARVEE DENIMS & EXPORTS LTD.,48.13335326828418,52.80048751831055,59.27008543112169,44.924458736208315,2006-08-28 00:00:00+05:30,2006-08-09 00:00:00+05:30,9.696264876422479
2006-09,AARVEE DENIMS & EXPORTS LTD.,51.943485972713496,52.89570236206055,59.799282811849835,50.039048192186996,2006-09-11 00:00:00+05:30,2006-09-25 00:00:00+05:30,0.18032947842949731
2006-10,AARVEE DENIMS & EXPORTS LTD.,52.848095992708956,56.418907165527344,66.65525876606945,51.94348821770047,2006-10-10 00:00:00+05:30,2006-10-03 00:00:00+05:30,6.660663619420659
2006-11,AARVEE DENIMS & EXPORTS LTD.,58.89467831041794,61.26765823364258,63.76446158071031,46.767009612347465,2006-11-30 00:00:00+05:30,2006-11-20 00:00:00+05:30,8.594195300326346
2006-12,AARVEE DENIMS & EXPORTS LTD.,64.34064902215214,77.97701263427734,88.44438153224434,54.68954841404984,2006-12-19 00:00:00+05:30,2006-12-08 00:00:00+05:30,27.272715952214277
2007-01,AARVEE DENIMS & EXPORTS LTD.,78.74526400865291,103.32914733886719,113.79651612781589,76.87267328788712,2007-01-29 00:00:00+05:30,2007-01-10 00:00:00+05:30,32.512318500190254
2007-02,AARVEE DENIMS & EXPORTS LTD.,104.00137903097207,96.55899047851562,117.06156451026496,95.07050986813402,2007-02-08 00:00:00+05:30,2007-02-28 00:00:00+05:30,-6.5520301238419005
2007-03,AARVEE DENIMS & EXPORTS LTD.,97.95143014548218,98.14348602294922,111.01161673435338,89.30865882958504,2007-03-22 00:00:00+05:30,2007-03-07 00:00:00+05:30,1.6409611746988517
2007-04,AARVEE DENIMS & EXPORTS LTD.,94.39829579916186,88.30033111572266,101.36052415086277,88.0602540791638,2007-04-13 00:00:00+05:30,2007-04-30 00:00:00+05:30,-10.029351214328075
2007-05,AARVEE DENIMS & EXPORTS LTD.,87.86819458007812,98.04747009277344,104.19342990576189,83.78689285278321,2007-05-24 00:00:00+05:30,2007-05-04 00:00:00+05:30,11.038621094496914
2007-06,AARVEE DENIMS & EXPORTS LTD.,98.91174712908645,82.44245147705078,100.6402824969599,79.41747940290229,2007-06-05 00:00:00+05:30,2007-06-29 00:00:00+05:30,-15.91577895988243
2007-07,AARVEE DENIMS & EXPORTS LTD.,82.58650220674744,61.315673828125,82.58650220674744,57.81054959268113,2007-07-02 00:00:00+05:30,2007-07-30 00:00:00+05:30,-25.626091013082952
2007-08,AARVEE DENIMS & EXPORTS LTD.,61.21963971335494,89.30866241455078,89.30866241455078,55.31374636975696,2007-08-31 00:00:00+05:30,2007-08-02 00:00:00+05:30,45.65388723427128
2007-09,AARVEE DENIMS & EXPORTS LTD.,93.77409362792969,71.88690185546875,102.6089260448415,71.45239698267426,2007-09-05 00:00:00+05:30,2007-09-28 00:00:00+05:30,-19.507358063671496
2007-10,AARVEE DENIMS & EXPORTS LTD.,73.23870633316648,65.90035247802734,79.27354299252191,64.40371148970708,2007-10-04 00:00:00+05:30,2007-10-31 00:00:00+05:30,-8.32773317937332
2007-11,AARVEE DENIMS & EXPORTS LTD.,65.176178250994,72.65937042236328,83.76345551273243,62.85880292778688,2007-11-20 00:00:00+05:30,2007-11-13 00:00:00+05:30,10.25642153672781
2007-12,AARVEE DENIMS & EXPORTS LTD.,74.34912118063235,89.79828643798828,91.24664589666551,70.63166032751401,2007-12-31 00:00:00+05:30,2007-12-10 00:00:00+05:30,23.588032646027358
2008-01,AARVEE DENIMS & EXPORTS LTD.,91.72943342977494,66.5279769897461,99.45401785061428,54.21692314918006,2008-01-03 00:00:00+05:30,2008-01-23 00:00:00+05:30,-25.913979399052224
2008-02,AARVEE DENIMS & EXPORTS LTD.,63.727817424499634,71.16272735595703,73.33526661214383,56.00323415875455,2008-02-29 00:00:00+05:30,2008-02-12 00:00:00+05:30,6.96661852039373
2008-03,AARVEE DENIMS & EXPORTS LTD.,70.10059940724248,74.542236328125,80.5770678756331,56.00323736422037,2008-03-31 00:00:00+05:30,2008-03-11 00:00:00+05:30,4.748987423238593
