Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2008-08,ABO GROUP ENVIRONMENT,2250.0,2225.0,2375.0,2112.5,2008-08-29 00:00:00+02:00,2008-08-28 00:00:00+02:00,
2008-09,ABO GROUP ENVIRONMENT,2250.0,1487.5,2250.0,1487.5,2008-09-01 00:00:00+02:00,2008-09-30 00:00:00+02:00,-33.14606741573034
2008-10,ABO GROUP ENVIRONMENT,1600.0,1100.0,1600.0,1000.0,2008-10-01 00:00:00+02:00,2008-10-16 00:00:00+02:00,-26.050420168067223
2008-11,ABO GROUP ENVIRONMENT,1100.0,1012.5,1292.5,950.0,2008-11-05 00:00:00+01:00,2008-11-27 00:00:00+01:00,-7.954545454545459
2008-12,ABO GROUP ENVIRONMENT,962.5,830.0,1032.5,825.0,2008-12-03 00:00:00+01:00,2008-12-01 00:00:00+01:00,-18.02469135802469
2009-01,ABO GROUP ENVIRONMENT,830.0,777.5,950.0,762.5,2009-01-08 00:00:00+01:00,2009-01-27 00:00:00+01:00,-6.325301204819278
2009-02,ABO GROUP ENVIRONMENT,752.5,452.5,772.5,435.0,2009-02-02 00:00:00+01:00,2009-02-25 00:00:00+01:00,-41.80064308681673
2009-03,ABO GROUP ENVIRONMENT,452.5,460.0,525.0,420.0,2009-03-25 00:00:00+01:00,2009-03-06 00:00:00+01:00,1.6574585635359185
2009-04,ABO GROUP ENVIRONMENT,485.0,585.0,625.0,440.0,2009-04-16 00:00:00+02:00,2009-04-02 00:00:00+02:00,27.173913043478272
2009-05,ABO GROUP ENVIRONMENT,570.0,487.5,570.0,477.5,2009-05-04 00:00:00+02:00,2009-05-26 00:00:00+02:00,-16.666666666666664
2009-06,ABO GROUP ENVIRONMENT,530.0,687.5,850.0,530.0,2009-06-03 00:00:00+02:00,2009-06-01 00:00:00+02:00,41.025641025641036
2009-07,ABO GROUP ENVIRONMENT,675.0,712.5,712.5,577.5,2009-07-31 00:00:00+02:00,2009-07-08 00:00:00+02:00,3.6363636363636376
2009-08,ABO GROUP ENVIRONMENT,725.0,842.5,920.0,680.0,2009-08-28 00:00:00+02:00,2009-08-10 00:00:00+02:00,18.24561403508771
2009-09,ABO GROUP ENVIRONMENT,737.5,695.0,800.0,622.5,2009-09-01 00:00:00+02:00,2009-09-01 00:00:00+02:00,-17.507418397626118
2009-10,ABO GROUP ENVIRONMENT,692.5,670.0,695.0,625.0,2009-10-01 00:00:00+02:00,2009-10-29 00:00:00+01:00,-3.597122302158273
2009-11,ABO GROUP ENVIRONMENT,662.5,545.0,670.0,537.5,2009-11-05 00:00:00+01:00,2009-11-27 00:00:00+01:00,-18.656716417910445
2009-12,ABO GROUP ENVIRONMENT,555.0,515.0,590.0,497.5,2009-12-03 00:00:00+01:00,2009-12-23 00:00:00+01:00,-5.5045871559633035
2010-01,ABO GROUP ENVIRONMENT,535.0,547.5,622.5,515.0,2010-01-20 00:00:00+01:00,2010-01-04 00:00:00+01:00,6.310679611650483
2010-02,ABO GROUP ENVIRONMENT,560.0,430.0,560.0,430.0,2010-02-01 00:00:00+01:00,2010-02-26 00:00:00+01:00,-21.461187214611876
2010-03,ABO GROUP ENVIRONMENT,430.0,467.5,602.5,405.0,2010-03-29 00:00:00+02:00,2010-03-03 00:00:00+01:00,8.720930232558132
2010-04,ABO GROUP ENVIRONMENT,455.0,337.5,500.0,315.0,2010-04-06 00:00:00+02:00,2010-04-28 00:00:00+02:00,-27.807486631016044
2010-05,ABO GROUP ENVIRONMENT,342.5,155.0,370.0,135.0,2010-05-04 00:00:00+02:00,2010-05-18 00:00:00+02:00,-54.074074074074076
2010-06,ABO GROUP ENVIRONMENT,155.0,90.0,157.5,82.5,2010-06-04 00:00:00+02:00,2010-06-30 00:00:00+02:00,-41.93548387096774
2010-07,ABO GROUP ENVIRONMENT,90.0,100.0,110.0,82.5,2010-07-19 00:00:00+02:00,2010-07-07 00:00:00+02:00,11.111111111111116
2010-08,ABO GROUP ENVIRONMENT,100.0,87.5,105.0,85.0,2010-08-04 00:00:00+02:00,2010-08-16 00:00:00+02:00,-12.5
2010-09,ABO GROUP ENVIRONMENT,87.5,225.0,247.5,80.0,2010-09-30 00:00:00+02:00,2010-09-07 00:00:00+02:00,157.14285714285717
2010-10,ABO GROUP ENVIRONMENT,255.0,237.5,422.5,227.5,2010-10-04 00:00:00+02:00,2010-10-12 00:00:00+02:00,5.555555555555558
2010-11,ABO GROUP ENVIRONMENT,242.5,242.5,307.5,190.0,2010-11-23 00:00:00+01:00,2010-11-16 00:00:00+01:00,2.1052631578947434
2010-12,ABO GROUP ENVIRONMENT,235.0,207.5,245.0,197.5,2010-12-01 00:00:00+01:00,2010-12-21 00:00:00+01:00,-14.432989690721653
2011-01,ABO GROUP ENVIRONMENT,202.5,225.0,287.5,180.0,2011-01-24 00:00:00+01:00,2011-01-19 00:00:00+01:00,8.43373493975903
2011-02,ABO GROUP ENVIRONMENT,230.0,242.5,280.0,225.0,2011-02-07 00:00:00+01:00,2011-02-01 00:00:00+01:00,7.777777777777772
2011-03,ABO GROUP ENVIRONMENT,237.5,235.0,262.5,227.5,2011-03-15 00:00:00+01:00,2011-03-24 00:00:00+01:00,-3.0927835051546393
2011-04,ABO GROUP ENVIRONMENT,235.0,207.5,235.0,187.5,2011-04-01 00:00:00+02:00,2011-04-05 00:00:00+02:00,-11.702127659574469
2011-05,ABO GROUP ENVIRONMENT,212.5,202.5,250.0,197.5,2011-05-17 00:00:00+02:00,2011-05-19 00:00:00+02:00,-2.409638554216864
2011-06,ABO GROUP ENVIRONMENT,205.0,192.5,205.0,180.0,2011-06-01 00:00:00+02:00,2011-06-17 00:00:00+02:00,-4.938271604938271
2011-07,ABO GROUP ENVIRONMENT,187.5,160.0,195.0,152.5,2011-07-05 00:00:00+02:00,2011-07-29 00:00:00+02:00,-16.883116883116877
2011-08,ABO GROUP ENVIRONMENT,155.0,152.5,157.5,105.0,2011-08-01 00:00:00+02:00,2011-08-09 00:00:00+02:00,-4.6875
