Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2016-03,AB INTL GROUP CORP,3.5,3.5,3.5,3.5,2016-03-23 00:00:00-04:00,2016-03-23 00:00:00-04:00,
2016-04,AB INTL GROUP CORP,3.5,3.5,3.5,3.5,2016-04-01 00:00:00-04:00,2016-04-01 00:00:00-04:00,0.0
2016-05,AB INTL GROUP CORP,3.5,3.5,3.5,3.5,2016-05-02 00:00:00-04:00,2016-05-02 00:00:00-04:00,0.0
2016-06,AB INTL GROUP CORP,3.5,3.5,3.5,3.5,2016-06-01 00:00:00-04:00,2016-06-01 00:00:00-04:00,0.0
2016-07,AB INTL GROUP CORP,3.5,3.5,3.5,3.5,2016-07-01 00:00:00-04:00,2016-07-01 00:00:00-04:00,0.0
2016-08,AB INTL GROUP CORP,3.5,3.5,3.5,3.5,2016-08-01 00:00:00-04:00,2016-08-01 00:00:00-04:00,0.0
2016-09,AB INTL GROUP CORP,3.5,3.5,3.5,3.5,2016-09-01 00:00:00-04:00,2016-09-01 00:00:00-04:00,0.0
2016-10,AB INTL GROUP CORP,3.5,3.5,3.5,3.5,2016-10-03 00:00:00-04:00,2016-10-03 00:00:00-04:00,0.0
2016-11,AB INTL GROUP CORP,3.5,500.0,500.0,3.5,2016-11-23 00:00:00-05:00,2016-11-01 00:00:00-04:00,14185.714285714286
2016-12,AB INTL GROUP CORP,500.0,995.0,995.0,500.0,2016-12-02 00:00:00-05:00,2016-12-01 00:00:00-05:00,99.0
2017-01,AB INTL GROUP CORP,995.0,1500.0,1500.0,995.0,2017-01-13 00:00:00-05:00,2017-01-03 00:00:00-05:00,50.75376884422111
2017-02,AB INTL GROUP CORP,1500.0,1500.0,1500.0,1500.0,2017-02-01 00:00:00-05:00,2017-02-01 00:00:00-05:00,0.0
2017-03,AB INTL GROUP CORP,1500.0,1500.0,1500.0,1500.0,2017-03-01 00:00:00-05:00,2017-03-01 00:00:00-05:00,0.0
2017-04,AB INTL GROUP CORP,1500.0,950.0,1500.0,950.0,2017-04-03 00:00:00-04:00,2017-04-28 00:00:00-04:00,-36.66666666666667
2017-05,AB INTL GROUP CORP,1000.0,1000.0,1000.0,1000.0,2017-05-01 00:00:00-04:00,2017-05-01 00:00:00-04:00,5.263157894736836
2017-06,AB INTL GROUP CORP,1000.0,1000.0,1000.0,1000.0,2017-06-01 00:00:00-04:00,2017-06-01 00:00:00-04:00,0.0
2017-07,AB INTL GROUP CORP,1000.0,300.0,1000.0,300.0,2017-07-03 00:00:00-04:00,2017-07-17 00:00:00-04:00,-70.0
2017-08,AB INTL GROUP CORP,300.0,300.0,300.0,300.0,2017-08-01 00:00:00-04:00,2017-08-01 00:00:00-04:00,0.0
2017-09,AB INTL GROUP CORP,300.0,300.0,300.0,300.0,2017-09-01 00:00:00-04:00,2017-09-01 00:00:00-04:00,0.0
2017-10,AB INTL GROUP CORP,300.0,300.0,300.0,300.0,2017-10-02 00:00:00-04:00,2017-10-02 00:00:00-04:00,0.0
2017-11,AB INTL GROUP CORP,300.0,300.0,300.0,300.0,2017-11-01 00:00:00-04:00,2017-11-01 00:00:00-04:00,0.0
2017-12,AB INTL GROUP CORP,300.0,300.0,300.0,300.0,2017-12-01 00:00:00-05:00,2017-12-01 00:00:00-05:00,0.0
2018-01,AB INTL GROUP CORP,300.0,300.0,300.0,300.0,2018-01-02 00:00:00-05:00,2018-01-02 00:00:00-05:00,0.0
2018-02,AB INTL GROUP CORP,300.0,325.0,525.0,300.0,2018-02-23 00:00:00-05:00,2018-02-01 00:00:00-05:00,8.333333333333325
2018-03,AB INTL GROUP CORP,335.0,250.0,335.0,250.0,2018-03-01 00:00:00-05:00,2018-03-19 00:00:00-04:00,-23.076923076923073
2018-04,AB INTL GROUP CORP,250.0,200.0,250.0,200.0,2018-04-02 00:00:00-04:00,2018-04-30 00:00:00-04:00,-19.999999999999996
2018-05,AB INTL GROUP CORP,200.0,40.005001068115234,200.0,40.0,2018-05-01 00:00:00-04:00,2018-05-31 00:00:00-04:00,-79.99749946594238
2018-06,AB INTL GROUP CORP,40.0,13.850000381469727,40.5,8.0,2018-06-04 00:00:00-04:00,2018-06-12 00:00:00-04:00,-65.37932755485302
2018-07,AB INTL GROUP CORP,13.850000381469727,11.0,13.850000381469727,11.0,2018-07-02 00:00:00-04:00,2018-07-18 00:00:00-04:00,-20.577619516045765
2018-08,AB INTL GROUP CORP,11.0,10.0,23.5,10.0,2018-08-09 00:00:00-04:00,2018-08-10 00:00:00-04:00,-9.090909090909093
2018-09,AB INTL GROUP CORP,10.0,8.0,10.0,8.0,2018-09-04 00:00:00-04:00,2018-09-28 00:00:00-04:00,-19.999999999999996
2018-10,AB INTL GROUP CORP,8.0,7.5,8.0,7.5,2018-10-01 00:00:00-04:00,2018-10-04 00:00:00-04:00,-6.25
2018-11,AB INTL GROUP CORP,7.5,3.5,7.5,3.5,2018-11-01 00:00:00-04:00,2018-11-30 00:00:00-05:00,-53.333333333333336
2018-12,AB INTL GROUP CORP,3.0,2.25,3.0,1.5,2018-12-03 00:00:00-05:00,2018-12-24 00:00:00-05:00,-35.71428571428571
2019-01,AB INTL GROUP CORP,2.25,4.5,7.5,1.0,2019-01-18 00:00:00-05:00,2019-01-07 00:00:00-05:00,100.0
2019-02,AB INTL GROUP CORP,5.0,6.800000190734863,6.800000190734863,4.5,2019-02-27 00:00:00-05:00,2019-02-12 00:00:00-05:00,51.111115349663635
2019-03,AB INTL GROUP CORP,6.800000190734863,7.5,12.5,1.7000000476837158,2019-03-06 00:00:00-05:00,2019-03-08 00:00:00-05:00,10.29411455339222
2019-04,AB INTL GROUP CORP,7.5,4.0,7.5,4.0,2019-04-01 00:00:00-04:00,2019-04-11 00:00:00-04:00,-46.666666666666664
2019-05,AB INTL GROUP CORP,4.0,5.5,5.5,4.0,2019-05-17 00:00:00-04:00,2019-05-01 00:00:00-04:00,37.5
2019-06,AB INTL GROUP CORP,5.5,6.0,10.0,5.5,2019-06-17 00:00:00-04:00,2019-06-03 00:00:00-04:00,9.090909090909083
2019-07,AB INTL GROUP CORP,6.050000190734863,10.0,10.0,6.050000190734863,2019-07-31 00:00:00-04:00,2019-07-01 00:00:00-04:00,66.66666666666667
2019-08,AB INTL GROUP CORP,10.0,10.0,10.0,10.0,2019-08-01 00:00:00-04:00,2019-08-01 00:00:00-04:00,0.0
2019-09,AB INTL GROUP CORP,10.0,10.0,10.0,10.0,2019-09-03 00:00:00-04:00,2019-09-03 00:00:00-04:00,0.0
2019-10,AB INTL GROUP CORP,10.0,10.0,10.0,10.0,2019-10-01 00:00:00-04:00,2019-10-01 00:00:00-04:00,0.0
2019-11,AB INTL GROUP CORP,10.0,10.0,10.0,10.0,2019-11-01 00:00:00-04:00,2019-11-01 00:00:00-04:00,0.0
2019-12,AB INTL GROUP CORP,10.0,8.0,10.0,8.0,2019-12-02 00:00:00-05:00,2019-12-18 00:00:00-05:00,-19.999999999999996
2020-01,AB INTL GROUP CORP,8.0,11.199999809265137,11.199999809265137,8.0,2020-01-30 00:00:00-05:00,2020-01-02 00:00:00-05:00,39.99999761581421
2020-02,AB INTL GROUP CORP,11.199999809265137,11.0,11.5,11.0,2020-02-12 00:00:00-05:00,2020-02-21 00:00:00-05:00,-1.7857126131349377
2020-03,AB INTL GROUP CORP,11.0,11.949999809265137,15.0,10.0,2020-03-12 00:00:00-04:00,2020-03-12 00:00:00-04:00,8.636361902410329
2020-04,AB INTL GROUP CORP,11.949999809265137,21.0,21.0,11.949999809265137,2020-04-27 00:00:00-04:00,2020-04-01 00:00:00-04:00,75.73222037809715
2020-05,AB INTL GROUP CORP,21.0,10.0,21.0,7.0,2020-05-01 00:00:00-04:00,2020-05-19 00:00:00-04:00,-52.38095238095239
2020-06,AB INTL GROUP CORP,10.0,0.3100000023841858,10.0,0.30000001192092896,2020-06-01 00:00:00-04:00,2020-06-30 00:00:00-04:00,-96.89999997615814
2020-07,AB INTL GROUP CORP,0.3400000035762787,0.05000000074505806,0.550000011920929,0.032999999821186066,2020-07-01 00:00:00-04:00,2020-07-30 00:00:00-04:00,-83.8709676256413
2020-08,AB INTL GROUP CORP,0.0531499981880188,0.03400000184774399,0.07500000298023224,0.0203000009059906,2020-08-03 00:00:00-04:00,2020-08-20 00:00:00-04:00,-31.999997317791028
2020-09,AB INTL GROUP CORP,0.032999999821186066,0.01759999990463257,0.04500000178813934,0.01600000075995922,2020-09-08 00:00:00-04:00,2020-09-25 00:00:00-04:00,-48.23529721131358
