Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2004-04,Arbor Realty Trust,5.153547814282164,4.999329090118408,5.2949172558521855,4.883660376105446,2004-04-07 00:00:00-04:00,2004-04-21 00:00:00-04:00,
2004-05,Arbor Realty Trust,4.999325481298533,4.873380661010742,5.14326693266712,4.729440276883911,2004-05-06 00:00:00-04:00,2004-05-24 00:00:00-04:00,-2.5193066276955722
2004-06,Arbor Realty Trust,4.870810952301938,5.127845287322998,5.3977322320026575,4.755145065419424,2004-06-21 00:00:00-04:00,2004-06-01 00:00:00-04:00,5.221521650218874
2004-07,Arbor Realty Trust,5.114764657076964,4.970871925354004,5.2717389229298535,4.7223274594093425,2004-07-08 00:00:00-04:00,2004-07-27 00:00:00-04:00,-3.061195359326885
2004-08,Arbor Realty Trust,4.970871925354004,5.460108757019043,5.494119754985679,4.8871520569790805,2004-08-31 00:00:00-04:00,2004-08-02 00:00:00-04:00,9.842072759301622
2004-09,Arbor Realty Trust,5.441794836987826,5.808070659637451,5.810686468463889,5.363307236343886,2004-09-30 00:00:00-04:00,2004-09-24 00:00:00-04:00,6.372801680389584
2004-10,Arbor Realty Trust,5.847312828375031,5.575713157653809,6.074926160369866,5.495679199572702,2004-10-04 00:00:00-04:00,2004-10-27 00:00:00-04:00,-4.000597024385144
2004-11,Arbor Realty Trust,5.655745890857112,6.296018600463867,6.3093574191695385,5.402304585018692,2004-11-30 00:00:00-05:00,2004-11-08 00:00:00-05:00,12.91862444217189
2004-12,Arbor Realty Trust,6.336037379105749,6.546794414520264,6.629496235890274,6.151957756989836,2004-12-31 00:00:00-05:00,2004-12-14 00:00:00-05:00,3.9830856604826437
2005-01,Arbor Realty Trust,6.546795072596443,6.474134922027588,6.642835014543629,6.29335279138529,2005-01-25 00:00:00-05:00,2005-01-20 00:00:00-05:00,-1.1098483913214552
2005-02,Arbor Realty Trust,6.501337711688553,6.800562381744385,7.205874160574708,6.4061281378157595,2005-02-18 00:00:00-05:00,2005-02-09 00:00:00-05:00,5.042024357666075
2005-03,Arbor Realty Trust,6.8005608977808105,6.732555389404297,7.344605350080897,6.425170432879358,2005-03-04 00:00:00-05:00,2005-03-28 00:00:00-05:00,-1.00002012366871
2005-04,Arbor Realty Trust,6.718955039978027,6.808351039886475,7.183507638909702,6.64006827670698,2005-04-27 00:00:00-04:00,2005-04-01 00:00:00-05:00,1.1258080490724964
2005-05,Arbor Realty Trust,6.738877361634726,7.405817985534668,7.458617587505645,6.738877361634726,2005-05-31 00:00:00-04:00,2005-05-02 00:00:00-04:00,8.775501470884151
2005-06,Arbor Realty Trust,7.419711519983811,7.9754958152771,8.11444389935379,7.411374574892032,2005-06-20 00:00:00-04:00,2005-06-01 00:00:00-04:00,7.692301253624501
2005-07,Arbor Realty Trust,7.9893928688749565,8.559070587158203,8.634101529814318,7.944930203138074,2005-07-29 00:00:00-04:00,2005-07-01 00:00:00-04:00,7.317097085842161
