Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2011-01,Aberdeen Income Credit Strategi,5.47086238861084,5.525566101074219,5.5611264674202605,5.459920856922774,2011-01-31 00:00:00-05:00,2011-01-27 00:00:00-05:00,
2011-02,Aberdeen Income Credit Strategi,5.52556834071093,5.47086238861084,5.5857475323609895,5.446238961212375,2011-02-04 00:00:00-05:00,2011-02-23 00:00:00-05:00,-0.9900110045329868
2011-03,Aberdeen Income Credit Strategi,5.479069239008995,5.227406024932861,5.517361325383654,5.15355012757004,2011-03-03 00:00:00-05:00,2011-03-17 00:00:00-04:00,-4.450054605372678
2011-04,Aberdeen Income Credit Strategi,5.243818863894346,5.370841026306152,5.373595113625596,5.186374083979421,2011-04-29 00:00:00-04:00,2011-04-04 00:00:00-04:00,2.743903968606176
2011-05,Aberdeen Income Credit Strategi,5.368089201032148,5.476339340209961,5.501295569575777,5.324018150838497,2011-05-20 00:00:00-04:00,2011-05-06 00:00:00-04:00,1.9642792141320475
2011-06,Aberdeen Income Credit Strategi,5.459698083210858,5.504642486572266,5.577220007876729,5.359491936741887,2011-06-23 00:00:00-04:00,2011-06-24 00:00:00-04:00,0.5168260146789949
2011-07,Aberdeen Income Credit Strategi,5.473937657727101,5.2551679611206055,5.606450557708739,5.086552474513891,2011-07-13 00:00:00-04:00,2011-07-29 00:00:00-04:00,-4.532074990523272
2011-08,Aberdeen Income Credit Strategi,5.27483658558804,4.795784950256348,5.443456036614822,4.450194674556581,2011-08-02 00:00:00-04:00,2011-08-26 00:00:00-04:00,-8.741547639636238
2011-09,Aberdeen Income Credit Strategi,4.928924397931426,4.426835536956787,4.937422538434168,4.289747714996338,2011-09-01 00:00:00-04:00,2011-09-26 00:00:00-04:00,-7.693201782949821
2011-10,Aberdeen Income Credit Strategi,4.446826436229917,4.721731662750244,4.975092569459426,4.055551156450493,2011-10-17 00:00:00-04:00,2011-10-04 00:00:00-04:00,6.66155594287523
2011-11,Aberdeen Income Credit Strategi,4.721735174452323,4.389684200286865,4.822500106168521,4.296780862378287,2011-11-02 00:00:00-04:00,2011-11-29 00:00:00-05:00,-7.032323862935764
2011-12,Aberdeen Income Credit Strategi,4.415813466677869,4.541488170623779,4.630654423562196,4.356163220188742,2011-12-07 00:00:00-05:00,2011-12-21 00:00:00-05:00,3.458197979868194
2012-01,Aberdeen Income Credit Strategi,4.5975559574097415,5.264468669891357,5.264468669891357,4.594605226367224,2012-01-31 00:00:00-05:00,2012-01-03 00:00:00-05:00,15.919462345935731
2012-02,Aberdeen Income Credit Strategi,5.305782737815712,5.110054016113281,5.488737236421129,4.919915183237561,2012-02-08 00:00:00-05:00,2012-02-22 00:00:00-05:00,-2.9331479292717066
2012-03,Aberdeen Income Credit Strategi,5.151646148873268,4.959625720977783,5.441233182760074,4.908774086808062,2012-03-13 00:00:00-04:00,2012-03-28 00:00:00-04:00,-2.94377113551364
2012-04,Aberdeen Income Credit Strategi,4.944668326353883,5.089777946472168,5.089777946472168,4.896806668434215,2012-04-30 00:00:00-04:00,2012-04-02 00:00:00-04:00,2.624234827718519
2012-05,Aberdeen Income Credit Strategi,5.092791557312012,4.904610633850098,5.202043722510169,4.831770002845056,2012-05-11 00:00:00-04:00,2012-05-18 00:00:00-04:00,-3.6380233984552035
2012-06,Aberdeen Income Credit Strategi,4.901576105878976,5.061398506164551,5.061398506164551,4.8014200707918535,2012-06-29 00:00:00-04:00,2012-06-12 00:00:00-04:00,3.196744533242901
2012-07,Aberdeen Income Credit Strategi,5.055282120758084,5.215587139129639,5.218666934025408,5.02164121658895,2012-07-30 00:00:00-04:00,2012-07-02 00:00:00-04:00,3.046364216871944
2012-08,Aberdeen Income Credit Strategi,5.206344095556854,5.3187575340271,5.3187575340271,5.163599812261991,2012-08-31 00:00:00-04:00,2012-08-16 00:00:00-04:00,1.9781165982911242
2012-09,Aberdeen Income Credit Strategi,5.331168788310438,5.521503448486328,5.565251594347042,5.321859100795867,2012-09-26 00:00:00-04:00,2012-09-04 00:00:00-04:00,3.8119036854405985
2012-10,Aberdeen Income Credit Strategi,5.537129878997803,5.732377529144287,5.873957128216961,5.518381143808449,2012-10-31 00:00:00-04:00,2012-10-01 00:00:00-04:00,3.8191424242570715
2012-11,Aberdeen Income Credit Strategi,5.795303412661055,5.7581634521484375,5.859515808919315,5.330577030267975,2012-11-21 00:00:00-05:00,2012-11-15 00:00:00-05:00,0.4498294620870702
2012-12,Aberdeen Income Credit Strategi,5.815174539261232,5.832167625427246,5.882730712327143,5.700990885751903,2012-12-26 00:00:00-05:00,2012-12-21 00:00:00-05:00,1.2852044561395104
2013-01,Aberdeen Income Credit Strategi,5.841798644834179,6.121049880981445,6.1531480986189555,5.835378870196951,2013-01-31 00:00:00-05:00,2013-01-02 00:00:00-05:00,4.953257075374906
2013-02,Aberdeen Income Credit Strategi,6.1467264556969035,6.082643032073975,6.3378336002082865,5.995867400575522,2013-02-20 00:00:00-05:00,2013-02-11 00:00:00-05:00,-0.6274552512111287
2013-03,Aberdeen Income Credit Strategi,6.124633911543057,6.4038214683532715,6.436329675278599,6.060027882604653,2013-03-27 00:00:00-04:00,2013-03-01 00:00:00-05:00,5.280244699314296
2013-04,Aberdeen Income Credit Strategi,6.436329403114404,6.244510650634766,6.502267322656197,6.147102338206417,2013-04-12 00:00:00-04:00,2013-04-22 00:00:00-04:00,-2.487746082644493
2013-05,Aberdeen Income Credit Strategi,6.257947164673469,5.899989128112793,6.378873334179324,5.899989128112793,2013-05-08 00:00:00-04:00,2013-05-31 00:00:00-04:00,-5.5171900857748035
2013-06,Aberdeen Income Credit Strategi,5.937181323914886,5.837025165557861,5.954087020469853,5.530529428421708,2013-06-03 00:00:00-04:00,2013-06-25 00:00:00-04:00,-1.0671877725149548
2013-07,Aberdeen Income Credit Strategi,5.881295109249552,6.0370097160339355,6.040440578172486,5.571395338718239,2013-07-31 00:00:00-04:00,2013-07-08 00:00:00-04:00,3.4261382263024887
2013-08,Aberdeen Income Credit Strategi,6.057595299505632,5.958265781402588,6.081605869602269,5.795925851347439,2013-08-01 00:00:00-04:00,2013-08-19 00:00:00-04:00,-1.3043532863995289
2013-09,Aberdeen Income Credit Strategi,5.9582642611912116,5.876049518585205,6.020439720740127,5.74384729276937,2013-09-12 00:00:00-04:00,2013-09-18 00:00:00-04:00,-1.3798690060789598
2013-10,Aberdeen Income Credit Strategi,5.896923607328365,6.027449131011963,6.027449131011963,5.771680099134529,2013-10-31 00:00:00-04:00,2013-10-09 00:00:00-04:00,2.5765544001612017
2013-11,Aberdeen Income Credit Strategi,6.03095441340241,5.954472541809082,6.055484443423923,5.873291735435387,2013-11-01 00:00:00-04:00,2013-11-26 00:00:00-05:00,-1.2107375378318408
2013-12,Aberdeen Income Credit Strategi,5.90506108255121,6.354474067687988,6.430378406080707,5.894472072027307,2013-12-30 00:00:00-05:00,2013-12-05 00:00:00-05:00,6.717665134406325
2014-01,Aberdeen Income Credit Strategi,6.329169979430314,6.224346160888672,6.397848599979524,6.180972357453306,2014-01-24 00:00:00-05:00,2014-01-03 00:00:00-05:00,-2.0478155298643275
2014-02,Aberdeen Income Credit Strategi,6.206273334641919,6.471477508544922,6.511517491066605,6.184586075490904,2014-02-25 00:00:00-05:00,2014-02-03 00:00:00-05:00,3.9703985168615175
2014-03,Aberdeen Income Credit Strategi,6.4714794523002,6.450126647949219,6.5369961864465544,6.362171335653403,2014-03-07 00:00:00-05:00,2014-03-27 00:00:00-04:00,-0.32992250328478523
2014-04,Aberdeen Income Credit Strategi,6.4354704558584555,6.513583183288574,6.524654614980845,6.413477743128852,2014-04-30 00:00:00-04:00,2014-04-03 00:00:00-04:00,0.9838029360172529
2014-05,Aberdeen Income Credit Strategi,6.502513765588429,6.558313369750977,6.591756379289567,6.465419367305544,2014-05-08 00:00:00-04:00,2014-05-15 00:00:00-04:00,0.6867216584746094
2014-06,Aberdeen Income Credit Strategi,6.550883022289166,6.726783752441406,6.734271199819016,6.532303464793551,2014-06-17 00:00:00-04:00,2014-06-03 00:00:00-04:00,2.5688065390023773
2014-07,Aberdeen Income Credit Strategi,6.7305284996113395,6.629453182220459,6.795191416421012,6.610619944577301,2014-07-18 00:00:00-04:00,2014-07-31 00:00:00-04:00,-1.446910942924573
2014-08,Aberdeen Income Credit Strategi,6.670889007492738,6.6534905433654785,6.7141823377843375,6.5131353091336415,2014-08-15 00:00:00-04:00,2014-08-08 00:00:00-04:00,0.3625843713548793
2014-09,Aberdeen Income Credit Strategi,6.6572822947727515,6.417919158935547,6.661075681501486,6.307134421291011,2014-09-02 00:00:00-04:00,2014-09-29 00:00:00-04:00,-3.5405684113405944
2014-10,Aberdeen Income Credit Strategi,6.379718676291046,6.295289993286133,6.518471717834473,6.060561818912947,2014-10-08 00:00:00-04:00,2014-10-16 00:00:00-04:00,-1.9107309178034715
2014-11,Aberdeen Income Credit Strategi,6.272198768533864,6.207026958465576,6.3222221234322715,6.098472837494432,2014-11-03 00:00:00-05:00,2014-11-20 00:00:00-05:00,-1.4020487525545078
2014-12,Aberdeen Income Credit Strategi,6.207029480607139,6.113821506500244,6.280692378494838,5.720214504583471,2014-12-01 00:00:00-05:00,2014-12-16 00:00:00-05:00,-1.5016118439474813
2015-01,Aberdeen Income Credit Strategi,6.101682470020187,6.0490803718566895,6.178560718934429,5.980295793071679,2015-01-08 00:00:00-05:00,2015-01-15 00:00:00-05:00,-1.058930728918428
2015-02,Aberdeen Income Credit Strategi,6.069311839612065,6.32274055480957,6.32274055480957,6.020757742650952,2015-02-27 00:00:00-05:00,2015-02-02 00:00:00-05:00,4.523996477647807
2015-03,Aberdeen Income Credit Strategi,6.290106915826958,6.224976539611816,6.355372937897685,6.1262977515797905,2015-03-05 00:00:00-05:00,2015-03-19 00:00:00-04:00,-1.5462284803602566
2015-04,Aberdeen Income Credit Strategi,6.233198642730713,6.391224384307861,6.420241191981859,6.192082690003226,2015-04-29 00:00:00-04:00,2015-04-01 00:00:00-04:00,2.670658172575413
2015-05,Aberdeen Income Credit Strategi,6.403662350262155,6.313543796539307,6.411951605034413,6.238331857769393,2015-05-01 00:00:00-04:00,2015-05-13 00:00:00-04:00,-1.2154257634778287
2015-06,Aberdeen Income Credit Strategi,6.313545573368514,5.985625743865967,6.367863051066579,5.964563369750977,2015-06-03 00:00:00-04:00,2015-06-29 00:00:00-04:00,-5.193882599707067
2015-07,Aberdeen Income Credit Strategi,6.031960668504587,5.981725692749023,6.246784381904857,5.922250009852644,2015-07-06 00:00:00-04:00,2015-07-30 00:00:00-04:00,-0.06515694906150671
2015-08,Aberdeen Income Credit Strategi,6.002968283193484,5.614781379699707,6.083685935050207,5.430479123548269,2015-08-04 00:00:00-04:00,2015-08-24 00:00:00-04:00,-6.134422270384643
