Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Aberdeen Focused U.S. Equity Fu,5.3369550704956055,5.761196136474609,5.761196136474609,5.226651668548584,2019-01-31 00:00:00-05:00,2019-01-03 00:00:00-05:00,
2019-02,Aberdeen Focused U.S. Equity Fu,5.744225978851318,5.939377784729004,5.94786262512207,5.727256774902344,2019-02-27 00:00:00-05:00,2019-02-07 00:00:00-05:00,3.092789136726526
2019-03,Aberdeen Focused U.S. Equity Fu,5.990286350250244,6.109073638916016,6.134528636932373,5.863013744354248,2019-03-21 00:00:00-04:00,2019-03-08 00:00:00-05:00,2.8571318467621953
2019-04,Aberdeen Focused U.S. Equity Fu,6.168467998504639,6.329679489135742,6.33816385269165,6.168467998504639,2019-04-26 00:00:00-04:00,2019-04-01 00:00:00-04:00,3.6111178757843643
2019-05,Aberdeen Focused U.S. Equity Fu,6.253315448760986,6.041195392608643,6.321194171905518,6.041195392608643,2019-05-03 00:00:00-04:00,2019-05-31 00:00:00-04:00,-4.557641457553318
2019-06,Aberdeen Focused U.S. Equity Fu,5.981801986694336,6.363618850708008,6.414527416229248,5.981801986694336,2019-06-20 00:00:00-04:00,2019-06-03 00:00:00-04:00,5.337080447585718
2019-07,Aberdeen Focused U.S. Equity Fu,6.40604305267334,6.516345500946045,6.62664794921875,6.40604305267334,2019-07-26 00:00:00-04:00,2019-07-01 00:00:00-04:00,2.39999682289338
2019-08,Aberdeen Focused U.S. Equity Fu,6.473921298980713,6.490890979766846,6.490890979766846,6.270285606384277,2019-08-08 00:00:00-04:00,2019-08-05 00:00:00-04:00,-0.3906257146049641
2019-09,Aberdeen Focused U.S. Equity Fu,6.448466777801514,6.5333147048950195,6.643618106842041,6.448466777801514,2019-09-19 00:00:00-04:00,2019-09-03 00:00:00-04:00,0.6535886253584478
2019-10,Aberdeen Focused U.S. Equity Fu,6.439981937408447,6.7199811935424805,6.74543571472168,6.33816385269165,2019-10-30 00:00:00-04:00,2019-10-02 00:00:00-04:00,2.857148278921917
2019-11,Aberdeen Focused U.S. Equity Fu,6.770890235900879,6.999980449676514,7.033919811248779,6.753920555114746,2019-11-27 00:00:00-05:00,2019-11-05 00:00:00-05:00,4.166667257984247
2019-12,Aberdeen Focused U.S. Equity Fu,6.932101726531982,7.169981956481934,7.2059221267700195,6.906647682189941,2019-12-26 00:00:00-05:00,2019-12-03 00:00:00-05:00,2.428599737207504
2020-01,Aberdeen Focused U.S. Equity Fu,7.2418622970581055,7.385621070861816,7.547349452972412,7.214906692504883,2020-01-22 00:00:00-05:00,2020-01-03 00:00:00-05:00,3.0075265975381793
2020-02,Aberdeen Focused U.S. Equity Fu,7.439529895782471,6.8195695877075195,7.789943218231201,6.8195695877075195,2020-02-19 00:00:00-05:00,2020-02-28 00:00:00-05:00,-7.664236734098317
2020-03,Aberdeen Focused U.S. Equity Fu,7.143027305603027,6.055849552154541,7.2508463859558105,5.23822021484375,2020-03-04 00:00:00-05:00,2020-03-23 00:00:00-04:00,-11.198947759542
2020-04,Aberdeen Focused U.S. Equity Fu,5.786301612854004,6.783629894256592,6.8644938468933105,5.786301612854004,2020-04-29 00:00:00-04:00,2020-04-01 00:00:00-04:00,12.017807507174982
2020-05,Aberdeen Focused U.S. Equity Fu,6.612915992736816,7.098102569580078,7.098102569580078,6.576976299285889,2020-05-29 00:00:00-04:00,2020-05-13 00:00:00-04:00,4.635758144614233
2020-06,Aberdeen Focused U.S. Equity Fu,7.125057220458984,7.169981956481934,7.3946051597595215,6.97231388092041,2020-06-08 00:00:00-04:00,2020-06-11 00:00:00-04:00,1.0126563570651115
2020-07,Aberdeen Focused U.S. Equity Fu,7.232876777648926,7.673138618469238,7.709078311920166,7.232876777648926,2020-07-22 00:00:00-04:00,2020-07-01 00:00:00-04:00,7.017544326348446
2020-08,Aberdeen Focused U.S. Equity Fu,7.682124137878418,8.149340629577637,8.20324993133545,7.682124137878418,2020-08-28 00:00:00-04:00,2020-08-03 00:00:00-04:00,6.20609159806107
2020-09,Aberdeen Focused U.S. Equity Fu,8.239190101623535,7.825882911682129,8.36497974395752,7.574304580688477,2020-09-02 00:00:00-04:00,2020-09-23 00:00:00-04:00,-3.9691274742097993
2020-10,Aberdeen Focused U.S. Equity Fu,7.888777256011963,7.592274188995361,8.230204582214355,7.58328914642334,2020-10-12 00:00:00-04:00,2020-10-28 00:00:00-04:00,-2.985078173582778
2020-11,Aberdeen Focused U.S. Equity Fu,7.673138618469238,8.391934394836426,8.418889045715332,7.673138618469238,2020-11-27 00:00:00-05:00,2020-11-02 00:00:00-05:00,10.532551722119488
2020-12,Aberdeen Focused U.S. Equity Fu,8.427873611450195,9.109999656677246,9.15999984741211,8.409903526306152,2020-12-24 00:00:00-05:00,2020-12-02 00:00:00-05:00,8.556611956864767
2021-01,Aberdeen Focused U.S. Equity Fu,8.970000267028809,9.1899995803833,9.65999984741211,8.970000267028809,2021-01-22 00:00:00-05:00,2021-01-04 00:00:00-05:00,0.8781550682871675
2021-02,Aberdeen Focused U.S. Equity Fu,9.390000343322754,9.350000381469727,9.949999809265137,9.350000381469727,2021-02-09 00:00:00-05:00,2021-02-26 00:00:00-05:00,1.74103164735675
2021-03,Aberdeen Focused U.S. Equity Fu,9.5600004196167,9.600000381469727,9.829999923706055,9.0,2021-03-15 00:00:00-04:00,2021-03-04 00:00:00-05:00,2.673796682355878
2021-04,Aberdeen Focused U.S. Equity Fu,9.760000228881836,10.15999984741211,10.329999923706055,9.739999771118164,2021-04-26 00:00:00-04:00,2021-04-07 00:00:00-04:00,5.833327538437549
2021-05,Aberdeen Focused U.S. Equity Fu,10.149999618530273,10.010000228881836,10.149999618530273,9.65999984741211,2021-05-03 00:00:00-04:00,2021-05-12 00:00:00-04:00,-1.476374220305532
2021-06,Aberdeen Focused U.S. Equity Fu,10.010000228881836,10.229999542236328,10.300000190734863,9.829999923706055,2021-06-28 00:00:00-04:00,2021-06-03 00:00:00-04:00,2.19779528795343
2021-07,Aberdeen Focused U.S. Equity Fu,10.3100004196167,10.569999694824219,10.569999694824219,9.979999542236328,2021-07-30 00:00:00-04:00,2021-07-19 00:00:00-04:00,3.323559802560516
2021-08,Aberdeen Focused U.S. Equity Fu,10.529999732971191,11.15999984741211,11.15999984741211,10.529999732971191,2021-08-30 00:00:00-04:00,2021-08-02 00:00:00-04:00,5.581836987912059
2021-09,Aberdeen Focused U.S. Equity Fu,11.239999771118164,10.720000267028809,11.329999923706055,10.720000267028809,2021-09-02 00:00:00-04:00,2021-09-30 00:00:00-04:00,-3.9426486236496916
2021-10,Aberdeen Focused U.S. Equity Fu,10.819999694824219,11.680000305175781,11.680000305175781,10.680000305175781,2021-10-29 00:00:00-04:00,2021-10-04 00:00:00-04:00,8.95522401337634
2021-11,Aberdeen Focused U.S. Equity Fu,11.869999885559082,11.75,12.390000343322754,11.75,2021-11-16 00:00:00-05:00,2021-11-30 00:00:00-05:00,0.5993124400279326
2021-12,Aberdeen Focused U.S. Equity Fu,11.539999961853027,8.899999618530273,11.90999984741211,8.899999618530273,2021-12-08 00:00:00-05:00,2021-12-30 00:00:00-05:00,-24.255322395487035
2022-01,Aberdeen Focused U.S. Equity Fu,8.859999656677246,7.690000057220459,8.859999656677246,7.25,2022-01-03 00:00:00-05:00,2022-01-27 00:00:00-05:00,-13.59550127160153
2022-02,Aberdeen Focused U.S. Equity Fu,7.75,7.739999771118164,7.909999847412109,7.210000038146973,2022-02-09 00:00:00-05:00,2022-02-23 00:00:00-05:00,0.6501913332335851
2022-03,Aberdeen Focused U.S. Equity Fu,7.619999885559082,7.789999961853027,8.0,7.269999980926514,2022-03-29 00:00:00-04:00,2022-03-07 00:00:00-05:00,0.6459973154190335
2022-04,Aberdeen Focused U.S. Equity Fu,7.840000152587891,6.880000114440918,7.880000114440918,6.880000114440918,2022-04-04 00:00:00-04:00,2022-04-29 00:00:00-04:00,-11.681641230658556
2022-05,Aberdeen Focused U.S. Equity Fu,6.96999979019165,6.920000076293945,7.230000019073486,6.289999961853027,2022-05-04 00:00:00-04:00,2022-05-11 00:00:00-04:00,0.5813947847045586
2022-06,Aberdeen Focused U.S. Equity Fu,6.880000114440918,6.320000171661377,7.139999866485596,6.079999923706055,2022-06-07 00:00:00-04:00,2022-06-16 00:00:00-04:00,-8.67051875747814
2022-07,Aberdeen Focused U.S. Equity Fu,6.360000133514404,7.119999885559082,7.119999885559082,6.21999979019165,2022-07-29 00:00:00-04:00,2022-07-14 00:00:00-04:00,12.65822297734851
2022-08,Aberdeen Focused U.S. Equity Fu,7.119999885559082,6.849999904632568,7.46999979019165,6.849999904632568,2022-08-15 00:00:00-04:00,2022-08-31 00:00:00-04:00,-3.792134624526222
2022-09,Aberdeen Focused U.S. Equity Fu,6.769999980926514,6.210000038146973,7.159999847412109,6.199999809265137,2022-09-12 00:00:00-04:00,2022-09-26 00:00:00-04:00,-9.343063874391767
2022-10,Aberdeen Focused U.S. Equity Fu,6.429999828338623,6.639999866485596,6.710000038146973,6.170000076293945,2022-10-04 00:00:00-04:00,2022-10-14 00:00:00-04:00,6.924312813159528
2022-11,Aberdeen Focused U.S. Equity Fu,6.650000095367432,6.96999979019165,6.96999979019165,6.380000114440918,2022-11-30 00:00:00-05:00,2022-11-09 00:00:00-05:00,4.969878468999367
2022-12,Aberdeen Focused U.S. Equity Fu,7.0,6.570000171661377,7.0,6.440000057220459,2022-12-01 00:00:00-05:00,2022-12-28 00:00:00-05:00,-5.738875617947114
2023-01,Aberdeen Focused U.S. Equity Fu,6.559999942779541,7.190000057220459,7.190000057220459,6.559999942779541,2023-01-31 00:00:00-05:00,2023-01-03 00:00:00-05:00,9.436832105931291
2023-02,Aberdeen Focused U.S. Equity Fu,7.400000095367432,6.929999828338623,7.480000019073486,6.929999828338623,2023-02-02 00:00:00-05:00,2023-02-28 00:00:00-05:00,-3.6161366733333256
2023-03,Aberdeen Focused U.S. Equity Fu,6.960000038146973,6.610000133514404,7.059999942779541,6.230000019073486,2023-03-03 00:00:00-05:00,2023-03-17 00:00:00-04:00,-4.617600328295168
2023-04,Aberdeen Focused U.S. Equity Fu,6.559999942779541,6.5,6.559999942779541,6.329999923706055,2023-04-03 00:00:00-04:00,2023-04-26 00:00:00-04:00,-1.6641472207644226
2023-05,Aberdeen Focused U.S. Equity Fu,6.489999771118164,6.440000057220459,6.550000190734863,6.269999980926514,2023-05-22 00:00:00-04:00,2023-05-04 00:00:00-04:00,-0.923076042762172
2023-06,Aberdeen Focused U.S. Equity Fu,6.510000228881836,7.050000190734863,7.050000190734863,6.510000228881836,2023-06-30 00:00:00-04:00,2023-06-01 00:00:00-04:00,9.472051678485283
2023-07,Aberdeen Focused U.S. Equity Fu,7.050000190734863,7.210000038146973,7.409999847412109,6.849999904632568,2023-07-19 00:00:00-04:00,2023-07-06 00:00:00-04:00,2.269501320331613
2023-08,Aberdeen Focused U.S. Equity Fu,7.170000076293945,7.0,7.170000076293945,6.690000057220459,2023-08-01 00:00:00-04:00,2023-08-17 00:00:00-04:00,-2.912621872897303
2023-09,Aberdeen Focused U.S. Equity Fu,7.039999961853027,6.53000020980835,7.039999961853027,6.46999979019165,2023-09-01 00:00:00-04:00,2023-09-26 00:00:00-04:00,-6.714282717023579
2023-10,Aberdeen Focused U.S. Equity Fu,6.440000057220459,5.989999771118164,6.53000020980835,5.889999866485596,2023-10-10 00:00:00-04:00,2023-10-27 00:00:00-04:00,-8.269531720367807
2023-11,Aberdeen Focused U.S. Equity Fu,6.010000228881836,6.630000114440918,6.630000114440918,6.010000228881836,2023-11-30 00:00:00-05:00,2023-11-01 00:00:00-04:00,10.684480263398811
2023-12,Aberdeen Focused U.S. Equity Fu,6.78000020980835,7.210000038146973,7.300000190734863,6.710000038146973,2023-12-26 00:00:00-05:00,2023-12-06 00:00:00-05:00,8.748113328727513
2024-01,Aberdeen Focused U.S. Equity Fu,7.139999866485596,7.139999866485596,7.28000020980835,6.960000038146973,2024-01-22 00:00:00-05:00,2024-01-05 00:00:00-05:00,-0.970876162150025
2024-02,Aberdeen Focused U.S. Equity Fu,7.210000038146973,7.570000171661377,7.570000171661377,7.179999828338623,2024-02-29 00:00:00-05:00,2024-02-05 00:00:00-05:00,6.022413350372147
2024-03,Aberdeen Focused U.S. Equity Fu,7.570000171661377,7.710000038146973,7.710000038146973,7.409999847412109,2024-03-28 00:00:00-04:00,2024-03-18 00:00:00-04:00,1.8494037425480059
2024-04,Aberdeen Focused U.S. Equity Fu,7.650000095367432,7.550000190734863,7.650000095367432,7.550000190734863,2024-04-01 00:00:00-04:00,2024-04-02 00:00:00-04:00,-2.0752249885923946
