Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
1996-06,"AB Municipal Income Fund, Inc. ",3.966193199157715,4.0384931564331055,4.0384931564331055,3.966193199157715,1996-06-28 00:00:00-04:00,1996-06-20 00:00:00-04:00,
1996-07,"AB Municipal Income Fund, Inc. ",4.030623435974121,4.075158596038818,4.075158596038818,3.948046922683716,1996-07-31 00:00:00-04:00,1996-07-05 00:00:00-04:00,0.9078990154361533
1996-08,"AB Municipal Income Fund, Inc. ",4.1028008460998535,4.063901901245117,4.158082962036133,4.063901901245117,1996-08-09 00:00:00-04:00,1996-08-30 00:00:00-04:00,-0.2762271584875964
1996-09,"AB Municipal Income Fund, Inc. ",4.063901901245117,4.147712230682373,4.147712230682373,4.044078350067139,1996-09-30 00:00:00-04:00,1996-09-05 00:00:00-04:00,2.0623118242981686
1996-10,"AB Municipal Income Fund, Inc. ",4.159653663635254,4.200783729553223,4.200783729553223,4.147712230682373,1996-10-31 00:00:00-05:00,1996-10-16 00:00:00-04:00,1.2795366679071218
1996-11,"AB Municipal Income Fund, Inc. ",4.200783729553223,4.285295486450195,4.285295486450195,4.200783729553223,1996-11-29 00:00:00-05:00,1996-11-01 00:00:00-05:00,2.0118092798355303
1996-12,"AB Municipal Income Fund, Inc. ",4.281285762786865,4.2664971351623535,4.285295486450195,4.213068008422852,1996-12-03 00:00:00-05:00,1996-12-17 00:00:00-05:00,-0.43867106357731167
1997-01,"AB Municipal Income Fund, Inc. ",4.2463555335998535,4.259366512298584,4.259366512298584,4.220959186553955,1997-01-31 00:00:00-05:00,1997-01-27 00:00:00-05:00,-0.16713061412845232
1997-02,"AB Municipal Income Fund, Inc. ",4.267461776733398,4.303415298461914,4.328136444091797,4.267461776733398,1997-02-14 00:00:00-05:00,1997-02-03 00:00:00-05:00,1.0341628511221668
1997-03,"AB Municipal Income Fund, Inc. ",4.291234970092773,4.240448951721191,4.291234970092773,4.238407135009766,1997-03-03 00:00:00-05:00,1997-03-27 00:00:00-05:00,-1.4631715131752987
1997-04,"AB Municipal Income Fund, Inc. ",4.240448951721191,4.277682304382324,4.277682304382324,4.220061302185059,1997-04-30 00:00:00-04:00,1997-04-11 00:00:00-04:00,0.8780521375223671
1997-05,"AB Municipal Income Fund, Inc. ",4.281774044036865,4.340426921844482,4.340426921844482,4.281774044036865,1997-05-30 00:00:00-04:00,1997-05-01 00:00:00-04:00,1.4667900278120038
1997-06,"AB Municipal Income Fund, Inc. ",4.340426921844482,4.41068696975708,4.4296488761901855,4.340426921844482,1997-06-20 00:00:00-04:00,1997-06-02 00:00:00-04:00,1.6187358796203366
1997-07,"AB Municipal Income Fund, Inc. ",4.414815902709961,4.539974689483643,4.539974689483643,4.414815902709961,1997-07-31 00:00:00-04:00,1997-07-01 00:00:00-04:00,2.9312377099770304
1997-08,"AB Municipal Income Fund, Inc. ",4.515120506286621,4.503529071807861,4.515120506286621,4.4819817543029785,1997-08-01 00:00:00-04:00,1997-08-11 00:00:00-04:00,-0.8027713846115336
1997-09,"AB Municipal Income Fund, Inc. ",4.503529071807861,4.549736976623535,4.549736976623535,4.499373435974121,1997-09-30 00:00:00-04:00,1997-09-11 00:00:00-04:00,1.0260376713217223
1997-10,"AB Municipal Income Fund, Inc. ",4.558089256286621,4.584553241729736,4.584553241729736,4.524691581726074,1997-10-31 00:00:00-05:00,1997-10-17 00:00:00-04:00,0.7652368760015404
1997-11,"AB Municipal Income Fund, Inc. ",4.576168537139893,4.610183238983154,4.610183238983154,4.571980953216553,1997-11-28 00:00:00-05:00,1997-11-04 00:00:00-05:00,0.5590511419984789
1997-12,"AB Municipal Income Fund, Inc. ",4.614389419555664,4.6620049476623535,4.6620049476623535,4.610183238983154,1997-12-31 00:00:00-05:00,1997-12-08 00:00:00-05:00,1.124070476006267
1998-01,"AB Municipal Income Fund, Inc. ",4.670450210571289,4.700871467590332,4.707205295562744,4.670450210571289,1998-01-20 00:00:00-05:00,1998-01-02 00:00:00-05:00,0.8336868013721688
1998-02,"AB Municipal Income Fund, Inc. ",4.696629524230957,4.687722206115723,4.705111980438232,4.686872959136963,1998-02-12 00:00:00-05:00,1998-02-24 00:00:00-05:00,-0.279719655499322
1998-03,"AB Municipal Income Fund, Inc. ",4.67921257019043,4.689877510070801,4.696277141571045,4.662197113037109,1998-03-20 00:00:00-05:00,1998-03-05 00:00:00-05:00,0.045977638185679126
1998-04,"AB Municipal Income Fund, Inc. ",4.689877510070801,4.681787490844727,4.702696800231934,4.658631801605225,1998-04-03 00:00:00-05:00,1998-04-29 00:00:00-04:00,-0.17249958466296622
1998-05,"AB Municipal Income Fund, Inc. ",4.686075687408447,4.734627723693848,4.734627723693848,4.677496433258057,1998-05-29 00:00:00-04:00,1998-05-11 00:00:00-04:00,1.1286337312928163
1998-06,"AB Municipal Income Fund, Inc. ",4.734627723693848,4.7782206535339355,4.7782206535339355,4.726022243499756,1998-06-30 00:00:00-04:00,1998-06-04 00:00:00-04:00,0.9207256068292979
1998-07,"AB Municipal Income Fund, Inc. ",4.7782206535339355,4.788217067718506,4.788217067718506,4.769584655761719,1998-07-31 00:00:00-04:00,1998-07-14 00:00:00-04:00,0.20920788112155364
1998-08,"AB Municipal Income Fund, Inc. ",4.783880710601807,4.832564353942871,4.832564353942871,4.783880710601807,1998-08-31 00:00:00-04:00,1998-08-03 00:00:00-04:00,0.9261753508074788
1998-09,"AB Municipal Income Fund, Inc. ",4.8282151222229,4.8722825050354,4.8722825050354,4.823860168457031,1998-09-30 00:00:00-04:00,1998-09-08 00:00:00-04:00,0.8218856115205897
1998-10,"AB Municipal Income Fund, Inc. ",4.88539457321167,4.86047887802124,4.9028754234313965,4.849516868591309,1998-10-05 00:00:00-04:00,1998-10-23 00:00:00-04:00,-0.24226072691724276
1998-11,"AB Municipal Income Fund, Inc. ",4.851701736450195,4.874156475067139,4.874156475067139,4.834158897399902,1998-11-30 00:00:00-05:00,1998-11-06 00:00:00-05:00,0.2814043099281349
1998-12,"AB Municipal Income Fund, Inc. ",4.874156475067139,4.892356872558594,4.899025917053223,4.874156475067139,1998-12-18 00:00:00-05:00,1998-12-01 00:00:00-05:00,0.3734060977433895
1999-01,"AB Municipal Income Fund, Inc. ",4.8878912925720215,4.937971115112305,4.937971115112305,4.8745198249816895,1999-01-29 00:00:00-05:00,1999-01-11 00:00:00-05:00,0.932357220495561
1999-02,"AB Municipal Income Fund, Inc. ",4.933494567871094,4.9196391105651855,4.933494567871094,4.9097514152526855,1999-02-01 00:00:00-05:00,1999-02-25 00:00:00-05:00,-0.37124568207811404
1999-03,"AB Municipal Income Fund, Inc. ",4.910653591156006,4.935396671295166,4.937644004821777,4.89716911315918,1999-03-19 00:00:00-05:00,1999-03-04 00:00:00-05:00,0.3202991190174975
1999-04,"AB Municipal Income Fund, Inc. ",4.930889129638672,4.9399003982543945,4.952114105224609,4.930889129638672,1999-04-20 00:00:00-04:00,1999-04-01 00:00:00-05:00,0.09125359640134167
1999-05,"AB Municipal Income Fund, Inc. ",4.9399003982543945,4.9041547775268555,4.9399003982543945,4.894619464874268,1999-05-03 00:00:00-04:00,1999-05-19 00:00:00-04:00,-0.7236101509287551
1999-06,"AB Municipal Income Fund, Inc. ",4.8950629234313965,4.83552885055542,4.8950629234313965,4.820470809936523,1999-06-01 00:00:00-04:00,1999-06-24 00:00:00-04:00,-1.3993425999911713
1999-07,"AB Municipal Income Fund, Inc. ",4.83552885055542,4.845081329345703,4.866124629974365,4.830964088439941,1999-07-20 00:00:00-04:00,1999-07-06 00:00:00-04:00,0.1975477571431794
