Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2017-03,Ambea AB,68.67034723490684,70.81629943847656,71.2454927798805,68.45575419006735,2017-03-31 00:00:00+02:00,2017-03-31 00:00:00+02:00,
2017-04,Ambea AB,71.24549385444949,69.95792388916016,73.39144312882556,67.81197518718788,2017-04-13 00:00:00+02:00,2017-04-06 00:00:00+02:00,-1.212115792723878
2017-05,Ambea AB,69.743329762233,78.75630950927734,81.76064122580203,68.67034999151346,2017-05-31 00:00:00+02:00,2017-05-02 00:00:00+02:00,12.57668199824964
2017-06,Ambea AB,78.54171539370195,82.4044189453125,89.48606196402027,77.25413986164298,2017-06-27 00:00:00+02:00,2017-06-02 00:00:00+02:00,4.632148787527202
2017-07,Ambea AB,82.6190186943438,75.32279205322266,84.33577756202743,74.24981954290585,2017-07-03 00:00:00+02:00,2017-07-25 00:00:00+02:00,-8.593746528070966
2017-08,Ambea AB,75.53738387205368,75.32279205322266,78.54170989990234,73.82062343035656,2017-08-03 00:00:00+02:00,2017-08-21 00:00:00+02:00,0.0
2017-09,Ambea AB,75.3227833768092,73.60603332519531,78.54170989990234,71.2454980191711,2017-09-12 00:00:00+02:00,2017-09-27 00:00:00+02:00,-2.279202192630214
2017-10,Ambea AB,73.60602945879639,75.5373764038086,77.03954822253966,69.9579209077346,2017-10-04 00:00:00+02:00,2017-10-12 00:00:00+02:00,2.6238923514333434
2017-11,Ambea AB,74.6790141810964,64.59304809570312,74.6790141810964,62.01791091188162,2017-11-01 00:00:00+01:00,2017-11-22 00:00:00+01:00,-14.488626464333565
2017-12,Ambea AB,65.23682827887414,63.305477142333984,66.30980581547176,60.944933011976595,2017-12-04 00:00:00+01:00,2017-12-12 00:00:00+01:00,-1.9933584051668118
2018-01,Ambea AB,61.80331523016441,67.81198120117188,71.15966250254473,60.94492860024317,2018-01-23 00:00:00+01:00,2018-01-02 00:00:00+01:00,7.118663759070354
2018-02,Ambea AB,64.3784542992971,57.51142120361328,67.6402945334499,54.76460190678829,2018-02-01 00:00:00+01:00,2018-02-21 00:00:00+01:00,-15.189882105052831
