Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2020-12,Annehem Fastigheter AB ser. B,35.0,31.649999618530273,36.5,29.25,2020-12-11 00:00:00+01:00,2020-12-17 00:00:00+01:00,
2021-01,Annehem Fastigheter AB ser. B,31.649999618530273,29.899999618530273,31.700000762939453,28.200000762939453,2021-01-14 00:00:00+01:00,2021-01-28 00:00:00+01:00,-5.5292259750152395
2021-02,Annehem Fastigheter AB ser. B,30.0,27.200000762939453,30.850000381469727,26.549999237060547,2021-02-03 00:00:00+01:00,2021-02-26 00:00:00+01:00,-9.030096622200357
2021-03,Annehem Fastigheter AB ser. B,27.0,26.899999618530273,29.649999618530273,26.5,2021-03-12 00:00:00+01:00,2021-03-01 00:00:00+01:00,-1.1029453529204925
2021-04,Annehem Fastigheter AB ser. B,26.899999618530273,29.75,30.399999618530273,26.899999618530273,2021-04-30 00:00:00+02:00,2021-04-01 00:00:00+02:00,10.59479710738167
2021-05,Annehem Fastigheter AB ser. B,29.149999618530273,33.5,34.75,28.75,2021-05-07 00:00:00+02:00,2021-05-04 00:00:00+02:00,12.605042016806722
2021-06,Annehem Fastigheter AB ser. B,33.75,32.599998474121094,37.0,32.0,2021-06-15 00:00:00+02:00,2021-06-24 00:00:00+02:00,-2.6865717190415084
2021-07,Annehem Fastigheter AB ser. B,32.599998474121094,35.599998474121094,36.95000076293945,32.099998474121094,2021-07-27 00:00:00+02:00,2021-07-01 00:00:00+02:00,9.20245441846108
2021-08,Annehem Fastigheter AB ser. B,35.599998474121094,40.95000076293945,41.04999923706055,34.54999923706055,2021-08-31 00:00:00+02:00,2021-08-03 00:00:00+02:00,15.028096961036287
2021-09,Annehem Fastigheter AB ser. B,40.5,35.0,41.29999923706055,34.25,2021-09-03 00:00:00+02:00,2021-09-24 00:00:00+02:00,-14.529916122307673
2021-10,Annehem Fastigheter AB ser. B,35.0,36.900001525878906,36.95000076293945,32.25,2021-10-29 00:00:00+02:00,2021-10-12 00:00:00+02:00,5.428575788225443
2021-11,Annehem Fastigheter AB ser. B,36.95000076293945,36.29999923706055,38.79999923706055,35.5,2021-11-25 00:00:00+01:00,2021-11-30 00:00:00+01:00,-1.6260223956835462
2021-12,Annehem Fastigheter AB ser. B,36.29999923706055,37.29999923706055,38.75,35.20000076293945,2021-12-13 00:00:00+01:00,2021-12-03 00:00:00+01:00,2.754820994538898
2022-01,Annehem Fastigheter AB ser. B,37.349998474121094,35.0,37.95000076293945,33.0,2022-01-03 00:00:00+01:00,2022-01-25 00:00:00+01:00,-6.166217919852701
2022-02,Annehem Fastigheter AB ser. B,34.95000076293945,31.399999618530273,36.599998474121094,28.100000381469727,2022-02-04 00:00:00+01:00,2022-02-24 00:00:00+01:00,-10.285715375627792
2022-03,Annehem Fastigheter AB ser. B,31.350000381469727,30.0,32.20000076293945,28.200000762939453,2022-03-14 00:00:00+01:00,2022-03-07 00:00:00+01:00,-4.45859756540915
2022-04,Annehem Fastigheter AB ser. B,30.0,26.799999237060547,30.350000381469727,25.100000381469727,2022-04-01 00:00:00+02:00,2022-04-29 00:00:00+02:00,-10.666669209798174
2022-05,Annehem Fastigheter AB ser. B,27.0,27.5,29.700000762939453,26.0,2022-05-30 00:00:00+02:00,2022-05-09 00:00:00+02:00,2.61194321965299
2022-06,Annehem Fastigheter AB ser. B,28.0,22.450000762939453,29.5,22.25,2022-06-02 00:00:00+02:00,2022-06-22 00:00:00+02:00,-18.36363358931108
2022-07,Annehem Fastigheter AB ser. B,22.450000762939453,30.049999237060547,30.200000762939453,20.450000762939453,2022-07-26 00:00:00+02:00,2022-07-01 00:00:00+02:00,33.85299873426819
2022-08,Annehem Fastigheter AB ser. B,30.049999237060547,29.600000381469727,30.5,27.549999237060547,2022-08-12 00:00:00+02:00,2022-08-22 00:00:00+02:00,-1.4975003894037942
2022-09,Annehem Fastigheter AB ser. B,29.0,22.149999618530273,29.600000381469727,21.649999618530273,2022-09-02 00:00:00+02:00,2022-09-30 00:00:00+02:00,-25.168921172052826
2022-10,Annehem Fastigheter AB ser. B,22.100000381469727,21.549999237060547,23.950000762939453,20.0,2022-10-10 00:00:00+02:00,2022-10-19 00:00:00+02:00,-2.708805380600443
2022-11,Annehem Fastigheter AB ser. B,21.950000762939453,20.200000762939453,25.149999618530273,20.200000762939453,2022-11-09 00:00:00+01:00,2022-11-30 00:00:00+01:00,-6.264494301231515
2022-12,Annehem Fastigheter AB ser. B,20.25,19.799999237060547,21.149999618530273,18.940000534057617,2022-12-02 00:00:00+01:00,2022-12-12 00:00:00+01:00,-1.980205498867016
2023-01,Annehem Fastigheter AB ser. B,19.799999237060547,22.899999618530273,24.399999618530273,19.799999237060547,2023-01-18 00:00:00+01:00,2023-01-02 00:00:00+01:00,15.656568186463948
2023-02,Annehem Fastigheter AB ser. B,22.899999618530273,20.75,23.600000381469727,20.100000381469727,2023-02-02 00:00:00+01:00,2023-02-27 00:00:00+01:00,-9.388644778799616
2023-03,Annehem Fastigheter AB ser. B,20.149999618530273,19.0,20.850000381469727,17.979999542236328,2023-03-06 00:00:00+01:00,2023-03-24 00:00:00+01:00,-8.433734939759042
2023-04,Annehem Fastigheter AB ser. B,18.899999618530273,19.34000015258789,20.450000762939453,18.520000457763672,2023-04-03 00:00:00+02:00,2023-04-05 00:00:00+02:00,1.7894744873046875
2023-05,Annehem Fastigheter AB ser. B,19.0,17.760000228881836,19.979999542236328,17.360000610351562,2023-05-12 00:00:00+02:00,2023-05-09 00:00:00+02:00,-8.169596231852328
2023-06,Annehem Fastigheter AB ser. B,17.760000228881836,17.81999969482422,18.899999618530273,17.299999237060547,2023-06-12 00:00:00+02:00,2023-06-22 00:00:00+02:00,0.33783482640281637
