Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
1973-02,Ampco-Pittsburgh Corporation,0.0,2.1629180908203125,2.247032376130422,2.1256263995992724,1973-02-22 00:00:00-05:00,1973-02-28 00:00:00-05:00,
1973-03,Ampco-Pittsburgh Corporation,0.0,2.125626802444458,2.162918500732957,2.0510425567626953,1973-03-01 00:00:00-05:00,1973-03-05 00:00:00-05:00,-1.7241193059563065
1973-04,Ampco-Pittsburgh Corporation,0.0,2.200209379196167,2.312084432375633,2.0510421693325043,1973-04-23 00:00:00-05:00,1973-04-09 00:00:00-05:00,3.508733361187377
1973-05,Ampco-Pittsburgh Corporation,0.0,2.3866665363311768,2.4612512588500977,2.08833384513855,1973-05-24 00:00:00-04:00,1973-05-15 00:00:00-04:00,8.474518784349993
1973-06,Ampco-Pittsburgh Corporation,0.0,2.4612512588500977,2.5731259068446373,2.274793060999068,1973-06-13 00:00:00-04:00,1973-06-25 00:00:00-04:00,3.1250583767589823
1973-07,Ampco-Pittsburgh Corporation,0.0,2.6104178428649902,2.6850030422210693,2.3120842126699594,1973-07-20 00:00:00-04:00,1973-07-11 00:00:00-04:00,6.060599602682726
1973-08,Ampco-Pittsburgh Corporation,0.0,2.3866665363311768,2.573127508163452,2.274793863296509,1973-08-02 00:00:00-04:00,1973-08-14 00:00:00-04:00,-8.57147476008061
1973-09,Ampco-Pittsburgh Corporation,0.0,2.498542547225952,2.6104164474150715,2.312084515889486,1973-09-26 00:00:00-04:00,1973-09-21 00:00:00-04:00,4.68754261191231
1973-10,Ampco-Pittsburgh Corporation,0.0,2.423959255218506,2.5731259068446373,2.423959255218506,1973-10-17 00:00:00-04:00,1973-10-02 00:00:00-04:00,-2.9850719208385557
1973-11,Ampco-Pittsburgh Corporation,0.0,2.125626802444458,2.4612509360680215,2.0510434058674596,1973-11-05 00:00:00-05:00,1973-11-30 00:00:00-05:00,-12.307651299491617
1973-12,Ampco-Pittsburgh Corporation,0.0,2.0137505531311035,2.125625922463157,1.9764588762212683,1973-12-04 00:00:00-05:00,1973-12-06 00:00:00-05:00,-5.263212205674927
1974-01,Ampco-Pittsburgh Corporation,0.0,2.423959255218506,2.4612512588500977,2.0137508739124645,1974-01-29 00:00:00-04:00,1974-01-02 00:00:00-05:00,20.370383086901423
1974-02,Ampco-Pittsburgh Corporation,0.0,2.4612512588500977,2.4985429445902505,2.3120832070708275,1974-02-28 00:00:00-04:00,1974-02-19 00:00:00-04:00,1.5384748547776272
1974-03,Ampco-Pittsburgh Corporation,0.0,2.3493764400482178,2.573127508163452,2.3493764400482178,1974-03-14 00:00:00-04:00,1974-03-28 00:00:00-04:00,-4.545444858569536
1974-04,Ampco-Pittsburgh Corporation,2.3493764400482178,2.274793863296509,2.498542547225952,2.274793863296509,1974-04-22 00:00:00-04:00,1974-04-29 00:00:00-04:00,-3.1745690252251935
1974-05,Ampco-Pittsburgh Corporation,2.274793863296509,2.125626802444458,2.3866692819902973,2.125626802444458,1974-05-20 00:00:00-04:00,1974-05-29 00:00:00-04:00,-6.557388045521007
1974-06,Ampco-Pittsburgh Corporation,0.0,2.08833384513855,2.200209782041352,2.08833384513855,1974-06-07 00:00:00-04:00,1974-06-03 00:00:00-04:00,-1.7544451953193985
1974-07,Ampco-Pittsburgh Corporation,0.0,2.200209379196167,2.2747918605804442,2.0510421693325043,1974-07-22 00:00:00-04:00,1974-07-12 00:00:00-04:00,5.357167117606854
1974-08,Ampco-Pittsburgh Corporation,0.0,2.1629180908203125,2.3120858669281006,2.125626010409856,1974-08-09 00:00:00-04:00,1974-08-29 00:00:00-04:00,-1.6948972551638963
1974-09,Ampco-Pittsburgh Corporation,2.1629180908203125,2.200209379196167,2.3120855659735007,1.9391682147979736,1974-09-25 00:00:00-04:00,1974-09-18 00:00:00-04:00,1.7241193059563065
1974-10,Ampco-Pittsburgh Corporation,0.0,2.573127508163452,2.8341698779000177,2.12562518119812,1974-10-22 00:00:00-04:00,1974-10-09 00:00:00-04:00,16.94921094752939
1974-11,Ampco-Pittsburgh Corporation,0.0,2.200209379196167,2.573127508163452,2.200209379196167,1974-11-11 00:00:00-05:00,1974-11-29 00:00:00-05:00,-14.492796326034085
1974-12,Ampco-Pittsburgh Corporation,0.0,2.0137505531311035,2.312083530426025,1.9764588762212683,1974-12-05 00:00:00-05:00,1974-12-31 00:00:00-05:00,-8.474594637587863
1975-01,Ampco-Pittsburgh Corporation,0.0,2.5358331203460693,2.5731247838805706,1.97645902633667,1975-01-24 00:00:00-05:00,1975-01-02 00:00:00-05:00,25.92588076031561
1975-02,Ampco-Pittsburgh Corporation,0.0,2.274793863296509,2.610419211180314,2.274793863296509,1975-02-18 00:00:00-05:00,1975-02-27 00:00:00-04:00,-10.294023488972181
1975-03,Ampco-Pittsburgh Corporation,0.0,2.423959255218506,2.4612512588500977,2.274793060999068,1975-03-21 00:00:00-04:00,1975-03-05 00:00:00-04:00,6.557314679310533
1975-04,Ampco-Pittsburgh Corporation,0.0,3.0952091217041016,3.1325007978692114,2.237502451865904,1975-04-30 00:00:00-04:00,1975-04-08 00:00:00-04:00,27.692291652199685
1975-05,Ampco-Pittsburgh Corporation,0.0,3.2443764209747314,3.5427098170570703,3.132500502642463,1975-05-01 00:00:00-04:00,1975-05-15 00:00:00-04:00,4.819296319096655
1975-06,Ampco-Pittsburgh Corporation,0.0,3.580002784729004,3.6918764827177695,2.983335256576538,1975-06-27 00:00:00-04:00,1975-06-09 00:00:00-04:00,10.344865089773947
1975-07,Ampco-Pittsburgh Corporation,0.0,3.2443764209747314,4.400417745113373,3.1325029217919638,1975-07-16 00:00:00-04:00,1975-07-28 00:00:00-04:00,-9.375030801258955
1975-08,Ampco-Pittsburgh Corporation,0.0,2.9087517261505127,3.281667947769165,2.72229398727417,1975-08-01 00:00:00-04:00,1975-08-27 00:00:00-04:00,-10.344813649070495
1975-09,Ampco-Pittsburgh Corporation,0.0,2.647711992263794,2.9460433431573816,2.647711992263794,1975-09-05 00:00:00-04:00,1975-09-30 00:00:00-04:00,-8.974287201616304
1975-10,Ampco-Pittsburgh Corporation,0.0,2.3493764400482178,2.610419211180314,2.237502160619517,1975-10-22 00:00:00-04:00,1975-10-24 00:00:00-04:00,-11.267673866616413
1975-11,Ampco-Pittsburgh Corporation,0.0,2.573127508163452,2.871459882510336,2.274793863296509,1975-11-21 00:00:00-05:00,1975-11-11 00:00:00-05:00,9.52384914997455
1975-12,Ampco-Pittsburgh Corporation,0.0,2.498542547225952,2.6477109141971753,2.312084750523643,1975-12-01 00:00:00-05:00,1975-12-16 00:00:00-05:00,-2.898611153192887
1976-01,Ampco-Pittsburgh Corporation,0.0,3.0952091217041016,3.0952103286981583,2.5358368376610985,1976-01-23 00:00:00-05:00,1976-01-02 00:00:00-05:00,23.88058490901459
1976-02,Ampco-Pittsburgh Corporation,0.0,3.2070863246917725,3.580002784729004,3.1697921752929688,1976-02-20 00:00:00-05:00,1976-02-06 00:00:00-05:00,3.6145280848124406
1976-03,Ampco-Pittsburgh Corporation,0.0,3.4681272506713867,3.505418941538821,3.2070845853198655,1976-03-29 00:00:00-05:00,1976-03-01 00:00:00-05:00,8.139504196373704
1976-04,Ampco-Pittsburgh Corporation,0.0,2.983335256576538,3.5427098170570703,2.9833348592122397,1976-04-02 00:00:00-05:00,1976-04-28 00:00:00-04:00,-13.978494993256053
1976-05,Ampco-Pittsburgh Corporation,0.0,3.1697921752929688,3.356252431869507,2.9460418224334717,1976-05-18 00:00:00-04:00,1976-05-06 00:00:00-04:00,6.24994855356602
1976-06,Ampco-Pittsburgh Corporation,0.0,3.0952091217041016,3.2070849736531577,3.0206265449523926,1976-06-18 00:00:00-04:00,1976-06-25 00:00:00-04:00,-2.352931973591421
1976-07,Ampco-Pittsburgh Corporation,0.0,2.871460437774658,3.0579187870025635,2.834168743777585,1976-07-01 00:00:00-04:00,1976-07-29 00:00:00-04:00,-7.228871301796113
1976-08,Ampco-Pittsburgh Corporation,0.0,3.1697921752929688,3.1697921752929688,2.8341681957244873,1976-08-31 00:00:00-04:00,1976-08-02 00:00:00-04:00,10.389547200222381
1976-09,Ampco-Pittsburgh Corporation,0.0,3.617293119430542,3.766462564468384,3.1325016021728516,1976-09-24 00:00:00-04:00,1976-09-10 00:00:00-04:00,14.117674578971817
1976-10,Ampco-Pittsburgh Corporation,0.0,3.617293119430542,3.6545861760775247,3.542709756143314,1976-10-11 00:00:00-04:00,1976-10-13 00:00:00-04:00,0.0
