Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2005-07,ABSA GROUP LTD.  RC 2,2.910709554271307e-06,3.0724161206308054e-06,3.1263186883734306e-06,2.910709554271307e-06,2005-07-20 00:00:00+02:00,2005-07-19 00:00:00+02:00,
2005-08,ABSA GROUP LTD.  RC 2,3.0724161206308054e-06,3.0724161206308054e-06,3.0724161206308054e-06,3.0724161206308054e-06,2005-08-01 00:00:00+02:00,2005-08-01 00:00:00+02:00,0.0
2005-09,ABSA GROUP LTD.  RC 2,3.0724161206308054e-06,3.0724161206308054e-06,3.0724161206308054e-06,3.0724161206308054e-06,2005-09-01 00:00:00+02:00,2005-09-01 00:00:00+02:00,0.0
2005-10,ABSA GROUP LTD.  RC 2,3.0724161206308054e-06,3.0724161206308054e-06,3.0724161206308054e-06,3.0724161206308054e-06,2005-10-03 00:00:00+02:00,2005-10-03 00:00:00+02:00,0.0
2005-11,ABSA GROUP LTD.  RC 2,3.0724161206308054e-06,3.0724161206308054e-06,3.0724161206308054e-06,3.0724161206308054e-06,2005-11-01 00:00:00+01:00,2005-11-01 00:00:00+01:00,0.0
2005-12,ABSA GROUP LTD.  RC 2,3.0724161206308054e-06,3.5740349630941637e-06,3.574034963094164e-06,3.0724161206308054e-06,2005-12-26 00:00:00+01:00,2005-12-01 00:00:00+01:00,16.326526836487567
2006-01,ABSA GROUP LTD.  RC 2,3.574034963094164e-06,3.5740349630941637e-06,3.574034963094164e-06,3.574034963094164e-06,2006-01-02 00:00:00+01:00,2006-01-02 00:00:00+01:00,0.0
2006-02,ABSA GROUP LTD.  RC 2,3.574034963094164e-06,3.5740349630941637e-06,3.574034963094164e-06,3.574034963094164e-06,2006-02-01 00:00:00+01:00,2006-02-01 00:00:00+01:00,0.0
2006-03,ABSA GROUP LTD.  RC 2,3.574034963094164e-06,3.5740349630941637e-06,3.574034963094164e-06,3.574034963094164e-06,2006-03-01 00:00:00+01:00,2006-03-01 00:00:00+01:00,0.0
2006-04,ABSA GROUP LTD.  RC 2,3.574034963094164e-06,3.5740349630941637e-06,3.574034963094164e-06,3.574034963094164e-06,2006-04-03 00:00:00+02:00,2006-04-03 00:00:00+02:00,0.0
2006-05,ABSA GROUP LTD.  RC 2,3.574034963094164e-06,3.5740349630941637e-06,3.574034963094164e-06,3.574034963094164e-06,2006-05-02 00:00:00+02:00,2006-05-02 00:00:00+02:00,0.0
2006-06,ABSA GROUP LTD.  RC 2,3.574034963094164e-06,3.4893869269581046e-06,3.574034963094164e-06,3.210361001038109e-06,2006-06-01 00:00:00+02:00,2006-06-28 00:00:00+02:00,-2.3684165658742318
2006-07,ABSA GROUP LTD.  RC 2,3.398467924853321e-06,3.664953965198947e-06,3.664953965198947e-06,3.348306563566439e-06,2006-07-31 00:00:00+02:00,2006-07-18 00:00:00+02:00,5.03145801586109
2006-08,ABSA GROUP LTD.  RC 2,3.545819502446278e-06,3.5426839986030245e-06,3.580305701689213e-06,3.2981447475322057e-06,2006-08-01 00:00:00+02:00,2006-08-28 00:00:00+02:00,-3.3361937900708516
2006-09,ABSA GROUP LTD.  RC 2,3.417278776396415e-06,3.1852800930209924e-06,3.574034963094164e-06,3.1633344406145625e-06,2006-09-04 00:00:00+02:00,2006-09-25 00:00:00+02:00,-10.088506503062822
2006-10,ABSA GROUP LTD.  RC 2,3.1570637802841653e-06,3.5019274946535006e-06,3.5959810702479444e-06,2.9501463814085582e-06,2006-10-30 00:00:00+01:00,2006-10-04 00:00:00+02:00,9.940959425398365
2006-11,ABSA GROUP LTD.  RC 2,3.752737029572017e-06,3.856195689877495e-06,4.016087586933281e-06,3.652413852250902e-06,2006-11-27 00:00:00+01:00,2006-11-13 00:00:00+01:00,10.116377216971696
2006-12,ABSA GROUP LTD.  RC 2,3.7245201838231874e-06,4.279436780052492e-06,4.298247404221911e-06,3.7245201838231874e-06,2006-12-27 00:00:00+01:00,2006-12-01 00:00:00+01:00,10.975612344726283
2007-01,ABSA GROUP LTD.  RC 2,4.279436780052492e-06,4.4612738747673575e-06,4.64624417872983e-06,4.034897756355349e-06,2007-01-22 00:00:00+01:00,2007-01-08 00:00:00+01:00,4.24908940266282
2007-02,ABSA GROUP LTD.  RC 2,4.395436008053366e-06,4.376624474389246e-06,4.7308939283701025e-06,4.285706836526515e-06,2007-02-23 00:00:00+01:00,2007-02-14 00:00:00+01:00,-1.8974266712672105
