Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2018-03,UBSETF MSCI ACWI ESG hJPY ACC,1159.175048828125,1123.7041015625,1160.2547607421875,1104.4949951171875,2018-03-16 00:00:00+01:00,2018-03-23 00:00:00+01:00,
2018-04,UBSETF MSCI ACWI ESG hJPY ACC,1114.8660888671875,1120.0,1125.0,1114.8660888671875,2018-04-11 00:00:00+02:00,2018-04-03 00:00:00+02:00,-0.3296331798869012
2018-05,UBSETF MSCI ACWI ESG hJPY ACC,1120.0,1165.0,1165.0,1120.0,2018-05-25 00:00:00+02:00,2018-05-02 00:00:00+02:00,4.01785714285714
2018-06,UBSETF MSCI ACWI ESG hJPY ACC,1165.0,1166.0,1166.0,1162.0,2018-06-20 00:00:00+02:00,2018-06-20 00:00:00+02:00,0.08583690987125081
2018-07,UBSETF MSCI ACWI ESG hJPY ACC,1166.0,1166.0,1166.0,1166.0,2018-07-02 00:00:00+02:00,2018-07-02 00:00:00+02:00,0.0
2018-08,UBSETF MSCI ACWI ESG hJPY ACC,1166.0,1184.0,1202.0,1166.0,2018-08-08 00:00:00+02:00,2018-08-02 00:00:00+02:00,1.5437392795883298
2018-09,UBSETF MSCI ACWI ESG hJPY ACC,1184.0,1205.0,1206.0,1179.0,2018-09-27 00:00:00+02:00,2018-09-05 00:00:00+02:00,1.7736486486486402
2018-10,UBSETF MSCI ACWI ESG hJPY ACC,1205.0,1097.0,1205.0,1095.0,2018-10-01 00:00:00+02:00,2018-10-29 00:00:00+01:00,-8.962655601659753
2018-11,UBSETF MSCI ACWI ESG hJPY ACC,1115.0,1125.0,1146.0,1095.0,2018-11-08 00:00:00+01:00,2018-11-23 00:00:00+01:00,2.5524156791248753
2018-12,UBSETF MSCI ACWI ESG hJPY ACC,1151.0,1026.0,1151.0,1026.0,2018-12-03 00:00:00+01:00,2018-12-28 00:00:00+01:00,-8.799999999999997
2019-01,UBSETF MSCI ACWI ESG hJPY ACC,1042.0,1107.0,1108.0,1031.0,2019-01-28 00:00:00+01:00,2019-01-04 00:00:00+01:00,7.8947368421052655
2019-02,UBSETF MSCI ACWI ESG hJPY ACC,1114.0,1158.0,1158.0,1114.0,2019-02-26 00:00:00+01:00,2019-02-01 00:00:00+01:00,4.607046070460696
2019-03,UBSETF MSCI ACWI ESG hJPY ACC,1158.0,1168.0,1179.0,1143.0,2019-03-20 00:00:00+01:00,2019-03-11 00:00:00+01:00,0.8635578583765069
2019-04,UBSETF MSCI ACWI ESG hJPY ACC,1168.0,1212.0,1212.0,1168.0,2019-04-30 00:00:00+02:00,2019-04-01 00:00:00+02:00,3.767123287671237
2019-05,UBSETF MSCI ACWI ESG hJPY ACC,1212.0,1155.0,1212.0,1155.0,2019-05-02 00:00:00+02:00,2019-05-31 00:00:00+02:00,-4.702970297029707
2019-06,UBSETF MSCI ACWI ESG hJPY ACC,1152.0,1200.0,1201.0,1149.0,2019-06-20 00:00:00+02:00,2019-06-04 00:00:00+02:00,3.8961038961038863
2019-07,UBSETF MSCI ACWI ESG hJPY ACC,1200.0,1234.0,1237.0,1200.0,2019-07-24 00:00:00+02:00,2019-07-01 00:00:00+02:00,2.833333333333332
2019-08,UBSETF MSCI ACWI ESG hJPY ACC,1234.0,1184.0,1234.0,1165.0,2019-08-02 00:00:00+02:00,2019-08-16 00:00:00+02:00,-4.051863857374394
2019-09,UBSETF MSCI ACWI ESG hJPY ACC,1186.0,1223.0,1231.0,1186.0,2019-09-19 00:00:00+02:00,2019-09-02 00:00:00+02:00,3.2939189189189255
2019-10,UBSETF MSCI ACWI ESG hJPY ACC,1219.0,1247.0,1247.0,1191.0,2019-10-28 00:00:00+01:00,2019-10-02 00:00:00+02:00,1.9623875715453876
2019-11,UBSETF MSCI ACWI ESG hJPY ACC,1249.0,1287.0,1287.0,1249.0,2019-11-27 00:00:00+01:00,2019-11-01 00:00:00+01:00,3.207698476343235
2019-12,UBSETF MSCI ACWI ESG hJPY ACC,1276.0,1322.0,1323.0,1265.0,2019-12-27 00:00:00+01:00,2019-12-03 00:00:00+01:00,2.71950271950272
2020-01,UBSETF MSCI ACWI ESG hJPY ACC,1322.0,1317.0,1352.0,1317.0,2020-01-20 00:00:00+01:00,2020-01-31 00:00:00+01:00,-0.3782148260211837
2020-02,UBSETF MSCI ACWI ESG hJPY ACC,1317.0,1208.0,1377.0,1208.0,2020-02-19 00:00:00+01:00,2020-02-28 00:00:00+01:00,-8.276385725132872
2020-03,UBSETF MSCI ACWI ESG hJPY ACC,1221.0,1058.0,1244.0,944.0,2020-03-04 00:00:00+01:00,2020-03-23 00:00:00+01:00,-12.41721854304636
2020-04,UBSETF MSCI ACWI ESG hJPY ACC,1046.0,1164.0,1164.0,1032.0,2020-04-29 00:00:00+02:00,2020-04-03 00:00:00+02:00,10.018903591682427
2020-05,UBSETF MSCI ACWI ESG hJPY ACC,1137.0,1213.0,1213.0,1137.0,2020-05-28 00:00:00+02:00,2020-05-04 00:00:00+02:00,4.209621993127155
2020-06,UBSETF MSCI ACWI ESG hJPY ACC,1225.0,1246.0,1283.0,1225.0,2020-06-05 00:00:00+02:00,2020-06-02 00:00:00+02:00,2.7205276174773196
2020-07,UBSETF MSCI ACWI ESG hJPY ACC,1248.0,1305.0,1316.0,1248.0,2020-07-21 00:00:00+02:00,2020-07-01 00:00:00+02:00,4.73515248796148
2020-08,UBSETF MSCI ACWI ESG hJPY ACC,1305.0,1368.0,1368.0,1305.0,2020-08-27 00:00:00+02:00,2020-08-03 00:00:00+02:00,4.827586206896561
2020-09,UBSETF MSCI ACWI ESG hJPY ACC,1368.0,1329.0,1378.0,1308.0,2020-09-02 00:00:00+02:00,2020-09-21 00:00:00+02:00,-2.8508771929824595
2020-10,UBSETF MSCI ACWI ESG hJPY ACC,1334.0,1312.0,1384.0,1312.0,2020-10-12 00:00:00+02:00,2020-10-30 00:00:00+01:00,-1.2791572610985735
2020-11,UBSETF MSCI ACWI ESG hJPY ACC,1312.0,1447.0,1458.0,1312.0,2020-11-18 00:00:00+01:00,2020-11-02 00:00:00+01:00,10.289634146341452
2020-12,UBSETF MSCI ACWI ESG hJPY ACC,1453.0,1485.0,1485.0,1453.0,2020-12-30 00:00:00+01:00,2020-12-01 00:00:00+01:00,2.62612301313061
2021-01,UBSETF MSCI ACWI ESG hJPY ACC,1485.0,1514.0,1549.0,1476.0,2021-01-26 00:00:00+01:00,2021-01-05 00:00:00+01:00,1.9528619528619506
2021-02,UBSETF MSCI ACWI ESG hJPY ACC,1514.0,1552.0,1588.0,1514.0,2021-02-15 00:00:00+01:00,2021-02-01 00:00:00+01:00,2.5099075297225992
2021-03,UBSETF MSCI ACWI ESG hJPY ACC,1552.0,1588.0,1588.0,1528.0,2021-03-31 00:00:00+02:00,2021-03-05 00:00:00+01:00,2.319587628865971
2021-04,UBSETF MSCI ACWI ESG hJPY ACC,1601.0,1663.0,1663.0,1601.0,2021-04-27 00:00:00+02:00,2021-04-01 00:00:00+02:00,4.722921914357681
2021-05,UBSETF MSCI ACWI ESG hJPY ACC,1663.0,1670.0,1670.0,1639.0,2021-05-28 00:00:00+02:00,2021-05-12 00:00:00+02:00,0.42092603728201006
2021-06,UBSETF MSCI ACWI ESG hJPY ACC,1670.0,1707.0,1713.0,1670.0,2021-06-18 00:00:00+02:00,2021-06-01 00:00:00+02:00,2.215568862275452
2021-07,UBSETF MSCI ACWI ESG hJPY ACC,1707.0,1726.0,1726.0,1703.0,2021-07-13 00:00:00+02:00,2021-07-19 00:00:00+02:00,1.1130638547158789
2021-08,UBSETF MSCI ACWI ESG hJPY ACC,1726.0,1764.0,1764.0,1726.0,2021-08-30 00:00:00+02:00,2021-08-02 00:00:00+02:00,2.201622247972179
2021-09,UBSETF MSCI ACWI ESG hJPY ACC,1771.0,1734.0,1809.0,1734.0,2021-09-06 00:00:00+02:00,2021-09-30 00:00:00+02:00,-1.7006802721088454
2021-10,UBSETF MSCI ACWI ESG hJPY ACC,1721.0,1792.0,1792.0,1702.0,2021-10-26 00:00:00+02:00,2021-10-04 00:00:00+02:00,3.344867358708181
2021-11,UBSETF MSCI ACWI ESG hJPY ACC,1800.0,1799.0,1839.0,1799.0,2021-11-16 00:00:00+01:00,2021-11-30 00:00:00+01:00,0.390625
2021-12,UBSETF MSCI ACWI ESG hJPY ACC,1799.0,1842.0,1842.0,1778.0,2021-12-30 00:00:00+01:00,2021-12-20 00:00:00+01:00,2.390216787103938
2022-01,UBSETF MSCI ACWI ESG hJPY ACC,1842.0,1719.0,1842.0,1690.0,2022-01-03 00:00:00+01:00,2022-01-24 00:00:00+01:00,-6.67752442996743
2022-02,UBSETF MSCI ACWI ESG hJPY ACC,1738.0,1661.0,1797.0,1645.0,2022-02-10 00:00:00+01:00,2022-02-24 00:00:00+01:00,-3.3740546829552076
2022-03,UBSETF MSCI ACWI ESG hJPY ACC,1661.0,1771.5999755859375,1772.4000244140625,1598.0,2022-03-30 00:00:00+02:00,2022-03-08 00:00:00+01:00,6.658637904029963
2022-04,UBSETF MSCI ACWI ESG hJPY ACC,1759.0,1643.0,1759.0,1643.0,2022-04-01 00:00:00+02:00,2022-04-26 00:00:00+02:00,-7.258973659863843
2022-05,UBSETF MSCI ACWI ESG hJPY ACC,1627.0,1613.0,1627.0,1542.0,2022-05-02 00:00:00+02:00,2022-05-12 00:00:00+02:00,-1.8259281801582428
2022-06,UBSETF MSCI ACWI ESG hJPY ACC,1611.0,1504.0,1611.0,1466.0,2022-06-01 00:00:00+02:00,2022-06-16 00:00:00+02:00,-6.757594544327339
2022-07,UBSETF MSCI ACWI ESG hJPY ACC,1504.0,1576.0,1576.0,1489.0,2022-07-29 00:00:00+02:00,2022-07-05 00:00:00+02:00,4.78723404255319
2022-08,UBSETF MSCI ACWI ESG hJPY ACC,1576.0,1560.0,1641.0,1560.0,2022-08-16 00:00:00+02:00,2022-08-31 00:00:00+02:00,-1.0152284263959421
2022-09,UBSETF MSCI ACWI ESG hJPY ACC,1533.199951171875,1431.0,1582.0,1431.0,2022-09-12 00:00:00+02:00,2022-09-29 00:00:00+02:00,-8.269230769230774
2022-10,UBSETF MSCI ACWI ESG hJPY ACC,1431.0,1481.0,1481.0,1412.0,2022-10-26 00:00:00+02:00,2022-10-12 00:00:00+02:00,3.4940600978336844
2022-11,UBSETF MSCI ACWI ESG hJPY ACC,1481.0,1549.0,1549.0,1467.0,2022-11-24 00:00:00+01:00,2022-11-03 00:00:00+01:00,4.591492234976369
2022-12,UBSETF MSCI ACWI ESG hJPY ACC,1557.0,1493.0,1557.0,1493.0,2022-12-01 00:00:00+01:00,2022-12-28 00:00:00+01:00,-3.6152356358941207
2023-01,UBSETF MSCI ACWI ESG hJPY ACC,1493.0,1564.0,1564.0,1493.0,2023-01-30 00:00:00+01:00,2023-01-03 00:00:00+01:00,4.755525787006021
2023-02,UBSETF MSCI ACWI ESG hJPY ACC,1565.199951171875,1564.4000244140625,1604.800048828125,1564.4000244140625,2023-02-03 00:00:00+01:00,2023-02-24 00:00:00+01:00,0.025577008571775472
2023-03,UBSETF MSCI ACWI ESG hJPY ACC,1564.4000244140625,1567.4000244140625,1573.199951171875,1506.4000244140625,2023-03-06 00:00:00+01:00,2023-03-15 00:00:00+01:00,0.19176680856443085
2023-04,UBSETF MSCI ACWI ESG hJPY ACC,1571.800048828125,1590.4000244140625,1590.4000244140625,1571.800048828125,2023-04-18 00:00:00+02:00,2023-04-03 00:00:00+02:00,1.4673982162656918
2023-05,UBSETF MSCI ACWI ESG hJPY ACC,1590.4000244140625,1612.800048828125,1616.0,1587.4000244140625,2023-05-22 00:00:00+02:00,2023-05-04 00:00:00+02:00,1.4084522176937897
2023-06,UBSETF MSCI ACWI ESG hJPY ACC,1612.800048828125,1679.199951171875,1685.199951171875,1612.800048828125,2023-06-16 00:00:00+02:00,2023-06-01 00:00:00+02:00,4.11705731234302
2023-07,UBSETF MSCI ACWI ESG hJPY ACC,1685.5999755859375,1722.5999755859375,1722.5999755859375,1666.800048828125,2023-07-31 00:00:00+02:00,2023-07-10 00:00:00+02:00,2.584565607197331
2023-08,UBSETF MSCI ACWI ESG hJPY ACC,1721.4000244140625,1687.800048828125,1721.4000244140625,1660.800048828125,2023-08-02 00:00:00+02:00,2023-08-18 00:00:00+02:00,-2.0201977969943608
2023-09,UBSETF MSCI ACWI ESG hJPY ACC,1690.4000244140625,1637.4000244140625,1690.4000244140625,1637.4000244140625,2023-09-01 00:00:00+02:00,2023-09-27 00:00:00+02:00,-2.9861371581933693
2023-10,UBSETF MSCI ACWI ESG hJPY ACC,1637.4000244140625,1575.5999755859375,1637.4000244140625,1575.5999755859375,2023-10-02 00:00:00+02:00,2023-10-27 00:00:00+02:00,-3.774279217458787
2023-11,UBSETF MSCI ACWI ESG hJPY ACC,1578.5999755859375,1694.5999755859375,1704.800048828125,1578.5999755859375,2023-11-15 00:00:00+01:00,2023-11-01 00:00:00+01:00,7.552678461786977
2023-12,UBSETF MSCI ACWI ESG hJPY ACC,1694.5999755859375,1747.0,1747.0,1694.5999755859375,2023-12-28 00:00:00+01:00,2023-12-01 00:00:00+01:00,3.092176629823462
2024-01,UBSETF MSCI ACWI ESG hJPY ACC,1747.0,1791.4000244140625,1791.4000244140625,1747.0,2024-01-30 00:00:00+01:00,2024-01-03 00:00:00+01:00,2.5415011112800423
2024-02,UBSETF MSCI ACWI ESG hJPY ACC,1791.4000244140625,1853.199951171875,1853.199951171875,1791.4000244140625,2024-02-26 00:00:00+01:00,2024-02-01 00:00:00+01:00,3.4498116509753984
2024-03,UBSETF MSCI ACWI ESG hJPY ACC,1861.800048828125,1912.4000244140625,1912.4000244140625,1861.800048828125,2024-03-21 00:00:00+01:00,2024-03-01 00:00:00+01:00,3.1944784589893915
2024-04,UBSETF MSCI ACWI ESG hJPY ACC,1912.4000244140625,1912.4000244140625,1912.4000244140625,1912.4000244140625,2024-04-02 00:00:00+02:00,2024-04-02 00:00:00+02:00,0.0
