Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2014-11,BOLIDEN AB UNSP ADR EACH REPR 2,25.93095588684082,27.109634399414062,27.109634399414062,25.813085556030273,2014-11-24 00:00:00-05:00,2014-11-10 00:00:00-05:00,
2014-12,BOLIDEN AB UNSP ADR EACH REPR 2,25.89166259765625,24.909433364868164,25.89166259765625,24.65012550354004,2014-12-01 00:00:00-05:00,2014-12-15 00:00:00-05:00,-8.115937685214424
2015-01,BOLIDEN AB UNSP ADR EACH REPR 2,24.909433364868164,24.909433364868164,24.909433364868164,24.909433364868164,2015-01-02 00:00:00-05:00,2015-01-02 00:00:00-05:00,0.0
2015-02,BOLIDEN AB UNSP ADR EACH REPR 2,24.909433364868164,31.9500732421875,31.9500732421875,24.909433364868164,2015-02-27 00:00:00-05:00,2015-02-02 00:00:00-05:00,28.264953980243224
2015-03,BOLIDEN AB UNSP ADR EACH REPR 2,30.912843289121938,32.13866424560547,32.13866424560547,29.852028652358403,2015-03-30 00:00:00-04:00,2015-03-09 00:00:00-04:00,0.5902678281467955
2015-04,BOLIDEN AB UNSP ADR EACH REPR 2,31.3371639251709,36.46049118041992,36.46049118041992,31.3371639251709,2015-04-28 00:00:00-04:00,2015-04-01 00:00:00-04:00,13.44743795755421
2015-05,BOLIDEN AB UNSP ADR EACH REPR 2,36.46049118041992,35.1422004699707,36.891361236572266,33.65541458129883,2015-05-05 00:00:00-04:00,2015-05-12 00:00:00-04:00,-3.6156690921299806
2015-06,BOLIDEN AB UNSP ADR EACH REPR 2,33.90983952266744,30.077585220336914,33.98934555053711,29.70390028549359,2015-06-01 00:00:00-04:00,2015-06-29 00:00:00-04:00,-14.41177610366643
2015-07,BOLIDEN AB UNSP ADR EACH REPR 2,30.077585220336914,29.274566650390625,32.24813461303711,29.274566650390625,2015-07-20 00:00:00-04:00,2015-07-27 00:00:00-04:00,-2.6698239372066612
2015-08,BOLIDEN AB UNSP ADR EACH REPR 2,29.274566650390625,30.72954750061035,30.737496889597445,29.274566650390625,2015-08-13 00:00:00-04:00,2015-08-03 00:00:00-04:00,4.970119174079435
2015-09,BOLIDEN AB UNSP ADR EACH REPR 2,30.72954750061035,30.72954750061035,30.72954750061035,30.72954750061035,2015-09-01 00:00:00-04:00,2015-09-01 00:00:00-04:00,0.0
2015-10,BOLIDEN AB UNSP ADR EACH REPR 2,30.72954750061035,30.355859756469727,30.72954750061035,26.714431050322283,2015-10-01 00:00:00-04:00,2015-10-05 00:00:00-04:00,-1.21605352025832
2015-11,BOLIDEN AB UNSP ADR EACH REPR 2,30.355859756469727,30.355859756469727,30.355859756469727,30.355859756469727,2015-11-02 00:00:00-05:00,2015-11-02 00:00:00-05:00,0.0
2015-12,BOLIDEN AB UNSP ADR EACH REPR 2,30.355859756469727,26.801889419555664,30.355859756469727,25.990915298461914,2015-12-01 00:00:00-05:00,2015-12-21 00:00:00-05:00,-11.707691251131857
2016-01,BOLIDEN AB UNSP ADR EACH REPR 2,26.801889419555668,22.643659591674805,26.801889419555668,22.643659591674805,2016-01-04 00:00:00-05:00,2016-01-12 00:00:00-05:00,-15.514689142948479
2016-02,BOLIDEN AB UNSP ADR EACH REPR 2,22.643659591674805,23.661357879638672,23.661357879638672,22.643659591674805,2016-02-29 00:00:00-05:00,2016-02-01 00:00:00-05:00,4.494407292441527
2016-03,BOLIDEN AB UNSP ADR EACH REPR 2,23.661357879638672,26.157882690429688,26.39640379943558,23.661357879638672,2016-03-16 00:00:00-04:00,2016-03-01 00:00:00-05:00,10.551063144771389
2016-04,BOLIDEN AB UNSP ADR EACH REPR 2,26.157882690429684,27.668516159057617,27.66851615905762,24.337167739868164,2016-04-28 00:00:00-04:00,2016-04-08 00:00:00-04:00,5.775060185511971
