Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2018-11,"OREXO AB  SK-,40",5.855999946594238,5.613999843597412,6.191999912261963,5.144999980926514,2018-11-08 00:00:00+01:00,2018-11-21 00:00:00+01:00,
2018-12,"OREXO AB  SK-,40",6.044000148773193,5.6570000648498535,6.335000038146973,5.629000186920166,2018-12-05 00:00:00+01:00,2018-12-21 00:00:00+01:00,0.765946249561833
2019-01,"OREXO AB  SK-,40",5.71999979019165,7.150000095367432,7.672999858856201,5.71999979019165,2019-01-30 00:00:00+01:00,2019-01-02 00:00:00+01:00,26.392080845012412
2019-02,"OREXO AB  SK-,40",7.052999973297119,6.46999979019165,7.383999824523926,6.2870001792907715,2019-02-06 00:00:00+01:00,2019-02-22 00:00:00+01:00,-9.51049365183032
2019-03,"OREXO AB  SK-,40",6.513000011444092,7.816999912261963,8.163999557495117,6.513000011444092,2019-03-22 00:00:00+01:00,2019-03-01 00:00:00+01:00,20.81916794050487
2019-04,"OREXO AB  SK-,40",7.816999912261963,6.440000057220459,7.816999912261963,6.329999923706055,2019-04-01 00:00:00+02:00,2019-04-26 00:00:00+02:00,-17.615451842099983
2019-05,"OREXO AB  SK-,40",6.619999885559082,7.03000020980835,7.199999809265137,6.25,2019-05-23 00:00:00+02:00,2019-05-08 00:00:00+02:00,9.161492971205632
2019-06,"OREXO AB  SK-,40",7.130000114440918,6.570000171661377,7.28000020980835,6.559999942779541,2019-06-11 00:00:00+02:00,2019-06-25 00:00:00+02:00,-6.5433858380996135
2019-07,"OREXO AB  SK-,40",6.739999771118164,6.659999847412109,7.289999961853027,6.380000114440918,2019-07-11 00:00:00+02:00,2019-07-30 00:00:00+02:00,1.3698580426060092
2019-08,"OREXO AB  SK-,40",6.579999923706055,5.070000171661377,6.599999904632568,5.019999980926514,2019-08-02 00:00:00+02:00,2019-08-29 00:00:00+02:00,-23.873869552242745
2019-09,"OREXO AB  SK-,40",5.050000190734863,4.920000076293945,5.28000020980835,4.900000095367432,2019-09-05 00:00:00+02:00,2019-09-18 00:00:00+02:00,-2.958581662498805
2019-10,"OREXO AB  SK-,40",4.945000171661377,5.96999979019165,6.21999979019165,4.715000152587891,2019-10-29 00:00:00+01:00,2019-10-15 00:00:00+02:00,21.341457268607012
2019-11,"OREXO AB  SK-,40",6.010000228881836,5.900000095367432,6.420000076293945,5.769999980926514,2019-11-12 00:00:00+01:00,2019-11-28 00:00:00+01:00,-1.172524242617634
2019-12,"OREXO AB  SK-,40",5.78000020980835,5.989999771118164,6.039999961853027,5.599999904632568,2019-12-23 00:00:00+01:00,2019-12-04 00:00:00+01:00,1.5254182084064372
2020-01,"OREXO AB  SK-,40",5.949999809265137,5.940000057220459,7.03000020980835,5.840000152587891,2020-01-30 00:00:00+01:00,2020-01-08 00:00:00+01:00,-0.8347197964645559
2020-02,"OREXO AB  SK-,40",5.619999885559082,5.170000076293945,6.260000228881836,5.170000076293945,2020-02-19 00:00:00+01:00,2020-02-28 00:00:00+01:00,-12.96296251698732
2020-03,"OREXO AB  SK-,40",5.199999809265137,5.010000228881836,5.210000038146973,3.744999885559082,2020-03-03 00:00:00+01:00,2020-03-17 00:00:00+01:00,-3.094774565783054
2020-04,"OREXO AB  SK-,40",5.03000020980835,5.949999809265137,5.949999809265137,4.815000057220459,2020-04-30 00:00:00+02:00,2020-04-02 00:00:00+02:00,18.762465817154172
2020-05,"OREXO AB  SK-,40",5.860000133514404,7.659999847412109,7.96999979019165,5.599999904632568,2020-05-12 00:00:00+02:00,2020-05-05 00:00:00+02:00,28.739497360726276
2020-06,"OREXO AB  SK-,40",7.53000020980835,7.210000038146973,7.559999942779541,6.789999961853027,2020-06-02 00:00:00+02:00,2020-06-30 00:00:00+02:00,-5.874671256255526
2020-07,"OREXO AB  SK-,40",7.059999942779541,5.25,7.789999961853027,5.239999771118164,2020-07-06 00:00:00+02:00,2020-07-27 00:00:00+02:00,-27.184466404672982
2020-08,"OREXO AB  SK-,40",5.28000020980835,4.704999923706055,5.619999885559082,4.690000057220459,2020-08-06 00:00:00+02:00,2020-08-28 00:00:00+02:00,-10.380953834170391
2020-09,"OREXO AB  SK-,40",4.84499979019165,5.710000038146973,5.800000190734863,4.690000057220459,2020-09-29 00:00:00+02:00,2020-09-07 00:00:00+02:00,21.360257826514385
2020-10,"OREXO AB  SK-,40",5.869999885559082,4.59499979019165,5.869999885559082,4.389999866485596,2020-10-01 00:00:00+02:00,2020-10-29 00:00:00+01:00,-19.527149571038628
2020-11,"OREXO AB  SK-,40",4.630000114440918,4.534999847412109,4.710000038146973,4.034999847412109,2020-11-04 00:00:00+01:00,2020-11-10 00:00:00+01:00,-1.3057659525385623
2020-12,"OREXO AB  SK-,40",4.5,4.650000095367432,5.0,4.224999904632568,2020-12-07 00:00:00+01:00,2020-12-04 00:00:00+01:00,2.535837967468657
2021-01,"OREXO AB  SK-,40",4.929999828338623,4.494999885559082,5.489999771118164,4.494999885559082,2021-01-21 00:00:00+01:00,2021-01-29 00:00:00+01:00,-3.333337776977008
2021-02,"OREXO AB  SK-,40",4.440000057220459,4.545000076293945,5.119999885559082,4.269999980926514,2021-02-16 00:00:00+01:00,2021-02-03 00:00:00+01:00,1.1123513238675997
2021-03,"OREXO AB  SK-,40",4.364999771118164,4.300000190734863,4.650000095367432,4.239999771118164,2021-03-02 00:00:00+01:00,2021-03-24 00:00:00+01:00,-5.390536445465988
