Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
1996-11,Deutsche Bank AG,28.580522537231445,28.655731201171875,28.956583431568305,27.82840295337987,1996-11-19 00:00:00-05:00,1996-11-18 00:00:00-05:00,
1996-12,Deutsche Bank AG,28.279678344726562,27.828397750854492,28.730942671081202,27.151491165161133,1996-12-05 00:00:00-05:00,1996-12-24 00:00:00-05:00,-2.8871482793764836
1997-01,Deutsche Bank AG,27.828397750854492,30.15996551513672,31.513789887886784,27.22670363953531,1997-01-27 00:00:00-05:00,1997-01-06 00:00:00-05:00,8.378375877607368
1997-02,Deutsche Bank AG,30.76167106628418,31.28814697265625,31.66421260089735,30.08475685119629,1997-02-26 00:00:00-05:00,1997-02-12 00:00:00-05:00,3.740658977057909
1997-03,Deutsche Bank AG,31.588998794555668,33.01802444458008,33.69493803468247,31.137727520659656,1997-03-27 00:00:00-05:00,1997-03-20 00:00:00-05:00,5.528858814923199
1997-04,Deutsche Bank AG,32.265899658203125,31.814640045166016,32.35051406174264,30.460816437584377,1997-04-01 00:00:00-05:00,1997-04-14 00:00:00-04:00,-3.644628713125808
1997-05,Deutsche Bank AG,31.81464004516602,34.226829528808594,36.068641662597656,31.288157180396436,1997-05-23 00:00:00-04:00,1997-05-01 00:00:00-04:00,7.582010923958538
1997-06,Deutsche Bank AG,34.30356979370117,35.608184814453125,37.37324271887488,34.073343340004364,1997-06-25 00:00:00-04:00,1997-06-02 00:00:00-04:00,4.035884435284465
1997-07,Deutsche Bank AG,36.327632904052734,40.749881744384766,42.82191519843626,35.76166341019893,1997-07-23 00:00:00-04:00,1997-07-01 00:00:00-04:00,14.439649077098316
1997-08,Deutsche Bank AG,39.598751068115234,36.68257141113281,40.673134635928896,36.06863570331846,1997-08-01 00:00:00-04:00,1997-08-29 00:00:00-04:00,-9.981158617257623
1997-09,Deutsche Bank AG,37.83369827270508,43.0521354675293,43.51258351547736,35.91514841266159,1997-09-30 00:00:00-04:00,1997-09-12 00:00:00-04:00,17.36400642421534
1997-10,Deutsche Bank AG,44.51022720336914,40.673133850097656,46.35202407836915,38.06391525268555,1997-10-09 00:00:00-04:00,1997-10-27 00:00:00-05:00,-5.525862054452391
1997-11,Deutsche Bank AG,40.82662582397461,39.75224304199219,40.82662582397461,37.14301932765788,1997-11-03 00:00:00-05:00,1997-11-14 00:00:00-05:00,-2.2641255318546327
1997-12,Deutsche Bank AG,39.98246383666992,43.0521354675293,43.89630372558876,39.445265656304706,1997-12-18 00:00:00-05:00,1997-12-03 00:00:00-05:00,8.301147741653914
1998-01,Deutsche Bank AG,43.51258087158203,40.059207916259766,43.58932466263137,36.29885255088421,1998-01-02 00:00:00-05:00,1998-01-12 00:00:00-05:00,-6.951867819720237
1998-02,Deutsche Bank AG,40.289424896240234,41.74752426147461,44.20325826330514,39.75223312061818,1998-02-06 00:00:00-05:00,1998-02-02 00:00:00-05:00,4.214552491262724
1998-03,Deutsche Bank AG,42.207969665527344,46.50551223754883,47.27292639600125,40.289424896240234,1998-03-25 00:00:00-05:00,1998-03-05 00:00:00-05:00,11.39705422116486
1998-04,Deutsche Bank AG,46.50551223754883,48.96125411987305,53.10529678907627,46.27528576300047,1998-04-21 00:00:00-04:00,1998-04-01 00:00:00-05:00,5.280539368710446
1998-05,Deutsche Bank AG,48.80776596069336,53.6713981628418,57.3219671915014,48.50079569928112,1998-05-22 00:00:00-04:00,1998-05-01 00:00:00-04:00,9.620145822729098
1998-06,Deutsche Bank AG,53.59371566772462,52.19562911987305,54.836463928222656,49.24408796335316,1998-06-03 00:00:00-04:00,1998-06-22 00:00:00-04:00,-2.7496377837804564
1998-07,Deutsche Bank AG,52.506317138671875,48.93339538574219,56.38990854381179,48.62270889602611,1998-07-21 00:00:00-04:00,1998-07-31 00:00:00-04:00,-6.2500132465857945
1998-08,Deutsche Bank AG,47.37995910644531,37.90396499633789,48.93339615200421,37.24375561912064,1998-08-18 00:00:00-04:00,1998-08-28 00:00:00-04:00,-22.539679297664193
1998-09,Deutsche Bank AG,40.23412322998047,32.31157302856445,41.47688275757477,31.379508684716857,1998-09-08 00:00:00-04:00,1998-09-30 00:00:00-04:00,-14.754108094796281
1998-10,Deutsche Bank AG,30.75813102722168,38.99137496948242,39.84576472931931,29.515380215646505,1998-10-21 00:00:00-04:00,1998-10-01 00:00:00-04:00,20.67309423472763
1998-11,Deutsche Bank AG,39.4574089050293,38.680686950683594,41.94290623802042,35.72914474182234,1998-11-23 00:00:00-05:00,1998-11-13 00:00:00-05:00,-0.7968121643363357
1998-12,Deutsche Bank AG,37.43793487548828,35.88449478149414,37.59328028225529,33.86502214827396,1998-12-15 00:00:00-05:00,1998-12-15 00:00:00-05:00,-7.22891031577203
1999-01,Deutsche Bank AG,38.913700103759766,35.26311111450195,41.94291252441013,32.15623414543448,1999-01-08 00:00:00-05:00,1999-01-27 00:00:00-05:00,-1.7316216119967143
1999-02,Deutsche Bank AG,35.57380294799805,32.62226486206055,36.350521627173904,31.690200808304247,1999-02-01 00:00:00-05:00,1999-02-22 00:00:00-05:00,-7.488976919439638
