Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2000-10,Eniro Group AB,23785.560354549187,26396.171875,29006.784670500445,22770.322988263328,2000-10-19 00:00:00+02:00,2000-10-11 00:00:00+02:00,
2000-11,Eniro Group AB,26686.242392069136,28426.646484375,29296.85376715337,25525.96873668976,2000-11-27 00:00:00+01:00,2000-11-22 00:00:00+01:00,7.692307123132802
2000-12,Eniro Group AB,28426.646484375,27556.443359375,28426.649349465468,25525.969162838574,2000-12-11 00:00:00+01:00,2000-12-21 00:00:00+01:00,-3.0612232979303933
2001-01,Eniro Group AB,27556.443359375,27266.37890625,27556.443359375,25235.901860707563,2001-01-01 00:00:00+01:00,2001-01-08 00:00:00+01:00,-1.0526193432953246
2001-02,Eniro Group AB,27266.37890625,31037.259765625,31617.396245688637,26686.24136939438,2001-02-15 00:00:00+01:00,2001-02-02 00:00:00+01:00,13.829782357020793
2001-03,Eniro Group AB,31327.330414969663,30747.189453125,33357.80563795914,27846.51318127017,2001-03-01 00:00:00+01:00,2001-03-22 00:00:00+01:00,-0.9345873788164316
2001-04,Eniro Group AB,32197.52783540665,35968.4140625,39449.22224724608,29876.986805497727,2001-04-23 00:00:00+02:00,2001-04-04 00:00:00+02:00,16.981144300473083
2001-05,Eniro Group AB,35968.4140625,31762.98046875,36403.50647073451,28137.070460167986,2001-05-02 00:00:00+02:00,2001-05-31 00:00:00+02:00,-11.692018409381323
2001-06,Eniro Group AB,31908.01817769227,30747.73046875,35678.975221067696,29877.509278481622,2001-06-12 00:00:00+02:00,2001-06-28 00:00:00+02:00,-3.1963310275584966
2001-07,Eniro Group AB,31037.805942348885,32488.16796875,32488.16796875,29442.40496990504,2001-07-31 00:00:00+02:00,2001-07-04 00:00:00+02:00,5.660377118788884
2001-08,Eniro Group AB,32488.17538802556,22190.578125,33068.3203125,22045.54193455549,2001-08-01 00:00:00+02:00,2001-08-31 00:00:00+02:00,-31.696431308946494
2001-09,Eniro Group AB,22045.546062730875,20885.251953125,22045.546062730875,13053.285060388902,2001-09-03 00:00:00+02:00,2001-09-12 00:00:00+02:00,-5.882344139580631
2001-10,Eniro Group AB,21755.46994453675,21610.435546875,24656.201586328836,20305.105840842974,2001-10-17 00:00:00+02:00,2001-10-10 00:00:00+02:00,3.4722281319737425
2001-11,Eniro Group AB,21465.39661730894,22915.763671875,23205.83630511036,19289.852339128178,2001-11-19 00:00:00+01:00,2001-11-27 00:00:00+01:00,6.040267546522249
2001-12,Eniro Group AB,22915.76082277261,21755.46875,23785.97784212825,20450.14148947201,2001-12-06 00:00:00+01:00,2001-12-21 00:00:00+01:00,-5.063304625099862
2002-01,Eniro Group AB,21755.46875,21465.3984375,22625.687798087216,20015.03204278513,2002-01-04 00:00:00+01:00,2002-01-21 00:00:00+01:00,-1.333321363162998
2002-02,Eniro Group AB,21465.396354985958,24366.123046875,24656.195407991643,20595.177306898746,2002-02-26 00:00:00+01:00,2002-02-19 00:00:00+01:00,13.51349064318994
2002-03,Eniro Group AB,24366.124856021852,24511.162109375,25816.491586491888,23640.941280812476,2002-03-22 00:00:00+01:00,2002-03-14 00:00:00+01:00,0.5952488306037784
2002-04,Eniro Group AB,24511.162109375,23205.8359375,25236.34389461224,22045.545424377928,2002-04-08 00:00:00+02:00,2002-04-25 00:00:00+02:00,-5.325435677224544
2002-05,Eniro Group AB,23205.8359375,24656.88671875,24946.967502339186,21175.32601434393,2002-05-29 00:00:00+02:00,2002-05-07 00:00:00+02:00,6.252956304431767
2002-06,Eniro Group AB,24511.848537228256,20450.7109375,24511.848537228256,19145.347694820495,2002-06-03 00:00:00+02:00,2002-06-24 00:00:00+02:00,-17.05882753661463
2002-07,Eniro Group AB,20885.83311476173,19435.4296875,21030.87335080149,16969.73878319073,2002-07-05 00:00:00+02:00,2002-07-24 00:00:00+02:00,-4.964527898823812
2002-08,Eniro Group AB,19435.429705703813,13227.6962890625,19725.5069119514,11835.304847271711,2002-08-12 00:00:00+02:00,2002-08-26 00:00:00+02:00,-31.94029408277007
2002-09,Eniro Group AB,13198.685886469706,12473.4833984375,14939.172417932406,11922.32901939067,2002-09-12 00:00:00+02:00,2002-09-30 00:00:00+02:00,-5.701770543738826
2002-10,Eniro Group AB,12183.402793738118,16099.4951171875,16534.615801177708,5801.621105870064,2002-10-31 00:00:00+01:00,2002-10-22 00:00:00+02:00,29.069760250005338
2002-11,Eniro Group AB,16099.49686562659,17985.0234375,17985.026197967174,15374.292114106956,2002-11-25 00:00:00+01:00,2002-11-07 00:00:00+01:00,11.711723296835231
2002-12,Eniro Group AB,17985.023756783132,15954.4541015625,18275.104244219194,15519.333840557114,2002-12-02 00:00:00+01:00,2002-12-19 00:00:00+01:00,-11.2903346664738
2003-01,Eniro Group AB,15954.4541015625,15084.21484375,17114.784054538362,13952.898580456393,2003-01-07 00:00:00+01:00,2003-01-29 00:00:00+01:00,-5.454522306264764
2003-02,Eniro Group AB,15084.21269175195,15664.373046875,16969.7385729308,13720.83376456914,2003-02-18 00:00:00+01:00,2003-02-11 00:00:00+01:00,3.8461279498772427
2003-03,Eniro Group AB,16244.537109375,16099.4951171875,18275.104244219194,14939.172277947271,2003-03-20 00:00:00+01:00,2003-03-07 00:00:00+01:00,2.777781587621897
2003-04,Eniro Group AB,15810.727028830903,18131.568359375,18711.777473642043,15520.621561116948,2003-04-25 00:00:00+02:00,2003-04-01 00:00:00+02:00,12.62196874744288
2003-05,Eniro Group AB,18131.568359375,18856.833984375,19437.0381118102,17551.358842947564,2003-05-28 00:00:00+02:00,2003-05-06 00:00:00+02:00,4.000015942498414
2003-06,Eniro Group AB,19001.883726671524,19872.19921875,20597.46060392216,18856.830542189156,2003-06-06 00:00:00+02:00,2003-06-03 00:00:00+02:00,5.384600804230155
2003-07,Eniro Group AB,19872.201717829434,19437.04296875,20017.25401310529,18276.61817631799,2003-07-01 00:00:00+02:00,2003-07-17 00:00:00+02:00,-2.189773991342725
2003-08,Eniro Group AB,19291.9858527801,19872.19921875,20887.567359518805,19001.88461375653,2003-08-22 00:00:00+02:00,2003-08-04 00:00:00+02:00,2.238798621269833
2003-09,Eniro Group AB,20017.25240388514,17551.357421875,21177.67300613418,17261.252412398146,2003-09-04 00:00:00+02:00,2003-09-25 00:00:00+02:00,-11.678837210353743
2003-10,Eniro Group AB,17696.41015625,18131.568359375,18566.72565811856,17551.35787361909,2003-10-29 00:00:00+01:00,2003-10-01 00:00:00+02:00,3.305789538402637
2003-11,Eniro Group AB,18131.56969475076,19582.09375,19727.14603406087,18131.56969475076,2003-11-28 00:00:00+01:00,2003-11-03 00:00:00+01:00,7.999999569121674
2003-12,Eniro Group AB,19582.092801429495,20017.251953125,20162.307205951507,19001.8813347199,2003-12-02 00:00:00+01:00,2003-12-03 00:00:00+01:00,2.222225103610276
2004-01,Eniro Group AB,20017.251953125,21757.8828125,21902.9369669799,19582.093248827852,2004-01-22 00:00:00+01:00,2004-01-07 00:00:00+01:00,8.695653446592399
2004-02,Eniro Group AB,21902.936440146754,19001.8828125,22338.093303364123,18421.674711474352,2004-02-02 00:00:00+01:00,2004-02-19 00:00:00+01:00,-12.666673608595158
2004-03,Eniro Group AB,19146.935082810844,18711.779296875,19582.092835828476,17986.51608080824,2004-03-04 00:00:00+01:00,2004-03-25 00:00:00+01:00,-1.526709318690045
2004-04,Eniro Group AB,18133.232421875,17988.169921875,18423.363603959275,16102.310420439764,2004-04-01 00:00:00+02:00,2004-04-26 00:00:00+02:00,-3.8671329087386574
2004-05,Eniro Group AB,17988.166830832866,16972.70703125,18423.36328125,16319.910349504311,2004-05-05 00:00:00+02:00,2004-05-18 00:00:00+02:00,-5.645170659579546
2004-06,Eniro Group AB,16827.639715576854,16682.572265625,18133.23553784485,16610.040404071682,2004-06-11 00:00:00+02:00,2004-06-30 00:00:00+02:00,-1.709419511518151
2004-07,Eniro Group AB,16827.64390165351,17190.3046875,17407.90402352816,15667.112370249042,2004-07-27 00:00:00+02:00,2004-07-19 00:00:00+02:00,3.0434900193491154
2004-08,Eniro Group AB,17190.305847037947,16464.9765625,17190.305847037947,15376.981436989388,2004-08-02 00:00:00+02:00,2004-08-20 00:00:00+02:00,-4.2194023793390105
2004-09,Eniro Group AB,16464.976224032587,18278.298828125,18495.899593158014,16464.976224032587,2004-09-22 00:00:00+02:00,2004-09-01 00:00:00+02:00,11.013208908872386
2004-10,Eniro Group AB,18423.364425637028,17407.90234375,18858.56308159586,16827.639191466806,2004-10-04 00:00:00+02:00,2004-10-15 00:00:00+02:00,-4.761911885561865
2004-11,Eniro Group AB,17407.903154365176,19148.693359375,19438.825362321186,17407.903154365176,2004-11-29 00:00:00+01:00,2004-11-01 00:00:00+01:00,10.000004487904302
2004-12,Eniro Group AB,19221.225707733673,19728.95703125,20599.3538760756,18858.561887547785,2004-12-21 00:00:00+01:00,2004-12-06 00:00:00+01:00,3.03030426664026
2005-01,Eniro Group AB,19438.82636565834,20236.6875,20526.820841940724,19366.294495277874,2005-01-27 00:00:00+01:00,2005-01-03 00:00:00+01:00,2.5735291933870252
2005-02,Eniro Group AB,20454.28658180511,23210.537109375,23645.734703909508,20309.220375259916,2005-02-25 00:00:00+01:00,2005-02-03 00:00:00+01:00,14.695337907327977
2005-03,Eniro Group AB,23065.47091321371,24226.0,24516.132547487374,22412.67574949452,2005-03-29 00:00:00+02:00,2005-03-11 00:00:00+01:00,4.375008151857207
2005-04,Eniro Group AB,24226.001240302467,23430.099609375,25823.881612037774,22051.85823663779,2005-04-08 00:00:00+02:00,2005-04-29 00:00:00+02:00,-3.2853149121811254
2005-05,Eniro Group AB,23720.25128654573,24590.71875,25025.953458864842,23139.94105576711,2005-05-30 00:00:00+02:00,2005-05-13 00:00:00+02:00,4.953539079964497
2005-06,Eniro Group AB,24663.25821111629,25823.8828125,26549.27140630446,24445.64336571504,2005-06-16 00:00:00+02:00,2005-06-02 00:00:00+02:00,5.014754042111935
2005-07,Eniro Group AB,25896.42343936088,25316.107421875,25968.962446233658,23792.78921558967,2005-07-12 00:00:00+02:00,2005-07-26 00:00:00+02:00,-1.9663014826694192
2005-08,Eniro Group AB,25171.032466950164,24663.2578125,26041.500733154975,23865.330472556856,2005-08-01 00:00:00+02:00,2005-08-18 00:00:00+02:00,-2.578791433041916
2005-09,Eniro Group AB,24663.258274561507,26259.1171875,28290.20923233076,24590.720342972323,2005-09-26 00:00:00+02:00,2005-09-01 00:00:00+02:00,6.470594384295714
2005-10,Eniro Group AB,26404.193359375,25243.572265625,27854.973812456625,23865.33013750728,2005-10-04 00:00:00+02:00,2005-10-27 00:00:00+02:00,-3.867399328864052
2005-11,Eniro Group AB,25243.57187213459,25533.728515625,26984.507347696614,24445.641032641128,2005-11-25 00:00:00+01:00,2005-11-04 00:00:00+01:00,1.1494262656126297
2005-12,Eniro Group AB,25678.805558470038,29015.599609375,29160.677677466378,25243.572355605564,2005-12-29 00:00:00+01:00,2005-12-01 00:00:00+01:00,13.63635981176552
2006-01,Eniro Group AB,28797.98281537182,28725.44140625,30176.225310498954,28217.669310953243,2006-01-05 00:00:00+01:00,2006-01-23 00:00:00+01:00,-1.0000076063609864
2006-02,Eniro Group AB,29015.600783282473,25461.189453125,30031.14678274368,24735.797743904073,2006-02-10 00:00:00+01:00,2006-02-21 00:00:00+01:00,-11.363626782823866
2006-03,Eniro Group AB,25388.649228765138,26114.0390625,26984.5078125,24518.181299528227,2006-03-24 00:00:00+01:00,2006-03-15 00:00:00+01:00,2.564097056725956
2006-04,Eniro Group AB,26186.578515957328,23432.021484375,26549.273782853328,23286.92997552458,2006-04-03 00:00:00+02:00,2006-04-28 00:00:00+02:00,-10.270405017416095
2006-05,Eniro Group AB,23432.021484375,22706.572265625,23794.74570921815,21110.58387509764,2006-05-02 00:00:00+02:00,2006-05-18 00:00:00+02:00,-3.0959736838485963
2006-06,Eniro Group AB,22488.93850170432,21981.12109375,23794.74693824372,20892.949778334038,2006-06-02 00:00:00+02:00,2006-06-14 00:00:00+02:00,-3.1948951316322027
2006-07,Eniro Group AB,22271.30189758493,24084.927734375,24302.56231906412,20530.224082076773,2006-07-27 00:00:00+02:00,2006-07-19 00:00:00+02:00,9.57097061452059
2006-08,Eniro Group AB,24230.01606934389,24592.7421875,25100.556911939635,23141.84090818722,2006-08-31 00:00:00+02:00,2006-08-09 00:00:00+02:00,2.108432538081595
2006-09,Eniro Group AB,24592.742925011353,26116.185546875,26696.544810642466,24447.652718994035,2006-09-28 00:00:00+02:00,2006-09-11 00:00:00+02:00,6.194686821664552
2006-10,Eniro Group AB,26188.73046875,25100.556640625,26624.001301073302,24520.19566392071,2006-10-02 00:00:00+02:00,2006-10-26 00:00:00+02:00,-3.888886853047835
