Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2017-03,FIDELITY US Q.INC.ETF ACC,4.993899822235107,5.031700134277344,5.03980016708374,4.993899822235107,2017-03-30 00:00:00+02:00,2017-03-27 00:00:00+02:00,
2017-04,FIDELITY US Q.INC.ETF ACC,4.71999979019165,4.650000095367432,4.739999771118164,4.639999866485596,2017-04-10 00:00:00+02:00,2017-04-20 00:00:00+02:00,-7.585905930873449
2017-05,FIDELITY US Q.INC.ETF ACC,4.650000095367432,4.539999961853027,4.670000076293945,4.46999979019165,2017-05-09 00:00:00+02:00,2017-05-18 00:00:00+02:00,-2.3655942206107117
2017-06,FIDELITY US Q.INC.ETF ACC,4.559999942779541,4.53000020980835,5.1828999519348145,4.519999980926514,2017-06-05 00:00:00+02:00,2017-06-30 00:00:00+02:00,-0.22025885746035367
2017-07,FIDELITY US Q.INC.ETF ACC,4.539999961853027,4.449999809265137,4.579999923706055,4.449999809265137,2017-07-03 00:00:00+02:00,2017-07-28 00:00:00+02:00,-1.7660131752311181
2017-08,FIDELITY US Q.INC.ETF ACC,4.440000057220459,4.400000095367432,4.489999771118164,4.269999980926514,2017-08-16 00:00:00+02:00,2017-08-29 00:00:00+02:00,-1.1235891245119367
2017-09,FIDELITY US Q.INC.ETF ACC,4.400000095367432,4.539999961853027,4.559999942779541,4.320000171661377,2017-09-27 00:00:00+02:00,2017-09-08 00:00:00+02:00,3.1818150784359123
2017-10,FIDELITY US Q.INC.ETF ACC,4.559999942779541,4.71999979019165,4.760000228881836,4.559999942779541,2017-10-27 00:00:00+02:00,2017-10-02 00:00:00+02:00,3.964753961477019
2017-11,FIDELITY US Q.INC.ETF ACC,4.739999771118164,4.78000020980835,4.809999942779541,4.659999847412109,2017-11-30 00:00:00+01:00,2017-11-15 00:00:00+01:00,1.2711953873680848
2017-12,FIDELITY US Q.INC.ETF ACC,4.769999980926514,4.840000152587891,4.920000076293945,4.739999771118164,2017-12-18 00:00:00+01:00,2017-12-01 00:00:00+01:00,1.25522887334657
2018-01,FIDELITY US Q.INC.ETF ACC,4.789999961853027,4.869999885559082,4.989999771118164,4.769999980926514,2018-01-29 00:00:00+01:00,2018-01-02 00:00:00+01:00,0.6198291740786566
2018-02,FIDELITY US Q.INC.ETF ACC,4.889999866485596,4.809999942779541,4.889999866485596,4.420000076293945,2018-02-01 00:00:00+01:00,2018-02-06 00:00:00+01:00,-1.232031708203063
2018-03,FIDELITY US Q.INC.ETF ACC,4.760000228881836,4.639999866485596,4.869999885559082,4.519999980926514,2018-03-12 00:00:00+01:00,2018-03-26 00:00:00+02:00,-3.5343051625008504
2018-04,FIDELITY US Q.INC.ETF ACC,4.539999961853027,4.710000038146973,4.760000228881836,4.519999980926514,2018-04-30 00:00:00+02:00,2018-04-04 00:00:00+02:00,1.508624432663952
2018-05,FIDELITY US Q.INC.ETF ACC,4.730000019073486,5.0,5.89169979095459,4.659999847412109,2018-05-21 00:00:00+02:00,2018-05-03 00:00:00+02:00,6.157111666757453
2018-06,FIDELITY US Q.INC.ETF ACC,5.010000228881836,4.989999771118164,5.150000095367432,4.940000057220459,2018-06-15 00:00:00+02:00,2018-06-25 00:00:00+02:00,-0.2000045776367143
2018-07,FIDELITY US Q.INC.ETF ACC,4.949999809265137,5.190000057220459,5.21999979019165,4.940000057220459,2018-07-27 00:00:00+02:00,2018-07-02 00:00:00+02:00,4.0080219494174285
2018-08,FIDELITY US Q.INC.ETF ACC,5.190000057220459,5.360000133514404,5.409999847412109,5.139999866485596,2018-08-20 00:00:00+02:00,2018-08-02 00:00:00+02:00,3.2755312990302654
2018-09,FIDELITY US Q.INC.ETF ACC,5.369999885559082,5.429999828338623,5.440000057220459,5.340000152587891,2018-09-28 00:00:00+02:00,2018-09-06 00:00:00+02:00,1.305964423144923
2018-10,FIDELITY US Q.INC.ETF ACC,5.460000038146973,5.239999771118164,5.5,5.059999942779541,2018-10-04 00:00:00+02:00,2018-10-26 00:00:00+02:00,-3.4990803540889237
2018-11,FIDELITY US Q.INC.ETF ACC,5.21999979019165,5.360000133514404,5.420000076293945,5.110000133514404,2018-11-12 00:00:00+01:00,2018-11-22 00:00:00+01:00,2.2900833518668895
2018-12,FIDELITY US Q.INC.ETF ACC,5.440000057220459,4.829999923706055,5.449999809265137,4.659999847412109,2018-12-03 00:00:00+01:00,2018-12-27 00:00:00+01:00,-9.88806336952166
2019-01,FIDELITY US Q.INC.ETF ACC,4.769999980926514,5.179999828338623,5.190000057220459,4.739999771118164,2019-01-31 00:00:00+01:00,2019-01-03 00:00:00+01:00,7.246374951575851
2019-02,FIDELITY US Q.INC.ETF ACC,5.210000038146973,5.460000038146973,5.519999980926514,5.190000057220459,2019-02-25 00:00:00+01:00,2019-02-01 00:00:00+01:00,5.405409634890934
2019-03,FIDELITY US Q.INC.ETF ACC,5.46999979019165,5.605999946594238,5.605999946594238,5.395999908447266,2019-03-29 00:00:00+01:00,2019-03-08 00:00:00+01:00,2.673990978520502
2019-04,FIDELITY US Q.INC.ETF ACC,5.629000186920166,5.808000087738037,5.824999809265137,5.629000186920166,2019-04-29 00:00:00+02:00,2019-04-01 00:00:00+02:00,3.60328474969962
2019-05,FIDELITY US Q.INC.ETF ACC,5.767000198364258,5.5229997634887695,5.841000080108643,5.517000198364258,2019-05-03 00:00:00+02:00,2019-05-31 00:00:00+02:00,-4.9070303020650075
2019-06,FIDELITY US Q.INC.ETF ACC,5.453000068664551,5.763999938964844,5.86299991607666,5.453000068664551,2019-06-18 00:00:00+02:00,2019-06-03 00:00:00+02:00,4.363573887315164
2019-07,FIDELITY US Q.INC.ETF ACC,5.873000144958496,6.059999942779541,6.1020002365112305,5.833000183105469,2019-07-29 00:00:00+02:00,2019-07-02 00:00:00+02:00,5.135322813134091
2019-08,FIDELITY US Q.INC.ETF ACC,6.033999919891357,6.011000156402588,6.107999801635742,5.685999870300293,2019-08-01 00:00:00+02:00,2019-08-06 00:00:00+02:00,-0.8085773405878682
