Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2020-04,Holland Colours N.V.,87.5,84.5,88.0,84.5,2020-04-30 00:00:00+02:00,2020-04-29 00:00:00+02:00,
2020-05,Holland Colours N.V.,84.0,97.0,97.5,84.0,2020-05-26 00:00:00+02:00,2020-05-04 00:00:00+02:00,14.792899408284033
2020-06,Holland Colours N.V.,98.5,89.5,98.5,89.0,2020-06-02 00:00:00+02:00,2020-06-26 00:00:00+02:00,-7.731958762886593
2020-07,Holland Colours N.V.,92.5,82.0,93.0,82.0,2020-07-06 00:00:00+02:00,2020-07-30 00:00:00+02:00,-8.37988826815642
2020-08,Holland Colours N.V.,80.5,85.0,91.5,79.5,2020-08-26 00:00:00+02:00,2020-08-07 00:00:00+02:00,3.658536585365857
2020-09,Holland Colours N.V.,87.5,81.5,87.5,80.5,2020-09-01 00:00:00+02:00,2020-09-28 00:00:00+02:00,-4.117647058823525
2020-10,Holland Colours N.V.,83.0,86.5,91.0,81.5,2020-10-28 00:00:00+01:00,2020-10-02 00:00:00+02:00,6.134969325153383
2020-11,Holland Colours N.V.,89.0,97.0,97.5,85.5,2020-11-25 00:00:00+01:00,2020-11-02 00:00:00+01:00,12.138728323699421
2020-12,Holland Colours N.V.,97.5,103.0,106.0,94.5,2020-12-15 00:00:00+01:00,2020-12-02 00:00:00+01:00,6.185567010309279
2021-01,Holland Colours N.V.,106.0,108.0,119.0,104.0,2021-01-26 00:00:00+01:00,2021-01-04 00:00:00+01:00,4.854368932038833
2021-02,Holland Colours N.V.,112.0,111.0,118.0,109.0,2021-02-08 00:00:00+01:00,2021-02-03 00:00:00+01:00,2.777777777777768
2021-03,Holland Colours N.V.,110.0,117.0,119.0,110.0,2021-03-03 00:00:00+01:00,2021-03-01 00:00:00+01:00,5.405405405405395
2021-04,Holland Colours N.V.,117.0,131.0,131.5,115.0,2021-04-30 00:00:00+02:00,2021-04-01 00:00:00+02:00,11.965811965811968
2021-05,Holland Colours N.V.,136.0,139.5,152.0,135.0,2021-05-27 00:00:00+02:00,2021-05-03 00:00:00+02:00,6.488549618320616
2021-06,Holland Colours N.V.,148.5,168.0,173.5,143.0,2021-06-16 00:00:00+02:00,2021-06-02 00:00:00+02:00,20.430107526881724
2021-07,Holland Colours N.V.,166.5,165.0,181.0,165.0,2021-07-01 00:00:00+02:00,2021-07-30 00:00:00+02:00,-1.7857142857142905
