Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2017-08,AB Industrivärden,8.607060432434082,8.454575538635254,8.607060432434082,8.438020706176758,2017-08-28 00:00:00+02:00,2017-08-30 00:00:00+02:00,
2017-09,AB Industrivärden,8.516441345214844,9.1751708984375,9.207410912866473,8.516441345214844,2017-09-29 00:00:00+02:00,2017-09-01 00:00:00+02:00,8.523140594217992
2017-10,AB Industrivärden,9.18649886367332,9.504972457885742,9.576422378851888,9.18649886367332,2017-10-27 00:00:00+02:00,2017-10-02 00:00:00+02:00,3.5945004523502355
2017-11,AB Industrivärden,9.453999075983713,8.887630462646484,9.684032093894572,8.845370478655592,2017-11-03 00:00:00+01:00,2017-11-20 00:00:00+01:00,-6.494937233901021
2017-12,AB Industrivärden,8.7604149501936,8.84101390838623,8.931196953126204,8.588762435458555,2017-12-27 00:00:00+01:00,2017-12-08 00:00:00+01:00,-0.5245104919266996
2018-01,AB Industrivärden,8.830993618789728,9.275376319885254,9.60648250579834,8.796140861184329,2018-01-24 00:00:00+01:00,2018-01-03 00:00:00+01:00,4.913038436541828
2018-02,AB Industrivärden,9.1925985707563,8.432357788085938,9.401719093322754,8.18620470518848,2018-02-01 00:00:00+01:00,2018-02-06 00:00:00+01:00,-9.088779826560668
2018-03,AB Industrivärden,8.43453598022461,7.950943946838379,8.43453598022461,7.889950752258301,2018-03-01 00:00:00+01:00,2018-03-28 00:00:00+02:00,-5.7091249368918735
2018-04,AB Industrivärden,8.053326350140676,11.060005187988281,11.391462326049805,7.7679637578030025,2018-04-24 00:00:00+02:00,2018-04-16 00:00:00+02:00,39.10304565014815
2018-05,AB Industrivärden,10.744184661702551,11.231987953186035,12.048120288199675,10.744184661702551,2018-05-22 00:00:00+02:00,2018-05-02 00:00:00+02:00,1.5549971476011226
2018-06,AB Industrivärden,11.103782770128669,10.093780517578125,11.416476249694824,10.06563663857286,2018-06-05 00:00:00+02:00,2018-06-27 00:00:00+02:00,-10.133624077517368
2018-07,AB Industrivärden,10.206349792213032,11.131925582885742,11.166321076739768,10.109415054321289,2018-07-26 00:00:00+02:00,2018-07-03 00:00:00+02:00,10.284997414989427
