Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2007-10,JM AB,0.046470966190099716,0.03930202126502991,0.05000458285212517,0.03930202126502991,2007-10-18 00:00:00+02:00,2007-10-31 00:00:00+01:00,
2007-11,JM AB,0.03920033574104309,0.03576840087771416,0.03920033574104309,0.03017560951411724,2007-11-01 00:00:00+01:00,2007-11-22 00:00:00+01:00,-8.990938057579978
2007-12,JM AB,0.03576840087771416,0.03386176750063896,0.0366835854947567,0.03376007825136185,2007-12-11 00:00:00+01:00,2007-12-20 00:00:00+01:00,-5.33049655642599
2008-01,JM AB,0.03508201614022255,0.032082248479127884,0.03533622622489929,0.027430066838860512,2008-01-03 00:00:00+01:00,2008-01-22 00:00:00+01:00,-5.255245525731933
2008-02,JM AB,0.032158516347408295,0.0360226184129715,0.038437684511138846,0.03205682337284088,2008-02-26 00:00:00+01:00,2008-02-06 00:00:00+01:00,12.282087823137289
2008-03,JM AB,0.03553960472345352,0.03681068867444992,0.037166595458984375,0.03335333615541458,2008-03-28 00:00:00+01:00,2008-03-20 00:00:00+01:00,2.1877095452746076
2008-04,JM AB,0.03757334500551224,0.026362352073192596,0.04059853404760361,0.026362352073192593,2008-04-03 00:00:00+02:00,2008-04-30 00:00:00+02:00,-28.38397481139616
2008-05,JM AB,0.027430066838860512,0.027963925153017044,0.030582362785935402,0.027430066838860512,2008-05-19 00:00:00+02:00,2008-05-02 00:00:00+02:00,6.0752283232460735
2008-06,JM AB,0.02849778532981873,0.020693300291895866,0.02849778532981873,0.020693300291895866,2008-06-02 00:00:00+02:00,2008-06-30 00:00:00+02:00,-26.000015453255298
2008-07,JM AB,0.020820410922169685,0.019803540781140327,0.020820410922169685,0.0173630528151989,2008-07-01 00:00:00+02:00,2008-07-14 00:00:00+02:00,-4.2997467692671325
2008-08,JM AB,0.019803540781140327,0.02046450786292553,0.021150894463062286,0.019803540781140327,2008-08-19 00:00:00+02:00,2008-08-01 00:00:00+02:00,3.3376207269695257
2008-09,JM AB,0.02033740095794201,0.013651478104293346,0.021125473082065582,0.013651478104293346,2008-09-04 00:00:00+02:00,2008-09-30 00:00:00+02:00,-33.29193061600563
2008-10,JM AB,0.01446497905999422,0.009711108170449734,0.01446497905999422,0.00785532034933567,2008-10-01 00:00:00+02:00,2008-10-27 00:00:00+01:00,-28.864053428795955
2008-11,JM AB,0.01098219584673643,0.008134959265589714,0.01123641338199377,0.0067621846683323375,2008-11-05 00:00:00+01:00,2008-11-24 00:00:00+01:00,-16.23037121197082
2008-12,JM AB,0.007626524660736322,0.009177250787615776,0.00930436048656702,0.006355437450110912,2008-12-29 00:00:00+01:00,2008-12-02 00:00:00+01:00,12.812498354292678
2009-01,JM AB,0.010244963690638542,0.009558577090501785,0.011363519355654716,0.008821346797049046,2009-01-07 00:00:00+01:00,2009-01-15 00:00:00+01:00,4.1551256657450075
2009-02,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.009990748731051812,2009-02-02 00:00:00+01:00,2009-02-02 00:00:00+01:00,6.117040244970395
2009-03,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.0101432790979743,2009-03-02 00:00:00+01:00,2009-03-02 00:00:00+01:00,0.0
2009-04,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.0101432790979743,2009-04-01 00:00:00+02:00,2009-04-01 00:00:00+02:00,0.0
2009-05,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.0101432790979743,2009-05-04 00:00:00+02:00,2009-05-04 00:00:00+02:00,0.0
2009-06,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.0101432790979743,2009-06-01 00:00:00+02:00,2009-06-01 00:00:00+02:00,0.0
2009-07,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.0101432790979743,2009-07-01 00:00:00+02:00,2009-07-01 00:00:00+02:00,0.0
2009-08,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.0101432790979743,2009-08-03 00:00:00+02:00,2009-08-03 00:00:00+02:00,0.0
2009-09,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.0101432790979743,2009-09-01 00:00:00+02:00,2009-09-01 00:00:00+02:00,0.0
2009-10,JM AB,0.0101432790979743,0.0101432790979743,0.0101432790979743,0.0101432790979743,2009-10-01 00:00:00+02:00,2009-10-01 00:00:00+02:00,0.0
2009-11,JM AB,0.0101432790979743,0.029692603275179863,0.029692603275179863,0.0101432790979743,2009-11-17 00:00:00+01:00,2009-11-02 00:00:00+01:00,192.73179795584775
2009-12,JM AB,0.029692603275179863,0.029692603275179863,0.029692603275179863,0.029692603275179863,2009-12-01 00:00:00+01:00,2009-12-01 00:00:00+01:00,0.0
