Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2011-01,Lord Abbett Intermediate Tax Fr,7.385143280029297,7.385143280029297,7.385143280029297,7.385143280029297,2011-01-31 00:00:00-05:00,2011-01-31 00:00:00-05:00,
2011-02,Lord Abbett Intermediate Tax Fr,7.377725601196289,7.466709136962891,7.466709136962891,7.355484485626221,2011-02-25 00:00:00-05:00,2011-02-08 00:00:00-05:00,1.1044586928213196
2011-03,Lord Abbett Intermediate Tax Fr,7.466709136962891,7.414805889129639,7.488955497741699,7.414805889129639,2011-03-16 00:00:00-04:00,2011-03-31 00:00:00-04:00,-0.6951288295979352
2011-04,Lord Abbett Intermediate Tax Fr,7.407392978668213,7.511196613311768,7.511196613311768,7.399974346160889,2011-04-28 00:00:00-04:00,2011-04-06 00:00:00-04:00,1.2999763665214825
2011-05,Lord Abbett Intermediate Tax Fr,7.511196613311768,7.6075921058654785,7.615002632141113,7.511196613311768,2011-05-18 00:00:00-04:00,2011-05-02 00:00:00-04:00,1.2833573332759363
2011-06,Lord Abbett Intermediate Tax Fr,7.615002632141113,7.655106544494629,7.655106544494629,7.615002632141113,2011-06-30 00:00:00-04:00,2011-06-01 00:00:00-04:00,0.6245660646358342
2011-07,Lord Abbett Intermediate Tax Fr,7.655106544494629,7.732582092285156,7.732582092285156,7.647660732269288,2011-07-29 00:00:00-04:00,2011-07-06 00:00:00-04:00,1.0120766750953525
2011-08,Lord Abbett Intermediate Tax Fr,7.740044116973877,7.846874237060547,7.846874237060547,7.740044116973877,2011-08-31 00:00:00-04:00,2011-08-01 00:00:00-04:00,1.478059248661845
2011-09,Lord Abbett Intermediate Tax Fr,7.846874237060547,7.8866143226623535,7.92924165725708,7.846874237060547,2011-09-23 00:00:00-04:00,2011-09-01 00:00:00-04:00,0.5064447880930079
2011-10,Lord Abbett Intermediate Tax Fr,7.8791046142578125,7.850684642791748,7.8791046142578125,7.766438961029053,2011-10-03 00:00:00-04:00,2011-10-12 00:00:00-04:00,-0.4555780009092181
2011-11,Lord Abbett Intermediate Tax Fr,7.880819320678711,7.905007362365723,7.905007362365723,7.86575174331665,2011-11-30 00:00:00-05:00,2011-11-15 00:00:00-05:00,0.6919488177868915
2011-12,Lord Abbett Intermediate Tax Fr,7.912564277648927,8.072108268737793,8.072108268737793,7.912564277648927,2011-12-30 00:00:00-05:00,2011-12-01 00:00:00-05:00,2.1138614894605556
2012-01,Lord Abbett Intermediate Tax Fr,8.072108268737793,8.238966941833496,8.238966941833496,8.072108268737793,2012-01-31 00:00:00-05:00,2012-01-03 00:00:00-05:00,2.0671015246651825
2012-02,Lord Abbett Intermediate Tax Fr,8.246566772460938,8.254230499267578,8.254230499267578,8.208561897277832,2012-02-29 00:00:00-05:00,2012-02-09 00:00:00-05:00,0.18526057382972638
2012-03,Lord Abbett Intermediate Tax Fr,8.238988876342773,8.200174331665039,8.238988876342773,8.11703872680664,2012-03-01 00:00:00-05:00,2012-03-20 00:00:00-04:00,-0.6548904541414879
2012-04,Lord Abbett Intermediate Tax Fr,8.200174331665039,8.314127922058105,8.314127922058105,8.19253158569336,2012-04-30 00:00:00-04:00,2012-04-03 00:00:00-04:00,1.3896483877547938
2012-05,Lord Abbett Intermediate Tax Fr,8.314127922058105,8.359395980834961,8.367765426635742,8.314127922058105,2012-05-09 00:00:00-04:00,2012-05-01 00:00:00-04:00,0.5444715212614915
2012-06,Lord Abbett Intermediate Tax Fr,8.374761581420898,8.350231170654297,8.374761581420898,8.320982933044434,2012-06-01 00:00:00-04:00,2012-06-12 00:00:00-04:00,-0.10963483727384205
2012-07,Lord Abbett Intermediate Tax Fr,8.350231170654297,8.463521003723145,8.463521003723145,8.350231170654297,2012-07-31 00:00:00-04:00,2012-07-02 00:00:00-04:00,1.3567269067590537
2012-08,Lord Abbett Intermediate Tax Fr,8.471243858337402,8.476704597473145,8.476704597473145,8.409467697143555,2012-08-31 00:00:00-04:00,2012-08-21 00:00:00-04:00,0.15576961106613663
2012-09,Lord Abbett Intermediate Tax Fr,8.476704597473145,8.536375045776367,8.536375045776367,8.430251121520996,2012-09-28 00:00:00-04:00,2012-09-14 00:00:00-04:00,0.7039345021060406
2012-10,Lord Abbett Intermediate Tax Fr,8.536375045776367,8.572121620178223,8.572121620178223,8.536375045776367,2012-10-31 00:00:00-04:00,2012-10-01 00:00:00-04:00,0.41875590294666587
2012-11,Lord Abbett Intermediate Tax Fr,8.572121620178223,8.709874153137207,8.709874153137207,8.572121620178223,2012-11-30 00:00:00-05:00,2012-11-01 00:00:00-04:00,1.606982950810254
2012-12,Lord Abbett Intermediate Tax Fr,8.709874153137207,8.605433464050293,8.709874153137207,8.561718940734863,2012-12-03 00:00:00-05:00,2012-12-18 00:00:00-05:00,-1.1991067522978627
2013-01,Lord Abbett Intermediate Tax Fr,8.597624778747559,8.649272918701172,8.667966842651367,8.597624778747559,2013-01-18 00:00:00-05:00,2013-01-02 00:00:00-05:00,0.5094392378259816
2013-02,Lord Abbett Intermediate Tax Fr,8.649272918701172,8.677525520324707,8.677525520324707,8.625763893127441,2013-02-28 00:00:00-05:00,2013-02-20 00:00:00-05:00,0.3266471284823158
2013-03,Lord Abbett Intermediate Tax Fr,8.68537425994873,8.66580581665039,8.68537425994873,8.622553825378418,2013-03-01 00:00:00-05:00,2013-03-14 00:00:00-04:00,-0.1350581297268061
2013-04,Lord Abbett Intermediate Tax Fr,8.66580581665039,8.748517036437988,8.748517036437988,8.66580581665039,2013-04-30 00:00:00-04:00,2013-04-01 00:00:00-04:00,0.9544550332373891
2013-05,Lord Abbett Intermediate Tax Fr,8.756407737731934,8.649931907653809,8.756407737731934,8.638073921203613,2013-05-01 00:00:00-04:00,2013-05-29 00:00:00-04:00,-1.1268781711639586
2013-06,Lord Abbett Intermediate Tax Fr,8.649931907653809,8.385109901428223,8.649931907653809,8.254596710205078,2013-06-03 00:00:00-04:00,2013-06-25 00:00:00-04:00,-3.061550183895212
2013-07,Lord Abbett Intermediate Tax Fr,8.393031120300293,8.357417106628418,8.400961875915527,8.313776016235352,2013-07-03 00:00:00-04:00,2013-07-25 00:00:00-04:00,-0.33026156037725407
2013-08,Lord Abbett Intermediate Tax Fr,8.349465370178223,8.219237327575684,8.349465370178223,8.198532104492188,2013-08-01 00:00:00-04:00,2013-08-29 00:00:00-04:00,-1.6533789960434198
2013-09,Lord Abbett Intermediate Tax Fr,8.195340156555176,8.376188278198242,8.376188278198242,8.187376022338867,2013-09-30 00:00:00-04:00,2013-09-05 00:00:00-04:00,1.909556134800794
2013-10,Lord Abbett Intermediate Tax Fr,8.376188278198242,8.437728881835938,8.437728881835938,8.320298194885254,2013-10-31 00:00:00-04:00,2013-10-16 00:00:00-04:00,0.7347089343475499
2013-11,Lord Abbett Intermediate Tax Fr,8.437728881835938,8.420194625854492,8.437728881835938,8.381690979003906,2013-11-01 00:00:00-04:00,2013-11-13 00:00:00-05:00,-0.20780776707808313
2013-12,Lord Abbett Intermediate Tax Fr,8.4121732711792,8.380181312561035,8.4121732711792,8.357487678527832,2013-12-02 00:00:00-05:00,2013-12-27 00:00:00-05:00,-0.47520651328646357
2014-01,Lord Abbett Intermediate Tax Fr,8.388282775878906,8.540715217590332,8.540715217590332,8.388282775878906,2014-01-31 00:00:00-05:00,2014-01-02 00:00:00-05:00,1.9156376102349215
2014-02,Lord Abbett Intermediate Tax Fr,8.540715217590332,8.653731346130371,8.653731346130371,8.540715217590332,2014-02-28 00:00:00-05:00,2014-02-03 00:00:00-05:00,1.3232630483600794
2014-03,Lord Abbett Intermediate Tax Fr,8.678177833557129,8.644015312194824,8.678177833557129,8.604846000671387,2014-03-03 00:00:00-05:00,2014-03-24 00:00:00-04:00,-0.11227565944592621
