Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2001-12,Lord Abbett Dividend Growth Fd ,3.406414031982422,3.406414031982422,3.4098167419433594,3.406414031982422,2001-12-28 00:00:00-05:00,2001-12-27 00:00:00-05:00,
2002-01,Lord Abbett Dividend Growth Fd ,3.3996081352233887,3.3723833560943604,3.4166221618652344,3.3383543491363525,2002-01-04 00:00:00-05:00,2002-01-22 00:00:00-05:00,-0.9990176052749766
2002-02,Lord Abbett Dividend Growth Fd ,3.3757867813110356,3.488084554672241,3.488084554672241,3.334951639175415,2002-02-28 00:00:00-05:00,2002-02-07 00:00:00-05:00,3.430843601122424
2002-03,Lord Abbett Dividend Growth Fd ,3.5153105258941646,3.658235788345337,3.658235788345337,3.5153105258941646,2002-03-19 00:00:00-05:00,2002-03-01 00:00:00-05:00,4.878070786592037
2002-04,Lord Abbett Dividend Growth Fd ,3.6378188133239746,3.613997459411621,3.71268367767334,3.5731616020202637,2002-04-10 00:00:00-04:00,2002-04-29 00:00:00-04:00,-1.2092804152934455
2002-05,Lord Abbett Dividend Growth Fd ,3.6208038330078125,3.6208038330078125,3.661640167236328,3.5901756286621094,2002-05-23 00:00:00-04:00,2002-05-06 00:00:00-04:00,0.188333657470241
2002-06,Lord Abbett Dividend Growth Fd ,3.566354990005493,3.4681344032287598,3.566354990005493,3.437042713165283,2002-06-03 00:00:00-04:00,2002-06-26 00:00:00-04:00,-4.216451285962918
2002-07,Lord Abbett Dividend Growth Fd ,3.4338979721069336,3.201091766357422,3.4338979721069336,2.934048891067505,2002-07-01 00:00:00-04:00,2002-07-23 00:00:00-04:00,-7.699892963280974
2002-08,Lord Abbett Dividend Growth Fd ,3.1908202171325684,3.266139268875122,3.3174939155578613,3.070993661880493,2002-08-22 00:00:00-04:00,2002-08-05 00:00:00-04:00,2.032041167995602
2002-09,Lord Abbett Dividend Growth Fd ,3.187394857406616,3.012791156768799,3.2524466514587402,2.9922502040863037,2002-09-11 00:00:00-04:00,2002-09-24 00:00:00-04:00,-7.756806775529135
2002-10,Lord Abbett Dividend Growth Fd ,3.081264019012451,3.0059452056884766,3.081264019012451,2.7765614986419678,2002-10-01 00:00:00-04:00,2002-10-09 00:00:00-04:00,-0.22722952651204054
2002-11,Lord Abbett Dividend Growth Fd ,3.0299098491668706,3.2113611698150635,3.211361169815063,2.9922502040863037,2002-11-27 00:00:00-05:00,2002-11-11 00:00:00-05:00,6.833656306770197
2002-12,Lord Abbett Dividend Growth Fd ,3.2319021224975586,3.0983822345733643,3.2319021224975586,3.070993661880493,2002-12-02 00:00:00-05:00,2002-12-27 00:00:00-05:00,-3.518101181008093
2003-01,Lord Abbett Dividend Growth Fd ,3.146312713623047,3.0059452056884766,3.187394857406616,2.975130796432495,2003-01-06 00:00:00-05:00,2003-01-27 00:00:00-05:00,-2.983396556223028
2003-02,Lord Abbett Dividend Growth Fd ,3.016215085983277,2.923776626586914,3.016215085983277,2.886117458343506,2003-02-03 00:00:00-05:00,2003-02-13 00:00:00-05:00,-2.7335354931309452
2003-03,Lord Abbett Dividend Growth Fd ,2.9203522205352783,2.913506507873535,2.985403299331665,2.807373523712158,2003-03-21 00:00:00-05:00,2003-03-12 00:00:00-05:00,-0.3512620841137126
2003-04,Lord Abbett Dividend Growth Fd ,2.9374730587005615,3.1018049716949463,3.1018049716949463,2.9374730587005615,2003-04-30 00:00:00-04:00,2003-04-01 00:00:00-05:00,6.462949827383202
2003-05,Lord Abbett Dividend Growth Fd ,3.1018049716949463,3.235328197479248,3.235328197479248,3.1018049716949463,2003-05-30 00:00:00-04:00,2003-05-01 00:00:00-04:00,4.304694428010403
2003-06,Lord Abbett Dividend Growth Fd ,3.255869150161743,3.261547803878784,3.3414604663848877,3.245598316192627,2003-06-17 00:00:00-04:00,2003-06-03 00:00:00-04:00,0.8104156610746482
2003-07,Lord Abbett Dividend Growth Fd ,3.265016794204712,3.2962095737457275,3.3170061111450195,3.2407519817352295,2003-07-08 00:00:00-04:00,2003-07-21 00:00:00-04:00,1.0627398999248694
2003-08,Lord Abbett Dividend Growth Fd ,3.2719473838806152,3.368997573852539,3.368997573852539,3.2303550243377686,2003-08-29 00:00:00-04:00,2003-08-06 00:00:00-04:00,2.2082333807463828
2003-09,Lord Abbett Dividend Growth Fd ,3.407123565673828,3.3620641231536865,3.441784381866455,3.3412680625915523,2003-09-18 00:00:00-04:00,2003-09-26 00:00:00-04:00,-0.20580159370444662
2003-10,Lord Abbett Dividend Growth Fd ,3.4036576747894287,3.4903078079223633,3.4903078079223633,3.4036576747894287,2003-10-31 00:00:00-05:00,2003-10-01 00:00:00-04:00,3.8144330408660165
2003-11,Lord Abbett Dividend Growth Fd ,3.514570713043213,3.580425977706909,3.580425977706909,3.4972410202026367,2003-11-28 00:00:00-05:00,2003-11-11 00:00:00-05:00,2.5819547943592314
