Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2020-12,Lord Abbett Mid Cap Innovation ,15.0,15.0,15.109999656677246,15.0,2020-12-30 00:00:00-05:00,2020-12-29 00:00:00-05:00,
2021-01,Lord Abbett Mid Cap Innovation ,14.760000228881836,15.140000343322754,16.030000686645508,14.760000228881836,2021-01-22 00:00:00-05:00,2021-01-04 00:00:00-05:00,0.9333356221516986
2021-02,Lord Abbett Mid Cap Innovation ,15.510000228881836,15.890000343322754,17.260000228881836,15.510000228881836,2021-02-12 00:00:00-05:00,2021-02-01 00:00:00-05:00,4.953764748960365
2021-03,Lord Abbett Mid Cap Innovation ,16.489999771118164,15.010000228881836,16.489999771118164,14.130000114440918,2021-03-01 00:00:00-05:00,2021-03-08 00:00:00-05:00,-5.5380748610915465
2021-04,Lord Abbett Mid Cap Innovation ,15.319999694824219,15.619999885559082,16.139999389648438,15.260000228881836,2021-04-26 00:00:00-04:00,2021-04-20 00:00:00-04:00,4.0639550124956125
2021-05,Lord Abbett Mid Cap Innovation ,15.449999809265137,14.920000076293945,15.449999809265137,13.930000305175781,2021-05-03 00:00:00-04:00,2021-05-12 00:00:00-04:00,-4.481432870638469
2021-06,Lord Abbett Mid Cap Innovation ,14.899999618530273,15.779999732971191,15.869999885559082,14.619999885559082,2021-06-29 00:00:00-04:00,2021-06-03 00:00:00-04:00,5.764072736458492
2021-07,Lord Abbett Mid Cap Innovation ,15.829999923706055,16.139999389648438,16.190000534057617,15.319999694824219,2021-07-23 00:00:00-04:00,2021-07-19 00:00:00-04:00,2.281366684215169
2021-08,Lord Abbett Mid Cap Innovation ,16.1200008392334,16.770000457763672,16.889999389648438,15.90999984741211,2021-08-30 00:00:00-04:00,2021-08-19 00:00:00-04:00,3.9033524903308914
2021-09,Lord Abbett Mid Cap Innovation ,16.850000381469727,16.15999984741211,17.280000686645508,16.15999984741211,2021-09-23 00:00:00-04:00,2021-09-30 00:00:00-04:00,-3.637451363748545
2021-10,Lord Abbett Mid Cap Innovation ,16.290000915527344,17.6299991607666,17.6299991607666,15.800000190734863,2021-10-29 00:00:00-04:00,2021-10-04 00:00:00-04:00,9.096530490313715
2021-11,Lord Abbett Mid Cap Innovation ,17.729999542236328,16.579999923706055,18.100000381469727,16.579999923706055,2021-11-09 00:00:00-05:00,2021-11-30 00:00:00-05:00,-5.955753187993285
2021-12,Lord Abbett Mid Cap Innovation ,16.049999237060547,15.880000114440918,16.399999618530273,15.079999923706055,2021-12-08 00:00:00-05:00,2021-12-20 00:00:00-05:00,-4.2219530306769055
2022-01,Lord Abbett Mid Cap Innovation ,15.6899995803833,13.3100004196167,15.6899995803833,12.460000038146973,2022-01-03 00:00:00-05:00,2022-01-27 00:00:00-05:00,-16.183877054806306
2022-02,Lord Abbett Mid Cap Innovation ,13.5,13.220000267028809,13.920000076293945,12.489999771118164,2022-02-09 00:00:00-05:00,2022-02-23 00:00:00-05:00,-0.6761844459091448
2022-03,Lord Abbett Mid Cap Innovation ,12.920000076293945,13.199999809265137,13.5600004196167,11.789999961853027,2022-03-29 00:00:00-04:00,2022-03-14 00:00:00-04:00,-0.15128939001275432
2022-04,Lord Abbett Mid Cap Innovation ,13.229999542236328,11.460000038146973,13.390000343322754,11.460000038146973,2022-04-04 00:00:00-04:00,2022-04-29 00:00:00-04:00,-13.181816638336997
2022-05,Lord Abbett Mid Cap Innovation ,11.609999656677246,10.960000038146973,11.829999923706055,10.1899995803833,2022-05-04 00:00:00-04:00,2022-05-11 00:00:00-04:00,-4.363001730677551
2022-06,Lord Abbett Mid Cap Innovation ,10.880000114440918,10.279999732971191,11.369999885559082,9.8100004196167,2022-06-07 00:00:00-04:00,2022-06-16 00:00:00-04:00,-6.204382324899605
2022-07,Lord Abbett Mid Cap Innovation ,10.359999656677246,11.3100004196167,11.3100004196167,10.25,2022-07-29 00:00:00-04:00,2022-07-14 00:00:00-04:00,10.019462192610495
2022-08,Lord Abbett Mid Cap Innovation ,11.289999961853027,11.149999618530273,12.119999885559082,11.149999618530273,2022-08-15 00:00:00-04:00,2022-08-31 00:00:00-04:00,-1.4146843072517568
2022-09,Lord Abbett Mid Cap Innovation ,10.960000038146973,10.239999771118164,11.699999809265137,10.069999694824219,2022-09-12 00:00:00-04:00,2022-09-26 00:00:00-04:00,-8.161433888300529
2022-10,Lord Abbett Mid Cap Innovation ,10.510000228881836,10.100000381469727,10.890000343322754,9.84000015258789,2022-10-04 00:00:00-04:00,2022-10-14 00:00:00-04:00,-1.3671815700944112
