Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Lord Abbett Multi-Asset Income ,12.629547119140625,13.364779472351074,13.364779472351074,12.526409149169922,2019-01-31 00:00:00-05:00,2019-01-03 00:00:00-05:00,
2019-02,Lord Abbett Multi-Asset Income ,13.392936706542969,13.663209915161133,13.683884620666504,13.392936706542969,2019-02-25 00:00:00-05:00,2019-02-01 00:00:00-05:00,2.2329619686389135
2019-03,Lord Abbett Multi-Asset Income ,13.710197448730469,13.703730583190918,13.775975227355957,13.512858390808105,2019-03-21 00:00:00-04:00,2019-03-08 00:00:00-05:00,0.2965677046710802
2019-04,Lord Abbett Multi-Asset Income ,13.77907943725586,13.966514587402344,13.966514587402344,13.77907943725586,2019-04-30 00:00:00-04:00,2019-04-01 00:00:00-04:00,1.9176092423603075
2019-05,Lord Abbett Multi-Asset Income ,13.909932136535645,13.670373916625977,13.975948333740234,13.670373916625977,2019-05-03 00:00:00-04:00,2019-05-31 00:00:00-04:00,-2.120362019622868
2019-06,Lord Abbett Multi-Asset Income ,13.679814338684082,14.054773330688477,14.066888809204102,13.679814338684082,2019-06-20 00:00:00-04:00,2019-06-03 00:00:00-04:00,2.811915873017856
2019-07,Lord Abbett Multi-Asset Income ,14.092633247375488,14.120018005371094,14.215673446655273,14.092633247375488,2019-07-24 00:00:00-04:00,2019-07-01 00:00:00-04:00,0.4642171961617869
2019-08,Lord Abbett Multi-Asset Income ,14.072635650634766,13.973136901855469,14.072635650634766,13.797815322875977,2019-08-01 00:00:00-04:00,2019-08-14 00:00:00-04:00,-1.0402331176897484
2019-09,Lord Abbett Multi-Asset Income ,13.944679260253906,13.994930267333984,14.086971282958984,13.944679260253906,2019-09-17 00:00:00-04:00,2019-09-03 00:00:00-04:00,0.15596616301398747
2019-10,Lord Abbett Multi-Asset Income ,13.918920516967773,14.126007080078125,14.15644645690918,13.804911613464355,2019-10-30 00:00:00-04:00,2019-10-02 00:00:00-04:00,0.9366021140533309
2019-11,Lord Abbett Multi-Asset Income ,14.202108383178711,14.328546524047852,14.376249313354492,14.202108383178711,2019-11-27 00:00:00-05:00,2019-11-01 00:00:00-04:00,1.4338053408975426
