Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
1995-12,"Lord Abbett Research Fund, Inc.",1.0952149629592896,1.0985006093978882,1.0985006093978882,1.0897388458251953,1995-12-29 00:00:00-05:00,1995-12-19 00:00:00-05:00,
1996-01,"Lord Abbett Research Fund, Inc.",1.1028814315795898,1.1204049587249756,1.1214998960494995,1.0952149629592896,1996-01-30 00:00:00-05:00,1996-01-10 00:00:00-05:00,1.9940225011885637
1996-02,"Lord Abbett Research Fund, Inc.",1.1291664838790894,1.168594241142273,1.1850225925445557,1.1269761323928833,1996-02-23 00:00:00-05:00,1996-02-02 00:00:00-05:00,4.301059366261373
1996-03,"Lord Abbett Research Fund, Inc.",1.169689655303955,1.1948795318603516,1.1948795318603516,1.1510708332061768,1996-03-29 00:00:00-05:00,1996-03-08 00:00:00-05:00,2.2493085959747194
1996-04,"Lord Abbett Research Fund, Inc.",1.1992604732513428,1.2737349271774292,1.2737349271774292,1.1751655340194702,1996-04-30 00:00:00-04:00,1996-04-11 00:00:00-04:00,6.599443141711925
1996-05,"Lord Abbett Research Fund, Inc.",1.2715446949005127,1.3120672702789307,1.331781268119812,1.2551162242889404,1996-05-17 00:00:00-04:00,1996-05-02 00:00:00-04:00,3.0094442951678513
1996-06,"Lord Abbett Research Fund, Inc.",1.3087818622589111,1.280306100845337,1.3186389207839966,1.248544692993164,1996-06-04 00:00:00-04:00,1996-06-20 00:00:00-04:00,-2.4206967244020716
1996-07,"Lord Abbett Research Fund, Inc.",1.2726398706436157,1.2069270610809326,1.2726398706436157,1.169689655303955,1996-07-01 00:00:00-04:00,1996-07-16 00:00:00-04:00,-5.731366875152355
1996-08,"Lord Abbett Research Fund, Inc.",1.2244501113891602,1.269956111907959,1.269956111907959,1.222259759902954,1996-08-30 00:00:00-04:00,1996-08-06 00:00:00-04:00,5.222275053686931
1996-09,"Lord Abbett Research Fund, Inc.",1.2600771188735962,1.3116660118103027,1.3116660118103027,1.2589795589447021,1996-09-30 00:00:00-04:00,1996-09-05 00:00:00-04:00,3.28435758615937
