Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Lord Abbett Short Duration Tax ,14.876035690307617,14.947257995605469,14.947257995605469,14.876035690307617,2019-01-31 00:00:00-05:00,2019-01-02 00:00:00-05:00,
2019-02,Lord Abbett Short Duration Tax ,14.947257995605469,15.003167152404785,15.003167152404785,14.937627792358398,2019-02-28 00:00:00-05:00,2019-02-04 00:00:00-05:00,0.3740428968025622
2019-03,Lord Abbett Short Duration Tax ,15.003167152404785,15.09486198425293,15.09486198425293,15.003167152404785,2019-03-29 00:00:00-04:00,2019-03-01 00:00:00-05:00,0.6111698344535732
2019-04,Lord Abbett Short Duration Tax ,15.09486198425293,15.12002944946289,15.12002944946289,15.07553482055664,2019-04-30 00:00:00-04:00,2019-04-04 00:00:00-04:00,0.1667286871268825
2019-05,Lord Abbett Short Duration Tax ,15.129711151123047,15.232378005981445,15.232378005981445,15.129711151123047,2019-05-31 00:00:00-04:00,2019-05-01 00:00:00-04:00,0.7430445614809766
2019-06,Lord Abbett Short Duration Tax ,15.232378005981445,15.285741806030273,15.285741806030273,15.232378005981445,2019-06-28 00:00:00-04:00,2019-06-03 00:00:00-04:00,0.3503313798270513
2019-07,Lord Abbett Short Duration Tax ,15.285741806030273,15.368341445922852,15.368341445922852,15.285741806030273,2019-07-31 00:00:00-04:00,2019-07-01 00:00:00-04:00,0.5403705030526673
2019-08,Lord Abbett Short Duration Tax ,15.378067970275879,15.460783958435059,15.460783958435059,15.378067970275879,2019-08-30 00:00:00-04:00,2019-08-01 00:00:00-04:00,0.601512614991595
2019-09,Lord Abbett Short Duration Tax ,15.460783958435059,15.397500991821289,15.460783958435059,15.334137916564941,2019-09-03 00:00:00-04:00,2019-09-17 00:00:00-04:00,-0.4093127928305629
2019-10,Lord Abbett Short Duration Tax ,15.397500991821289,15.430741310119629,15.446288108825684,15.377985954284668,2019-10-09 00:00:00-04:00,2019-10-29 00:00:00-04:00,0.2158812544710731
2019-11,Lord Abbett Short Duration Tax ,15.430741310119629,15.454233169555664,15.454233169555664,15.4014253616333,2019-11-29 00:00:00-05:00,2019-11-07 00:00:00-05:00,0.15224064070484822
2019-12,Lord Abbett Short Duration Tax ,15.454233169555664,15.486563682556152,15.486563682556152,15.454233169555664,2019-12-31 00:00:00-05:00,2019-12-02 00:00:00-05:00,0.20920166433220366
2020-01,Lord Abbett Short Duration Tax ,15.496365547180176,15.625788688659668,15.625788688659668,15.496365547180176,2020-01-31 00:00:00-05:00,2020-01-02 00:00:00-05:00,0.8990051567110191
2020-02,Lord Abbett Short Duration Tax ,15.615976333618164,15.717103958129883,15.717103958129883,15.596343994140625,2020-02-28 00:00:00-05:00,2020-02-06 00:00:00-05:00,0.5843882269858547
2020-03,Lord Abbett Short Duration Tax ,15.726933479309082,15.241340637207031,15.726933479309082,14.694853782653809,2020-03-02 00:00:00-05:00,2020-03-20 00:00:00-04:00,-3.027041891370552
2020-04,Lord Abbett Short Duration Tax ,15.123190879821777,15.154714584350586,15.290570259094238,15.093652725219727,2020-04-14 00:00:00-04:00,2020-04-02 00:00:00-04:00,-0.5683624224300465
2020-05,Lord Abbett Short Duration Tax ,15.174433708190918,15.381542205810547,15.381542205810547,15.174433708190918,2020-05-29 00:00:00-04:00,2020-05-01 00:00:00-04:00,1.4967462448563174
2020-06,Lord Abbett Short Duration Tax ,15.381542205810547,15.517807960510254,15.517807960510254,15.381542205810547,2020-06-30 00:00:00-04:00,2020-06-01 00:00:00-04:00,0.8859043708129066
2020-07,Lord Abbett Short Duration Tax ,15.517807960510254,15.656219482421875,15.656219482421875,15.517807960510254,2020-07-31 00:00:00-04:00,2020-07-01 00:00:00-04:00,0.8919527955485229
2020-08,Lord Abbett Short Duration Tax ,15.656219482421875,15.67306137084961,15.695805549621582,15.656219482421875,2020-08-10 00:00:00-04:00,2020-08-03 00:00:00-04:00,0.1075731497418353
2020-09,Lord Abbett Short Duration Tax ,15.663156509399414,15.670097351074219,15.670097351074219,15.663156509399414,2020-09-30 00:00:00-04:00,2020-09-01 00:00:00-04:00,-0.018911555982947803
2020-10,Lord Abbett Short Duration Tax ,15.670097351074219,15.656228065490723,15.670097351074219,15.64034366607666,2020-10-01 00:00:00-04:00,2020-10-20 00:00:00-04:00,-0.08850797332503602
2020-11,Lord Abbett Short Duration Tax ,15.656228065490723,15.751553535461426,15.751553535461426,15.656228065490723,2020-11-30 00:00:00-05:00,2020-11-02 00:00:00-05:00,0.6088661302834364
