Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2019-01,Lord Abbett Total Return Fund C,9.284070014953613,9.406417846679688,9.406417846679688,9.284070014953613,2019-01-31 00:00:00-05:00,2019-01-02 00:00:00-05:00,
2019-02,Lord Abbett Total Return Fund C,9.38771915435791,9.406435012817383,9.415771484375,9.378368377685547,2019-02-08 00:00:00-05:00,2019-02-04 00:00:00-05:00,0.00018249388848978754
2019-03,Lord Abbett Total Return Fund C,9.387701988220215,9.560120582580566,9.560120582580566,9.387701988220215,2019-03-29 00:00:00-04:00,2019-03-01 00:00:00-05:00,1.6338343862873472
2019-04,Lord Abbett Total Return Fund C,9.522554397583008,9.571453094482422,9.571453094482422,9.513165473937988,2019-04-30 00:00:00-04:00,2019-04-16 00:00:00-04:00,0.11853942430919417
2019-05,Lord Abbett Total Return Fund C,9.571453094482422,9.706149101257324,9.706149101257324,9.552632331848145,2019-05-31 00:00:00-04:00,2019-05-02 00:00:00-04:00,1.407268106997761
2019-06,Lord Abbett Total Return Fund C,9.725014686584473,9.831653594970703,9.831653594970703,9.706149101257324,2019-06-28 00:00:00-04:00,2019-06-06 00:00:00-04:00,1.293041065041134
2019-07,Lord Abbett Total Return Fund C,9.831653594970703,9.859115600585938,9.869462966918945,9.793838500976562,2019-07-03 00:00:00-04:00,2019-07-11 00:00:00-04:00,0.2793223474562012
2019-08,Lord Abbett Total Return Fund C,9.91594409942627,10.026779174804688,10.026779174804688,9.91594409942627,2019-08-30 00:00:00-04:00,2019-08-01 00:00:00-04:00,1.7005944651748095
2019-09,Lord Abbett Total Return Fund C,10.036264419555664,9.979400634765625,10.045748710632324,9.856027603149414,2019-09-04 00:00:00-04:00,2019-09-13 00:00:00-04:00,-0.4725200307404309
2019-10,Lord Abbett Total Return Fund C,9.988903999328613,9.994688987731934,10.036428451538086,9.912871360778809,2019-10-04 00:00:00-04:00,2019-10-28 00:00:00-04:00,0.15319911010533982
2019-11,Lord Abbett Total Return Fund C,9.9851713180542,9.989948272705078,9.989948272705078,9.899500846862793,2019-11-29 00:00:00-05:00,2019-11-07 00:00:00-05:00,-0.04743234164339416
2019-12,Lord Abbett Total Return Fund C,9.961355209350586,9.98613452911377,10.009016036987305,9.95181941986084,2019-12-03 00:00:00-05:00,2019-12-12 00:00:00-05:00,-0.03817580919541763
2020-01,Lord Abbett Total Return Fund C,10.0147705078125,10.182848930358887,10.182848930358887,10.0147705078125,2020-01-31 00:00:00-05:00,2020-01-02 00:00:00-05:00,1.9698753373651456
2020-02,Lord Abbett Total Return Fund C,10.17328929901123,10.304383277893066,10.304383277893066,10.125480651855469,2020-02-28 00:00:00-05:00,2020-02-05 00:00:00-05:00,1.1935200881930008
2020-03,Lord Abbett Total Return Fund C,10.294807434082031,9.854377746582031,10.438455581665039,9.461644172668457,2020-03-06 00:00:00-05:00,2020-03-19 00:00:00-04:00,-4.3671272620116275
2020-04,Lord Abbett Total Return Fund C,9.854377746582031,10.047283172607422,10.047283172607422,9.835186958312988,2020-04-30 00:00:00-04:00,2020-04-06 00:00:00-04:00,1.957560700291805
2020-05,Lord Abbett Total Return Fund C,10.03766918182373,10.171380996704102,10.171380996704102,9.97998046875,2020-05-29 00:00:00-04:00,2020-05-11 00:00:00-04:00,1.2351381160930819
2020-06,Lord Abbett Total Return Fund C,10.171380996704102,10.285066604614258,10.286964416503906,10.171380996704102,2020-06-19 00:00:00-04:00,2020-06-01 00:00:00-04:00,1.1177008111975528
2020-07,Lord Abbett Total Return Fund C,10.285066604614258,10.523404121398926,10.523404121398926,10.285066604614258,2020-07-31 00:00:00-04:00,2020-07-01 00:00:00-04:00,2.3173162211486353
2020-08,Lord Abbett Total Return Fund C,10.523404121398926,10.48092269897461,10.55239486694336,10.446099281311035,2020-08-04 00:00:00-04:00,2020-08-27 00:00:00-04:00,-0.40368517576866436
2020-09,Lord Abbett Total Return Fund C,10.509956359863281,10.45673656463623,10.53898811340332,10.442214012145996,2020-09-02 00:00:00-04:00,2020-09-25 00:00:00-04:00,-0.23076340731665868
2020-10,Lord Abbett Total Return Fund C,10.46642780303955,10.419899940490723,10.485809326171875,10.419899940490723,2020-10-13 00:00:00-04:00,2020-10-30 00:00:00-04:00,-0.3522764862422423
2020-11,Lord Abbett Total Return Fund C,10.439306259155273,10.587760925292969,10.587760925292969,10.42960262298584,2020-11-30 00:00:00-05:00,2020-11-03 00:00:00-05:00,1.6109654196385659
2020-12,Lord Abbett Total Return Fund C,10.568333625793457,10.65482234954834,10.65482234954834,10.558619499206543,2020-12-31 00:00:00-05:00,2020-12-02 00:00:00-05:00,0.633386272400327
2021-01,Lord Abbett Total Return Fund C,10.65482234954834,10.615104675292969,10.65482234954834,10.565454483032227,2021-01-04 00:00:00-05:00,2021-01-11 00:00:00-05:00,-0.3727671185156378
2021-02,Lord Abbett Total Return Fund C,10.615104675292969,10.487939834594727,10.625042915344238,10.436196327209473,2021-02-10 00:00:00-05:00,2021-02-25 00:00:00-05:00,-1.1979612503890125
2021-03,Lord Abbett Total Return Fund C,10.487939834594727,10.380487442016602,10.49789047241211,10.348631858825684,2021-03-02 00:00:00-05:00,2021-03-18 00:00:00-04:00,-1.0245328851305024
2021-04,Lord Abbett Total Return Fund C,10.41037368774414,10.472164154052734,10.490070343017578,10.400411605834961,2021-04-15 00:00:00-04:00,2021-04-05 00:00:00-04:00,0.8831638451298307
2021-05,Lord Abbett Total Return Fund C,10.482137680053711,10.50609302520752,10.50609302520752,10.442243576049805,2021-05-28 00:00:00-04:00,2021-05-12 00:00:00-04:00,0.32399101709701394
2021-06,Lord Abbett Total Return Fund C,10.50609302520752,10.600000381469727,10.600000381469727,10.50609302520752,2021-06-30 00:00:00-04:00,2021-06-01 00:00:00-04:00,0.8938370908851967
2021-07,Lord Abbett Total Return Fund C,10.600000381469727,10.680000305175781,10.6899995803833,10.600000381469727,2021-07-19 00:00:00-04:00,2021-07-01 00:00:00-04:00,0.7547162342173674
2021-08,Lord Abbett Total Return Fund C,10.699999809265137,10.649999618530273,10.699999809265137,10.609999656677246,2021-08-02 00:00:00-04:00,2021-08-10 00:00:00-04:00,-0.28090529764281946
2021-09,Lord Abbett Total Return Fund C,10.65999984741211,10.550000190734863,10.680000305175781,10.550000190734863,2021-09-14 00:00:00-04:00,2021-09-28 00:00:00-04:00,-0.9389617969696284
2021-10,Lord Abbett Total Return Fund C,10.569999694824219,10.529999732971191,10.569999694824219,10.470000267028809,2021-10-01 00:00:00-04:00,2021-10-21 00:00:00-04:00,-0.18957779528039342
2021-11,Lord Abbett Total Return Fund C,10.520000457763672,10.529999732971191,10.600000381469727,10.449999809265137,2021-11-09 00:00:00-05:00,2021-11-23 00:00:00-05:00,0.0
2021-12,Lord Abbett Total Return Fund C,10.539999961853027,10.449999809265137,10.579999923706055,10.420000076293945,2021-12-03 00:00:00-05:00,2021-12-29 00:00:00-05:00,-0.7597333877945034
