Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2008-01,AMUN ETF DAX (DR) ACC,78.68000030517578,67.62999725341797,78.68000030517578,66.5,2008-01-03 00:00:00+01:00,2008-01-22 00:00:00+01:00,
2008-02,AMUN ETF DAX (DR) ACC,68.9000015258789,67.0,70.0,65.0,2008-02-04 00:00:00+01:00,2008-02-19 00:00:00+01:00,-0.9315352343683969
2008-03,AMUN ETF DAX (DR) ACC,66.08999633789062,64.4800033569336,66.19999694824219,61.970001220703125,2008-03-05 00:00:00+01:00,2008-03-17 00:00:00+01:00,-3.761189019502098
2008-04,AMUN ETF DAX (DR) ACC,66.5,68.02999877929688,69.0,65.12000274658203,2008-04-28 00:00:00+02:00,2008-04-11 00:00:00+02:00,5.5055757406091255
2008-05,AMUN ETF DAX (DR) ACC,69.69999694824219,70.52999877929688,71.54000091552734,68.79000091552734,2008-05-19 00:00:00+02:00,2008-05-23 00:00:00+02:00,3.674849397117441
2008-06,AMUN ETF DAX (DR) ACC,69.70999908447266,64.01000213623047,69.70999908447266,63.29999923706055,2008-06-02 00:00:00+02:00,2008-06-27 00:00:00+02:00,-9.244288608977346
2008-07,AMUN ETF DAX (DR) ACC,62.9900016784668,64.08999633789062,64.5999984741211,60.209999084472656,2008-07-23 00:00:00+02:00,2008-07-15 00:00:00+02:00,0.12497140913994009
2008-08,AMUN ETF DAX (DR) ACC,63.25,63.63999938964844,65.55000305175781,61.0,2008-08-11 00:00:00+02:00,2008-08-21 00:00:00+02:00,-0.7021328974177954
2008-09,AMUN ETF DAX (DR) ACC,63.06999969482422,56.970001220703125,64.47000122070312,56.970001220703125,2008-09-02 00:00:00+02:00,2008-09-30 00:00:00+02:00,-10.480826890187311
2008-10,AMUN ETF DAX (DR) ACC,57.5,47.66999816894531,57.5,40.0,2008-10-01 00:00:00+02:00,2008-10-27 00:00:00+01:00,-16.324386260287028
2008-11,AMUN ETF DAX (DR) ACC,49.95000076293945,46.369998931884766,51.439998626708984,41.869998931884766,2008-11-05 00:00:00+01:00,2008-11-20 00:00:00+01:00,-2.7270805265258713
2008-12,AMUN ETF DAX (DR) ACC,45.20000076293945,47.22999954223633,47.84000015258789,43.7400016784668,2008-12-10 00:00:00+01:00,2008-12-03 00:00:00+01:00,1.8546487603220863
2009-01,AMUN ETF DAX (DR) ACC,49.790000915527344,42.852500915527344,50.150001525878906,40.5,2009-01-06 00:00:00+01:00,2009-01-23 00:00:00+01:00,-9.2684706100713
2009-02,AMUN ETF DAX (DR) ACC,42.0,37.911399841308594,45.91120147705078,37.099998474121094,2009-02-06 00:00:00+01:00,2009-02-27 00:00:00+01:00,-11.530484729371704
2009-03,AMUN ETF DAX (DR) ACC,36.900001525878906,40.31520080566406,42.13999938964844,35.91999816894531,2009-03-27 00:00:00+01:00,2009-03-09 00:00:00+01:00,6.340575590501585
2009-04,AMUN ETF DAX (DR) ACC,40.83000183105469,47.1088981628418,47.58000183105469,40.77289962768555,2009-04-30 00:00:00+02:00,2009-04-01 00:00:00+02:00,16.85145359916762
2009-05,AMUN ETF DAX (DR) ACC,47.900001525878906,48.799400329589844,49.78300094604492,46.0,2009-05-20 00:00:00+02:00,2009-05-14 00:00:00+02:00,3.588498633324999
2009-06,AMUN ETF DAX (DR) ACC,50.63999938964844,47.465599060058594,51.0,46.150001525878906,2009-06-02 00:00:00+02:00,2009-06-23 00:00:00+02:00,-2.733232909672645
2009-07,AMUN ETF DAX (DR) ACC,48.029998779296875,52.664798736572266,52.91999816894531,44.84000015258789,2009-07-31 00:00:00+02:00,2009-07-13 00:00:00+02:00,10.953616470604487
2009-08,AMUN ETF DAX (DR) ACC,52.70000076293945,53.900001525878906,54.83000183105469,51.099998474121094,2009-08-26 00:00:00+02:00,2009-08-17 00:00:00+02:00,2.3454049363885066
2009-09,AMUN ETF DAX (DR) ACC,54.2400016784668,56.04650115966797,56.70000076293945,51.97999954223633,2009-09-18 00:00:00+02:00,2009-09-02 00:00:00+02:00,3.98237397592367
2009-10,AMUN ETF DAX (DR) ACC,56.209999084472656,53.88999938964844,57.959999084472656,53.75,2009-10-16 00:00:00+02:00,2009-10-02 00:00:00+02:00,-3.8477009722265865
2009-11,AMUN ETF DAX (DR) ACC,53.099998474121094,55.52349853515625,57.349998474121094,52.45000076293945,2009-11-23 00:00:00+01:00,2009-11-03 00:00:00+01:00,3.031173063664183
2009-12,AMUN ETF DAX (DR) ACC,0.0,58.79880142211914,59.27000045776367,55.43000030517578,2009-12-29 00:00:00+01:00,2009-12-09 00:00:00+01:00,5.898949045671253
2010-01,AMUN ETF DAX (DR) ACC,59.20000076293945,55.324501037597656,59.939998626708984,54.7599983215332,2010-01-11 00:00:00+01:00,2010-01-29 00:00:00+01:00,-5.908794568071773
2010-02,AMUN ETF DAX (DR) ACC,55.06999969482422,54.95000076293945,56.33000183105469,53.45000076293945,2010-02-22 00:00:00+01:00,2010-02-05 00:00:00+01:00,-0.6769157744481058
2010-03,AMUN ETF DAX (DR) ACC,55.77000045776367,60.54999923706055,60.970001220703125,55.58000183105469,2010-03-30 00:00:00+02:00,2010-03-01 00:00:00+01:00,10.191079884202603
2010-04,AMUN ETF DAX (DR) ACC,61.099998474121094,60.15999984741211,62.279998779296875,59.470001220703125,2010-04-26 00:00:00+02:00,2010-04-28 00:00:00+02:00,-0.6440947887076609
2010-05,AMUN ETF DAX (DR) ACC,60.02000045776367,58.65999984741211,61.29999923706055,55.2599983215332,2010-05-14 00:00:00+02:00,2010-05-25 00:00:00+02:00,-2.4933510701538375
2010-06,AMUN ETF DAX (DR) ACC,58.400001525878906,58.70000076293945,62.16999816894531,57.08000183105469,2010-06-21 00:00:00+02:00,2010-06-08 00:00:00+02:00,0.06819112790896753
2010-07,AMUN ETF DAX (DR) ACC,57.81999969482422,60.599998474121094,61.34000015258789,57.25,2010-07-15 00:00:00+02:00,2010-07-05 00:00:00+02:00,3.2367933330270215
2010-08,AMUN ETF DAX (DR) ACC,61.18000030517578,58.04999923706055,62.650001525878906,57.400001525878906,2010-08-05 00:00:00+02:00,2010-08-31 00:00:00+02:00,-4.2079196390566125
2010-09,AMUN ETF DAX (DR) ACC,57.880001068115234,61.79999923706055,62.18000030517578,57.880001068115234,2010-09-21 00:00:00+02:00,2010-09-01 00:00:00+02:00,6.45994840531523
2010-10,AMUN ETF DAX (DR) ACC,61.310001373291016,65.06999969482422,65.36000061035156,60.060001373291016,2010-10-25 00:00:00+02:00,2010-10-05 00:00:00+02:00,5.291262941962471
2010-11,AMUN ETF DAX (DR) ACC,65.4800033569336,65.73999786376953,67.6500015258789,64.68000030517578,2010-11-29 00:00:00+01:00,2010-11-02 00:00:00+01:00,1.0296575566122401
2010-12,AMUN ETF DAX (DR) ACC,66.56999969482422,67.73999786376953,69.47000122070312,66.52999877929688,2010-12-21 00:00:00+01:00,2010-12-01 00:00:00+01:00,3.0422878992854896
2011-01,AMUN ETF DAX (DR) ACC,68.5,69.48999786376953,70.33999633789062,67.23999786376953,2011-01-27 00:00:00+01:00,2011-01-11 00:00:00+01:00,2.5834072264356855
2011-02,AMUN ETF DAX (DR) ACC,69.8499984741211,71.30000305175781,72.87999725341797,69.51000213623047,2011-02-16 00:00:00+01:00,2011-02-24 00:00:00+01:00,2.604698868370492
2011-03,AMUN ETF DAX (DR) ACC,71.83000183105469,69.12000274658203,71.9800033569336,63.709999084472656,2011-03-01 00:00:00+01:00,2011-03-15 00:00:00+01:00,-3.0575038034616697
2011-04,AMUN ETF DAX (DR) ACC,69.4800033569336,73.58000183105469,73.58000183105469,68.62999725341797,2011-04-29 00:00:00+02:00,2011-04-18 00:00:00+02:00,6.452544715347552
2011-05,AMUN ETF DAX (DR) ACC,74.0999984741211,70.0999984741211,74.38999938964844,69.2300033569336,2011-05-02 00:00:00+02:00,2011-05-25 00:00:00+02:00,-4.729550516897174
2011-06,AMUN ETF DAX (DR) ACC,71.25,72.19999694824219,72.19999694824219,68.54000091552734,2011-06-30 00:00:00+02:00,2011-06-08 00:00:00+02:00,2.9957182879202904
2011-07,AMUN ETF DAX (DR) ACC,72.19999694824219,70.25,73.43000030517578,68.80000305175781,2011-07-08 00:00:00+02:00,2011-07-12 00:00:00+02:00,-2.7008269122782314
2011-08,AMUN ETF DAX (DR) ACC,67.63999938964844,57.33000183105469,67.80000305175781,52.5,2011-08-02 00:00:00+02:00,2011-08-19 00:00:00+02:00,-18.391456468249558
2011-09,AMUN ETF DAX (DR) ACC,55.459999084472656,53.79999923706055,56.4900016784668,48.58000183105469,2011-09-01 00:00:00+02:00,2011-09-12 00:00:00+02:00,-6.157339056776379
2011-10,AMUN ETF DAX (DR) ACC,52.0,60.5,62.84000015258789,50.099998474121094,2011-10-28 00:00:00+02:00,2011-10-04 00:00:00+02:00,12.453533193220023
2011-11,AMUN ETF DAX (DR) ACC,58.15999984741211,59.400001525878906,60.33000183105469,52.470001220703125,2011-11-04 00:00:00+01:00,2011-11-25 00:00:00+01:00,-1.8181792960679233
2011-12,AMUN ETF DAX (DR) ACC,59.45000076293945,57.56999969482422,60.150001525878906,55.349998474121094,2011-12-02 00:00:00+01:00,2011-12-19 00:00:00+01:00,-3.080811084251245
2012-01,AMUN ETF DAX (DR) ACC,59.79999923706055,63.5099983215332,64.29000091552734,58.709999084472656,2012-01-27 00:00:00+01:00,2012-01-09 00:00:00+01:00,10.317871561918768
2012-02,AMUN ETF DAX (DR) ACC,63.5,67.69000244140625,68.0,63.5,2012-02-21 00:00:00+01:00,2012-02-01 00:00:00+01:00,6.581647347415864
2012-03,AMUN ETF DAX (DR) ACC,67.23999786376953,67.68000030517578,70.0,64.68000030517578,2012-03-16 00:00:00+01:00,2012-03-07 00:00:00+01:00,-0.014776386275250353
2012-04,AMUN ETF DAX (DR) ACC,68.19000244140625,66.11000061035156,69.0,63.70000076293945,2012-04-03 00:00:00+02:00,2012-04-23 00:00:00+02:00,-2.3197394913489044
2012-05,AMUN ETF DAX (DR) ACC,67.0,60.58000183105469,67.0,60.58000183105469,2012-05-02 00:00:00+02:00,2012-05-31 00:00:00+02:00,-8.364844544307848
2012-06,AMUN ETF DAX (DR) ACC,60.150001525878906,62.13999938964844,62.63999938964844,57.849998474121094,2012-06-21 00:00:00+02:00,2012-06-05 00:00:00+02:00,2.5751031882505826
2012-07,AMUN ETF DAX (DR) ACC,62.790000915527344,66.08000183105469,66.37999725341797,61.90999984741211,2012-07-31 00:00:00+02:00,2012-07-26 00:00:00+02:00,6.3405253944411655
2012-08,AMUN ETF DAX (DR) ACC,65.83000183105469,68.19999694824219,69.1500015258789,64.95999908447266,2012-08-21 00:00:00+02:00,2012-08-02 00:00:00+02:00,3.2082249673776486
2012-09,AMUN ETF DAX (DR) ACC,68.30000305175781,70.68000030517578,72.87999725341797,67.30000305175781,2012-09-21 00:00:00+02:00,2012-09-05 00:00:00+02:00,3.6363687212709106
2012-10,AMUN ETF DAX (DR) ACC,70.76000213623047,71.0999984741211,72.37000274658203,69.66000366210938,2012-10-18 00:00:00+02:00,2012-10-24 00:00:00+02:00,0.5942249110524545
2012-11,AMUN ETF DAX (DR) ACC,70.87999725341797,72.23999786376953,72.36000061035156,67.93000030517578,2012-11-07 00:00:00+01:00,2012-11-16 00:00:00+01:00,1.6033747033951995
2012-12,AMUN ETF DAX (DR) ACC,72.45999908447266,73.91999816894531,74.76000213623047,72.41999816894531,2012-12-19 00:00:00+01:00,2012-12-04 00:00:00+01:00,2.325581886566397
2013-01,AMUN ETF DAX (DR) ACC,75.70999908447266,75.9000015258789,76.56999969482422,74.41999816894531,2013-01-28 00:00:00+01:00,2013-01-22 00:00:00+01:00,2.6785760362280753
