Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2020-01,CREF Social Choice Account - R1,270.8349914550781,270.7786865234375,274.5163879394531,270.0237121582031,2020-01-23 00:00:00-05:00,2020-01-07 00:00:00-05:00,
2020-02,CREF Social Choice Account - R1,271.8122863769531,260.0328063964844,278.2586975097656,260.0328063964844,2020-02-19 00:00:00-05:00,2020-02-28 00:00:00-05:00,-3.968510322921226
2020-03,CREF Social Choice Account - R1,264.9761047363281,233.78729248046875,268.1435852050781,213.38589477539062,2020-03-04 00:00:00-05:00,2020-03-23 00:00:00-04:00,-10.093154890617084
2020-04,CREF Social Choice Account - R1,228.22610473632812,252.27780151367188,254.56739807128906,228.22610473632812,2020-04-29 00:00:00-04:00,2020-04-01 00:00:00-04:00,7.909116375411163
2020-05,CREF Social Choice Account - R1,248.17669677734375,260.73309326171875,260.73309326171875,247.7637939453125,2020-05-29 00:00:00-04:00,2020-05-13 00:00:00-04:00,3.3515797653677737
2020-06,CREF Social Choice Account - R1,262.0788879394531,266.3622131347656,271.4089050292969,260.184814453125,2020-06-08 00:00:00-04:00,2020-06-11 00:00:00-04:00,2.158958727727156
2020-07,CREF Social Choice Account - R1,266.72149658203125,274.58709716796875,275.9924011230469,266.72149658203125,2020-07-22 00:00:00-04:00,2020-07-01 00:00:00-04:00,3.0878569209971785
2020-08,CREF Social Choice Account - R1,276.22589111328125,284.40008544921875,284.5340881347656,276.22589111328125,2020-08-28 00:00:00-04:00,2020-08-03 00:00:00-04:00,3.5737251977456364
2020-09,CREF Social Choice Account - R1,285.35791015625,279.26849365234375,287.8263854980469,274.4617004394531,2020-09-02 00:00:00-04:00,2020-09-23 00:00:00-04:00,-1.8043566297701652
2020-10,CREF Social Choice Account - R1,280.2544860839844,274.34051513671875,287.1214904785156,274.34051513671875,2020-10-12 00:00:00-04:00,2020-10-30 00:00:00-04:00,-1.7646023907586739
2020-11,CREF Social Choice Account - R1,276.7467956542969,296.8161926269531,298.4866027832031,276.7467956542969,2020-11-27 00:00:00-05:00,2020-11-02 00:00:00-05:00,8.192620575576859
2020-12,CREF Social Choice Account - R1,298.52081298828125,305.2051086425781,305.2051086425781,298.52081298828125,2020-12-31 00:00:00-05:00,2020-12-01 00:00:00-05:00,2.8262999876723205
2021-01,CREF Social Choice Account - R1,303.60589599609375,303.8930969238281,310.9143981933594,303.60589599609375,2021-01-20 00:00:00-05:00,2021-01-04 00:00:00-05:00,-0.42987868865802525
2021-02,CREF Social Choice Account - R1,306.568115234375,307.6448059082031,314.43798828125,306.568115234375,2021-02-12 00:00:00-05:00,2021-02-01 00:00:00-05:00,1.2345489326186954
2021-03,CREF Social Choice Account - R1,311.2532958984375,312.3328857421875,313.3442077636719,304.5965881347656,2021-03-17 00:00:00-04:00,2021-03-04 00:00:00-05:00,1.5238612009536912
2021-04,CREF Social Choice Account - R1,315.0382995605469,320.5505065917969,322.5777893066406,315.0382995605469,2021-04-26 00:00:00-04:00,2021-04-01 00:00:00-04:00,2.6310456646542635
2021-05,CREF Social Choice Account - R1,321.5318908691406,324.8341979980469,324.8341979980469,316.2715148925781,2021-05-28 00:00:00-04:00,2021-05-12 00:00:00-04:00,1.336354589420452
2021-06,CREF Social Choice Account - R1,324.9753112792969,328.3682861328125,328.6706848144531,323.5255126953125,2021-06-29 00:00:00-04:00,2021-06-18 00:00:00-04:00,1.0879667709084329
2021-07,CREF Social Choice Account - R1,329.222900390625,332.3551940917969,333.0700988769531,325.894287109375,2021-07-29 00:00:00-04:00,2021-07-19 00:00:00-04:00,1.214157434610419
2021-08,CREF Social Choice Account - R1,332.8703918457031,337.25579833984375,337.62640380859375,332.0574951171875,2021-08-30 00:00:00-04:00,2021-08-19 00:00:00-04:00,1.474508097109295
2021-09,CREF Social Choice Account - R1,337.8662109375,328.0882873535156,338.8714904785156,328.0882873535156,2021-09-02 00:00:00-04:00,2021-09-30 00:00:00-04:00,-2.718266381617629
2021-10,CREF Social Choice Account - R1,330.319091796875,339.9020080566406,339.9020080566406,328.0234069824219,2021-10-29 00:00:00-04:00,2021-10-04 00:00:00-04:00,3.6007749006887524
2021-11,CREF Social Choice Account - R1,341.4342041015625,334.0614929199219,345.0447998046875,334.0614929199219,2021-11-05 00:00:00-04:00,2021-11-30 00:00:00-05:00,-1.718293801825821
2021-12,CREF Social Choice Account - R1,332.3367004394531,343.0997009277344,343.6404113769531,332.3367004394531,2021-12-27 00:00:00-05:00,2021-12-01 00:00:00-05:00,2.7055521810707583
2022-01,CREF Social Choice Account - R1,342.6221923828125,328.7362976074219,342.8786926269531,322.089111328125,2022-01-04 00:00:00-05:00,2022-01-27 00:00:00-05:00,-4.186364278801225
