Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2021-04,Innovator Growth Accelerated Pl,25.959999084472656,26.850000381469727,27.084999084472656,25.899999618530273,2021-04-29 00:00:00-04:00,2021-04-01 00:00:00-04:00,
2021-05,Innovator Growth Accelerated Pl,27.020000457763672,26.90999984741211,27.020000457763672,25.510000228881836,2021-05-03 00:00:00-04:00,2021-05-12 00:00:00-04:00,0.22346169493461243
2021-06,Innovator Growth Accelerated Pl,26.889999389648438,28.0,28.110000610351562,26.597999572753906,2021-06-29 00:00:00-04:00,2021-06-03 00:00:00-04:00,4.050539423145749
2021-07,Innovator Growth Accelerated Pl,28.030000686645508,28.479999542236328,28.608999252319336,27.799999237060547,2021-07-23 00:00:00-04:00,2021-07-19 00:00:00-04:00,1.7142840794154512
2021-08,Innovator Growth Accelerated Pl,28.489999771118164,29.18000030517578,29.229999542236328,28.40999984741211,2021-08-31 00:00:00-04:00,2021-08-19 00:00:00-04:00,2.4578678869054738
2021-09,Innovator Growth Accelerated Pl,29.260000228881836,28.309999465942383,29.270000457763672,28.309999465942383,2021-09-01 00:00:00-04:00,2021-09-30 00:00:00-04:00,-2.981497018967072
2021-10,Innovator Growth Accelerated Pl,28.277000427246094,29.593000411987305,29.593000411987305,28.06999969482422,2021-10-29 00:00:00-04:00,2021-10-04 00:00:00-04:00,4.5319709298772715
2021-11,Innovator Growth Accelerated Pl,29.610000610351562,29.59000015258789,29.93000030517578,29.420000076293945,2021-11-05 00:00:00-04:00,2021-11-26 00:00:00-05:00,-0.010138408940107979
2021-12,Innovator Growth Accelerated Pl,29.75,30.100000381469727,30.149999618530273,28.940000534057617,2021-12-28 00:00:00-05:00,2021-12-03 00:00:00-05:00,1.7235560197766064
2022-01,Innovator Growth Accelerated Pl,30.100000381469727,29.43000030517578,30.15999984741211,27.540000915527344,2022-01-03 00:00:00-05:00,2022-01-24 00:00:00-05:00,-2.2259138465207884
2022-02,Innovator Growth Accelerated Pl,29.489999771118164,28.95199966430664,29.736000061035156,26.350000381469727,2022-02-09 00:00:00-05:00,2022-02-24 00:00:00-05:00,-1.6241951611025818
2022-03,Innovator Growth Accelerated Pl,28.610000610351562,30.642000198364258,30.75,26.30900001525879,2022-03-31 00:00:00-04:00,2022-03-14 00:00:00-04:00,5.837249770837505
