Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2017-06,Fastighets AB Trianon ser. B,11.256165800742732,11.81340217590332,12.25919047605644,11.256165800742732,2017-06-21 00:00:00+02:00,2017-06-21 00:00:00+02:00,
2017-07,Fastighets AB Trianon ser. B,12.036296146016726,11.144719123840332,12.036296556580742,10.810376809235507,2017-07-04 00:00:00+02:00,2017-07-25 00:00:00+02:00,-5.6603765969040705
2017-08,Fastighets AB Trianon ser. B,10.921824599757338,11.144719123840332,11.590507912750981,10.810377550125123,2017-08-22 00:00:00+02:00,2017-08-31 00:00:00+02:00,0.0
2017-09,Fastighets AB Trianon ser. B,11.144719123840332,11.3118896484375,11.367613242764778,10.476035733510578,2017-09-29 00:00:00+02:00,2017-09-06 00:00:00+02:00,1.4999976467739096
2017-10,Fastighets AB Trianon ser. B,11.3118895013534,11.033271789550781,11.3118895013534,10.698930046948576,2017-10-02 00:00:00+02:00,2017-10-27 00:00:00+02:00,-2.463053190456155
2017-11,Fastighets AB Trianon ser. B,11.033271789550781,10.810378074645996,11.20044231414795,10.297720089736458,2017-11-03 00:00:00+01:00,2017-11-28 00:00:00+01:00,-2.020195995859364
2017-12,Fastighets AB Trianon ser. B,10.698929786682129,11.3118896484375,11.590507912750981,10.476036446973916,2017-12-13 00:00:00+01:00,2017-12-04 00:00:00+01:00,4.639167754620144
2018-01,Fastighets AB Trianon ser. B,11.323034744747181,11.367613792419434,11.67966609603593,10.94411367203187,2018-01-15 00:00:00+01:00,2018-01-09 00:00:00+01:00,0.49261569652627735
2018-02,Fastighets AB Trianon ser. B,11.367613792419434,12.125454902648926,12.259191193743561,10.587483134724355,2018-02-28 00:00:00+01:00,2018-02-06 00:00:00+01:00,6.666668344546189
2018-03,Fastighets AB Trianon ser. B,12.125454938995837,12.17003345489502,12.259191551744832,11.813402423061977,2018-03-12 00:00:00+01:00,2018-03-21 00:00:00+01:00,0.3676443696669418
2018-04,Fastighets AB Trianon ser. B,12.25919105375514,12.927873611450195,12.927873779138501,12.125455527501376,2018-04-23 00:00:00+02:00,2018-04-05 00:00:00+02:00,6.227100026995891
2018-05,Fastighets AB Trianon ser. B,12.972452625145669,15.602606773376465,17.207444484511047,12.794137297536102,2018-05-24 00:00:00+02:00,2018-05-02 00:00:00+02:00,20.68966051429575
2018-06,Fastighets AB Trianon ser. B,15.6026064345846,16.04839515686035,17.162867278313893,15.24597610152341,2018-06-18 00:00:00+02:00,2018-06-08 00:00:00+02:00,2.8571404122326394
2018-07,Fastighets AB Trianon ser. B,16.494184303283692,15.602606773376465,16.53876249955938,15.379712390899659,2018-07-02 00:00:00+02:00,2018-07-16 00:00:00+02:00,-2.7777754668093513
2018-08,Fastighets AB Trianon ser. B,16.00381741454761,15.87007999420166,16.00381741454761,15.112239179406915,2018-08-01 00:00:00+02:00,2018-08-20 00:00:00+02:00,1.7142854697946852
2018-09,Fastighets AB Trianon ser. B,15.379712390899659,16.04839515686035,16.583340670491452,15.379712390899659,2018-09-18 00:00:00+02:00,2018-09-03 00:00:00+02:00,1.1235933449852853
2018-10,Fastighets AB Trianon ser. B,16.048394798835826,15.558029174804688,16.44960636661888,15.379712322807858,2018-10-09 00:00:00+02:00,2018-10-12 00:00:00+02:00,-3.05554528825297
2018-11,Fastighets AB Trianon ser. B,15.558028254214065,15.067660331726074,16.048394861355636,13.641136169433594,2018-11-08 00:00:00+01:00,2018-11-20 00:00:00+01:00,-3.151869928825801
2018-12,Fastighets AB Trianon ser. B,15.112239241625502,14.220661163330078,15.156817436218262,13.819451332092285,2018-12-03 00:00:00+01:00,2018-12-21 00:00:00+01:00,-5.621305164495761
2019-01,Fastighets AB Trianon ser. B,14.220661163330078,14.48813533782959,14.488135414510253,13.864030980813665,2019-01-30 00:00:00+01:00,2019-01-16 00:00:00+01:00,1.880884238977787
2019-02,Fastighets AB Trianon ser. B,14.488135018244797,14.978501319885254,15.067659409995702,13.819451829206121,2019-02-28 00:00:00+01:00,2019-02-13 00:00:00+01:00,3.3846038197564488
2019-03,Fastighets AB Trianon ser. B,14.933923793178398,16.003816604614258,16.538760778306184,14.755607464642491,2019-03-13 00:00:00+01:00,2019-03-05 00:00:00+01:00,6.845246148677164
2019-04,Fastighets AB Trianon ser. B,15.959236772016059,16.806236267089844,17.60865729195731,15.424289936527716,2019-04-25 00:00:00+02:00,2019-04-09 00:00:00+02:00,5.013926879443442
2019-05,Fastighets AB Trianon ser. B,17.20744577831192,17.76500129699707,20.424999258253326,16.09297385127126,2019-05-15 00:00:00+02:00,2019-05-07 00:00:00+02:00,5.704817037379684
2019-06,Fastighets AB Trianon ser. B,17.479998898757145,19.427499771118164,19.902501325679005,16.62499929729261,2019-06-24 00:00:00+02:00,2019-06-03 00:00:00+02:00,9.358279497576593
2019-07,Fastighets AB Trianon ser. B,19.474999520825396,21.232500076293945,22.75250112201858,19.28499984741211,2019-07-11 00:00:00+02:00,2019-07-02 00:00:00+02:00,9.290955225536424
2019-08,Fastighets AB Trianon ser. B,21.137500297466175,20.899999618530273,21.375,19.28499984741211,2019-08-21 00:00:00+02:00,2019-08-09 00:00:00+02:00,-1.5659976760575067
2019-09,Fastighets AB Trianon ser. B,21.755000212318027,22.040000915527344,25.056250437446263,20.75749941737198,2019-09-05 00:00:00+02:00,2019-09-06 00:00:00+02:00,5.454551759830317
2019-10,Fastighets AB Trianon ser. B,22.040001109579347,22.84749984741211,23.27500058291114,21.42249973570762,2019-10-31 00:00:00+01:00,2019-10-29 00:00:00+01:00,3.6637881049990106
2019-11,Fastighets AB Trianon ser. B,23.037500381469727,24.10624885559082,24.225000381469727,22.087498867765387,2019-11-28 00:00:00+01:00,2019-11-18 00:00:00+01:00,5.50935120510041
2019-12,Fastighets AB Trianon ser. B,24.224998849953337,24.581249237060547,25.29375,23.370000730402335,2019-12-17 00:00:00+01:00,2019-12-23 00:00:00+01:00,1.9704450257492567
2020-01,Fastighets AB Trianon ser. B,24.69999925145563,27.3125,28.2625,24.46249925865317,2020-01-22 00:00:00+01:00,2020-01-02 00:00:00+01:00,11.111114559717382
2020-02,Fastighets AB Trianon ser. B,27.312498845552145,26.837499618530273,28.5,24.462499652288656,2020-02-21 00:00:00+01:00,2020-02-28 00:00:00+01:00,-1.7391318314681103
2020-03,Fastighets AB Trianon ser. B,26.599998850458938,21.850000381469727,27.431248840532806,18.572498619582653,2020-03-04 00:00:00+01:00,2020-03-17 00:00:00+01:00,-18.584068217803974
2020-04,Fastighets AB Trianon ser. B,21.09000140150936,22.5625,23.275000102253916,20.472498552511052,2020-04-23 00:00:00+02:00,2020-04-06 00:00:00+02:00,3.2608677624304416
2020-05,Fastighets AB Trianon ser. B,22.562500393908955,23.417499542236328,23.654999541269113,21.755000017414915,2020-05-29 00:00:00+02:00,2020-05-04 00:00:00+02:00,3.78947165534107
2020-06,Fastighets AB Trianon ser. B,22.989999660355974,25.768749237060547,27.19374874004951,22.32499885559082,2020-06-22 00:00:00+02:00,2020-06-09 00:00:00+02:00,10.040566844395382
2020-07,Fastighets AB Trianon ser. B,25.8875,25.174999237060547,27.668750396796636,23.868749645021225,2020-07-09 00:00:00+02:00,2020-07-15 00:00:00+02:00,-2.3041475336570527
2020-08,Fastighets AB Trianon ser. B,24.937499226003453,31.706249237060547,31.82499961566208,24.224999631185668,2020-08-28 00:00:00+02:00,2020-08-12 00:00:00+02:00,25.943397012641167
2020-09,Fastighets AB Trianon ser. B,31.23125,32.65625,33.96249846337547,30.04375,2020-09-18 00:00:00+02:00,2020-09-02 00:00:00+02:00,2.9962571600207655
2020-10,Fastighets AB Trianon ser. B,32.65625,30.04374885559082,33.9624991977916,28.618748909871098,2020-10-05 00:00:00+02:00,2020-10-28 00:00:00+01:00,-8.00000350441088
2020-11,Fastighets AB Trianon ser. B,29.80625,32.537498474121094,33.012499999999996,28.85625,2020-11-13 00:00:00+01:00,2020-11-02 00:00:00+01:00,8.300394303376745
2020-12,Fastighets AB Trianon ser. B,32.89375,32.537498474121094,33.012497694596,30.993748885482105,2020-12-17 00:00:00+01:00,2020-12-11 00:00:00+01:00,0.0
2021-01,Fastighets AB Trianon ser. B,32.5375,32.29999923706055,32.89374770288882,30.043748899104475,2021-01-20 00:00:00+01:00,2021-01-07 00:00:00+01:00,-0.729924696729356
2021-02,Fastighets AB Trianon ser. B,32.537499231450695,31.587499618530273,33.13125076568384,30.281248890401745,2021-02-04 00:00:00+01:00,2021-02-22 00:00:00+01:00,-2.2058812240241865
2021-03,Fastighets AB Trianon ser. B,30.518749999999997,31.587499618530273,32.65625,29.09375,2021-03-02 00:00:00+01:00,2021-03-08 00:00:00+01:00,0.0
2021-04,Fastighets AB Trianon ser. B,32.06250038288783,34.55624771118164,35.50624756456694,31.349999999999998,2021-04-15 00:00:00+02:00,2021-04-08 00:00:00+02:00,9.398490315801379
2021-05,Fastighets AB Trianon ser. B,34.9124984477218,43.125,43.125,33.843748495240526,2021-05-31 00:00:00+02:00,2021-05-03 00:00:00+02:00,24.79653566682154
2021-06,Fastighets AB Trianon ser. B,43.125,48.625,51.0,42.75,2021-06-10 00:00:00+02:00,2021-06-01 00:00:00+02:00,12.753623188405804
2021-07,Fastighets AB Trianon ser. B,49.5,56.25,57.25,48.625,2021-07-27 00:00:00+02:00,2021-07-02 00:00:00+02:00,15.681233933161964
2021-08,Fastighets AB Trianon ser. B,56.5,62.0,69.5,55.25,2021-08-16 00:00:00+02:00,2021-08-04 00:00:00+02:00,10.222222222222221
2021-09,Fastighets AB Trianon ser. B,62.25,52.5,65.0,50.0,2021-09-02 00:00:00+02:00,2021-09-21 00:00:00+02:00,-15.322580645161288
2021-10,Fastighets AB Trianon ser. B,52.0,58.25,62.25,47.875,2021-10-20 00:00:00+02:00,2021-10-12 00:00:00+02:00,10.952380952380958
2021-11,Fastighets AB Trianon ser. B,58.25,68.75,72.0,58.25,2021-11-15 00:00:00+01:00,2021-11-01 00:00:00+01:00,18.025751072961384
2021-12,Fastighets AB Trianon ser. B,68.75,59.5,70.5,56.25,2021-12-06 00:00:00+01:00,2021-12-20 00:00:00+01:00,-13.454545454545453
2022-01,Fastighets AB Trianon ser. B,59.75,51.5,64.75,48.125,2022-01-04 00:00:00+01:00,2022-01-24 00:00:00+01:00,-13.4453781512605
2022-02,Fastighets AB Trianon ser. B,51.75,49.25,58.75,45.0,2022-02-03 00:00:00+01:00,2022-02-24 00:00:00+01:00,-4.3689320388349495
2022-03,Fastighets AB Trianon ser. B,48.875,51.25,55.0,41.375,2022-03-24 00:00:00+01:00,2022-03-07 00:00:00+01:00,4.060913705583746
2022-04,Fastighets AB Trianon ser. B,51.125,37.5,54.625,37.099998474121094,2022-04-06 00:00:00+02:00,2022-04-29 00:00:00+02:00,-26.82926829268293
2022-05,Fastighets AB Trianon ser. B,37.45000076293945,36.119998931884766,42.900001525878906,36.119998931884766,2022-05-25 00:00:00+02:00,2022-05-31 00:00:00+02:00,-3.6800028483072955
2022-06,Fastighets AB Trianon ser. B,38.0,22.84000015258789,39.5,22.540000915527344,2022-06-01 00:00:00+02:00,2022-06-29 00:00:00+02:00,-36.7663321484044
2022-07,Fastighets AB Trianon ser. B,23.0,30.75,33.70000076293945,20.299999237060547,2022-07-19 00:00:00+02:00,2022-07-06 00:00:00+02:00,34.63222326868447
2022-08,Fastighets AB Trianon ser. B,30.450000762939453,28.5,33.79999923706055,27.5,2022-08-15 00:00:00+02:00,2022-08-30 00:00:00+02:00,-7.317073170731703
2022-09,Fastighets AB Trianon ser. B,28.0,23.200000762939453,29.899999618530273,20.5,2022-09-02 00:00:00+02:00,2022-09-21 00:00:00+02:00,-18.596488551089642
2022-10,Fastighets AB Trianon ser. B,23.200000762939453,18.739999771118164,23.200000762939453,17.0,2022-10-03 00:00:00+02:00,2022-10-19 00:00:00+02:00,-19.224141573934173
2022-11,Fastighets AB Trianon ser. B,19.200000762939453,19.299999237060547,19.979999542236328,17.700000762939453,2022-11-15 00:00:00+01:00,2022-11-10 00:00:00+01:00,2.9882575922196564
