Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2007-12,Koninklijke Vopak N.V.,14.218401228154304,14.298004150390625,14.298004150390627,14.218401228154304,2007-12-28 00:00:00+01:00,2007-12-28 00:00:00+01:00,
2008-01,Koninklijke Vopak N.V.,14.563345909118652,12.448209762573242,14.563345909118652,10.973681449890137,2008-01-02 00:00:00+01:00,2008-01-22 00:00:00+01:00,-12.937430765585878
2008-02,Koninklijke Vopak N.V.,12.82347583770752,12.914448738098145,13.069863319396973,12.10326862335205,2008-02-04 00:00:00+01:00,2008-02-11 00:00:00+01:00,3.7454299406706193
2008-03,Koninklijke Vopak N.V.,12.793149948120117,14.71496295928955,14.71496295928955,11.955437660217285,2008-03-31 00:00:00+02:00,2008-03-11 00:00:00+01:00,13.941858903197435
2008-04,Koninklijke Vopak N.V.,15.090234756469727,16.435884475708008,16.435884475708008,14.601251602172852,2008-04-30 00:00:00+02:00,2008-04-14 00:00:00+02:00,11.695044840952452
2008-05,Koninklijke Vopak N.V.,16.617828369140625,17.44038200378418,17.9710636138916,16.58750343322754,2008-05-15 00:00:00+02:00,2008-05-06 00:00:00+02:00,6.11161224429877
2008-06,Koninklijke Vopak N.V.,17.64507484436035,16.303213119506836,18.103729248046875,15.973433494567871,2008-06-06 00:00:00+02:00,2008-06-25 00:00:00+02:00,-6.520320965622217
2008-07,Koninklijke Vopak N.V.,15.988600730895996,13.979598045349121,16.22361183166504,13.793859481811523,2008-07-02 00:00:00+02:00,2008-07-25 00:00:00+02:00,-14.252497695546307
2008-08,Koninklijke Vopak N.V.,13.97959804534912,14.82868480682373,15.465498924255371,13.97959804534912,2008-08-27 00:00:00+02:00,2008-08-01 00:00:00+02:00,6.073756618181836
2008-09,Koninklijke Vopak N.V.,15.086441040039062,11.508150100708008,15.908995628356934,11.508150100708008,2008-09-04 00:00:00+02:00,2008-09-30 00:00:00+02:00,-22.392644724552436
2008-10,Koninklijke Vopak N.V.,12.4292573928833,9.370272636413574,12.467162132263184,8.76378345489502,2008-10-03 00:00:00+02:00,2008-10-27 00:00:00+01:00,-18.577073166285054
2008-11,Koninklijke Vopak N.V.,9.711424827575684,8.631112098693848,11.01158618927002,7.998088836669922,2008-11-05 00:00:00+01:00,2008-11-26 00:00:00+01:00,-7.8883567896124385
2008-12,Koninklijke Vopak N.V.,8.585626602172852,9.681098937988281,10.105642318725586,7.782026767730713,2008-12-18 00:00:00+01:00,2008-12-02 00:00:00+01:00,12.165139640039314
2009-01,Koninklijke Vopak N.V.,10.204195976257324,11.087397575378418,11.765908241271973,10.204195976257324,2009-01-22 00:00:00+01:00,2009-01-02 00:00:00+01:00,14.526229371253208
2009-02,Koninklijke Vopak N.V.,10.844802856445312,10.264845848083496,11.026747703552246,10.264845848083496,2009-02-06 00:00:00+01:00,2009-02-20 00:00:00+01:00,-7.418798881367328
2009-03,Koninklijke Vopak N.V.,10.264845848083496,10.264845848083496,10.264845848083496,10.264845848083496,2009-03-02 00:00:00+01:00,2009-03-02 00:00:00+01:00,0.0
2009-04,Koninklijke Vopak N.V.,10.264845848083496,10.264845848083496,10.264845848083496,10.264845848083496,2009-04-01 00:00:00+02:00,2009-04-01 00:00:00+02:00,0.0
2009-05,Koninklijke Vopak N.V.,10.264845848083496,10.264845848083496,10.264845848083496,10.264845848083496,2009-05-04 00:00:00+02:00,2009-05-04 00:00:00+02:00,0.0
2009-06,Koninklijke Vopak N.V.,10.264845848083496,13.680142402648926,13.680142402648926,10.264845848083496,2009-06-05 00:00:00+02:00,2009-06-01 00:00:00+02:00,33.271776362848016
2009-07,Koninklijke Vopak N.V.,13.680142402648926,13.680142402648926,13.680142402648926,13.680142402648926,2009-07-01 00:00:00+02:00,2009-07-01 00:00:00+02:00,0.0
2009-08,Koninklijke Vopak N.V.,13.680142402648926,17.542724609375,17.542724609375,13.680142402648926,2009-08-28 00:00:00+02:00,2009-08-03 00:00:00+02:00,28.2349561359694
2009-09,Koninklijke Vopak N.V.,17.542724609375,16.99309730529785,17.542724609375,16.99309730529785,2009-09-01 00:00:00+02:00,2009-09-11 00:00:00+02:00,-3.1330783348409996
2009-10,Koninklijke Vopak N.V.,16.99309730529785,16.99309730529785,16.99309730529785,16.99309730529785,2009-10-01 00:00:00+02:00,2009-10-01 00:00:00+02:00,0.0
2009-11,Koninklijke Vopak N.V.,16.99309730529785,20.16958999633789,20.16958999633789,16.99309730529785,2009-11-12 00:00:00+01:00,2009-11-02 00:00:00+01:00,18.692841181164297
2009-12,Koninklijke Vopak N.V.,20.16958999633789,20.450088500976562,20.594130305675858,20.16958999633789,2009-12-17 00:00:00+01:00,2009-12-01 00:00:00+01:00,1.3907000821018256
2010-01,Koninklijke Vopak N.V.,20.450088500976562,20.347745895385742,20.69268713150187,20.347745895385742,2010-01-29 00:00:00+01:00,2010-01-29 00:00:00+01:00,-0.50045067328649
2010-02,Koninklijke Vopak N.V.,20.36669436105333,20.26814079284668,21.23473492685452,19.506237030029297,2010-02-03 00:00:00+01:00,2010-02-12 00:00:00+01:00,-0.39122319960323004
2010-03,Koninklijke Vopak N.V.,20.42734834451545,21.879131317138672,22.936696730089313,20.42734834451545,2010-03-24 00:00:00+01:00,2010-03-01 00:00:00+01:00,7.948388264899786
2010-04,Koninklijke Vopak N.V.,22.254397379284757,23.5545597076416,24.327836990356445,22.254397379284757,2010-04-27 00:00:00+02:00,2010-04-01 00:00:00+02:00,7.657654987382934
2010-05,Koninklijke Vopak N.V.,23.383986316450077,23.414310455322266,24.024593353271484,21.405309677124023,2010-05-12 00:00:00+02:00,2010-05-25 00:00:00+02:00,-0.59542294171534
2010-06,Koninklijke Vopak N.V.,23.06178807023112,22.58796501159668,24.377110424140557,22.58796501159668,2010-06-11 00:00:00+02:00,2010-06-30 00:00:00+02:00,-3.5292324550935117
2010-07,Koninklijke Vopak N.V.,22.572805592845782,23.683439254760742,24.47566795349121,22.326419830322266,2010-07-27 00:00:00+02:00,2010-07-01 00:00:00+02:00,4.849813795096836
2010-08,Koninklijke Vopak N.V.,23.520446166935862,23.725135803222656,24.43397196211286,21.890504837036133,2010-08-05 00:00:00+02:00,2010-08-25 00:00:00+02:00,0.17605782679359638
2010-09,Koninklijke Vopak N.V.,23.89571239594227,26.272396087646484,26.67419452900382,23.89571239594227,2010-09-29 00:00:00+02:00,2010-09-01 00:00:00+02:00,10.736546696933246
2010-10,Koninklijke Vopak N.V.,26.401274581548527,26.966066360473633,27.557390377719003,26.082866668701172,2010-10-26 00:00:00+02:00,2010-10-04 00:00:00+02:00,2.640300757163594
2010-11,Koninklijke Vopak N.V.,27.129061375560426,26.56047821044922,27.88338319531145,25.58251359291806,2010-11-05 00:00:00+01:00,2010-11-17 00:00:00+01:00,-1.504068649103818
2010-12,Koninklijke Vopak N.V.,26.71967822138912,26.95848846435547,27.523284912109375,26.18521359187165,2010-12-03 00:00:00+01:00,2010-12-16 00:00:00+01:00,1.498505602017608
2011-01,Koninklijke Vopak N.V.,26.97365206937918,26.469501495361328,28.027424519348877,26.321672439575195,2011-01-13 00:00:00+01:00,2011-01-21 00:00:00+01:00,-1.81385158014582
2011-02,Koninklijke Vopak N.V.,26.68935775756836,25.741716384887695,26.882673577196403,25.533235549926758,2011-02-14 00:00:00+01:00,2011-02-25 00:00:00+01:00,-2.7495232979781403
2011-03,Koninklijke Vopak N.V.,26.424015045166016,25.688644409179688,26.446760177612305,23.160341262817383,2011-03-07 00:00:00+01:00,2011-03-16 00:00:00+01:00,-0.2061710839886488
2011-04,Koninklijke Vopak N.V.,25.521862030029297,24.263399124145508,26.314090728759766,24.263399124145508,2011-04-04 00:00:00+02:00,2011-04-29 00:00:00+02:00,-5.548152959464359
2011-05,Koninklijke Vopak N.V.,24.252023696899414,24.48703956604004,24.48703956604004,23.11485481262207,2011-05-31 00:00:00+02:00,2011-05-24 00:00:00+02:00,0.9217193384581268
2011-06,Koninklijke Vopak N.V.,24.74858856201172,25.04425048828125,25.73792839050293,24.369531631469727,2011-06-07 00:00:00+02:00,2011-06-20 00:00:00+02:00,2.275534046238814
2011-07,Koninklijke Vopak N.V.,25.347501754760742,26.128353118896484,26.768957138061523,25.05562579547533,2011-07-26 00:00:00+02:00,2011-07-19 00:00:00+02:00,4.3287485529762915
2011-08,Koninklijke Vopak N.V.,26.18520979838054,25.275476455688477,26.18520979838054,21.28022003173828,2011-08-01 00:00:00+02:00,2011-08-09 00:00:00+02:00,-3.264180713292608
2011-09,Koninklijke Vopak N.V.,26.139724800394518,26.897836685180664,27.386823654174805,25.233776092529297,2011-09-28 00:00:00+02:00,2011-09-26 00:00:00+02:00,6.4187127484477635
2011-10,Koninklijke Vopak N.V.,26.897837426358397,28.33066749572754,28.762798309326172,25.673485888443214,2011-10-28 00:00:00+02:00,2011-10-06 00:00:00+02:00,5.3269369849966
2011-11,Koninklijke Vopak N.V.,28.15630340576172,30.567102432250977,30.567102432250973,27.364076614379883,2011-11-30 00:00:00+01:00,2011-11-02 00:00:00+01:00,7.894042513684885
2011-12,Koninklijke Vopak N.V.,30.567097338129724,30.851396560668945,30.851396560668945,29.494373321533203,2011-12-30 00:00:00+01:00,2011-12-14 00:00:00+01:00,0.9300656777922578
2012-01,Koninklijke Vopak N.V.,30.711142889108473,31.1660099029541,32.06058613811917,30.222160511949287,2012-01-11 00:00:00+01:00,2012-01-31 00:00:00+01:00,1.0197701801488046
2012-02,Koninklijke Vopak N.V.,31.166009845243547,31.503374099731445,31.651203056004594,30.692193151761934,2012-02-21 00:00:00+01:00,2012-02-10 00:00:00+01:00,1.082474778862741
2012-03,Koninklijke Vopak N.V.,31.3896541595459,32.4093132019043,33.163639068603516,31.3896541595459,2012-03-14 00:00:00+01:00,2012-03-01 00:00:00+01:00,2.87568912239331
2012-04,Koninklijke Vopak N.V.,32.432060913542344,36.484169006347656,37.185420989990234,32.432060913542344,2012-04-26 00:00:00+02:00,2012-04-02 00:00:00+02:00,12.573101376933614
2012-05,Koninklijke Vopak N.V.,36.68886524196973,35.72985076904297,36.76847170193944,34.7139778137207,2012-05-07 00:00:00+02:00,2012-05-21 00:00:00+02:00,-2.067522045447845
2012-06,Koninklijke Vopak N.V.,35.70331456596188,37.81086730957031,37.966281735866225,33.974815368652344,2012-06-18 00:00:00+02:00,2012-06-04 00:00:00+02:00,5.824307954653918
2012-07,Koninklijke Vopak N.V.,37.886680603027344,38.67891311645508,40.915345473135126,37.886680603027344,2012-07-19 00:00:00+02:00,2012-07-02 00:00:00+02:00,2.2957574598270414
2012-08,Koninklijke Vopak N.V.,38.7698829717022,37.42043685913086,38.89876174926758,36.87839126586914,2012-08-06 00:00:00+02:00,2012-08-15 00:00:00+02:00,-3.2536494847597686
2012-09,Koninklijke Vopak N.V.,38.1330680847168,40.52870559692383,40.52870559692383,38.1330680847168,2012-09-28 00:00:00+02:00,2012-09-03 00:00:00+02:00,8.306340060897831
2012-10,Koninklijke Vopak N.V.,40.665157318115234,40.225460052490234,42.01460266113281,40.081417083740234,2012-10-09 00:00:00+02:00,2012-10-29 00:00:00+01:00,-0.7482241042916726
2012-11,Koninklijke Vopak N.V.,41.12003707885742,43.4853401184082,44.417823791503906,40.14207077026367,2012-11-29 00:00:00+01:00,2012-11-19 00:00:00+01:00,8.104021835086893
2012-12,Koninklijke Vopak N.V.,42.7727165222168,39.99802017211914,43.64454650878906,39.99802017211914,2012-12-07 00:00:00+01:00,2012-12-28 00:00:00+01:00,-8.019530114731266
2013-01,Koninklijke Vopak N.V.,40.49079895019531,37.93595886230469,40.65758514404297,36.40457185431655,2013-01-03 00:00:00+01:00,2013-01-15 00:00:00+01:00,-5.155408445070552
2013-02,Koninklijke Vopak N.V.,37.784339904785156,41.27923583984375,41.27923583984375,37.11341094970703,2013-02-28 00:00:00+01:00,2013-02-06 00:00:00+01:00,8.812949712630381
2013-03,Koninklijke Vopak N.V.,41.22616934855273,35.0172233581543,41.22616934855273,34.41831766398872,2013-03-01 00:00:00+01:00,2013-03-01 00:00:00+01:00,-15.169884699380031
2013-04,Koninklijke Vopak N.V.,35.03997039794922,31.72322654724121,35.65403747558594,31.34037971496582,2013-04-09 00:00:00+02:00,2013-04-29 00:00:00+02:00,-9.40679041631103
2013-05,Koninklijke Vopak N.V.,31.507160186767578,34.922454833984375,35.005855560302734,31.507160186767578,2013-05-23 00:00:00+02:00,2013-05-02 00:00:00+02:00,10.08481366792553
2013-06,Koninklijke Vopak N.V.,34.87318801879883,33.766334533691406,34.87697219848633,33.629878997802734,2013-06-05 00:00:00+02:00,2013-06-26 00:00:00+02:00,-3.310535601775344
2013-07,Koninklijke Vopak N.V.,34.0620002746582,32.921043395996094,34.611629486083984,32.257694244384766,2013-07-11 00:00:00+02:00,2013-07-26 00:00:00+02:00,-2.5033547448032767
2013-08,Koninklijke Vopak N.V.,32.473758697509766,31.41998291015625,32.473758697509766,30.885513305664066,2013-08-01 00:00:00+02:00,2013-08-08 00:00:00+02:00,-4.559577495111855
2013-09,Koninklijke Vopak N.V.,31.844524383544922,31.999937057495117,33.61092758178711,31.844524383544922,2013-09-12 00:00:00+02:00,2013-09-02 00:00:00+02:00,1.8458130578785426
2013-10,Koninklijke Vopak N.V.,31.893796920776367,34.02410125732422,34.486549377441406,31.08641242980957,2013-10-28 00:00:00+01:00,2013-10-10 00:00:00+02:00,6.325525566479184
2013-11,Koninklijke Vopak N.V.,34.005149841308594,32.777000427246094,34.01272201538086,31.799039840698242,2013-11-05 00:00:00+01:00,2013-11-13 00:00:00+01:00,-3.6653453992694818
2013-12,Koninklijke Vopak N.V.,33.00822830200195,31.666372299194336,33.00822830200195,30.381362915039062,2013-12-02 00:00:00+01:00,2013-12-13 00:00:00+01:00,-3.388437360267238
2014-01,Koninklijke Vopak N.V.,32.056793212890625,31.219074249267578,32.89450454711914,30.45717239379883,2014-01-21 00:00:00+01:00,2014-01-10 00:00:00+01:00,-1.4125332883114572
2014-02,Koninklijke Vopak N.V.,30.53299140930176,31.662574768066406,32.31455612182617,30.21457862854004,2014-02-24 00:00:00+01:00,2014-02-04 00:00:00+01:00,1.4206075274933339
2014-03,Koninklijke Vopak N.V.,31.783878326416016,30.730098724365234,31.783878326416016,29.793825149536133,2014-03-03 00:00:00+01:00,2014-03-25 00:00:00+01:00,-2.945041742598997
2014-04,Koninklijke Vopak N.V.,30.479921340942383,27.418777465820312,31.60951042175293,27.166412353515625,2014-04-16 00:00:00+02:00,2014-04-28 00:00:00+02:00,-10.775498276936702
2014-05,Koninklijke Vopak N.V.,27.515846252441406,29.20476531982422,29.822093963623047,26.85968589782715,2014-05-27 00:00:00+02:00,2014-05-09 00:00:00+02:00,6.5137399223225145
2014-06,Koninklijke Vopak N.V.,28.77767893920046,27.511964797973633,29.398895263671875,27.511964797973633,2014-06-10 00:00:00+02:00,2014-06-30 00:00:00+02:00,-5.7963161261957215
2014-07,Koninklijke Vopak N.V.,27.465370178222656,26.77427101135254,27.729383468627933,25.287240982055664,2014-07-03 00:00:00+02:00,2014-07-29 00:00:00+02:00,-2.681356246411848
2014-08,Koninklijke Vopak N.V.,26.61896654215505,30.183176040649414,30.83932876586914,24.902864456176758,2014-08-20 00:00:00+02:00,2014-08-11 00:00:00+02:00,12.732018092486875
2014-09,Koninklijke Vopak N.V.,29.919158935546875,32.89322280883789,32.89322280883789,29.919158935546875,2014-09-30 00:00:00+02:00,2014-09-01 00:00:00+02:00,8.978666673575697
2014-10,Koninklijke Vopak N.V.,32.80236486899478,30.993083953857422,33.41736375912487,30.066701435611424,2014-10-02 00:00:00+02:00,2014-10-16 00:00:00+02:00,-5.776688000513985
2014-11,Koninklijke Vopak N.V.,30.71508982180811,30.96745491027832,32.2028923034668,30.300427048083797,2014-11-24 00:00:00+01:00,2014-11-05 00:00:00+01:00,-0.08269278274229963
2014-12,Koninklijke Vopak N.V.,30.96124107589556,33.58586502075195,34.16359329223633,30.649858039393763,2014-12-23 00:00:00+01:00,2014-12-16 00:00:00+01:00,8.455361017106267
2015-01,Koninklijke Vopak N.V.,33.3529124603469,38.35988998413086,40.22196960449219,32.63385772705078,2015-01-19 00:00:00+01:00,2015-01-06 00:00:00+01:00,14.214387393116557
2015-02,Koninklijke Vopak N.V.,38.0523844629454,39.291709899902344,39.291709899902344,37.4932989383523,2015-02-27 00:00:00+01:00,2015-02-10 00:00:00+01:00,2.4291516898431453
2015-03,Koninklijke Vopak N.V.,36.25630569458008,39.20707321166992,39.990570068359375,36.25630569458008,2015-03-19 00:00:00+01:00,2015-03-02 00:00:00+01:00,-0.21540596845501803
2015-04,Koninklijke Vopak N.V.,39.621726989746094,36.589847564697266,41.57388355356581,36.589847564697266,2015-04-13 00:00:00+02:00,2015-04-30 00:00:00+02:00,-6.675391536733333
2015-05,Koninklijke Vopak N.V.,36.620689392089844,35.764137268066406,37.23048782348633,33.719635009765625,2015-05-05 00:00:00+02:00,2015-05-20 00:00:00+02:00,-2.2566650357612406
2015-06,Koninklijke Vopak N.V.,35.4382832406419,36.3588981628418,37.35307177052529,34.548505100150024,2015-06-10 00:00:00+02:00,2015-06-29 00:00:00+02:00,1.6630092047724254
2015-07,Koninklijke Vopak N.V.,35.58776427007742,37.1363639831543,37.88693613304444,34.24480061092158,2015-07-20 00:00:00+02:00,2015-07-07 00:00:00+02:00,2.138309628719881
2015-08,Koninklijke Vopak N.V.,37.18460955522278,29.554706573486328,37.68762925091394,27.655732284697592,2015-08-03 00:00:00+02:00,2015-08-24 00:00:00+02:00,-20.41572355631569
2015-09,Koninklijke Vopak N.V.,28.732162475585938,27.921480178833008,29.683623153712606,26.9154386371039,2015-09-04 00:00:00+02:00,2015-09-25 00:00:00+02:00,-5.526112704223207
2015-10,Koninklijke Vopak N.V.,27.80047029389632,28.77724266052246,29.341167132804888,27.675505664709426,2015-10-09 00:00:00+02:00,2015-10-19 00:00:00+02:00,3.0648893834009483
2015-11,Koninklijke Vopak N.V.,28.551835436868622,32.00968933105469,32.39881914463089,28.551835436868622,2015-11-26 00:00:00+01:00,2015-11-02 00:00:00+01:00,11.232649036825904
2015-12,Koninklijke Vopak N.V.,32.032628331667496,31.957489013671875,32.72230278593303,27.463540343254103,2015-12-01 00:00:00+01:00,2015-12-15 00:00:00+01:00,-0.16307661359328263
2016-01,Koninklijke Vopak N.V.,31.061391162527276,31.541473388671875,31.63558162641419,28.246540959172126,2016-01-05 00:00:00+01:00,2016-01-21 00:00:00+01:00,-1.3017781992259225
