Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2020-08,CIT: AB Multi-Mgr Retirement Tr,10.25,10.520000457763672,10.569999694824219,10.25,2020-08-28 00:00:00-04:00,2020-08-11 00:00:00-04:00,
2020-09,CIT: AB Multi-Mgr Retirement Tr,10.579999923706055,10.25,10.699999809265137,10.0,2020-09-02 00:00:00-04:00,2020-09-23 00:00:00-04:00,-2.5665441636403497
2020-10,CIT: AB Multi-Mgr Retirement Tr,10.300000190734863,10.050000190734863,10.729999542236328,10.050000190734863,2020-10-12 00:00:00-04:00,2020-10-30 00:00:00-04:00,-1.9512176513671875
2020-11,CIT: AB Multi-Mgr Retirement Tr,10.1899995803833,11.1899995803833,11.300000190734863,10.1899995803833,2020-11-27 00:00:00-05:00,2020-11-02 00:00:00-05:00,11.343277293660226
2020-12,CIT: AB Multi-Mgr Retirement Tr,11.319999694824219,11.670000076293945,11.670000076293945,11.319999694824219,2020-12-31 00:00:00-05:00,2020-12-01 00:00:00-05:00,4.289548828510337
2021-01,CIT: AB Multi-Mgr Retirement Tr,11.579999923706055,11.569999694824219,12.029999732971191,11.569999694824219,2021-01-20 00:00:00-05:00,2021-01-29 00:00:00-05:00,-0.8569012923390074
2021-02,CIT: AB Multi-Mgr Retirement Tr,11.75,11.9399995803833,12.300000190734863,11.75,2021-02-16 00:00:00-05:00,2021-02-01 00:00:00-05:00,3.197924765068061
2021-03,CIT: AB Multi-Mgr Retirement Tr,12.180000305175781,12.3100004196167,12.390000343322754,11.869999885559082,2021-03-17 00:00:00-04:00,2021-03-04 00:00:00-05:00,3.0988346083469454
2021-04,CIT: AB Multi-Mgr Retirement Tr,12.460000038146973,12.869999885559082,12.979999542236328,12.460000038146973,2021-04-29 00:00:00-04:00,2021-04-01 00:00:00-04:00,4.549142541457529
2021-05,CIT: AB Multi-Mgr Retirement Tr,12.920000076293945,13.09000015258789,13.09000015258789,12.619999885559082,2021-05-07 00:00:00-04:00,2021-05-12 00:00:00-04:00,1.7094037994177524
2021-06,CIT: AB Multi-Mgr Retirement Tr,13.119999885559082,13.180000305175781,13.220000267028809,12.90999984741211,2021-06-14 00:00:00-04:00,2021-06-18 00:00:00-04:00,0.6875489040395255
2021-07,CIT: AB Multi-Mgr Retirement Tr,13.220000267028809,13.329999923706055,13.399999618530273,12.949999809265137,2021-07-29 00:00:00-04:00,2021-07-19 00:00:00-04:00,1.1380850914803675
2021-08,CIT: AB Multi-Mgr Retirement Tr,13.350000381469727,13.619999885559082,13.619999885559082,13.260000228881836,2021-08-30 00:00:00-04:00,2021-08-19 00:00:00-04:00,2.17554361224932
2021-09,CIT: AB Multi-Mgr Retirement Tr,13.670000076293945,13.09000015258789,13.720000267028809,13.09000015258789,2021-09-03 00:00:00-04:00,2021-09-30 00:00:00-04:00,-3.8913343423235713
2021-10,CIT: AB Multi-Mgr Retirement Tr,13.199999809265137,13.710000038146973,13.739999771118164,13.069999694824219,2021-10-28 00:00:00-04:00,2021-10-04 00:00:00-04:00,4.736439101083656
2021-11,CIT: AB Multi-Mgr Retirement Tr,13.779999732971191,13.359999656677246,13.970000267028809,13.359999656677246,2021-11-08 00:00:00-05:00,2021-11-30 00:00:00-05:00,-2.552883883996193
2021-12,CIT: AB Multi-Mgr Retirement Tr,13.289999961853027,13.930000305175781,13.949999809265137,13.289999961853027,2021-12-29 00:00:00-05:00,2021-12-01 00:00:00-05:00,4.266472029538204
2022-01,CIT: AB Multi-Mgr Retirement Tr,13.960000038146973,13.3100004196167,14.0,12.90999984741211,2022-01-04 00:00:00-05:00,2022-01-27 00:00:00-05:00,-4.450824637302531
2022-02,CIT: AB Multi-Mgr Retirement Tr,13.399999618530273,12.90999984741211,13.529999732971191,12.6899995803833,2022-02-09 00:00:00-05:00,2022-02-23 00:00:00-05:00,-3.005263407918879
2022-03,CIT: AB Multi-Mgr Retirement Tr,12.720000267028809,13.039999961853027,13.289999961853027,12.210000038146973,2022-03-29 00:00:00-04:00,2022-03-08 00:00:00-05:00,1.0069722383999613
2022-04,CIT: AB Multi-Mgr Retirement Tr,13.100000381469727,12.130000114440918,13.180000305175781,12.130000114440918,2022-04-04 00:00:00-04:00,2022-04-26 00:00:00-04:00,-6.9785264576242785
2022-05,CIT: AB Multi-Mgr Retirement Tr,12.149999618530273,12.220000267028809,12.449999809265137,11.59000015258789,2022-05-04 00:00:00-04:00,2022-05-11 00:00:00-04:00,0.7419633284318383
2022-06,CIT: AB Multi-Mgr Retirement Tr,12.130000114440918,11.369999885559082,12.319999694824219,11.140000343322754,2022-06-02 00:00:00-04:00,2022-06-16 00:00:00-04:00,-6.955813116986098
2022-07,CIT: AB Multi-Mgr Retirement Tr,11.4399995803833,12.079999923706055,12.079999923706055,11.220000267028809,2022-07-29 00:00:00-04:00,2022-07-14 00:00:00-04:00,6.244503476633589
2022-08,CIT: AB Multi-Mgr Retirement Tr,12.0600004196167,11.630000114440918,12.40999984741211,11.630000114440918,2022-08-15 00:00:00-04:00,2022-08-31 00:00:00-04:00,-3.725164007510029
2022-09,CIT: AB Multi-Mgr Retirement Tr,11.569999694824219,10.630000114440918,11.960000038146973,10.630000114440918,2022-09-12 00:00:00-04:00,2022-09-30 00:00:00-04:00,-8.59845219397981
2022-10,CIT: AB Multi-Mgr Retirement Tr,10.859999656677246,11.210000038146973,11.279999732971191,10.609999656677246,2022-10-28 00:00:00-04:00,2022-10-12 00:00:00-04:00,5.456255103121976
2022-11,CIT: AB Multi-Mgr Retirement Tr,11.239999771118164,12.0600004196167,12.0600004196167,10.970000267028809,2022-11-30 00:00:00-05:00,2022-11-03 00:00:00-04:00,7.582518988200038
2022-12,CIT: AB Multi-Mgr Retirement Tr,12.100000381469727,11.65999984741211,12.100000381469727,11.529999732971191,2022-12-01 00:00:00-05:00,2022-12-28 00:00:00-05:00,-3.3167542146512075
2023-01,CIT: AB Multi-Mgr Retirement Tr,11.670000076293945,12.4399995803833,12.4399995803833,11.670000076293945,2023-01-27 00:00:00-05:00,2023-01-03 00:00:00-05:00,6.6895346756313145
2023-02,CIT: AB Multi-Mgr Retirement Tr,12.550000190734863,12.079999923706055,12.649999618530273,12.0600004196167,2023-02-02 00:00:00-05:00,2023-02-24 00:00:00-05:00,-2.893888013026391
2023-03,CIT: AB Multi-Mgr Retirement Tr,12.079999923706055,12.350000381469727,12.350000381469727,11.720000267028809,2023-03-31 00:00:00-04:00,2023-03-15 00:00:00-04:00,2.2351031412989997
2023-04,CIT: AB Multi-Mgr Retirement Tr,12.390000343322754,12.520000457763672,12.520000457763672,12.270000457763672,2023-04-28 00:00:00-04:00,2023-04-26 00:00:00-04:00,1.3765187938699741
2023-05,CIT: AB Multi-Mgr Retirement Tr,12.5,12.260000228881836,12.5,12.260000228881836,2023-05-01 00:00:00-04:00,2023-05-24 00:00:00-04:00,-2.0766790684948355
2023-06,CIT: AB Multi-Mgr Retirement Tr,12.390000343322754,12.90999984741211,12.9399995803833,12.390000343322754,2023-06-15 00:00:00-04:00,2023-06-01 00:00:00-04:00,5.301791243029652
2023-07,CIT: AB Multi-Mgr Retirement Tr,12.9399995803833,13.3100004196167,13.3100004196167,12.710000038146973,2023-07-31 00:00:00-04:00,2023-07-06 00:00:00-04:00,3.0983778228686143
2023-08,CIT: AB Multi-Mgr Retirement Tr,13.239999771118164,12.949999809265137,13.239999771118164,12.649999618530273,2023-08-01 00:00:00-04:00,2023-08-17 00:00:00-04:00,-2.7047377836366016
2023-09,CIT: AB Multi-Mgr Retirement Tr,12.979999542236328,12.399999618530273,12.979999542236328,12.359999656677246,2023-09-01 00:00:00-04:00,2023-09-26 00:00:00-04:00,-4.247105782514094
2023-10,CIT: AB Multi-Mgr Retirement Tr,12.319999694824219,12.069999694824219,12.539999961853027,11.890000343322754,2023-10-11 00:00:00-04:00,2023-10-27 00:00:00-04:00,-2.6612897891779785
2023-11,CIT: AB Multi-Mgr Retirement Tr,12.149999618530273,13.039999961853027,13.039999961853027,12.149999618530273,2023-11-30 00:00:00-05:00,2023-11-01 00:00:00-04:00,8.036456433754168
2023-12,CIT: AB Multi-Mgr Retirement Tr,13.130000114440918,13.710000038146973,13.710000038146973,13.039999961853027,2023-12-28 00:00:00-05:00,2023-12-06 00:00:00-05:00,5.138037409922935
2024-01,CIT: AB Multi-Mgr Retirement Tr,13.600000381469727,13.6899995803833,13.829999923706055,13.399999618530273,2024-01-29 00:00:00-05:00,2024-01-17 00:00:00-05:00,-0.14588225899360152
2024-02,CIT: AB Multi-Mgr Retirement Tr,13.770000457763672,14.239999771118164,14.239999771118164,13.770000457763672,2024-02-23 00:00:00-05:00,2024-02-05 00:00:00-05:00,4.017532560943038
2024-03,CIT: AB Multi-Mgr Retirement Tr,14.350000381469727,14.670000076293945,14.670000076293945,14.25,2024-03-27 00:00:00-04:00,2024-03-05 00:00:00-05:00,3.019665112972225
2024-04,CIT: AB Multi-Mgr Retirement Tr,14.640000343322754,14.640000343322754,14.640000343322754,14.640000343322754,2024-04-01 00:00:00-04:00,2024-04-01 00:00:00-04:00,-0.20449715620430853
