Titre,Date de publication,URL,Contenu,sentiment_finbert,sentiment_label,sentiment_score,sentiment_numerique
Airbus and Georgia Tech Open Center for Overall Aircraft Design | News Center - Georgia Tech News Center,"Thu, 01 Nov 2018 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYmh0dHA6Ly9uZXdzLmdhdGVjaC5lZHUvbmV3cy8yMDE4LzExLzAxL2FpcmJ1cy1hbmQtZ2VvcmdpYS10ZWNoLW9wZW4tY2VudGVyLW92ZXJhbGwtYWlyY3JhZnQtZGVzaWdu0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"Officials from Airbus and the Georgia Institute of Technology met to celebrate opening of the new Model-Based Systems Engineering (MBSE)-enabled Overall Aircraft Design (OAD) center.

Airbus and Georgia Institute of Technology have officially opened the Airbus / Georgia Tech Center for Model-Based Systems Engineering (MBSE)-enabled Overall Aircraft Design (OAD).

This center will contribute to the development and demonstration of a concurrent overall aircraft design process – taking full advantage of MBSE, interactive, parametric design space exploration and digital enablers with a team of 30 Georgia Tech researchers, doctoral students and Airbus experts.

The opening ceremony was attended by Marc Fischer, Senior Vice President Flight Physics at Airbus; Amanda Simpson, Vice President of Research and Technology for Airbus Americas; and Mark Costello, chair of Georgia Tech’s Daniel Guggenheim School of Aerospace Engineering.

“We are proud to take the partnership with Georgia Tech to the next level,” said Fischer. “Our future aircraft developments will benefit from much more integrated and interdisciplinary processes. Model Based Systems Engineering is at the foundation of this ambition and allows us to cover not just the conventional OAD disciplines, but also trade opportunities between engineering and manufacturing. This partnership aims to build a much larger ecosystem within and beyond Airbus, bringing our European and international partners on board.”

""This collaboration between Airbus and our Aerospace Systems Design Lab provides a unique opportunity for our students and faculty to work on research projects that are defining the next generation aircraft,” Costello said. “Model-based Systems Engineering is a specific strength of the Aerospace Engineering School, and this collaboration with Airbus will enable us to help develop the next generation of aircraft design thinking.""

The collaboration has moved from a framing and ideation phase into project mode - delivering along a multi-year roadmap. Beyond contractual research work in the traditional sense, Airbus and Georgia Tech have engaged in a truly collaborative effort, where industrial experience and state-of-the-art research are combined.

“This Center is further demonstration of the value our American education institutions contribute to our entire global enterprise,” said Simpson.

Research News

Georgia Institute of Technology

177 North Avenue

Atlanta, Georgia 30332-0181 USA

Media Relations Contacts: Georgia Tech: John Toon (404-894-6986) (jtoon@gatech.edu); Airbus: James Darcy (571-214-1722) (james.darcy@airbus.com).","{'label': 'Neutral', 'score': 0.9866709113121033}",neutral,0.9866709113121033,0
Airbus and Audi demonstrate mini-me version of flying car at Amsterdam show - GeekWire,"Tue, 27 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vd3d3LmdlZWt3aXJlLmNvbS8yMDE4L2FpcmJ1cy1hdWRpLWRlbW9uc3RyYXRlLW1pbmktdmVyc2lvbi1mbHlpbmctY2FyLWFtc3RlcmRhbS1zaG93L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"A flying car developed by Airbus, Audi and Italdesign took a high-profile test flight today at the Amsterdam Drone Week conference, but its size was low-profile.

The modular vehicle was a quarter-scale demonstration model of the “Pop.Up Next” transportation system that the three companies are developing.

The idea is to have a passenger compartment that can sit on top of a four-wheeled electric vehicle to travel the roads, or attach to the bottom of a quadcopter to fly through the air. At the Amsterdam show, the three companies displayed impressive full-scale mockups of the flying car, but the gizmo that actually flew was basically a drone with brackets attached.

When the drone landed onstage, a toy car drove up beneath it, and the car’s chassis was pulled up to the drone’s underside. Then the drone flew off, leaving the car’s four-wheeled base behind. During the final part of the demonstration, the drone set down again, waited for the wheeled vehicle platform to drive beneath and deposited the chassis on top.

You can see how it worked in this video:

Audi and its subsidiary, Italdesign, took the wraps off its partnership with Airbus earlier this year, but this week’s Amsterdam show served as a coming-out party for the small-scale prototype.

“Flying taxis are on the way. We at Audi are convinced of that,” Bernd Martens, who is an Audi board member and Italdesign’s president, said in a news release. “More and more people are moving to cities. And more and more people will be mobile thanks to automation.”

Audi is already conducting tests of on-demand air taxi services in Mexico City and São Paulo in cooperation with Voom, an Airbus subsidiary. Customers can book helicopter flights through Voom, and get a ride to or from the airport in an Audi.

Airbus and Audi are also gearing up for a flying-taxi test project in the German city of Ingolstadt, Audi’s corporate headquarters.

“Services like this help us to understand our customers’ needs better,” Martens said. “Because in the future, flying taxis will appeal to a wide range of city dwellers. With Pop.Up Next we are simultaneously exploring the boundaries of what is technically possible. The next step is for a full-size prototype to fly and drive.”

It’s not clear just how quickly Pop.Up Next will turn into a widely available commercial service. Audi says it could happen “as soon as the coming decade.”

Meanwhile, other flying-car efforts are gathering steam: Uber says it will begin pilot projects in Dallas-Fort Worth, Dubai and Los Angeles by as early as 2020. Boeing is involved in several ventures targeting the air-mobility market, including Aurora Flight Sciences (a Boeing subsidiary that’s working with Uber) and SkyGrid (a platform partnership with SparkCognition).

Other companies working on electric-powered, vertical-takeoff-and-landing vehicles, also known as eVTOL aircraft, include Opener, Kitty Hawk, Joby Aviation, Terrafugia, VerdeGo Aero, Britain’s Aston Martin and Rolls-Royce, the Dutch venture PAL-V, China’s EHang, Germany’s Volocopter and Lilium, Switzerland’s Passenger Drone, Slovakia’s AeroMobil and Japan’s Cartivator Project.

Pop.Up Next isn’t Airbus’ only foray into flying cars: Airbus Ventures is supporting the development of Vahana’s electric-powered air vehicles, which went into flight testing early this year in eastern Oregon.

All this activity is what led Jaiwon Shin, NASA’s associate administrator for aeronautics, to say during a Seattle conference this month that there’s a “revolution coming in aviation.” Over the next few years, NASA and the Federal Aviation Administration are planning a series of Urban Air Mobility Grand Challenges to lay the groundwork for what they hope will be a peaceful revolution.","{'label': 'Neutral', 'score': 0.9987549781799316}",neutral,0.9987549781799316,0
Airbus A330 delivery brings dedicated tanker capability to South Korean Air Force - Defense News,"Tue, 13 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmRlZmVuc2VuZXdzLmNvbS9haXIvMjAxOC8xMS8xMy9haXJidXMtYTMzMC1kZWxpdmVyeS1icmluZ3MtZGVkaWNhdGVkLXRhbmtlci1jYXBhYmlsaXR5LXRvLXNvdXRoLWtvcmVhbi1haXItZm9yY2Uv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"MELBOURNE, Australia ― The first Airbus A330 Multi Role Tanker Transport for the Republic of Korea Air Force has landed in South Korea for its acceptance tests.

According to a news release from the manufacturer, the aircraft, which was piloted by a joint Airbus and Air Force crew, arrived at Gimhae Air Base in Busan after a ferry flight from the Airbus Final Assembly Line in Getafe, Spain, with a stop in Vancouver, Canada.

It will now undergo ground and flight tests in Gimhae. The Air Force will be supported by a team from Airbus, which will be based in South Korea for the duration of the tests and until the aircraft is officially handed over to the customer.

Airbus did not specify how long the acceptance tests will last, and referred questions about the specifics of the test program to the Air Force.

This aircraft is the first of four ordered by South Korea. Its arrival marks the second regional customer of the A330 MRTT to receive its first aircraft this year, with the first of Singapore’s six aircraft having been delivered in August.

Another customer, France, had also taken delivery of its first MRTT in October.

RELATED

The A330 MRTT marks the introduction of a dedicated tanker capability for South Korea’s Air Force, and it will allow the service’s fighters to increase their persistence during missions.

The service is currently operating the Boeing F-15K Slam Eagle and the Lockheed Martin KF-16C/D Fighting Falcon as its primary combat aircraft. South Korea has also ordered the Lockheed Martin F-35A Lightning II Joint Strike Fighter, with the first one for the Air Force rolling out earlier this year.

South Korea selected the A330 MRTT for its $1.26 billion KC-X program in 2015 after evaluating competing proposals from Boeing, with the KC-46 Pegasus, and Israel Aerospace Industries, who proposed converting 767 airliners in a tanker aircraft.

Mike Yeo is the Asia correspondent for Defense News.","{'label': 'Neutral', 'score': 0.9999967813491821}",neutral,0.9999967813491821,0
Airbus A380: Facts about the world's largest passenger jet - USA TODAY,"Sun, 18 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS90cmF2ZWwvY29sdW1uaXN0L2NveC8yMDE4LzExLzE4L2FpcmJ1cy0zODAvMjAxODMwNjAwMi_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"Ask the Captain: Reader questions about the Airbus A380

Question: How high above the ground does the pilot of an A380 sit?

– submitted by reader Charles Dzogbenuku, Accra, Ghana

Answer: The eye height for an Airbus A380 pilot is 7.2 meters (23.6 feet). It is lower than the Boeing 747, which is 8.7 meters (28.5 feet).

Q: How easy is it to land the largest jumbo jets?

– Azlan Allam

A: A pilot with significant experience can transition to a very large airplane quickly. There is little difference in the handling characteristics, but the flight deck height and wingspan require practice.

The 747 and A380 pilots I know characterize both as easy airplanes to fly.

Q: How much fuel does a jetliner hold in gallons?

– Richard, Sebring, Florida

A: The A380, the largest airplane in commercial airline service, can hold nearly 86,000 U.S. gallons of jet fuel. Other airplanes hold much less, such as the A321 that holds up to 7,800 U.S. gallons.

Q: Why do the most modern A320s have the tall, upswept winglets (sharklets) rather than the smaller wing fences at their wingtips that the older models had? Has Airbus discovered that the new winglets are more effective than their older wing fences? If so, why does the A380 have similar style of wing fences as the older A320s?

– Jennifer von Geldern, Yuba City, California

A: The large winglets (sharklets) are more fuel-efficient than the earlier smaller fences. The A380 aerodynamic engineers found that the fences are efficient enough. Each wing is different.

Q: In the last few years, I've flown a couple of long haul flights on the A380 (Air France) and A330 (Iberia). Neither of them had A/C vents at the seats. Needless to say, both flights got quite warm. I assume this is for cost reasons?

– Bret, Morgan Hill, California

A: When an airline orders a new airplane they can specify if they do not want air vents. It is a cost savings, however most airplanes are delivered with passenger air vents. I am surprised to hear that an A380 was ordered without them.

John Cox is a retired airline captain with US Airways and runs his own aviation safety consulting company, Safety Operating Systems.","{'label': 'Neutral', 'score': 0.9999620914459229}",neutral,0.9999620914459229,0
Airbus Helicopters expands presence in Japan - Airbus,"Thu, 29 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmFpcmJ1cy5jb20vZW4vbmV3c3Jvb20vcHJlc3MtcmVsZWFzZXMvMjAxOC0xMS1haXJidXMtaGVsaWNvcHRlcnMtZXhwYW5kcy1wcmVzZW5jZS1pbi1qYXBhbtIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Tokyo, 29 November 2018 – Riding on its growing business, Airbus Helicopters will be adding a maintenance, repair and overhaul (MRO) complex adjacent to its existing facility in the Kobe Airport Facility in Japan. Construction will commence in June 2019, with the new facility expected to be operational in November 2019.

The company’s existing facility is capable of accommodating up to 25 medium-sized helicopters simultaneously. It also houses its regional engineering hub and the country’s first and only helicopter full motion full-flight simulator, which has trained over 500 pilots and engineers in Japan and across the region.

With this expansion, Airbus Helicopters will have the largest footprint in the aviation business sector of the Kobe Airport Facility, occupying a total space of 19,685 sqm. Its overall capacity will increase by 60% to handle about 40 medium-sized helicopters at one time. The new building will feature a state-of-the-art hangar, an administration office, and a purpose-built warehouse.

“Japan is an important market for Airbus Helicopters. This additional facility is part of our growth plan in the country and demonstrates our commitment to strengthening our support for our customers’ fleets while responding to their increasing demand for aftersale support services,” said Olivier Tillier, Managing Director of Airbus Helicopters Japan. “We have been building up our capabilities in Kobe over the years and believe the site offers a lot of growth potential. With a larger capacity, we will be able to offer our complete suite of support and services to our customers, spanning after-sales customer support, MRO, engineering, technical support, simulator training and warehousing.”

Since the delivery of the first Alouette II helicopter to Mitsuya Air Service in 1961, Airbus Helicopters Japan has delivered more than 440 helicopters to operators and customers in the country for various missions across market segments. Currently leading the Japanese civil and parapublic market with a 54% market share, the company plans to strengthen its market position in tandem with Japan’s projected fleet growth of 2% annually over the next two decades. It has already secured 50% of the country’s new bookings for 2018.

About Airbus

Airbus is a global leader in aeronautics, space and related services. In 2017, it generated revenues of €59 billion restated for IFRS 15 and employed a workforce of around 129,000. Airbus offers the most comprehensive range of passenger airliners from 100 to more than 600 seats. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world’s leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide","{'label': 'Positive', 'score': 0.999346911907196}",positive,0.999346911907196,1
Airbus Aims to Put Squeeze on New Boeing Jet With Tweaked A330 - Bloomberg,"Mon, 26 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE4LTExLTI2L2FpcmJ1cy1wbGFucy1hMzMwbmVvLXR3ZWFrLXRvLWZlbmQtb2ZmLWJvZWluZy1zLW5ldy1taWQtc2l6ZS1qZXTSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"Airbus SE will offer a modified version of its A330neo wide-body designed for shorter trips in an effort to undermine demand for a new middle-of-the-market plane that Boeing Co. is expected to launch next year.

The A330neo’s engines could be re-rated to a lower level of thrust, helping to reduce the fuel load and cut its take-off weight, Crawford Hamilton, the plane’s marketing chief, said in an interview on Monday in Toulouse, France.","{'label': 'Negative', 'score': 0.9938348531723022}",negative,0.9938348531723022,-1
Airbus A220 Airliner: Delta unveils single-aisle jetliner for US flyers - CNN,"Fri, 02 Nov 2018 07:00:00 GMT",https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vd3d3LmNubi5jb20vdHJhdmVsL2FydGljbGUvYWlyYnVzLWEyMjAtYWlybGluZXItZGVsdGEtdXMvaW5kZXguaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Atlanta, Georgia CNN —

For some folks, flying on a brand new airliner is almost as exciting as riding in a spanking new car.

So get ready air travel fans: Beginning in January, travelers in the USA will get to fly on the first newly designed large single-aisle airliner in nearly three decades.

Delta Air Lines, the world’s second largest carrier, unveiled its new Airbus A220-100 during a ceremony Monday at its headquarters at Hartsfield-Jackson Atlanta International Airport.

With the roar of jet engines in the background, excited employees lined up to tour Ship 8101, as Delta named it, the first of 75 A220s that Delta is expected to bring into its fleet over the next two to three years.

SWISS, Korean Air and airBaltic already fly these jets, but Delta will be the first carrier in the US. Taking the stage at the celebration, Delta CEO Ed Bastian welcomed the A220 as “a beautiful new member of the family.”

This $81-million jet has racked up several firsts:

– It’s the first Airbus airliner designed and built by another company — Canada’s Bombardier.

– It’s the first single-aisle airliner to have super-strong, lightweight, non-metal wings made with a special process called resin transfer injection – squirting carbon fiber resin inside the wing skin. (This matters because carbon fiber wings have fewer rivets than metal wings. They slip through the air more smoothly, and they need less maintenance.)

– It’s the first single-aisle commercial airliner with electric brakes instead of typical hydraulic brakes. (No more leaky hydraulic brake lines equals less maintenance.)

Delta plans to use the A220 as part of a fleet modernization program. Some airplanes on Delta’s domestic routes are more than three decades old, with retro-fitted passenger seat power ports and no in-flight entertainment systems.

“The simple idea is to provide customers what it is they tell us they want,” said Delta Senior Vice President and Chief Marketing Officer Tim Mapes. “That means space, innovative technology and comfort. All of those things are evident in this plane.”

The A220s, along with about 100 other new jets, will replace 20% of older, less-efficient aircraft by 2020, according to Delta. The airline also plans to replace 25% of its domestic fleet over the next three years, Bastian said, “taking delivery of more airplanes than at any time in our history.”

One reason behind this move is a massive projected increase in passengers.

Last year, worldwide air passenger traffic crossed 4 billion for the first time, up 7.3% from 2016, according to the International Air Transport Association. By 2036, that number is expected to nearly double.

In the US, about 965 million passengers flew commercial airlines last year, an increase of more than 3%, according to the Department of Transportation. By 2036, the industry predicts the number of passengers in the US will exceed a billion.

Airlines are looking to meet that need with the help of a new generation of jets designed to offer creature comforts travelers want while keeping profits strong. The Airbus A220-100 is one of those new jets.

Seats

Once you step aboard this plane, you immediately notice it just feels bigger than a typical single-aisle airliner. Nearly 7-foot-high ceilings and windows larger than many other kinds of jets.

The cabin is a spacious 10-feet, seven-inches wide.

Delta has designed its A220-100s to seat 109 passengers — including 12 in first class, 15 in premium economy and 82 in economy. Up front, first class seats are in a 2-2 configuration with head rests and other accoutrements, including water bottle holders and adjustable arm rests.

Delta's new A220 seats 109 passengers in three classes -- all with seat-back in-flight entertainment screens. Thom Patterson/CNN

In Economy, travelers may like the seat width — measuring 18.6 inches — the widest main cabin seats in Delta’s fleet. If you’re wondering about leg room in coach, the seat pitch ranges from 30 to 32 inches. Delta’s Boeing 717s, which seat about the same number of passengers, have a seat pitch of 31 inches in economy.

Another reason the main cabin feels big is the 2-3 seat configuration.

That means fewer middle seats – which is great news if you hate that “trapped feeling” some folks get when they’re in a middle seat.

If you’re in a window seat, you’ve got a bit more shoulder room, thanks to cleverly designed indentations in the cabin walls. For the window shades, this plane went old school. No push-button electronic dimmers required. Just your typical pull-down window shades will do fine, thank you very much.

Delta’s A220 also offers full LED spectrum lighting, so crew members can change the color and brightness of the interior light based on various moods throughout the day.

In-flight entertainment

Main cabin seats will include seat-back screens for in-flight entertainment. In first class, the A220 offers the largest seatback in-flight entertainment screens in Delta’s fleet.

The jet’s Wi-FI uses a 2Ku satellite system, which Mapes said is the fastest in the fleet. It’s designed to provide around 70-100 megabits per second, he said, “which will allow anybody to do what they need.”

In first class, the A220 offers the largest seatback in-flight entertainment screens in Delta's fleet. Thom Patterson/CNN

A deep library of TV and movies is available on any of the large seatback screens on each seat. Delta’s rival, American Airlines, has been moving away from seatback screens and instead requiring passengers to use their own devices to stream in-flight entertainment.

Restroom with a view

Traveling with small children is pretty common, so it’s nice to see airliner restrooms are getting more family friendly. The lavatories on this plane are large enough to change babies – and a pullout baby-changing table is available in the right rear restroom. They’re also large enough for a 6-foot-plus-tall person to stand up straight – which isn’t always the case on other jets.

There are three lavatories on this plane. Remarkably, one of them has something you don’t see very often in airliner restrooms: a window.

Delta Air Lines' new A220 includes a room with a view. Delta Air Lines

“The engineers saw an opportunity to put one in and we said ‘go for it,’” said Bastian.

It’s hard to know if the window will result in longer waits for the restroom, because passengers will be inside snapping photos.

Routes

The jet can fly nearly 3,400 miles, so Delta says it plans to use it for direct routes to cities that don’t usually fill larger planes.

If you have plans to fly from New York to Dallas-Ft. Worth or to Houston, Delta is hoping you’ll take notice. Those are two of the first routes the airline plans for these new jets beginning in January and April, respectively.

By the way, it’s no coincidence that those two cities are dominated by Delta’s competitors, United Airlines and American Airlines. Will the A220 allow Delta to give United and American a run for their money in these markets?

“Pretty good chance of it,” says Richard Aboulafia, aviation industry analyst at Teal Group.

The A220 also helps increase profits by saving fuel. Airbus says it’s 20% more fuel efficient than similar sized jets.

The A220’s weird history

But for many aviation enthusiasts, the weirdest thing about the A220 is the fact that for the first time in Airbus’s nearly half-century-long history, it’s selling a plane designed and built by another company.

How did that happen?

Basically, France-based Airbus stepped in last year and bought a controlling interest in the plane from a rival manufacturer – Canada’s Bombardier.

Before that, the plane – and its larger version – actually had different names – the CS100 and CS300. Airbus simply renamed them the A220-100 and A220-300.

“A truly shocking moment,” said Aboulafia. “You can’t write this stuff in a novel, no one would believe it.”

Two of these Pratt & Whitney geared turbofan engines help the A220-100 achieve 20% more fuel savings than similar jets. Thom Patterson/CNN

Experts say Bombardier was driven to make the deal because they feared the Trump administration’s trade policies with Canada would sink the company.

“Bombardier simply said, if we keep going with this program on our own, it’s doomed and it will drag us down with it,” Aboulafia said. “So by giving it to our arch rival, Airbus, then they can rescue it and at least we can build structures for it.”

“Airbus has spent the past ten years trying to kill this jet — and now it gets it for free,” he said.

More new jets

Of the four major US carriers, American Airlines boasts the youngest fleet. Its planes are an average of 10.5 years old, according to airfleets.net. Delta’s fleet is the oldest – averaging 16.3 years.

But that statistic will likely begin to change next year when Delta accepts delivery of new Airbus A330neos. These fuel-saving twin-engine widebodies will be used for medium haul trans-Atlantic routes and flights connecting Asia with the US West Coast.

Delta plans to add new Airbus A330neos to its fleet next year. Thom Patterson/CNN

Another jet – Boeing’s super-efficient 777-9X – is expected to make its first test flight next year. That plane — expected to be the world’s largest twin-engine jet — will have an all-metal body, but its wings will be made from light-weight, super strong carbon fiber composite material.

Cathay Pacific, Lufthansa and Emirates are among several international airlines that have ordered the 777-9X.

Also next year, Boeing is widely expected to announce its plans to build a new midsized airliner — which has already been unofficially nicknamed the 797.

It all means that your chances of flying on a newer plane are rising, as more air travelers take to the skies.","{'label': 'Neutral', 'score': 0.999884843826294}",neutral,0.999884843826294,0
Delta Air Lines orders 10 additional Airbus A330-900s - Airbus,"Fri, 16 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LmFpcmJ1cy5jb20vZW4vbmV3c3Jvb20vcHJlc3MtcmVsZWFzZXMvMjAxOC0xMS1kZWx0YS1haXItbGluZXMtb3JkZXJzLTEwLWFkZGl0aW9uYWwtYWlyYnVzLWEzMzAtOTAwc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Delta Air Lines has ordered 10 additional Airbus A330-900 widebody aircraft, expanding their A330neo order book from 25 to 35 aircraft. This latest order supports Delta’s international growth strategy in the near to medium term.

Simultaneously, Delta and Airbus have agreed to defer 10 previously ordered A350 XWBs to 2025-26 in order to accommodate the airline’s long-term growth strategy. Delta currently operates 11 A350-900 aircraft and expects a further four in 2019-2020. Delta’s A330 fleet stands today at 42 widebody aircraft.

“The A330-900 is going to be an important addition to Delta’s fleet,” said Delta Chief Executive Officer Ed Bastian. “Airbus has infused this next generation of the successful A330 family with new technology and features providing advanced levels of comfort for our passengers and significant operating cost reductions that will make our airline stronger in the decades to come.”

“Operational efficiency and an exceptional passenger experience are core to Delta’s successful recipe, and it speaks volumes that they have chosen the A330-900,” said Christian Scherer, Airbus Chief Commercial Officer. “Delta has been endorsing the Airbus wide-body family from the outset by committing to both the A330 and the A350. We are listening to our customers and proud to be in the position to flexibly respond to their fleet requirements for more A330s and equally appreciate the ongoing commitment for more A350s as part of their long-term growth strategy.”

Scherer added: “This reconfirmed endorsement by one of the world’s largest and most respected airlines validates the economic credentials of our versatile Airbus widebody family in the most advanced and competitive environments.”

Building on the proven success of its popular twin-aisle, twin-engine, widebody A330 Family, Airbus launched the A330neo programme – comprising the A330-800 and A330-900 versions – in July 2014. The A330neo brings significant efficiency improvements while also introducing the Airspace by Airbus cabin, which offers the newest and most advanced in-flight experience with extra personal space and state-of-the-art ambient lighting.

Incorporating the latest-generation Rolls-Royce Trent 7000 engines, along with aerodynamic enhancements – including new extended composite wingtips, which provide 3.7 metres of increased overall span – as well as increased lift and reduced drag, the A330neo is a more efficient aircraft which will generate savings through reduced fuel burn.

The longer-fuselage A330-900 version can accommodate 287 seats in a typical three-class layout or up to 440 for high-density configurations and can provide a range of 7,200 nautical miles.

#Delta #A330 #Airbus @DeltaNewsHub","{'label': 'Positive', 'score': 0.9999997615814209}",positive,0.9999997615814209,1
Twenty-four startups join Airbus accelerator programme - Airbus,"Mon, 12 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmFpcmJ1cy5jb20vZW4vbmV3c3Jvb20vcHJlc3MtcmVsZWFzZXMvMjAxOC0xMS10d2VudHktZm91ci1zdGFydHVwcy1qb2luLWFpcmJ1cy1hY2NlbGVyYXRvci1wcm9ncmFtbWXSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"Toulouse, 12 November 2018 – Airbus has selected twenty-four new startups to join its BizLab for the launch of the fourth accelerator programme, providing a platform to develop previously untapped technologies and ways of working in the aerospace sector.

Airbus BizLab is a global aerospace business accelerator where startups and Airbus intrapreneurs speed up the transformation of innovative ideas into valuable businesses. Since starting in 2015, Airbus BizLab has accelerated 50 startups and 40 internal projects, which have raised a combined € 19.5 million.

This year, Airbus BizLab also challenged startups to propose technical solutions contributing to the UN Sustainable Development Goals that Airbus is committed to.

With the opening earlier this year of Airbus BizLab’s fourth site in Madrid (Spain) - after Toulouse (France), Hamburg (Germany) and Bangalore (India) - the selected firms will join a unique consolidated global network within the four sites. During the six-month acceleration programme, the 24 startups will receive support from an international team of experts from various fields and have access to dedicated coaching staff, networking opportunities and co-working spaces. Hailing from ten countries around the world, the new startups were selected out of 495 applications from 64 countries. One of the main criteria used in the selection process were the synergies between the startup projects and Airbus’ innovation strategy.

Many fledgling aerospace businesses struggle today to turn innovative ideas and technologies into commercial reality, others face difficulties accessing customers or endure long certification processes. This significantly slows the pace of innovation. To overcome these hurdles, Airbus BizLab has developed a “hybrid” concept that helps startups better navigate the challenges of working with large firms.

Airbus BizLab already counts several success stories:

· Toulouse-based startup UWINLOC offers the world’s first connected battery-less indoor location solution designed for large volume tracking of assets in the manufacturing and logistics industries. UWINLOC raised € 4.5 Million in a Series A funding round led by ELAIA Partners to expand its operations in the United States and China.

· Neewee and EFLIGHT, both Bangalore BizLab alumni, signed contracts with Airbus. Neewee uses advanced analytics and artificial intelligence to improve manufacturing supply chain and procurement operations, while EFLIGHT has developed a solution that optimizes jet pilot response to flight conditions.

The 24 startups selected in the four BizLab campuses are as follows:

Toulouse campus:

AVE (France): Develops chimaera polymers by using molecular grafting technology.

Caddie Engineering (Bulgaria): New water-based air filtering technology for all biochemical and mechanical pollutants.

H24E (United Kingdom): Ultra-short pulse laser that splits water into hydrogen more efficiently than electrolysis.

Modularity Grid (United Kingdom): Digital platform that enables mini-grid operators to deliver affordable and reliable electricity in low income communities.

Reynolds (Russia): Advanced gas turbine generators for UAV and eVTOL markets.

Indiego (United States): Bridging the gap between human mobility constraints and existing transport infrastructure.

Hamburg campus:

Sensifai (Germany): Automatic video semantics recognition for large-scale

multimedia management.

Flugilo (Germany): Parking assistance system designed to reduce the risk and cost associated with aircraft ground operations.

TG0 (United Kingdom): Using a single material to sense human touch and build 3D control systems without any electronic sensors.

Dino Robotics (Germany): 3D-guided applications for improved robotic bin picking accuracy.

Humanising Autonomy (United Kingdom): Culture and context specific platform for improved autonomous vehicle decision-making.





(United Kingdom): Culture and context specific platform for improved autonomous vehicle decision-making. Boni Global (Turkey): Adaptive navigation technology for the visually impaired.





Bangalore campus:

Flutura (India): Data solutions for process deviations and unplanned downtime for heavy machinery.

Trapyz (India): Audience insights platform for mapping real world customer journeys.

Gnani (India): Custom AI models for enterprise applications, with a focus on speech recognition and NLP.

Hey Flyer (UAE): Platform that consolidates airport information for travellers.

Scapic (India): AR/VR platform for customer experience.

Agnikul (India): Designs, builds, tests and launches orbital launch systems.

Traxof (India): Custom NLP solution for improved human-computer interaction.

Madrid campus:

Daisho (United States): Secured and centralized management of IoT, mobile, and cloud computing applications.

Urban Data Eye (Spain): Health diagnostics of public spaces to address issues related to their safety, congestion and accidents.

RECOGNAI (Spain): AI-enhanced analytics solution for large text data sets and structured data.

BotsLovers (Spain): AI and NLP-powered bots that improve sales, brand loyalty and customer service.

Unblur (Spain): Intelligent platform allowing easy communication and information-sharing among emergency first responders.

@airbusbizlab #BizLab #startups","{'label': 'Positive', 'score': 0.657464325428009}",positive,0.657464325428009,1
Airbus A330-800 Flies for First Time - Aviation International News,"Tue, 06 Nov 2018 08:00:00 GMT",https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LmFpbm9ubGluZS5jb20vYXZpYXRpb24tbmV3cy9haXItdHJhbnNwb3J0LzIwMTgtMTEtMDYvYWlyYnVzLWEzMzAtODAwLWZsaWVzLWZpcnN0LXRpbWXSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"Airbus A330-800 Flies for First Time

Maiden mission comes less than a month after Kuwait Airways signed on as new launch customer","{'label': 'Neutral', 'score': 0.999937891960144}",neutral,0.999937891960144,0
