Titre,Date de publication,URL,Contenu,sentiment_finbert,sentiment_label,sentiment_score,sentiment_numerique
Grace Wales Bonner Takes LVMH Prize - WWD,"Thu, 16 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3dkLmNvbS9mZWF0dXJlL2dyYWNlLXdhbGVzLWJvbm5lci1sdm1oLXByaXplLTEwNDU3NjI3L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"PARIS — Are inflated and noisy street-influenced fashions giving way to something quieter, more introspective?

On Thursday, an all-star jury handed the third annual LVMH Prize to London-based designer Grace Wales Bonner, a maker of calm, soulful – and androgynous — men’s wear.

“It was quite unanimous. I love her vision,” said Nicolas Ghesquière, creative director of women’s collections at Louis Vuitton, who shared jury duty with the likes of Karl Lagerfeld, Marc Jacobs, Givenchy’s Riccardo Tisci and Céline’s Phoebe Philo. “The clothes are really well made also. Her universe is very strong.”

“I think she has something very interesting to say, and it feels like she has a lot more to say,” added Philo, describing clothes that practically narrate Wales Bonner’s upbringing in southeast London, raised by a Jamaican father and an English mother. “I went to school with girls like Grace. You can see she’s figuring that out through her fashion.”

Philo said Wales Bonner, 25, recounted her background and political viewpoints during her 10-minute presentation. The 2014 graduate of Central Saint Martins said her work explores representations of black male sexuality and identity, which she backs up with research spanning critical theory, literature and history.

“Her clothes are great. Everyone felt that women want to wear that stuff and it’s men’s wear,” Philo said of prim tailoring with an empire flare and silky shirts and pants, the collars and waistbands dabbed with crochet.

While her clothes are already carried in stores including Matchesfashion.com, LN-CC, Joyce, 10 Corso Como and Ssence, Wales Bonner operates her business with only one other collaborator.

She is to receive a grant of 300,000 euros, or $336,525 at current exchange rates, plus a year of coaching from executives at LVMH Moët Hennessy Louis Vuitton, the world’s largest luxury group and sponsor of the prize.

The petite designer told WWD she would use the prize money to “build out her team” and use LVMH coaching to “figure out how I can scale the business up.”

Actress Léa Seydoux, poured into a tight black dress with an asymmetric hem, handed Wales Bonner a gold star trophy during a brief ceremony at the Louis Vuitton Foundation, a Frank Gehry-designed art museum on the leafy fringes of Paris now decked out in colorful panels courtesy of artist Daniel Buren.

Behind Seydoux stood Ghesquière, Philo, Lagerfeld, Tisci and the rest of the jury: Jonathan Anderson, Kenzo creative directors Humberto Leon and Carol Lim; Delphine Arnault, second-in-command at Vuitton; Pierre-Yves Roussel, chairman and chief executive officer of LVMH Fashion Group, and Jean-Paul Claverie, an adviser to LVMH chairman Bernard Arnault and LVMH’s head of corporate philanthropy.

Wales Bonner beat out seven finalists. They were Tuomas Merikoski, the Finnish designer behind the women’s wear label Aalto; Glenn Martens, the Belgian behind men’s and women’s collections for Y/Project; Christelle Kocher, a French designer who creates her Koché collections for both genders; Hiromichi Ochiai, based in Tokyo and designing under the Facetasm label; Matthew Williams, whose women’s wear carries the Alyx label; Brandon Maxwell, who has a signature women’s line, and Canadian wunderkind Vejas Kruszewski, 19, who makes collections for women and men under the Vejas label.

Kruszewski was handed a special jury prize, which comes with 150,000 euros, or $168,260, and one year of coaching. Ghesquière noted he and other jurors were dazzled by the youngster’s accomplishments – and steely determination.

Launched in 2013 and spearheaded by Delphine Arnault, a key talent scout at the luxury group her family controls, the international competition is open to designers under age 40 who have presented and sold at least two collections of men’s or women’s ready-to-wear.

About 1,000 designers threw their hats into the ring this year, applying for an honor that has boosted the careers of Thomas Tait and Marta Marques and Paulo Almeida, the Portuguese duo behind the Marques’Almeida label — the first two winners of the grand prize — along with Hood by Air’s Shayne Oliver, Simon Porte Jacquemus and Nikita and Tina Sutradhar for Miuniku, recipients of special prizes from LVMH, parent of fashion houses including Fendi, Givenchy, Berluti, Loro Piana and Kenzo.

Maxwell pointed to a swollen eyelid behind his Céline eyeglasses as an indicator of a high stress level, tinged with excitement. Using frequent-flyer points, he flew in his mother, Pam, from Longview, Tex., and dressed her in one of his sculptural jackets.

“She got her first passport. I’m taking her to the Eiffel Tower later to take her picture in front of it,” he said.

Echoing other finalists who stood by racks of their designs in the museum’s soaring auditorium, Maxwell said the competition brought invaluable exposure to all participants.

“It’s helped us very, very much. Oftentimes when you just start out, it’s hard to get people to look at you,” he said. “I feel like the response has just been great.”

The atmosphere grew increasingly electric as the famous jurors filed in, embracing each other and falling into conversation about the judging task ahead of them.

“We always get into a heated debate over lunch about what the criteria is for giving this prize. I guess it’s just what you like the most in the end,” Jacobs shrugged.

Philo confessed she is often swayed by personality, commending the young talents for making their presentations before the 10-minute buzzer goes off.

“It’s very intimidating,” she said. “I just enjoy hearing them talk.”

“I think the most important thing is originality. I like the ones that are taking a risk. Business? You have all the time to build it,” mused Tisci. “Today, you need to not only sell clothing; you need to sell a dream. You have to forge an identity. It’s different today for designers than even 10 years ago.”

“It has to be an original standpoint – and have a business structure behind it,” countered Anderson, who designs the J.W. Anderson and Loewe labels under the LVMH umbrella. “It’s a balance between creativity and business acumen.”

Asked if he judges the clothes themselves or the concept behind them, Lagerfeld retorted: “A good idea poorly done is worth nothing.”

But like Philo, he said he battles objectivity. “My problem is there are people that I like and I’m influenced by that,” he said.

For example, he knows Kocher well as artistic director of Maison Lemarié, a maker of feathers and flowers owned by Chanel through its subsidiary Paraffection. “She’s a divine person, very gifted,” he said.

“Validation” was a word finalists used repeatedly, lauding the prize for spurring them on in a competitive field.

“It gives a lot of confirmation,” said Martens, standing by a rack of urban basics tinged with Elizabethan grandeur that included a pair of jeans so long that the pant legs coiled on the floor like snakes. He explained the they could be turned up to the hipbone, or scrunched around the calves.

Participating in the prize can also help boost business. “We multiplied the sales by four last season, and we got a lot of exposure in the press,” Kocher smiled.

“The vision is really important,” said Delphine Arnault. “The product needs to be really special, and really stand out because there’s tough competition. It’s also important how they foresee the future.”

The executive stressed most of the participants are hungry for coaching.

“The designers always have so many questions about how to best produce their collections and develop their business,” she said. “It’s one of the big assets of the prize.”

Arnault also handed out 10,000 euro ($11,145) scholarships to three fashion graduates, who each get a one-year post in the design studio of a fashion house at LVMH. Their schools also pocket a like-value grant. The winners are: Francesca Ricchiardi from Accademia Costume & Moda in Rome, Ayo Keys from Parsons The New School of Design in New York and Beth Hall from Westminster University. They will be placed at Fendi, Marc Jacobs and Loewe, respectively.","{'label': 'Neutral', 'score': 0.9999828338623047}",neutral,0.9999828338623047,0
Tikka Shatrujit Singh | BoF 500 | The People Shaping the Global Fashion Industry - The Business of Fashion,"Thu, 16 Jun 2016 22:44:23 GMT",https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3LmJ1c2luZXNzb2ZmYXNoaW9uLmNvbS9jb21tdW5pdHkvcGVvcGxlL3Rpa2thLXNoYXRydWppdC1zaW5naNIBTGh0dHBzOi8vd3d3LmJ1c2luZXNzb2ZmYXNoaW9uLmNvbS9hbXAvY29tbXVuaXR5L3Blb3BsZS90aWtrYS1zaGF0cnVqaXQtc2luZ2g?oc=5&hl=en-US&gl=US&ceid=US:en,"Tikka Shatrujit Singh is the chairman of JMC, a global consulting company advising luxury brands. He is the former head representative of LVMH in Asia. He was a key figure in the company’s development and positioning strategy on the Indian sub-continent. Well connected globally and highly-respected locally, Singh is one of the most visible figures in India's budding fashion and luxury industry.

Singh graduated from Doon School before attending Delhi University. He worked in finance for 10 years, starting in New York’s banking sector, before holding positions in Hong Kong, London and Zurich.

Singh first started working with LVMH in 1994. He told Wharton University’s Knowledge, “I was picked up by the LVMH group to look at India when India was a closed market. I joined them in 1994 and advised various companies within the group. In 1998, the chairman of Louis Vuitton appointed him to a full-time advisory board position.

Signh was behind the LVMH entry into its Moët Hennessy partnership and is credited with the introduction of the perfume as well as cosmetic range under LVMH. He was also instrumental in restoration projects in the Indian city of Punjab, as well as projects to protect various Indian heritage monuments. In recognition of his efforts in developing business relationships with Morrocco, Singh was awarded “The Order of Mohammed” by King Hasan II of Morocco.","{'label': 'Neutral', 'score': 0.999957799911499}",neutral,0.999957799911499,0
Viva Technology: LVMH partners innovation and entrepreneurial spirit - LVMH,"Wed, 22 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3Lmx2bWguY29tL25ld3MtZG9jdW1lbnRzL25ld3Mvdml2YS10ZWNobm9sb2d5LWx2bWgtcGFydG5lcnMtaW5ub3ZhdGlvbi1hbmQtZW50cmVwcmVuZXVyaWFsLXNwaXJpdC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,Viva Technology: innovation at the heart of Sephora 24.06.2016,"{'label': 'Positive', 'score': 0.9667216539382935}",positive,0.9667216539382935,1
Viva Technology: innovation at the heart of Krug - LVMH,"Tue, 28 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3Lmx2bWguY29tL25ld3MtZG9jdW1lbnRzL25ld3Mvdml2YS10ZWNobm9sb2d5LWlubm92YXRpb24tYXQtdGhlLWhlYXJ0LW9mLWtydWcv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,">

>

>

Viva Technology: innovation at the heart of Krug","{'label': 'Positive', 'score': 0.7293475866317749}",positive,0.7293475866317749,1
Viva Technology: innovation at the heart of Sephora - LVMH,"Fri, 24 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3Lmx2bWguY29tL25ld3MtZG9jdW1lbnRzL25ld3Mvdml2YS10ZWNobm9sb2d5LWlubm92YXRpb24tYXQtdGhlLWhlYXJ0LW9mLXNlcGhvcmEv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,">

>

>

Viva Technology: innovation at the heart of Sephora","{'label': 'Positive', 'score': 0.9817507863044739}",positive,0.9817507863044739,1
Paris Fashion Week: men’s collections on summer time - LVMH,"Tue, 28 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3Lmx2bWguY29tL25ld3MtZG9jdW1lbnRzL25ld3MvcGFyaXMtZmFzaGlvbi13ZWVrLW1lbnMtY29sbGVjdGlvbnMtb24tc3VtbWVyLXRpbWUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,Viva Technology: innovation at the heart of Krug 28.06.2016,"{'label': 'Positive', 'score': 0.9871569275856018}",positive,0.9871569275856018,1
Wales Bonner Wins LVMH Prize | BoF - The Business of Fashion,"Thu, 16 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LmJ1c2luZXNzb2ZmYXNoaW9uLmNvbS9hcnRpY2xlcy9uZXdzLWFuYWx5c2lzL2x2bWgtcHJpemUtMjAxNi1wYXJpcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"LONDON, United Kingdom — Wales Bonner is the winner of this year's LVMH Prize. The London-based label is helmed by Grace Wales Bonner and known for its gender fluid men's collections, which feature opulent beadwork. The label will receive a €300,000 grant and a year-long mentorship from executives at the French luxury conglomerate. Wales Bonner also won the British Fashion Council's emerging menswear designer award in 2015.

TF7T2IX4JNAJTMSRDXXZRWEFYM

Wales Bonner Spring 2017 | Source: InDigital

The winner was selected from a shortlist of eight brands: Aalto, Alyx, Brandon Maxwell, Facetasm, Koché, Vejas, Wales Bonner and Y/Project. The decision was made by a jury of industry figures, comprising designers Jonathan Anderson, Nicolas Ghesquière, Marc Jacobs, Karl Lagerfeld, Humberto Leon, Carol Lim, Phoebe Philo and Riccardo Tisci, and Delphine Arnault, Jean-Paul Claverie and Pierre-Yves Roussel of LVMH.

A Special Prize was also awarded to Vejas, the Toronto-based label helmed by 19 year-old Canadian designer Vejas Kruszewski, the youngest designer to ever be nominated for the LVMH Prize. He receives a grant of €150,000 and year-long mentorship from the LVMH group.

ADVERTISEMENT

The LVMH Prize was launched in 2014. The 2014 and 2015 Prizes were both won by London-based designers: Thomas Tait and Marques'Almeida, respectively. This year marks the third time in a row the Prize has been awarded to a London-based label helmed by graduates from Central Saint Martins.

Last year, French designer Jacquemus received a Special Prize, while in 2014 two Special Prizes were awarded to Hood by Air and Miuniku.

Stay tuned to BoF for updates, including interviews with the Prize winners and Delphine Arnault.



Related Articles:

[ In the Heart of the Wales Bonner CruicibleOpens in new window ]

[ Worshipping at the Church of LC:MOpens in new window ]

[ LVMH Unveils Shortlist for PrizeOpens in new window ]

Disclosure: LVMH is part of a group of investors which has a minority stake in The Business of Fashion.","{'label': 'Neutral', 'score': 0.9999240636825562}",neutral,0.9999240636825562,0
Style Notes: Ariana Grande Lands Hot Pink MAC Campaign; LVMH Winner Announced - Hollywood Reporter,"Thu, 16 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9saWZlc3R5bGUvc3R5bGUvc3R5bGUtbm90ZXMtYXJpYW5hLWdyYW5kZS1sYW5kcy05MDM2ODkv0gFdaHR0cHM6Ly93d3cuaG9sbHl3b29kcmVwb3J0ZXIuY29tL2xpZmVzdHlsZS9zdHlsZS9zdHlsZS1ub3Rlcy1hcmlhbmEtZ3JhbmRlLWxhbmRzLTkwMzY4OS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en,"Ariana Grande Is a Pink Lolita in New MAC Campaign [Pret-a-Reporter Inbox]

The second installment of Arianna Grande’s Viva Glam MAC collection has arrived. The 23-year-old was photographed looking larger than life (literally) while wearing hot-pink platforms and a babydoll dress for the ads for the new shimmering neutral mauve lipglass and matte orchid pink lipstick. The bright hue is a 180 from her last color, which was a dark, black-purple hue launched in October of last year.

Grace Wales Bonner Wins LVMH Prize [New York Times]

Grace Wales Bonner, a 25-year-old British designer and recent graduate of Central Saint Martins, has won the 2016 LVMH Prize. Bonner beat out Lady Gaga’s stylist-turned-designer Brandon Maxwell for the honor, as well as five other finalists from around the world. She will receive a grant of approximately $300,000 and a year of mentorship from LVMH execs. Past winners include fellow British brands Thomas Tait and Marques’ Almeida.

Carolina Herrera Launches Resort Campaign on Snapchat Channel Sweet [Business of Fashion]

Mad Men alum and rising fashion darling Kiernan Shipka stars in Carolina Herrera’s 2017 resort campaign — but you won’t be seeing the ads in print first. Instead, Carolina Herrera tapped Snapchat channel Sweet, which is under the Hearst umbrella, to debut the Kristian Schuller-lensed images. The brand hopes that the platform will help expose the label to a younger audience, even if the resort collection is a bit out of a millennial’s budget.","{'label': 'Neutral', 'score': 0.9999896287918091}",neutral,0.9999896287918091,0
Grace Wales Bonner wins the LVMH Prize - Harper's Bazaar UK,"Thu, 16 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmhhcnBlcnNiYXphYXIuY29tL3VrL2Zhc2hpb24vZmFzaGlvbi1uZXdzL25ld3MvYTM3NDE4L2dyYWNlLXdhbGVzLWJvbm5lci1sdm1oLXByaXplL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Grace Wales Bonner is the winner of this year's prestigious LVMH Prize, beating out stiff competition from seven other brands. The menswear designer will receive €300,000 and a year-long mentorship from executives at the company. She was chosen by a panel that included Karl Lagerfeld, Marc Jacobs and Riccardo Tisci.

Wales Bonner is a London-based menswear label known for its gender-fluid designs, which also won the emerging menswear designer prize at the British Fashion Awards last year.

Wales Bonner is the third designer to win the LVMH Prize, which was launched in 2013, following in the footsteps of Thomas Tait and Marques'Almeida – both brands that also came from Central Saint Martins.

***

MORE FASHION NEWS

Raf Simons heading to Calvin Klein?

Eddie Redmayne is the new face of Prada

Christophe Lemaire named Uniqlo creative director","{'label': 'Positive', 'score': 0.9198833703994751}",positive,0.9198833703994751,1
Qatari Investment Group Acquires Parisian Fashion House Balmain (Published 2016) - The New York Times,"Wed, 22 Jun 2016 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMTYvMDYvMjMvYnVzaW5lc3MvZGVhbGJvb2svYmFsbWFpbi1mYXNoaW9uLXFhdGFyLW1heWhvb2xhLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"LONDON — Balmain, the Parisian fashion house beloved by Hollywood, the European jet set and the Kardashian clan, has been bought by a private investment group linked to Qatar’s royal family and that has sought to build a luxury-brand empire.

Balmain, a mostly wholesale business, was sold to Mayhoola for Investments after having attracted bids from several other private equity funds, including L Capital, an investment firm backed by the European luxury conglomerate LVMH Moët Hennessy Louis Vuitton.

Mayhoola “will allow the brand to accelerate its development, notably with the opening of new stores abroad,” Bucéphale Finance, the Paris-based boutique mergers and acquisitions firm that advised Balmain shareholders, said in a statement Tuesday evening. The sale will also fund the expansion of Balmain’s accessories business.

“After completing this transaction, Mayhoola for Investments will hold 100 percent of Balmain’s capital,” the statement added.","{'label': 'Neutral', 'score': 0.9999610185623169}",neutral,0.9999610185623169,0
