Titre,Date de publication,URL,Contenu,sentiment_finbert,sentiment_label,sentiment_score,sentiment_numerique
Thales Group to restructure space business as order gap drives losses - SpaceNews,"Wed, 04 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vc3BhY2VuZXdzLmNvbS90aGFsZXMtZ3JvdXAtdG8tcmVzdHJ1Y3R1cmUtc3BhY2UtYnVzaW5lc3MtYXMtb3JkZXItZ2FwLWRyaXZlcy1sb3NzZXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"WASHINGTON — Thales Alenia Space will restructure over the next few months as part of an effort to revamp its telecom satellite manufacturing business, which is projecting a 10% drop in sales for the year, its majority shareholder said Aug. 4.

Thales Group, which owns 67 percent of Franco-Italian manufacturer Thales Alenia Space, said the global slowdown in geostationary satellite orders is dragging on longer than it expected, causing space revenues to contract.

Satellite operators are furthermore demanding more advanced “flexible” spacecraft that can change the size, shape, power and location of their beams as their business plans become less dependent on television broadcasting and more on constantly shifting demand for internet connectivity, Thales said.

Thales Alenia Space builds a wide variety of spacecraft, including science missions for European space agencies, weather satellites for the European Union, and pressurized cargo modules for Northrop Grumman’s Cygnus supply vessels. But the recent reluctance of geostationary operators to buy new satellites is weighing down on the company’s financial performance.

“The driver behind this evolution is commercial satellite sales,” Pascal Bouchiat, Thales Group chief financial officer, said during an earnings call.

Thales Group reported 1.76 billion euros ($1.94 billion) in Aerospace revenue for the first six months of 2019, down 14 percent from the same time last year. Aircraft avionics, which Thales Group includes in its Aerospace division, grew by an unstated amount, but was not enough to offset commercial satellite losses, the company said.

Bouchiat said Thales Group projects 40-50 million euros in restructuring costs during the second half of this year to “adjust our overall headcount in our space business.”

Thales Alenia Space has won three of 10 comsat orders this year — one from Indonesian operator PSN for a broadband satellite called Satria, and Hisdesat’s two SpainSat NG satellites it will co-build with Airbus Defence and Space. But revenue from new satellite orders doesn’t peak until two years after booking, meaning their effect won’t be felt in the near term, according to Thales Alenia Space CEO Jean-Loïc Galle.

Galle said Thales Alenia Space is committed to doubling down on research and development, accepting that spending will hurt earnings for the next two years.

“Based on our discussion with many operators, we have decided to complement the [very-high-throughput] satellites with a new fully digital satellite product line that will deliver the total mission flexibility that satellite operators now require,” Galle said. “The investment to develop this new satellite, this new solution, will temporarily weigh on our profitability in 2020 and 2021.”

Most if not all of the world’s top satellite manufacturers are investing in digitizing satellite payloads so operators can more easily adapt their services to changing market conditions. Galle said Thales Alenia Space has invested 300 million euros in telecom research and development since 2013, helping the company win orders like the half-terabit Konnect VHTS satellite Eutelsat ordered last year.

Konnect VHTS, Galle said, will have “the most powerful onboard digital processor ever put in orbit” when it launches in 2021.

Galle said Thales Alenia Space’s projections don’t include any “jumbo” broadband megaconstellation orders, which could be a massive source of business.

Thales Alenia Space partnered with Maxar Technologies in a competition with Airbus Defence and Space to build a megaconstellation for Canadian operator Telesat, which wants 300 low Earth orbit satellites. The company is also a frontrunner to build LeoSat’s constellation of 84 to 108 broadband satellites. Galle mentioned neither during his presentation, however.

“Although constellations attract a lot of attention, very few are operational,” Galle said. “Geostationary satellites remain the dominant way to provide telecommunications from space.”

Galle said he anticipates a low- to mid-single digit margin in gross earnings in 2021, with a return to high single-digit growth by 2023.

Outside of commercial telecom, other parts of the space market show growth potential. Galle said the European Space Agency is expected to approve a significant budget increase at its ministerial council in November. The French military is also expected to increase space spending, he said.

Thales Alenia Space is building the ground segment for the French military’s Syracuse 4 satellite program, and received an order in July to build the defense-focused Ital-GovSatCom satellite under contract from the Italian Space Agency.

Half of Thales Alenia Space’s revenue comes from civil space projects, according to a company presentation. Another 20% comes from military customers, with commercial counting for the remaining 30%.

Bouchiat said Thales Alenia Space has also benefited from the struggles of another prominent satellite manufacturer.

“Maxar, who used to be the market leader, has clearly dropped in terms of market share,” he said. “That trend obviously had a positive impact on us.”

Maxar was close to selling off its geostationary comsat business last year, but decided in February to restructure Space Systems Loral instead, with a focus on smaller satellites and government projects.

Thales Group was able to offset declines in it space business thanks to its 4.8 billion euro acquisition of Gemalto, a digital identity and cybersecurity company, in April. Patrice Caine, CEO of Thales Group, said Thales Group’s 7 billion euros in revenue and 8.2 billion in sales for 2019’s first six months were both up roughly 10 percent thanks largely to the integration of Gemalto.","{'label': 'Negative', 'score': 0.9959239959716797}",negative,0.9959239959716797,-1
"ExoMars passes critical milestone, bringing us closer to the Red Planet! - Thales","Thu, 05 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LnRoYWxlc2dyb3VwLmNvbS9lbi93b3JsZHdpZGUvc3BhY2UvbmV3cy9leG9tYXJzLXBhc3Nlcy1jcml0aWNhbC1taWxlc3RvbmUtYnJpbmdpbmctdXMtY2xvc2VyLXJlZC1wbGFuZXTSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"The Descent and Carrier modules for the ExoMars 2020 mission have been integrated in Turin. The spacecraft in launch configuration will now be shipped to Cannes for environmental tests, before the launch to Mars to search for traces of life.

The ExoMars 2020 mission is now at an advanced stage. Thales Alenia Space’s Turin plant has completed integration of the Lavochkin landing platform, dubbed Kazachok. It already includes the Rover thermostructural model, protected by the ""rear jacket"" of the Descent module.

Before leaving Cannes, the Rover flight model, named Rosalind Franklin, will be installed on the Kazachok landing platform together with the Carrier module (from OHB). The spacecraft will then transit via Turin,before being shipped to the Baikonur Cosmodrome in Kazakhstan for a 2020 launch to… Mars!

© Thales Alenia Space

We are very proud to have reached this critical milestone for the landmark ExoMars mission"" said Walter Cugno, Vice President for Exploration and Science at Thales Alenia Space. “This achievement reflects our proven experience in space exploration and the dedicated work of our experts who teamed up to meet the ultimate goal of this great European Space Agency mission, the search for life on Mars. ""Thales Alenia Space’s teams have made a considerable effort to successfully complete the integration, working closely with our European and Russian partners. Conducted by Thales Alenia Space as prime contractor, ExoMars is a sterling example of international collaboration

About the ExoMars 2020 spacecraft

© Thales Alenia Space

It comprises a carrier module, a descent module and the landing platform with the Rover. It will reach Mars in 2021, covering some 500 million kilometers (about 310 million miles) along the way. Once the spacecraft completes this incredible journey and the Rover’s wheels touch Martian soil, it will receive commands from the Rover Operations Control Center, via the Trace Gas Orbiter (TGO), already in Martian orbit, and ESA’s European Space Operations Centre (ESOC) in Darmstadt, Germany.

“Is there Life on Mars?”

The cornerstone of the overall program, ExoMars 2020 is a collaborative effort between ESA and the Russian space agency Roscosmos. The TGO was sent into orbit to detect any traces of gas in the Martian atmosphere, especially methane of biological origin. ESA’s Rover is a special case.

Fitted with a drill produced by Leonardo, it will be able to pierce the Martian soil up to two meters deep in an effort to find any bacteria – a major world first! Furthermore, the Rover is equipped with the Analytical Laboratory Drawer (ALD), a sort of mini-laboratory integrated at our Turin plant. Featuring a wide array of sophisticated scientific instruments, this lab will have the daunting task of analyzing the Martian soil samples for any signs of past or present life. The Trace Gas Orbiter, launched on the ExoMars 2016 mission and also under Thales Alenia Space’s responsibility, will be used to relay all communications to and from the Rover.

Venus, Mars, Mercury, Saturn, the Moon, asteroids, comets… Thales Alenia Space has always been a pivotal partner in the incredible European and international missions across the Solar System. Let’s hope that this second ExoMars mission will be a major European and global success for the greater benefit of science and to help us better understand the Universe.

* ExoMars is a joint exploration program between the European Space Agency (ESA) and the Russian Space Agency, Roscosmos, with NASA contributions, that aims to study the Martian environment, atmosphere and soil. It will lead to an enviable data harvest that will feed scientists' research for many years to come. Thales Alenia Space is prime contractor on the ExoMars missions (2016 & 2020), leading an industrial consortium. Within the consortium, Leonardo provides the soil sample drill, OHB the carrier module and various rover instruments, with the rover itself supplied by Airbus. NPO Lavochkin is responsible of the landing platform.

Photos Copyrights: © Thales Alenia Space & © Thales Alenia Space/Master Image Programmes","{'label': 'Neutral', 'score': 0.9999945163726807}",neutral,0.9999945163726807,0
Ottawa Confederation Line Opens with Thales SelTrac™ CBTC - RailwayAge Magazine,"Tue, 17 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3LnJhaWx3YXlhZ2UuY29tL25ld3Mvb3R0YXdhLWNvbmZlZGVyYXRpb24tbGluZS1vcGVucy13aXRoLXRoYWxlcy1zZWx0cmFjLWNidGMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"The latest North American rail transit system to utilize CBTC (Communications Based Train Control), Ottawa’s 13-station O-Train Confederation Line, is now in revenue service, operating with Thales SelTrac™ technology.

SeTrac, a CBTC technology originally developed in the 1970s*, uses wayside-to-onboard telecommunications “for effective traffic management,” Thales noted. “This allows trains positioning to be demonstrated more accurately to signaling operators (dispatchers) compared to other traditional systems, resulting in a more efficient and safe way to manage light rail traffic It will also provide major energy savings while carrying up to 10,700 passengers per hour in each direction, with the potential to grow up to 24,000 passengers per hour in each direction in the years to come.”

Thales wayside signaling equipment, part of the SelTrac™ system, as seen from the train during the Inaugural Ride on the O-Train Confederation Line.

“Providing the city of Ottawa with our state-of-the-art Thales’ urban rail signaling technology solidifies our position as a leader in the provision of complex signaling systems for light rail applications in Canada and internationally,” said Vice President and Managing Director Urban Rail Signaling Dominique Gaiardo. “Thales successfully delivers innovative, fast and reliable transportation solutions around the world, and we are committed to the continued service of cities and their transit users in Ottawa and across the country. [This] continues the advancement of a strong year of growth for Thales in Ottawa and throughout Ontario, following contract awards for signaling solutions on the O-Train Confederation Line’s extension project as well as the Toronto-based Finch West LRT.”

Left to right, at the O-Train Confederation Line Opening Ceremony, from Thales Canada: CEO Mark Halinaty , Dominique Gaiardo, VP & Managing Director, Urban Rail Signaling, and Alain Cruz, Director of Canadian Projects, Urban Rail Signaling.

* SelTrac was originally developed in the 1970s by Standard Elektrik Lorenz of Germany for the Krauss-Maffei Transurban, an automated guideway transit system proposed for the GO-Urban network in the Greater Toronto Area in Canada. Although the GO-Urban project was never built, the Transurban technology was acquired by an Ontario consortium led by the Urban Transportation Development Corporation (UTDC), and adapted to become its Intermediate Capacity Transit System (ICTS). This technology was first used on the SkyTrain network in Vancouver, B.C. and the Scarborough RT in Toronto. SelTrac was primarily supplied and developed by Alcatel, through a Toronto-based subsidiary. SelTrac is now supplied by Thales Canada, after it purchased many of Alcatel’s non-telecommunications assets. New versions have been developed for different markets, and today SelTrac is used for train control systems around the world. The original SelTrac system was based on inductive loops that provided a communications channel as well as positioning information. In newer version, the control signal is transmitted inside the running rails at radio frequency using IEEE 802.11 (WiFi) access points.","{'label': 'Positive', 'score': 0.9828055500984192}",positive,0.9828055500984192,1
"Iridium, Thales Deliver Aircraft Connectivity Services - Via Satellite","Tue, 03 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3LnNhdGVsbGl0ZXRvZGF5LmNvbS9tb2JpbGl0eS8yMDE5LzA5LzAzL2lyaWRpdW0tdGhhbGVzLWRlbGl2ZXItYWlyY3JhZnQtY29ubmVjdGl2aXR5LXNlcnZpY2VzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Iridium Communications revealed that Thales is the newest Iridium Certus aviation service provider. While already developing the Iridium Certus-based FlytLINK terminal and antenna, Thales will now be able to offer both Iridium Certus terminals and Iridium Certus connectivity services to business jets, commercial aircraft, rotorcraft, general aviation, and Unmanned Aerial Vehicles (UAVs).

Iridium Certus joins the company’s existing suite of aircraft safety services, including providing Iridium Future Air Navigation System (FANS) applications such as standard and enhanced ADS-C, controller-pilot data link communications and ATS Safety Voice, once certifications are complete. Beyond safety services, Iridium Certus aims to deliver flight deck and business cabin-friendly internet capabilities such as electronic flight bag services, graphical weather, blackbox streaming, email, credit card processing, VPN access, and social media posting and monitoring.","{'label': 'Neutral', 'score': 0.9297729730606079}",neutral,0.9297729730606079,0
DSEI 2019: Thales discloses Mi-Map AI-assisted mine warfare solution - Naval News,"Wed, 11 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3Lm5hdmFsbmV3cy5jb20vZXZlbnQtbmV3cy9kc2VpLTIwMTkvMjAxOS8wOS9kc2VpLTIwMTktdGhhbGVzLWRpc2Nsb3Nlcy1taS1tYXAtYWktYXNzaXN0ZWQtbWluZS13YXJmYXJlLXNvbHV0aW9uL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"DSEI 2019: Thales discloses Mi-Map AI-assisted mine warfare solution At DSEI 2019, Thales is launching the Mine Intelligence Mapping system (Mi-Map), a new AI-assisted solution developed for mine warfare analysis. The Mi-Map console is designed to offer the customer the best solution in term of mine detection and classification, Thales said to Naval News.

Mi-Map is a digital assistant powered by AI for sonar data analysis including a fully integrated design for quick deployment and a continuous machine learning capability. This platform can reduce operator workload, improve Man-Machine performance, and speed up post mission and real time operator analysis whilst being able to self-adapt to new environments or threats.

« We compared the efficiency of current procedures to the ones offered by Mi-Map. It took dozens of minutes for the operator to detect and classify potential threats, when the Mi-Map did the job in around 20 seconds. And the human missed two decisive elements, »



Thales representative.

Thales’ Mi-Map console has been offered the Janus prize, a label awarded by the French Design Institute to projects being made to be easier for the user to handle.

Thales is just finishing the development and will be able to propose its new Mi-Map console for the Naval market.","{'label': 'Positive', 'score': 0.9686638712882996}",positive,0.9686638712882996,1
"Thales provides flight simulator to Uzbekistan, marks first Air Force academy in the country - Vertical Magazine","Thu, 19 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMigwFodHRwczovL3ZlcnRpY2FsbWFnLmNvbS9wcmVzcy1yZWxlYXNlcy90aGFsZXMtcHJvdmlkZXMtZmxpZ2h0LXNpbXVsYXRvci10by11emJla2lzdGFuLW1hcmtzLWZpcnN0LWFpci1mb3JjZS1hY2FkZW15LWluLXRoZS1jb3VudHJ5L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Thales signed a contract with Uzbekistan for the supply of a flight simulator for Airbus AS350/H125 helicopters. This flight simulator will provide initial training for pilots of the Uzbek Air Force and emergency procedures training. The simulator was delivered in record time last August to Karshi Air Force Base in Uzbekistan. The installation was carried out in an entirely new building intended to become the first academy in the country.

In early September, the academy was inaugurated in the presence of senior officials from the Ministry of Defence. This academy will provide training for Uzbek pilots and engineers, with a capacity of 300 students.

This operation, which perfectly meets the customer’s requirements, is in line with the helicopter pilot training projects undertaken by Thales over many years.

As a pioneer in the deployment of helicopter simulators in the civil and military sectors, Thales is particularly proud to be able to provide an Airbus simulator in Uzbekistan.","{'label': 'Neutral', 'score': 0.9984939098358154}",neutral,0.9984939098358154,0
Thales and Steller Systems unveil TX Ship - EDR Magazine,"Sat, 14 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LmVkcm1hZ2F6aW5lLmV1L3RoYWxlcy1hbmQtc3RlbGxlci1zeXN0ZW1zLXVudmVpbC10eC1zaGlw0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"Paolo Valpolini

Innovative in shape and concept, this might be the definition for the TX Ship, unveiled by Thales and Steller Systems at the Maritime Capability Conference that preceded the opening of DSEI 2019. In terms of shape the TX Ship has an inverted bow and a trimaran configuration that allows increasing lateral stability as well as space available, as it provides an ample flight deck amidship, with a large mission bay at the lower level.

Based in Nailsworth, Gloucestershire, Steller Systems is an independent consultancy company specialised in naval architecture and marine engineering. The study that led to the TX Ship was commissioned by Thales UK, which is acting as integrator, providing all command and control and sensors.

A 70 meters long ship, with a 25 meters beam and a 600 tonne displacement, the TX has a reduced crew, maximum 15 complement; however in the aim is to make it a fully unmanned ship, hence the “T” for transition, as it aims at increasing navies confidence in large unmanned ship. The crew will be hosted in a dedicated self-contained module fitted with all needed systems; when operated as an autonomous vessel, it will host specialist teams, i.e. Special Forces or other.

The TX Ship flight deck is equipped with elevators connecting it to the mission bay, which is designed to host standard ISO containers; these can be fitted in different roles, from accommodation to host crew members or mission related personnel such as Special Forces detachments, or mission systems, such as VTOL UAVs, UUVs, weapon systems, etc. The container-based system allows for a rapid rerolling. Astern, the ship is fitted with a well deck allowing launching manned or unmanned boats. According to the two design companies the TX Ship can be used for different roles, such as mine countermeasures operations, ASW picket ship or unmanned decoy, anti-surface warfare operations, electronic warfare, Role One casualty medical facility, ISTAR, covert forces insertion/extraction, emergency or transit Helicopter Landing Site, amphibious support/littoral strike using land weapon systems such as MLRS from its deck.

In the helicopter support role the TX Ship can support up to the Royal Navy Merlin; this can either use the TX as a refuelling platform or bring aboard supplies to extend the ship mission, or new modules to switch it to new roles not planned when it sailed from harbour. When used as mother ship, the space between the external hulls of the trimaran and the main hull, both at port and starboard, are fitted with automated launch and recovery systems allowing operations with RIBs or other types of surface or undersea systems, manned or autonomous.

Not much was said about the propulsion system, top speed being 30 knots, with cruise speed of 18 knots; maximum range speed is 12 knots, which ensure the TX Ship to sail for over 600 Nautical Miles. Endurance is of 20 days when operated manned, which doubles if the TX Ship is used in the full autonomous mode. A semi-autonomous mode is also envisaged, man in-the-loop and man on-the-loop modes being considered, the former controlling the ship remotely while the second exploiting autonomous functions while monitoring.

Thales will exploit its participation in Project MAPLE (Maritime Autonomous Platform Exploitation) to cope with unmanned functions, its M-Cube mine counter measure management system being used for MCM operations. The company will also be responsible for the sensor suite, which will not be limited to usual sensors but will also include elements to allow fully autonomous onboard operations by unmanned air assets, in the form of optical and inductive systems to programme and recharge UAS on the flight deck.

Coming to the way ahead, Thales intends to build a prototype in order to start testing systems and concepts of operation, thus starting the lessons learned process that will bring in the end to an operational vessel.

Graphics courtesy of Thales and Steller Systems","{'label': 'Neutral', 'score': 0.999992847442627}",neutral,0.999992847442627,0
JetBlue selects Thales AVANT for A220 IFE - PaxEx.Aero,"Tue, 10 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vcGF4ZXguYWVyby9qZXRibHVlLXNlbGVjdHMtdGhhbGVzLWF2YW50LWEyMjAtaWZlL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"JetBlue‘s A220-300 fleet will bring a new passenger experience to the airline. But it will do so with familiar partners. The carrier announced today that the planes will fly with the Thales AVANT inflight entertainment (IFE) solution on board. Delivery for the first of seventy A220s to the carrier is due in 2020.

In 2000, JetBlue set out to disrupt the industry as the first airline to offer live TV on every seatback, on every plane. We’re extremely proud to continue this long-standing relationship with our partners at Thales, and look forward to introducing a brand-new, custom-for-JetBlue generation of in-flight entertainment on our A220 aircraft. – Mariya Stoyanova, director of product development, JetBlue

The planes will feature 10″ HD screens at every seat, offering an audio/video on demand entertainment suite. Picture-in-picture and personal device pairing are also part of the AVANT solution for JetBlue. Passengers will also have USB and AC power available at their seats to keep devices charged throughout their flights. PaxEx.Aero previously revealed that the JetBlue A220 cabin would seat 140 passengers on board.

A rendering of the new JetBlue A220-300 seating plan

Thales (via its acquisition of former JetBlue subsidiary LiveTV) has been part of the JetBlue experience since the carrier’s first flight. The systems matured over the years, moving from just live television on board to a more full-featured AVOD IFE solution. The latest “Phase 2” A320 retrofit planes also include the AVANT solution, Thales’s top-end IFE offering.

JetBlue has relied on Thales to be their inflight entertainment business partner for almost 20 years, and we are proud to continue building on this partnership with the airline’s first A220 fleet. This award further demonstrates Thales’s commitment in supporting JetBlue’s ambitions to provide their passengers a superior air travel experience. – Philippe Carette, Chief Executive Officer, Thales InFlyt Experience

JetBlue joins Delta Air Lines and Air Canada in putting IFE screens at every seat on board its A220 planes. The 10″ screen size is comparable to that of those carriers’ configurations. All three carriers will also have comparable inflight wifi services available on board. Delta and Air Canada chose 2Ku while JetBlue previously announced that the inflight wifi for the A220 fleet would be provided by Viasat. In all cases the new, smaller planes are flying with a configuration very similar to their larger brethren in the fleets, delivering a more consistent passenger experience on board.

More from the 2019 APEX EXPO

A favor to ask while you're here... Did you enjoy the content? Or learn something useful? Or generally just think this is the type of story you'd like to see more of? Consider supporting the site through a donation (any amount helps). It helps keep me independent and avoiding the credit card schlock.","{'label': 'Positive', 'score': 0.9933115243911743}",positive,0.9933115243911743,1
Thales Alenia Space releases fully digital satellite to address fast moving market needs - Thales,"Tue, 10 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnRoYWxlc2dyb3VwLmNvbS9lbi93b3JsZHdpZGUvc3BhY2UvcHJlc3MtcmVsZWFzZS90aGFsZXMtYWxlbmlhLXNwYWNlLXJlbGVhc2VzLWZ1bGx5LWRpZ2l0YWwtc2F0ZWxsaXRlLWFkZHJlc3MtZmFzdNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Thales Alenia Space releases fully digital satellite to address fast moving market needs Thales Alenia Space Telecommunications satellites Telecommunications Innovation Share this article



LinkedIn

This new satellite product line, called Space Inspire, offers flexible coverage

& full in-orbit reconfiguration capabilities

Paris, September 10, 2019 – Thales Alenia Space, joint venture between Thales (67 %) and Leonardo (33 %), is proud to launch its new Space Inspire satellite product line (INstant SPace In-orbit REconfiguration) which allows seamless mission and services reconfiguration, instant in-orbit adjustment to the demand, transition from video broadcasting to broadband connectivity services while maximizing the efficiency & effective use of the satellite resources.

“Space Inspire is a game changer in the rapidly changing space markets, creating profound mutations in telecommunications. Our customers increasingly face the need to develop advanced services and seize new business opportunities, as they appear, while enhancing their business efficiency. Through Thales Alenia Space new product line, total mission digitalization and full flexibility enable satellite operators to allocate capacity anywhere, at any time, whatever the waveform”, said Jean-Loïc Galle, CEO of Thales Alenia Space.

Over the past several years, Thales Alenia Space has invested in digitization of its offer, leading to new skills, new products and strategic partnerships to anticipate this transformation. These efforts, supported by CNES (French space agency) and ESA (European Space Agency), are bearing fruits for communication satellites and in particular allowed Thales Alenia Space to match the connectivity needs by leading the VHTS (Very High Throughput)* market and to be the first worldwide company to offer a fully digital payload processing up to a terabit class.

Transforming a Direct to Home TV satellite into a High Throughput connectivity satellite and changing its coverage in quasi real time was unconceivable a few years ago. Thales Alenia Space has designed its newest Space Inspire Satellite product line in order to meet this challenge at unprecedented price point. This new, software defined, smaller mid- sized satellite solution, joins SpacebusTM NEO satellite line to enrich the Thales Alenia Space’ portfolio.

Extremely high capacity, unique agility, in-orbit reconfiguration, flexible coverage, proven serial production, is becoming a reality thanks to Thales Alenia Space innovative solutions.

* KONNECT VHTS, SES-17, PSN Satria contracts

Photo copyright ©Thales Alenia Space/Master Image Programmes

About Thales Alenia Space

Drawing on over 40 years of experience and a unique combination of skills, expertise and cultures, Thales Alenia Space delivers cost-effective solutions for telecommunications, navigation, Earth observation, environmental management, exploration, science and orbital infrastructures. Governments and private industry alike count on Thales Alenia Space to design satellite-based systems that provide anytime, anywhere connections and positioning, monitor our planet, enhance management of its resources, and explore our Solar System and beyond. Thales Alenia Space sees space as a new horizon, helping to build a better, more sustainable life on Earth. A joint venture between Thales (67%) and Leonardo (33%), Thales Alenia Space also teams up with Telespazio to form the parent companies’ Space Alliance, which offers a complete range of services. Thales Alenia Space posted consolidated revenues of about 2.5 billion euros in 2018 and has around 8,000 employees in nine countries. www.thalesaleniaspace.com

Thales Alenia Space – Press Contacts:

Sandrine Bielecki

Tel: +33 (0)4 92 92 70 94

sandrine.bielecki@thalesaleniaspace.com

Chrystelle Dugimont

Tel: +33 (0)4 92 92 74 06

chrystelle.dugimont@thalesaleniaspace.com","{'label': 'Positive', 'score': 0.6956078410148621}",positive,0.6956078410148621,1
DSEI 2019: Steller Systems & Thales Unveil TX Ship Concept - Naval News,"Tue, 10 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3Lm5hdmFsbmV3cy5jb20vZXZlbnQtbmV3cy9kc2VpLTIwMTkvMjAxOS8wOS9kc2VpLTIwMTktc3RlbGxlci1zeXN0ZW1zLXRoYWxlcy11bnZlaWwtdHgtc2hpcC1jb25jZXB0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"DSEI 2019: Steller Systems & Thales Unveil TX Ship Concept Steller Systems and Thales have launched their design for TX Ship, a ground-breaking vessel that will help navies transition to unmanned operations.

The design, which was officially unveiled at the Maritime Capability Conference at DSEI 2019 on Monday, is designed to operate unmanned, but with the intention of operating as a lean-manned vessel with 15 crew in the first instance. Successful and continued operation of TX Ship will give forward thinking navies a clear route to gain confidence in, and to move towards, fully unmanned autonomous naval operations in a cost-effective manner.

TX Ship is a fully sensorised multi-role trimaran, capable of operating at reach, alone or as part of a task group. The ship possesses an unusual high capacity, fully-automated mission bay capable of hosting and deploying a large number, and multiple types, of manned or unmanned mission packages. The stern access and moon pool features enable flexible and covert deployment of a wide range of current and future unmanned aerial, surface and subsurface vessels. At a length of 70m and 600 tonne displacement, TX Ship has a top speed of 30 knots, a design cruise speed of 18 knots, a range of 6000nm and an endurance of 20 days (manned) or 40 days (unmanned).

The vessel has been designed to be a multi-role platform, including Mine Countermeasures (MCM), Intelligence, Surveillance & Reconnaissance (ISR), strategic Anti-Submarine Warfare (ASW) and patrol.

TX Ship capabilities:","{'label': 'Positive', 'score': 0.9988129138946533}",positive,0.9988129138946533,1
