Titre,Date de publication,URL,Contenu,sentiment_finbert,sentiment_label,sentiment_score,sentiment_numerique
Airbus' Vahana Flying Car Uses Laser Sensors to Pick out Landing Spots - WIRED,"Wed, 23 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vd3d3LndpcmVkLmNvbS9zdG9yeS9haXJidXMtdmFoYW5hLWZseWluZy1jYXItbGFuZGluZ3Mv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"Before you can zip about in a flying car, engineers must solve more than a few problems. Oddly, figuring out how to make a flying car fly isn't among them. The basics of flight were sorted out more than 100 years ago. No, the big challenge lies in making these things fly themselves so you don't have to go through the hassle of earning a pilot's license. Here, too, taking flight isn't the big problem. Landing is.

“Takeoff is fairly scripted,” says Sanjiv Signh, the CEO of Near Earth Autonomy. His company makes sensors and robotic controls for aerial vehicles like drones. “But the landing site may not be ready to take a vehicle. Maybe something went wrong, and there’s already a vehicle on deck.”

A human pilot would know what to do. But a computer algorithm? It must be programmed. So Airbus, which really is developing an autonomous flying car, tapped the Pittsburgh, Pennsylvania, company to provide the hardware needed to get it off the ground—and back down again.

Airbus calls its self-flying flying car Vahana, and is working on it at its Silicon Valley outpost A^3 (pronounced ""a cubed""). The single-seat electric aircraft uses eight propellers mounted on wings that rotate. Vahana takes off and lands like a helicopter but flies like an airplane. Engineers call this VTOL, or vertical take-off and landing, but a growing number of people think it's just the thing for flying cars. Airbus hopes to start flight testing a prototype before the end of the year.

If all goes according to plan, Vahana will use a Near Earth Autonomy technology called Peregrine. The system, mounted under the fuselage, looks like a shoebox with a dome. It contains lidar, inertial measurement, GPS sensors, and all kinds of processing power. When the aircraft is at an altitude lower than 65 feet, it laser scans the ground in three dimensions, looking for objects bigger larger than 12 inches across, to determine whether the landing spot is clear and safe. If it does spot an impediment—like your jerk neighbor's flying car—it will suggest an alternative LZ and feed that back to Vahana's flight control computer.","{'label': 'Neutral', 'score': 0.9989240765571594}",neutral,0.9989240765571594,0
Airbus delivers first U.S.-produced A320 to Spirit Airlines - Airbus,"Mon, 28 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmFpcmJ1cy5jb20vZW4vbmV3c3Jvb20vcHJlc3MtcmVsZWFzZXMvMjAxNy0wOC1haXJidXMtZGVsaXZlcnMtZmlyc3QtdXMtcHJvZHVjZWQtYTMyMC10by1zcGlyaXQtYWlybGluZXPSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"Airbus delivers first U.S.-produced A320 to Spirit Airlines

The first delivery of an A320 aircraft from the Airbus U.S. Manufacturing Facility has taken place in Mobile, Alabama, USA. The aircraft, delivered to Spirit Airlines, is the 37th overall delivery from the U.S. facility since production began in July 2015. The previous 36 aircraft were A321 aircraft, making this delivery another important milestone for Airbus.

Executives from Airbus and Spirit Airlines were on hand for the occasion.

Bob Lekites, Executive Vice President-Customers, Airbus Americas said: “Airbus has reached another milestone in Mobile—delivery of the first A320 to be produced in the United States. Without a doubt, the A320 Family of aircraft meets the needs of our North American airline customers, and the 36 A321s already delivered from the U.S. have an extra special meaning for those airlines and their passengers. We’re pleased to celebrating this milestone with a great partner--Spirit Airlines.”

“Spirit Airlines is honored to receive the first Airbus A320 made in America,” said Ted Christie, Executive Vice President and Chief Financial Officer of Spirit Airlines. “Our 106th aircraft, 650NK, will join Spirit’s growing Fit Fleet, the youngest and most fuel-efficient in the country. This new aircraft shows our commitment to delivering the cleanest, state-of-the-art aircraft to our customers as we continue to offer the lowest fares in the industry.”

The A320 Family is the world’s best-selling single-aisle product line and comprises four models (A318, A319, A320, A321) Typically seating 150 passengers in two classes, or up to 180 in a high-density layout for charter and low-cost operations, the A320 is in widespread service around the world, flying routes ranging from short commuter sectors to coast-to-coast U.S. flights. To date, the Family has won over 13,200 orders and more than 7,700 aircraft have been delivered to some 400 customers and operators worldwide.

Airbus announced its commitment to build a single-aisle assembly line in Mobile, Alabama in July 2012, and broke ground for the $600 million facility in April 2013. The ceremonial inauguration of the plant took place in September 2015. Airbus anticipates delivering four aircraft per month from the Mobile plant by the end of this year.

In addition to hundreds of new Airbus jobs the project has brought to the local community, the Mobile area has seen many Airbus suppliers open new facilities in the region, providing even more employment and a parallel boost to the local economy. Airbus is proud to say that more than 85 percent of its employees are from the Gulf Coast region, with nearly one third being U.S. military veterans.","{'label': 'Positive', 'score': 0.9277498126029968}",positive,0.9277498126029968,1
Inside the Airbus A380 factory - CNET,"Sat, 12 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmNuZXQuY29tL3BpY3R1cmVzL2FpcmJ1cy1hMzgwLWZhY3RvcnktcGljdHVyZXMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"Toulouse in southwestern France is where Airbus has its headquarters, and also where the company completes final assembly the A380, the world's largest and most expensive airliner.

After following a convoy of an A380's parts the previous night, we went inside the factory for a tour.","{'label': 'Neutral', 'score': 0.9999966621398926}",neutral,0.9999966621398926,0
Airbus Achieves a Global First With Its Hot A320 - Bloomberg,"Tue, 22 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmJsb29tYmVyZy5jb20vbmV3cy9hcnRpY2xlcy8yMDE3LTA4LTIyL2FpcmJ1cy1hY2hpZXZlcy1hLWdsb2JhbC1maXJzdC13aXRoLWl0cy1ob3QtYTMyMNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"With little fanfare, Airbus SE is about to mark an unusual milestone in aviation: simultaneous production of the same aircraft on three continents. The company will hand over the first A320 to roll out of its Mobile, Alabama, assembly plant on Aug. 25, meaning North America will join Europe and Asia in producing the most popular airliner in the world.

The Alabama facility opened in 2015 and has thus far produced three dozen of Airbus’s larger A321. The first U.S.-built A320 will be handed over Friday to Spirit Airlines Inc., which has ordered 98 of the planes. By year’s end, Airbus plans to reach a production rate of four aircraft per month at the Mobile facility.","{'label': 'Positive', 'score': 0.5707033276557922}",positive,0.5707033276557922,1
Qantas challenges Airbus and Boeing to fly farther - The Seattle Times,"Thu, 24 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LnNlYXR0bGV0aW1lcy5jb20vYnVzaW5lc3MvYm9laW5nLWFlcm9zcGFjZS9xYW50YXMtY2hhbGxlbmdlcy1haXJidXMtYW5kLWJvZWluZy10by1mbHktZmFydGhlci_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en,,"{'label': 'Negative', 'score': 0.9999896287918091}",negative,0.9999896287918091,-1
Virtual Reality Airbus H160 on Display with Helionix | AIN - Aviation International News,"Thu, 31 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMicWh0dHBzOi8vd3d3LmFpbm9ubGluZS5jb20vYXZpYXRpb24tbmV3cy9idXNpbmVzcy1hdmlhdGlvbi8yMDE3LTA4LTMxL3ZpcnR1YWwtcmVhbGl0eS1haXJidXMtaDE2MC1kaXNwbGF5LWhlbGlvbml40gEA?oc=5&hl=en-US&gl=US&ceid=US:en,"Virtual Reality Airbus H160 on Display with Helionix

The H160 is continuing its flight-test program.","{'label': 'Neutral', 'score': 0.999982476234436}",neutral,0.999982476234436,0
Delta's new Airbus A350 has arrived - Business Insider,"Mon, 07 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZGVsdGEtYWlyYnVzLWEzNTAtYXJyaXZlLTIwMTctONIBQ2h0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vZGVsdGEtYWlyYnVzLWEzNTAtYXJyaXZlLTIwMTctOD9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en,"On Sunday, Delta Air Lines took delivery of its very first next generation Airbus A350-900 airliner.

Advertisement

Delta's first A350 arrived at its base in Atlanta just after 2:00 am on Sunday following a delivery flight from Airbus headquarters in Toulouse, France.

Upon arrival, the plane was greeted by a ceremonial water cannon salute before pulling up to a gate.

This story is available exclusively to Business Insider subscribers. Become an Insider and start reading now. Have an account? Log in .","{'label': 'Neutral', 'score': 0.9999568462371826}",neutral,0.9999568462371826,0
"Airbus A380, world's largest passenger jet, making 1st regular O'Hare flights next year - Chicago Tribune","Tue, 08 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmNoaWNhZ290cmlidW5lLmNvbS8yMDE3LzA4LzA4L2FpcmJ1cy1hMzgwLXdvcmxkcy1sYXJnZXN0LXBhc3Nlbmdlci1qZXQtbWFraW5nLTFzdC1yZWd1bGFyLW9oYXJlLWZsaWdodHMtbmV4dC15ZWFyL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"The world’s largest passenger airplane will begin making regular stops at O’Hare International Airport next year.

British Airways will begin using the double-decker Airbus A380 on one of two daily flights between Chicago and London starting May 8, the airline said Tuesday in a news release.

It’s the first regularly scheduled flight on the monster jet in Chicago.

British Airways and partner American Airlines already operate six daily flights between Chicago and London. Switching one of those flights to the larger jet will let the airlines carry nearly 20 percent more passengers across the Atlantic, British Airways said.

“The addition of the Airbus A380 for direct service from O’Hare to London is great news for travelers in Chicago and around the world,” Chicago Department of Aviation Commissioner Ginger Evans said in the news release. “Chicago is always looking for ways to offer our passengers new and improved options for international travel. Thanks to our partners at British Airways, we will bring more visitors directly to our city on one of the largest and most exciting aircraft in the world.”

The aircraft seats up to 469 passengers in four cabins, including 14 first-class suites, 97 lie-flat business-class seats and 55 premium economy seats, with the remaining 303 in coach, British Airways said.

London-bound passengers who want to fly the A380 will need to take the British Airways flight departing Chicago at 5:30 p.m. The A380 will fly the 10:50 a.m. flight from London to Chicago.

It isn’t the aircraft’s first stop in Chicago. Dubai-based airline Emirates flew the aircraft to O’Hare in July 2016 to test out airport improvements designed to accommodate the jet, which is 238 feet long and 79 feet high, with a 261-foot wingspan. A Lufthansa-operated A380 also touched down in 2007 while touring the U.S. and completing Federal Aviation Administration-required technical procedures before starting U.S. passenger service.

Chicago has had a runway big enough to handle the A380 since 2013 but lacked a gate that fit the two-level plane at that time. Although a Boeing 747 is longer, the A380 is wider and has two decks spanning the full length of the plane.

A second runway capable of serving the A380 is currently under construction at O’Hare and is expected to be completed in 2020. Another A380-ready gate is also among the nine new gates planned as part of the expansion of Terminal 5.

The A380 hasn’t been an easy sell for aircraft manufacturer Airbus, which announced plans to scale back production last month after making a similar reduction last year. Chicago-based Boeing also has cut production plans for its mega jet, the 747.

But the improvements at O’Hare aren’t about catering to any particular aircraft, the Aviation Department said. The new runways and gate will help O’Hare handle more international traffic and wide-body aircraft, the department said in the news release.

lzumbach@chicagotribune.com

Twitter @laurenzumbach","{'label': 'Neutral', 'score': 0.9999023675918579}",neutral,0.9999023675918579,0
Airbus A380 cuts signal the end of an aviation dream - Financial Times,"Tue, 01 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vd3d3LmZ0LmNvbS9jb250ZW50L2JiMTlhMjU2LTc1ZGQtMTFlNy1hM2U4LTYwNDk1ZmU2Y2E3MdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en,"Try unlimited access Only 1 € for 4 weeks

Then 69 € per month.

Complete digital access to quality FT journalism on any device. Cancel anytime during your trial.","{'label': 'Neutral', 'score': 0.9999912977218628}",neutral,0.9999912977218628,0
Airbus delivers 'beautiful yellow bird' in Mobile first - AL.com,"Fri, 25 Aug 2017 07:00:00 GMT",https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3LmFsLmNvbS9uZXdzLzIwMTcvMDgvYWlyYnVzX2RlbGl2ZXJzX2JlYXV0aWZ1bF95ZWxsLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en,"""We appreciate you giving us this beautiful yellow bird,"" a Spirit Airlines executive said Friday as Airbus executives handed over the keys to the first A320 jetliner built in Mobile.

Ted Christie, executive vice president and chief financial officer for Spirit, went on to say that the airline has had a special relationship with the manufacturer since it purchased its first A319 13 years ago. The ""yellow bird"" on display Friday would be the 106th jet in its all-Airbus fleet, he said.

Christie described Spirit as ""the fastest-growing airline in the United States, the most profitable, and the most fun."" He said that as an ultra low cost carrier, Spirit makes air travel possible to people who wouldn't otherwise be able to afford it, ""and it starts with an efficient machine.""

The aircraft on display Friday was the 37th Airbus jetliner made in Mobile since the Airbus Final Assembly Line started production in early 2016, and the sixth of those to be delivered to Spirit. But as the first A320 delivered out of Mobile, it was anything but old hat.

""With this very first A320 assembled, we recognized another key milestone,"" said Daryl Taylor, general manager of the Mobile facility. ""But like all of our deliveries, this isn't just about the aircraft. More importantly it's about the team - the team here in Mobile and what we've been able to deliver yet again.""

The Airbus Final Assembly Line in Mobile took extra care building its first A320: Major components arrived in May, and the jet was delivered Aug. 25. (Lawrence Specker/LSpecker@AL.com)

Plans called for the plant to build three variants of Airbus' single-aisle A320 jets: A321s, A320s and A319s. All share the same fuselage width, wingspan and other dimensions, but they vary in fuselage length. Until now the Mobile plant has built only A321s, which are about 23 feet longer than an A320. The difference sounds simple enough in principle, but the assembly of this particular jet was the first time it was executed in practice in Mobile.

Going forward, A321s likely will continue to be the biggest portion of jets built in Mobile, said a spokeswoman. But A320s will be in the mix from now on.

Company officials say the Mobile facility is on track to reach a production rate of four jets per month by the end of the year.","{'label': 'Neutral', 'score': 0.9990652203559875}",neutral,0.9990652203559875,0
