time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-03 09:30:00-05:00,MLTrader,030719cbaddf477c8ed84b739cf82f60,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-03 09:30:00-05:00,MLTrader,030719cbaddf477c8ed84b739cf82f60,GOOG,sell,market,fill,1,gtc,0.0,1,stock,89.83000183105469,334.0,0.0
2023-01-04 09:30:00-05:00,MLTrader,fb7e653326434f72a4148374ba6b4277,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-04 09:30:00-05:00,MLTrader,fb7e653326434f72a4148374ba6b4277,GOOG,sell,market,fill,1,gtc,0.0,1,stock,91.01000213623047,429.0,0.0
2023-01-05 09:30:00-05:00,MLTrader,fc04e6b128364ae19aff4774ddab8eb5,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,MLTrader,fc04e6b128364ae19aff4774ddab8eb5,GOOG,sell,market,fill,1,gtc,0.0,1,stock,88.06999969482422,576.0,0.0
2023-01-06 09:30:00-05:00,MLTrader,30a6a7d586e2401eb1b83057198710eb,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-06 09:30:00-05:00,MLTrader,30a6a7d586e2401eb1b83057198710eb,GOOG,sell,market,fill,1,gtc,0.0,1,stock,87.36000061035156,755.0,0.0
2023-01-09 09:30:00-05:00,MLTrader,59ce6fe561d0476898301d8181414e86,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-09 09:30:00-05:00,MLTrader,59ce6fe561d0476898301d8181414e86,GOOG,sell,market,fill,1,gtc,0.0,1,stock,89.19499969482422,961.0,0.0
2023-01-10 09:30:00-05:00,MLTrader,0818d202eee7496ead7949676bb3a236,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,MLTrader,0818d202eee7496ead7949676bb3a236,GOOG,sell,market,fill,1,gtc,0.0,1,stock,86.72000122070312,1285.0,0.0
2023-01-11 09:30:00-05:00,MLTrader,b188df0df96248deb255cd9f8fedd1ce,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-11 09:30:00-05:00,MLTrader,b188df0df96248deb255cd9f8fedd1ce,GOOG,sell,market,fill,1,gtc,0.0,1,stock,90.05999755859375,1609.0,0.0
2023-01-12 09:30:00-05:00,MLTrader,90c89f1358054c12ab724bc4249be00d,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-12 09:30:00-05:00,MLTrader,90c89f1358054c12ab724bc4249be00d,GOOG,sell,market,fill,1,gtc,0.0,1,stock,92.4000015258789,2038.0,0.0
2023-01-13 09:30:00-05:00,MLTrader,2c3c96b6df8b40a184e7e14b1ac75a50,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-13 09:30:00-05:00,MLTrader,2c3c96b6df8b40a184e7e14b1ac75a50,GOOG,sell,market,fill,1,gtc,0.0,1,stock,91.52799987792969,2675.0,0.0
2023-01-17 09:30:00-05:00,MLTrader,2ca98f9ae53844c9ae7484830b72e479,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-17 09:30:00-05:00,MLTrader,2ca98f9ae53844c9ae7484830b72e479,GOOG,sell,market,fill,1,gtc,0.0,1,stock,92.77999877929688,3430.0,0.0
2023-01-18 09:30:00-05:00,MLTrader,3c99a17938df4a2d972cb3773adfd5a5,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-18 09:30:00-05:00,MLTrader,3c99a17938df4a2d972cb3773adfd5a5,GOOG,sell,market,fill,1,gtc,0.0,1,stock,92.94000244140625,4452.0,0.0
